编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,直线,1,ZX,2,line,4,zhixian,7
2,射线,1,SX,2,ray,3,shexian,7
3,线段,1,XD,2,line_segment,12,xianduan,8
4,平面,1,PM,2,plane,5,pingmian,8
5,空间几何体,2,KJJHT,5,solid_geometry,14,kongjianjiheti,14
6,棱柱,2,LZ,2,prism,5,lengzhu,7
7,棱锥,2,LZ,2,pyramid,7,lengzhui,8
8,棱台,3,LT,2,frustum_of_pyramid,18,lengtai,7
9,圆柱,2,YZ,2,cylinder,8,yuanzhu,7
10,圆锥,2,YZ,2,cone,4,yuanzhui,8
11,圆台,3,YT,2,frustum_of_cone,15,yuantai,7
12,球,1,Q,1,sphere,6,qiu,3
13,三视图,2,SST,3,three_views,11,sanshitu,8
14,直观图,2,ZGT,3,pictorial_drawing,17,zhiguantu,9
15,平行,1,PX,2,parallel,8,pingxing,8
16,垂直,1,CZ,2,perpendicular,13,chuizhi,7
17,异面直线,3,YMZX,4,skew_lines,10,yimianzhixian,13
18,线面平行,2,XMPX,4,line_plane_parallelism,22,xianmianpingxing,16
19,面面平行,2,MMPX,4,plane_plane_parallelism,23,mianmianpingxing,16
20,线面垂直,2,XMCZ,4,line_plane_perpendicularity,27,xianmianchuizhi,15
21,面面垂直,2,MMCZ,4,plane_plane_perpendicularity,28,mianmianchuizhi,15
22,空间向量,2,KJXL,4,space_vector,12,kongjianxiangliang,18
23,空间直角坐标系,3,KJZJZBX,7,space_rectangular_coordinate_system,35,kongjianzhijiaozuobiaoxi,24
24,直线方程,2,ZXFC,4,equation_of_line,16,zhixianfangcheng,16
25,斜率,1,XL,2,slope,5,xielv,5
26,倾斜角,3,QXJ,3,angle_of_inclination,20,qingxiejiao,11
27,截距,2,JJ,2,intercept,9,jieju,5
28,圆,1,Y,1,circle,6,yuan,4
29,圆的方程,2,YDFC,4,equation_of_circle,18,yuandefangcheng,15
30,圆锥曲线,3,YZQX,4,conic_section,13,yuanzhuiquxian,14
31,椭圆,2,TY,2,ellipse,7,tuoyuan,7
32,双曲线,2,SQX,3,hyperbola,9,shuangquxian,12
33,抛物线,2,PWX,3,parabola,8,paowuxian,9
34,焦点,2,JD,2,focus,5,jiaodian,8
35,准线,3,ZX,2,directrix,9,zhunxian,8
36,离心率,3,LXL,3,eccentricity,12,lixinlv,7
37,点,1,D,1,point,5,dian,4
38,端点,1,DD,2,endpoint,8,duandian,8
39,中点,1,ZD,2,midpoint,8,zhongdian,9
40,角平分线,1,JPFX,4,angle_bisector,14,jiaopingfenxian,15
41,中线,1,ZX,2,median_line,11,zhongxian,9
42,高线,1,GX,2,altitude_line,13,gaoxian,7
43,垂直平分线,2,CZPFX,5,perpendicular_bisector,22,chuizhipingfenxian,18
44,三角形,1,SJX,3,triangle,8,sanjiaoxing,11
45,等腰三角形,1,DYSJX,5,isosceles_triangle,18,dengyaosanjiaoxing,18
46,等边三角形,1,DBSJX,5,equilateral_triangle,20,dengbiansanjiaoxing,19
47,直角三角形,1,ZJSJX,5,right_triangle,14,zhijiaosanjiaoxing,18
48,全等三角形,2,QDSJX,5,congruent_triangles,19,quandengsanjiaoxing,19
49,相似三角形,2,XSSJX,5,similar_triangles,17,xiangsisanjiaoxing,18
50,多边形,1,DBX,3,polygon,7,duobianxing,11
51,平行四边形,1,PXSBX,5,parallelogram,13,pingxingsibianxing,18
52,矩形,1,JX,2,rectangle,9,juxing,6
53,菱形,1,LX,2,rhombus,7,lingxing,8
54,正方形,1,ZFX,3,square,6,zhengfangxing,13
55,梯形,1,TX,2,trapezoid,9,tixing,6
56,圆心,1,YX,2,center_of_circle,16,yuanxin,7
57,半径,1,BJ,2,radius,6,banjing,7
58,直径,1,ZJ,2,diameter,8,zhijing,7
59,弦,2,X,1,chord,5,xian,4
60,弧,2,H,1,arc,3,hu,2
61,圆心角,2,YXJ,3,central_angle,13,yuanxinjiao,11
62,圆周角,2,YZJ,3,inscribed_angle,15,yuanzhoujiao,12
63,扇形,1,SX,2,sector,6,shanxing,8
64,面积,1,MJ,2,area,4,mianji,6
65,周长,1,ZC,2,perimeter,9,zhouchang,9
66,体积,1,TJ,2,volume,6,tiji,4
