编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,样本,1,YB,2,sample,6,yangben,7
2,总体,1,ZT,2,population,10,zongti,6
3,个体,1,GT,2,individual,10,geti,4
4,容量,2,RL,2,sample_size,11,rongliang,9
5,抽样,2,CY,2,sampling,8,chouyang,8
6,简单随机抽样,2,JDSJCY,6,simple_random_sampling,22,jiandansuijichouyang,20
7,分层抽样,2,FCCY,4,stratified_sampling,19,fencengchouyang,15
8,频数,2,PS,2,frequency_count,15,pinshuo,7
9,频率,1,PL,2,relative_frequency,18,pinlv,5
10,平均数,1,PJS,3,mean,4,pingjunshu,10
11,中位数,1,ZWS,3,median,6,zhongweishu,11
12,众数,1,ZS,2,mode,4,zhongshu,8
13,极差,2,JC,2,range_of_data,13,jicha,5
14,方差,2,FC,2,variance,8,fangcha,7
15,标准差,2,BZC,3,standard_deviation,18,biaozhuncha,11
16,散点图,3,SDT,3,scatter_plot,12,sandiantu,9
17,相关性,2,XGX,3,correlation,11,xiangguanxing,13
18,回归直线,3,HGZX,4,regression_line,15,huiguizhixian,13
19,随机事件,1,SJSJ,4,random_event,12,suijishijian,12
20,必然事件,2,BRSJ,4,certain_event,13,biranshijian,12
21,不可能事件,2,BKNSJ,5,impossible_event,16,bukenengshijian,15
22,概率,1,GL,2,probability,11,gailv,5
23,古典概型,2,GDGX,4,classical_probability_model,27,gudiangaixing,13
24,互斥事件,2,HCSJ,4,mutually_exclusive_events,25,huchishijian,12
25,对立事件,2,DLSJ,4,complementary_events,20,duilishijian,12
26,条件概率,3,TJGL,4,conditional_probability,23,tiaojiangailv,13
27,独立事件,3,DLSJ,4,independent_events,18,dulishijian,11
28,二项分布,3,EXFB,4,binomial_distribution,21,erxiangfenbu,12
29,正态分布,3,ZTFB,4,normal_distribution,19,zhengtaifenbu,13
30,数据,1,SJ,2,data,4,shuju,5
31,数据组,1,SJZ,3,data_set,8,shujuzu,7
32,统计图,1,TJT,3,statistical_chart,17,tongjitu,8
33,条形图,1,TXT,3,bar_chart,9,tiaoxingtu,10
34,折线图,1,ZXT,3,line_chart,10,zhexiantu,9
35,扇形图,1,SXT,3,pie_chart,9,shanxingtu,10
36,直方图,2,ZFT,3,histogram,9,zhifangtu,9
37,茎叶图,2,JYT,3,stem_and_leaf_plot,18,jingyetu,8
38,百分位数,2,BFWS,4,percentile,10,baifenweishu,12
39,四分位数,2,SFWS,4,quartile,8,sifenweishu,11
40,箱线图,2,XXT,3,box_plot,8,xiangxiantu,11
41,随机试验,1,SJSY,4,random_experiment,17,suijishiyan,11
42,样本空间,2,YBKJ,4,sample_space,12,yangbenkongjian,15
43,样本点,2,YBD,3,sample_point,12,yangbendian,11
44,事件,1,SJ,2,event,5,shijian,7
45,基本事件,2,JBSJ,4,elementary_event,16,jibenshijian,12
46,等可能事件,2,DKNSJ,5,equally_likely_events,21,dengkenengshijian,17
47,概率模型,2,GLMX,4,probability_model,17,gailvmoxing,11
48,频率估计概率,2,PLGJGL,6,frequency_estimation_of_probability,35,pinlvgujigailv,14
49,随机变量,3,SJBL,4,random_variable,15,suijibianliang,14
50,分布列,3,FBL,3,distribution_table,18,fenbulie,8
51,数学期望,3,SXQW,4,mathematical_expectation,24,shuxueqiwang,12
52,方差公式,2,FCGS,4,variance_formula,16,fangchagongshi,14
53,标准差公式,2,BZCGS,5,standard_deviation_formula,26,biaozhunchagongshi,18
54,加法公式,2,JFGS,4,addition_rule,13,jiafagongshi,12
55,乘法公式,2,CFGS,4,multiplication_rule,19,chengfagongshi,14
56,样本平均数,2,YBPJS,5,sample_mean,11,yangbenpingjunshu,17
57,样本方差,2,YBFC,4,sample_variance,15,yangbenfangcha,14
58,随机抽样,2,SJCY,4,random_sampling,15,suijichouyang,13
59,统计表,1,TJB,3,statistical_table,17,tongjibiao,10
