编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,数列,1,SL,2,sequence,8,shulie,6
2,通项公式,2,TXGS,4,general_term_formula,20,tongxianggongshi,16
3,递推公式,2,DTGS,4,recurrence_formula,18,dituigongshi,12
4,等差数列,1,DCSL,4,arithmetic_sequence,19,dengchashulie,13
5,公差,2,GC,2,common_difference,17,gongchai,8
6,等差中项,2,DCZX,4,arithmetic_mean,15,dengchazhongxiang,17
7,等比数列,1,DBSL,4,geometric_sequence,18,dengbishulie,12
8,公比,2,GB,2,common_ratio,12,gongbi,6
9,等比中项,2,DBZX,4,geometric_mean,14,dengbizhongxiang,16
10,求和,2,QH,2,summation,9,qiuhe,5
11,不等式,1,BDS,3,inequality,10,budengshi,9
12,一元二次不等式,2,YYECBDS,7,quadratic_inequality_in_one_variable,36,yiyuanercibudengshi,19
13,基本不等式,2,JBBDS,5,basic_inequality,16,jibenbudengshi,14
14,线性规划,3,XXGH,4,linear_programming,18,xianxingguihua,14
15,可行域,3,KXY,3,feasible_region,15,kexingyu,8
16,目标函数,3,MBHS,4,objective_function,18,mubiaohanshu,12
17,最优解,3,ZYJ,3,optimal_solution,16,zuiyoujie,9
18,复数,2,FS,2,complex_number,14,fushu,5
19,虚数单位,2,XSDW,4,imaginary_unit,14,xushudanwei,11
20,实部,2,SB,2,real_part,9,shibu,5
21,虚部,2,XB,2,imaginary_part,14,xubu,4
22,共轭复数,2,GEFS,4,conjugate_complex_number,24,gongefushu,10
23,复平面,2,FPM,3,complex_plane,13,fupingmian,10
24,数学归纳法,3,SXGNF,5,mathematical_induction,22,shuxueguinafa,13
