编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,角,1,J,1,angle,5,jiao,4
2,弧度,2,HD,2,radian,6,hudu,4
3,弧度制,2,HDZ,3,radian_measure,14,huduzhi,7
4,任意角,2,RYJ,3,arbitrary_angle,15,renyijiao,9
5,单位圆,2,DWY,3,unit_circle,11,danweiyuan,10
6,正弦,1,ZX,2,sine,4,zhengxian,9
7,余弦,1,YX,2,cosine,6,yuxian,6
8,正切,1,ZQ,2,tangent,7,zhengqie,8
9,三角函数,1,SJHS,4,trigonometric_function,22,sanjiaohanshu,13
10,诱导公式,2,YDGS,4,reduction_formula,17,youdaogongshi,13
11,两角和公式,2,LJHGS,5,sum_formula,11,liangjiaohegongshi,18
12,两角差公式,2,LJCGS,5,difference_formula,18,liangjiaochagongshi,19
13,二倍角公式,2,EBJGS,5,double_angle_formula,20,erbeijiaogongshi,16
14,正弦定理,2,ZXDL,4,law_of_sines,12,zhengxiandingli,15
15,余弦定理,2,YXDL,4,law_of_cosines,14,yuxiandingli,12
16,解三角形,2,JSJX,4,solving_triangle,16,jiesanjiaoxing,14
17,向量,1,XL,2,vector,6,xiangliang,10
18,平面向量,1,PMXL,4,plane_vector,12,pingmianxiangliang,18
19,零向量,2,LXL,3,zero_vector,11,lingxiangliang,14
20,单位向量,2,DWXL,4,unit_vector,11,danweixiangliang,16
21,相等向量,2,XDXL,4,equal_vectors,13,xiangdengxiangliang,19
22,相反向量,2,XFXL,4,opposite_vectors,16,xiangfanxiangliang,18
23,共线向量,2,GXXL,4,collinear_vectors,17,gongxianxiangliang,18
24,向量加法,2,XLJF,4,vector_addition,15,xiangliangjiafa,15
25,向量减法,2,XLJF,4,vector_subtraction,18,xiangliangjianfa,16
26,平面向量基本定理,3,PMXLJBDL,8,fundamental_theorem_of_plane_vectors,36,pingmianxiangliangjibendingli,29
27,数量积,2,SLJ,3,dot_product,11,shuliangji,10
28,夹角,2,JJ,2,included_angle,14,jiajiao,7
29,终边,2,ZB,2,terminal_side,13,zhongbian,9
30,始边,2,SB,2,initial_side,12,shibian,7
31,象限角,2,XXJ,3,quadrant_angle,14,xiangxianjiao,13
32,同终边角,2,TZBJ,4,coterminal_angle,16,tongzhongbianjiao,17
33,弧长公式,2,HZGS,4,arc_length_formula,18,huzhanggongshi,14
34,扇形面积公式,2,SXMJGS,6,sector_area_formula,19,shanxingmianjigongshi,21
35,正弦曲线,2,ZXQX,4,sine_curve,10,zhengxianquxian,15
36,余弦曲线,2,YXQX,4,cosine_curve,12,yuxianquxian,12
37,正切曲线,2,ZQQX,4,tangent_curve,13,zhengqiequxian,14
38,周期,1,ZQ,2,period,6,zhouqi,6
39,最小正周期,2,ZXZZQ,5,least_positive_period,21,zuixiaozhengzhouqi,18
40,振幅,2,ZF,2,amplitude,9,zhenfu,6
41,相位,2,XW,2,phase,5,xiangwei,8
42,初相,2,CX,2,initial_phase,13,chuxiang,8
43,三角恒等式,2,SJHDS,5,trigonometric_identity,22,sanjiaohengdengshi,18
44,和差化积,3,HCHJ,4,sum_to_product_formula,22,hechahuaji,10
45,积化和差,3,JHHC,4,product_to_sum_formula,22,jihuahecha,10
46,半角公式,2,BJGS,4,half_angle_formula,18,banjiaogongshi,14
47,万能公式,3,WNGS,4,universal_formula,17,wannenggongshi,14
48,正弦型函数,2,ZXXHS,5,sinusoidal_function,19,zhengxianxinghanshu,19
49,向量坐标,2,XLZB,4,vector_coordinates,18,xiangliangzuobiao,17
50,位置向量,2,WZXL,4,position_vector,15,weizhixiangliang,16
51,向量模,1,XLM,3,vector_magnitude,16,xiangliangmo,12
52,数乘向量,2,SCXL,4,scalar_multiplication_of_vector,31,shuchengxiangliang,18
53,平行向量,2,PXXL,4,parallel_vectors,16,pingxingxiangliang,18
54,垂直向量,2,CZXL,4,perpendicular_vectors,21,chuizhixiangliang,17
55,向量投影,3,XLTY,4,vector_projection,17,xiangliangtouying,17
56,向量夹角,2,XLJJ,4,angle_between_vectors,21,xiangliangjiajiao,17
57,向量线性运算,3,XLXXYS,6,vector_linear_operation,23,xiangliangxianxingyunsuan,25
58,同角三角函数关系,3,TJSJHSGX,8,fundamental_trigonometric_identity,34,tongjiaosanjiaohanshuguanxi,27
