编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,导出代数几何,11,DCDSJH,6,derived_algebraic_geometry,26,daochudaishujihe,16
2,导出概形,10,DCGX,4,export_outline,14,daochugaixing,13
3,高阶栈,10,GJZ,3,high_order_stack,16,gaojiezhan,10
4,无穷范畴,11,WQFC,4,infinite_categories,19,wuqiongfanchou,14
5,模型范畴,10,MXFC,4,model_category,14,moxingfanchou,13
6,单纯交换环,11,DCJHH,5,simple_commutative_ring,23,danchunjiaohuanhuan,19
7,谱代数几何,11,PDSJH,5,spectrum_algebraic_geometry,27,pudaishujihe,12
8,椭圆上同调,12,TYSTD,5,ellipse_cohomology,18,tuoyuanshangtongdiao,20
9,拓扑模形式,11,TPMXS,5,topology_modular_form,21,tuopumoxingshi,14
10,谱概形,10,PGX,3,spectrum_outline,16,pugaixing,9
11,形式模问题,11,XSMWT,5,form_module_problem,19,xingshimowenti,14
12,卢里代表定理,12,LLDBDL,6,lurie_representation_theorem,28,lulidaibiaodingli,17
13,普里德汉形变理论,11,PLDHXBLL,8,pridhan_deformation_theory,26,pulidehanxingbianlilun,22
14,伊伦伯格麦克莱恩谱,11,YLBGMKLEP,9,ellenberger_mclean_score,24,yilunbogemaikelaienpu,21
15,准光滑态射,11,ZGHTS,5,quasi_smooth_morphism,21,zhunguanghuataishe,18
16,完美复形,11,WMFX,4,perfect_complexion,18,wanmeifuxing,12
17,拟光滑导出栈,11,NGHDCZ,6,quasi_smooth_export_stack,25,niguanghuadaochuzhan,20
18,虚结构层,10,XJGC,4,virtual_structure_layer,23,xujiegouceng,12
19,导出交叉,10,DCJC,4,derived_crossing,16,daochujiaocha,13
20,导出纤维积,12,DCXWJ,5,derive_fiber_volume,19,daochuxianweiji,15
21,导出映射栈,11,DCYSZ,5,export_mapping_stack,20,daochuyingshezhan,17
22,移位辛结构,11,YWXJG,5,shifted_symplectic_structure,28,yiweixinjiegou,14
23,潘捷夫托恩韦基瓦夸辛结构,11,PJFTEWJWKXJG,12,pantev_tornwekiva_kwasin_structure,34,panjiefutuoenweijiwakuaxinjiegou,32
24,导出泊松结构,12,DCPSJG,6,export_poisson_structure,24,daochuposongjiegou,18
25,巴塔林维尔科维斯基形式,11,BTLWEKWSJXS,11,batalin_vilkovisky_formalism,28,batalinweierkeweisijixingshi,28
26,因子化代数,11,YZHDS,5,factoring_algebra,17,yinzihuadaishu,14
27,因子化同调,11,YZHTD,5,factorized_homology,19,yinzihuatongdiao,16
28,代数空间,11,DSKJ,4,algebraic_space,15,daishukongjian,14
29,高阶阿廷栈,11,GJATZ,5,higher_artin_stack,18,gaojieatingzhan,15
30,形式代数栈,11,XSDSZ,5,formal_algebraic_stack,22,xingshidaishuzhan,17
31,无限小形变,11,WXXXB,5,infinite_small_deformation,26,wuxianxiaoxingbian,18
32,阻碍理论,11,ZALL,4,hindrance_theory,16,zuaililun,9
33,余切复形,10,YQFX,4,cotangent_complex,17,yuqiefuxing,11
34,切复形,10,QFX,3,cut_complex,11,qiefuxing,9
35,伊吕西余切复形,11,YLXYQFX,7,elucian_cotangent_complex,25,yilvxiyuqiefuxing,17
36,晶体站点,11,JTZD,4,crystal_site,12,jingtizhandian,14
37,平展站点,10,PZZD,4,flat_site,9,pingzhanzhandian,16
38,拟紧拟分离概形,11,NJNFLGX,7,quasi_compact_and_quasi_separated_outline,41,nijinnifenligaixing,19
39,完美概形,10,WMGX,4,perfect_outline,15,wanmeigaixing,13
40,凝聚完备性,12,NJWBX,5,cohesive_completeness,21,ningjuwanbeixing,16
41,图利代数化定理,11,TLDSHDL,7,tully_algebraization_theorem,28,tulidaishuhuadingli,19
42,格罗滕迪克存在定理,11,GLTDKCZDL,9,grothendieck_existence_theorem,30,geluotengdikecunzaidingli,25
43,阿尔廷近似定理,11,AETJSDL,7,altin_approximation_theorem,27,aertingjinshidingli,19
44,阿尔廷代数化,12,AETDSH,6,altin_algebraization,20,aertingdaishuhua,16
45,代数空间商,11,DSKJS,5,algebraic_space_quotient,24,daishukongjianshang,19
46,良模空间,10,LMKJ,4,good_model_space,16,liangmokongjian,15
47,稳定映射栈,11,WDYSZ,5,stable_mapping_stack,20,wendingyingshezhan,18
48,相对虚基本类,12,XDXJBL,6,relative_virtual_base_class,27,xiangduixujibenlei,18
49,对数几何,10,DSJH,4,logarithmic_geometry,20,duishujihe,10
50,细饱和对数结构,11,XBHDSJG,7,fine_saturated_logarithmic_structure,36,xibaoheduishujiegou,19
51,对数光滑态射,11,DSGHTS,6,logarithmic_smooth_morphism,27,duishuguanghuataishe,20
52,对数晶体上同调,12,DSJTSTD,7,logarithmic_crystal_cohomology,30,duishujingtishangtongdiao,25
53,热带化,10,RDH,3,tropicalization,15,redaihua,8
54,骨架,10,GJ,2,skeleton,8,gujia,5
55,柏克维奇空间,11,BKWQKJ,6,berkovich_space,15,baikeweiqikongjian,18
56,形式模型,11,XSMX,4,form_model,10,xingshimoxing,13
57,非阿基米德解析空间,11,FAJMDJXKJ,9,non_archimedean_analytic_space,30,feiajimidejiexikongjian,23
58,刚性解析空间,11,GXJXKJ,6,rigid_analytic_space,20,gangxingjiexikongjian,21
59,解析化函子,11,JXHHZ,5,analytic_functor,16,jiexihuahanzi,13
60,单值化定理,12,DZHDL,5,unique_value_theorem,20,danzhihuadingli,15
61,奇点解消,10,QDJX,4,singularity_resolved,20,qidianjiexiao,13
