编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,高阶表示论最高权模权空间,10,GJBSLZGQMQKJ,12,advanced_representation_theory_highest_weight_module_weight_space,65,gaojiebiaoshilunzuigaoquanmoquankongjian,40
2,高阶表示论最高权模根算子,10,GJBSLZGQMGSZ,12,advanced_representation_theory_highest_weight_module_root_operator,66,gaojiebiaoshilunzuigaoquanmogensuanzi,37
3,高阶表示论最高权模互反律,10,GJBSLZGQMHFL,12,advanced_representation_theory_highest_weight_module_reciprocity_law,68,gaojiebiaoshilunzuigaoquanmohufanlv,35
4,高阶表示论最高权模迹公式,10,GJBSLZGQMJGS,12,advanced_representation_theory_highest_weight_module_trace_formula,66,gaojiebiaoshilunzuigaoquanmojigongshi,37
5,高阶表示论最高权模单性判定,10,GJBSLZGQMDXPD,13,advanced_representation_theory_highest_weight_module_simplicity_criterion,73,gaojiebiaoshilunzuigaoquanmodanxingpanding,42
6,高阶表示论最高权模合成列,10,GJBSLZGQMHCL,12,advanced_representation_theory_highest_weight_module_composition_series,71,gaojiebiaoshilunzuigaoquanmohechenglie,38
7,高阶表示论最高权模对偶模,10,GJBSLZGQMDOM,12,advanced_representation_theory_highest_weight_module_dual_module,64,gaojiebiaoshilunzuigaoquanmoduioumo,35
8,高阶表示论最高权模张量积,10,GJBSLZGQMZLJ,12,advanced_representation_theory_highest_weight_module_tensor_product,67,gaojiebiaoshilunzuigaoquanmozhangliangji,40
9,高阶表示论最高权模局部化,10,GJBSLZGQMJBH,12,advanced_representation_theory_highest_weight_module_localization,65,gaojiebiaoshilunzuigaoquanmojubuhua,35
10,高阶表示论最高权模几何实现,10,GJBSLZGQMJHSX,13,advanced_representation_theory_highest_weight_module_geometric_realization,74,gaojiebiaoshilunzuigaoquanmojiheshixian,39
11,高阶表示论诱导表示权空间,10,GJBSLYDBSQKJ,12,advanced_representation_theory_induced_representation_weight_space,66,gaojiebiaoshilunyoudaobiaoshiquankongjian,41
12,高阶表示论诱导表示根算子,10,GJBSLYDBSGSZ,12,advanced_representation_theory_induced_representation_root_operator,67,gaojiebiaoshilunyoudaobiaoshigensuanzi,38
13,高阶表示论诱导表示互反律,10,GJBSLYDBSHFL,12,advanced_representation_theory_induced_representation_reciprocity_law,69,gaojiebiaoshilunyoudaobiaoshihufanlv,36
14,高阶表示论诱导表示迹公式,10,GJBSLYDBSJGS,12,advanced_representation_theory_induced_representation_trace_formula,67,gaojiebiaoshilunyoudaobiaoshijigongshi,38
15,高阶表示论诱导表示单性判定,10,GJBSLYDBSDXPD,13,advanced_representation_theory_induced_representation_simplicity_criterion,74,gaojiebiaoshilunyoudaobiaoshidanxingpanding,43
16,高阶表示论诱导表示合成列,10,GJBSLYDBSHCL,12,advanced_representation_theory_induced_representation_composition_series,72,gaojiebiaoshilunyoudaobiaoshihechenglie,39
17,高阶表示论诱导表示对偶模,10,GJBSLYDBSDOM,12,advanced_representation_theory_induced_representation_dual_module,65,gaojiebiaoshilunyoudaobiaoshiduioumo,36
