编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,导出范畴导出范畴同伦范畴,10,DCFCDCFCTLFC,12,derived_categories_derived_category_homotopy_category,53,daochufanchoudaochufanchoutonglunfanchou,40
2,导出范畴导出范畴局部化,10,DCFCDCFCJBH,11,derived_categories_derived_category_localization,48,daochufanchoudaochufanchoujubuhua,33
3,导出范畴导出范畴锥构造,10,DCFCDCFCZGZ,11,derived_categories_derived_category_cone_construction,53,daochufanchoudaochufanchouzhuigouzao,36
4,导出范畴导出范畴长正合列,10,DCFCDCFCZZHL,12,derived_categories_derived_category_long_exact_sequence,55,daochufanchoudaochufanchouzhangzhenghelie,41
5,导出范畴导出范畴增广对象,10,DCFCDCFCZGDX,12,derived_categories_derived_category_augmented_object,52,daochufanchoudaochufanchouzengguangduixiang,43
6,导出范畴导出范畴基变换,10,DCFCDCFCJBH,11,derived_categories_derived_category_base_change,47,daochufanchoudaochufanchoujibianhuan,36
7,导出范畴导出范畴对偶性,10,DCFCDCFCDOX,11,derived_categories_derived_category_duality,43,daochufanchoudaochufanchouduiouxing,35
8,导出范畴导出范畴张量结构,10,DCFCDCFCZLJG,12,derived_categories_derived_category_tensor_structure,52,daochufanchoudaochufanchouzhangliangjiegou,42
9,导出范畴导出范畴稳定条件,10,DCFCDCFCWDTJ,12,derived_categories_derived_category_stability_condition,55,daochufanchoudaochufanchouwendingtiaojian,41
10,导出范畴导出范畴墙穿越,10,DCFCDCFCQCY,11,derived_categories_derived_category_wall_crossing,49,daochufanchoudaochufanchouqiangchuanyue,39
11,导出范畴三角范畴同伦范畴,10,DCFCSJFCTLFC,12,derived_categories_triangulated_category_homotopy_category,58,daochufanchousanjiaofanchoutonglunfanchou,41
12,导出范畴三角范畴局部化,10,DCFCSJFCJBH,11,derived_categories_triangulated_category_localization,53,daochufanchousanjiaofanchoujubuhua,34
13,导出范畴三角范畴锥构造,10,DCFCSJFCZGZ,11,derived_categories_triangulated_category_cone_construction,58,daochufanchousanjiaofanchouzhuigouzao,37
14,导出范畴三角范畴长正合列,10,DCFCSJFCZZHL,12,derived_categories_triangulated_category_long_exact_sequence,60,daochufanchousanjiaofanchouzhangzhenghelie,42
15,导出范畴三角范畴增广对象,10,DCFCSJFCZGDX,12,derived_categories_triangulated_category_augmented_object,57,daochufanchousanjiaofanchouzengguangduixiang,44
16,导出范畴三角范畴基变换,10,DCFCSJFCJBH,11,derived_categories_triangulated_category_base_change,52,daochufanchousanjiaofanchoujibianhuan,37
17,导出范畴三角范畴对偶性,10,DCFCSJFCDOX,11,derived_categories_triangulated_category_duality,48,daochufanchousanjiaofanchouduiouxing,36
18,导出范畴三角范畴张量结构,10,DCFCSJFCZLJG,12,derived_categories_triangulated_category_tensor_structure,57,daochufanchousanjiaofanchouzhangliangjiegou,43
19,导出范畴三角范畴稳定条件,10,DCFCSJFCWDTJ,12,derived_categories_triangulated_category_stability_condition,60,daochufanchousanjiaofanchouwendingtiaojian,42
20,导出范畴三角范畴墙穿越,10,DCFCSJFCQCY,11,derived_categories_triangulated_category_wall_crossing,54,daochufanchousanjiaofanchouqiangchuanyue,40
21,导出范畴特结构同伦范畴,10,DCFCTJGTLFC,11,derived_categories_t_structure_homotopy_category,48,daochufanchoutejiegoutonglunfanchou,35
22,导出范畴特结构局部化,10,DCFCTJGJBH,10,derived_categories_t_structure_localization,43,daochufanchoutejiegoujubuhua,28
23,导出范畴特结构锥构造,10,DCFCTJGZGZ,10,derived_categories_t_structure_cone_construction,48,daochufanchoutejiegouzhuigouzao,31
24,导出范畴特结构长正合列,10,DCFCTJGZZHL,11,derived_categories_t_structure_long_exact_sequence,50,daochufanchoutejiegouzhangzhenghelie,36
25,导出范畴特结构增广对象,10,DCFCTJGZGDX,11,derived_categories_t_structure_augmented_object,47,daochufanchoutejiegouzengguangduixiang,38
26,导出范畴特结构基变换,10,DCFCTJGJBH,10,derived_categories_t_structure_base_change,42,daochufanchoutejiegoujibianhuan,31
27,导出范畴特结构对偶性,10,DCFCTJGDOX,10,derived_categories_t_structure_duality,38,daochufanchoutejiegouduiouxing,30
28,导出范畴特结构张量结构,10,DCFCTJGZLJG,11,derived_categories_t_structure_tensor_structure,47,daochufanchoutejiegouzhangliangjiegou,37
