编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,余乘法结构,10,YCFJG,5,mathematical_quantum_groups_quantum_group_comultiplication,58,yuchengfajiegou,15
2,反极映射,10,FJYS,4,mathematical_quantum_groups_quantum_group_antipode,50,fanjiyingshe,12
3,辫张量范畴,10,BZLFC,5,mathematical_quantum_groups_quantum_group_representation_category,65,bianzhangliangfanchou,21
4,形变参数,10,XBCS,4,mathematical_quantum_groups_quantum_group_deformation_parameter,63,xingbiancanshu,14
5,杨-巴克斯特方程,10,Y-BKSTFC,8,mathematical_quantum_groups_quantum_group_braid_relation,56,yang-bakesitefangcheng,22
6,量子迹,10,LZJ,3,mathematical_quantum_groups_quantum_group_quantum_trace,55,liangziji,9
7,双代数结构,10,SDSJG,5,mathematical_quantum_groups_quantum_group_bialgebra_structure,61,shuangdaishujiegou,18
8,张量函子,10,ZLHZ,4,mathematical_quantum_groups_quantum_group_tensor_functor,56,zhanglianghanzi,15
9,对偶对象,10,DODX,4,mathematical_quantum_groups_quantum_group_dual_object,53,duiouduixiang,13
10,德林费尔德双,10,DLFEDS,6,mathematical_quantum_groups_quantum_group_classification_theorem,64,delinfeierdeshuang,18
11,霍普夫代数余乘法,10,HPFDSYCF,8,mathematical_quantum_groups_hopf_algebra_comultiplication,57,huopufudaishuyuchengfa,22
12,霍普夫代数反极,10,HPFDSFJ,7,mathematical_quantum_groups_hopf_algebra_antipode,49,huopufudaishufanji,18
13,霍普夫代数表示范畴,10,HPFDSBSFC,9,mathematical_quantum_groups_hopf_algebra_representation_category,64,huopufudaishubiaoshifanchou,27
14,霍普夫代数形变参数,10,HPFDSXBCS,9,mathematical_quantum_groups_hopf_algebra_deformation_parameter,62,huopufudaishuxingbiancanshu,27
15,霍普夫代数辫关系,10,HPFDSBGX,8,mathematical_quantum_groups_hopf_algebra_braid_relation,55,huopufudaishubianguanxi,23
16,霍普夫代数量子迹,10,HPFDSLZJ,8,mathematical_quantum_groups_hopf_algebra_quantum_trace,54,huopufudaishuliangziji,22
17,霍普夫代数双代数结构,10,HPFDSSDSJG,10,mathematical_quantum_groups_hopf_algebra_bialgebra_structure,60,huopufudaishushuangdaishujiegou,31
18,霍普夫代数张量函子,10,HPFDSZLHZ,9,mathematical_quantum_groups_hopf_algebra_tensor_functor,55,huopufudaishuzhanglianghanzi,28
19,霍普夫代数对偶对象,10,HPFDSDODX,9,mathematical_quantum_groups_hopf_algebra_dual_object,52,huopufudaishuduiouduixiang,26
20,霍普夫代数分类定理,10,HPFDSFLDL,9,mathematical_quantum_groups_hopf_algebra_classification_theorem,63,huopufudaishufenleidingli,25
21,拟三角结构余乘法,10,NSJJGYCF,8,mathematical_quantum_groups_quasitriangular_structure_comultiplication,70,nisanjiaojiegouyuchengfa,24
22,拟三角结构反极,10,NSJJGFJ,7,mathematical_quantum_groups_quasitriangular_structure_antipode,62,nisanjiaojiegoufanji,20
23,拟三角结构表示范畴,10,NSJJGBSFC,9,mathematical_quantum_groups_quasitriangular_structure_representation_category,77,nisanjiaojiegoubiaoshifanchou,29
24,拟三角结构形变参数,10,NSJJGXBCS,9,mathematical_quantum_groups_quasitriangular_structure_deformation_parameter,75,nisanjiaojiegouxingbiancanshu,29
25,拟三角结构辫关系,10,NSJJGBGX,8,mathematical_quantum_groups_quasitriangular_structure_braid_relation,68,nisanjiaojiegoubianguanxi,25
26,拟三角结构量子迹,10,NSJJGLZJ,8,mathematical_quantum_groups_quasitriangular_structure_quantum_trace,67,nisanjiaojiegouliangziji,24
27,拟三角结构双代数结构,10,NSJJGSDSJG,10,mathematical_quantum_groups_quasitriangular_structure_bialgebra_structure,73,nisanjiaojiegoushuangdaishujiegou,33
28,拟三角结构张量函子,10,NSJJGZLHZ,9,mathematical_quantum_groups_quasitriangular_structure_tensor_functor,68,nisanjiaojiegouzhanglianghanzi,30
29,拟三角结构对偶对象,10,NSJJGDODX,9,mathematical_quantum_groups_quasitriangular_structure_dual_object,65,nisanjiaojiegouduiouduixiang,28
