编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,稳定性条件,10,WDXTJ,5,moduli_space_theory_moduli_space_stability,42,wendingxingtiaojian,19
2,德利涅-芒福德紧化,10,DLN-MFDJH,9,moduli_space_theory_moduli_space_compactification,49,delinie-mangfudejinhua,22
3,轨道型分层,10,GDXFC,5,moduli_space_theory_moduli_space_stratification,47,guidaoxingfenceng,17
4,切空间描述,10,QKJMS,5,moduli_space_theory_moduli_space_tangent_space,46,qiekongjianmiaoshu,18
5,阻碍理论,10,ZALL,4,moduli_space_theory_moduli_space_obstruction_theory,51,zuaililun,9
6,交叉理论,10,JCLL,4,moduli_space_theory_moduli_space_intersection_theory,52,jiaochalilun,12
7,虚基本类,10,XJBL,4,moduli_space_theory_moduli_space_virtual_fundamental_class,58,xujibenlei,10
8,退化族,10,THZ,3,moduli_space_theory_moduli_space_degeneration_family,52,tuihuazu,8
9,代数栈结构,10,DSZJG,5,moduli_space_theory_moduli_space_algebraic_stack,48,daishuzhanjiegou,16
10,局部模型,10,JBMX,4,moduli_space_theory_moduli_space_local_model,44,jubumoxing,10
11,稳定曲线稳定性,10,WDQXWDX,7,moduli_space_theory_stable_curve_stability,42,wendingquxianwendingxing,24
12,稳定曲线紧化,10,WDQXJH,6,moduli_space_theory_stable_curve_compactification,49,wendingquxianjinhua,19
13,稳定曲线分层结构,10,WDQXFCJG,8,moduli_space_theory_stable_curve_stratification,47,wendingquxianfencengjiegou,26
14,稳定曲线切空间,10,WDQXQKJ,7,moduli_space_theory_stable_curve_tangent_space,46,wendingquxianqiekongjian,24
15,稳定曲线阻碍理论,10,WDQXZALL,8,moduli_space_theory_stable_curve_obstruction_theory,51,wendingquxianzuaililun,22
16,稳定曲线交叉理论,10,WDQXJCLL,8,moduli_space_theory_stable_curve_intersection_theory,52,wendingquxianjiaochalilun,25
17,稳定曲线虚基本类,10,WDQXXJBL,8,moduli_space_theory_stable_curve_virtual_fundamental_class,58,wendingquxianxujibenlei,23
18,稳定曲线退化族,10,WDQXTHZ,7,moduli_space_theory_stable_curve_degeneration_family,52,wendingquxiantuihuazu,21
19,稳定曲线代数栈,10,WDQXDSZ,7,moduli_space_theory_stable_curve_algebraic_stack,48,wendingquxiandaishuzhan,23
20,稳定曲线局部模型,10,WDQXJBMX,8,moduli_space_theory_stable_curve_local_model,44,wendingquxianjubumoxing,23
21,向量丛模稳定性,10,XLCMWDX,7,moduli_space_theory_vector_bundle_moduli_stability,50,xiangliangcongmowendingxing,27
22,向量丛模紧化,10,XLCMJH,6,moduli_space_theory_vector_bundle_moduli_compactification,57,xiangliangcongmojinhua,22
23,向量丛模分层结构,10,XLCMFCJG,8,moduli_space_theory_vector_bundle_moduli_stratification,55,xiangliangcongmofencengjiegou,29
24,向量丛模切空间,10,XLCMQKJ,7,moduli_space_theory_vector_bundle_moduli_tangent_space,54,xiangliangcongmoqiekongjian,27
25,向量丛模阻碍理论,10,XLCMZALL,8,moduli_space_theory_vector_bundle_moduli_obstruction_theory,59,xiangliangcongmozuaililun,25
26,向量丛模交叉理论,10,XLCMJCLL,8,moduli_space_theory_vector_bundle_moduli_intersection_theory,60,xiangliangcongmojiaochalilun,28
27,向量丛模虚基本类,10,XLCMXJBL,8,moduli_space_theory_vector_bundle_moduli_virtual_fundamental_class,66,xiangliangcongmoxujibenlei,26
28,向量丛模退化族,10,XLCMTHZ,7,moduli_space_theory_vector_bundle_moduli_degeneration_family,60,xiangliangcongmotuihuazu,24
29,向量丛模代数栈,10,XLCMDSZ,7,moduli_space_theory_vector_bundle_moduli_algebraic_stack,56,xiangliangcongmodaishuzhan,26
30,向量丛模局部模型,10,XLCMJBMX,8,moduli_space_theory_vector_bundle_moduli_local_model,52,xiangliangcongmojubumoxing,26
31,希格斯丛稳定性,10,XGSCWDX,7,moduli_space_theory_higgs_bundle_stability,42,xigesicongwendingxing,21
32,希格斯丛紧化,10,XGSCJH,6,moduli_space_theory_higgs_bundle_compactification,49,xigesicongjinhua,16
33,希格斯丛分层结构,10,XGSCFCJG,8,moduli_space_theory_higgs_bundle_stratification,47,xigesicongfencengjiegou,23
34,希格斯丛切空间,10,XGSCQKJ,7,moduli_space_theory_higgs_bundle_tangent_space,46,xigesicongqiekongjian,21
35,希格斯丛阻碍理论,10,XGSCZALL,8,moduli_space_theory_higgs_bundle_obstruction_theory,51,xigesicongzuaililun,19
36,希格斯丛交叉理论,10,XGSCJCLL,8,moduli_space_theory_higgs_bundle_intersection_theory,52,xigesicongjiaochalilun,22
37,希格斯丛虚基本类,10,XGSCXJBL,8,moduli_space_theory_higgs_bundle_virtual_fundamental_class,58,xigesicongxujibenlei,20
38,希格斯丛退化族,10,XGSCTHZ,7,moduli_space_theory_higgs_bundle_degeneration_family,52,xigesicongtuihuazu,18
39,希格斯丛代数栈,10,XGSCDSZ,7,moduli_space_theory_higgs_bundle_algebraic_stack,48,xigesicongdaishuzhan,20
40,希格斯丛局部模型,10,XGSCJBMX,8,moduli_space_theory_higgs_bundle_local_model,44,xigesicongjubumoxing,20
41,映射类群稳定性,10,YSLQWDX,7,moduli_space_theory_mapping_class_group_stability,49,yingsheleiqunwendingxing,24
42,映射类群紧化,10,YSLQJH,6,moduli_space_theory_mapping_class_group_compactification,56,yingsheleiqunjinhua,19
43,映射类群分层结构,10,YSLQFCJG,8,moduli_space_theory_mapping_class_group_stratification,54,yingsheleiqunfencengjiegou,26
44,映射类群切空间,10,YSLQQKJ,7,moduli_space_theory_mapping_class_group_tangent_space,53,yingsheleiqunqiekongjian,24
45,映射类群阻碍理论,10,YSLQZALL,8,moduli_space_theory_mapping_class_group_obstruction_theory,58,yingsheleiqunzuaililun,22
46,映射类群交叉理论,10,YSLQJCLL,8,moduli_space_theory_mapping_class_group_intersection_theory,59,yingsheleiqunjiaochalilun,25
47,映射类群虚基本类,10,YSLQXJBL,8,moduli_space_theory_mapping_class_group_virtual_fundamental_class,65,yingsheleiqunxujibenlei,23
48,映射类群退化族,10,YSLQTHZ,7,moduli_space_theory_mapping_class_group_degeneration_family,59,yingsheleiquntuihuazu,21
49,映射类群代数栈,10,YSLQDSZ,7,moduli_space_theory_mapping_class_group_algebraic_stack,55,yingsheleiqundaishuzhan,23
50,映射类群局部模型,10,YSLQJBMX,8,moduli_space_theory_mapping_class_group_local_model,51,yingsheleiqunjubumoxing,23
51,戴利涅芒福德紧化稳定性,10,DLNMFDJHWDX,11,moduli_space_theory_deligne_mumford_compactification_stability,62,dailiniemangfudejinhuawendingxing,33
52,戴利涅芒福德紧化紧化,10,DLNMFDJHJH,10,moduli_space_theory_deligne_mumford_compactification_compactification,69,dailiniemangfudejinhuajinhua,28
53,戴利涅芒福德紧化分层结构,10,DLNMFDJHFCJG,12,moduli_space_theory_deligne_mumford_compactification_stratification,67,dailiniemangfudejinhuafencengjiegou,35
