编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,非交换代数距离公式,10,FJHDSJLGS,9,noncommutative_geometry_noncommutative_algebra_distance_formula,63,feijiaohuandaishujuligongshi,28
2,非交换代数指标配对,10,FJHDSZBPD,9,noncommutative_geometry_noncommutative_algebra_index_pairing,60,feijiaohuandaishuzhibiaopeidui,30
3,非交换代数迹公式,10,FJHDSJGS,8,noncommutative_geometry_noncommutative_algebra_trace_formula,60,feijiaohuandaishujigongshi,26
4,非交换代数光滑结构,10,FJHDSGHJG,9,noncommutative_geometry_noncommutative_algebra_smooth_structure,63,feijiaohuandaishuguanghuajiegou,31
5,非交换代数莫里塔等价,10,FJHDSMLTDJ,10,noncommutative_geometry_noncommutative_algebra_morita_equivalence,65,feijiaohuandaishumolitadengjia,30
6,非交换代数同伦不变量,10,FJHDSTLBBL,10,noncommutative_geometry_noncommutative_algebra_homotopy_invariant,65,feijiaohuandaishutonglunbubianliang,35
7,非交换代数热核展开,10,FJHDSRHZK,9,noncommutative_geometry_noncommutative_algebra_heat_kernel_expansion,68,feijiaohuandaishurehezhankai,28
8,非交换代数维数谱,10,FJHDSWSP,8,noncommutative_geometry_noncommutative_algebra_dimension_spectrum,65,feijiaohuandaishuweishupu,25
9,非交换代数规范作用,10,FJHDSGFZY,9,noncommutative_geometry_noncommutative_algebra_gauge_action,59,feijiaohuandaishuguifanzuoyong,30
10,非交换代数曲率项,10,FJHDSQLX,8,noncommutative_geometry_noncommutative_algebra_curvature_term,61,feijiaohuandaishuqulvxiang,26
11,谱三元组距离公式,10,PSYZJLGS,8,noncommutative_geometry_spectral_triple_distance_formula,56,pusanyuanzujuligongshi,22
12,谱三元组指标配对,10,PSYZZBPD,8,noncommutative_geometry_spectral_triple_index_pairing,53,pusanyuanzuzhibiaopeidui,24
13,谱三元组迹公式,10,PSYZJGS,7,noncommutative_geometry_spectral_triple_trace_formula,53,pusanyuanzujigongshi,20
14,谱三元组光滑结构,10,PSYZGHJG,8,noncommutative_geometry_spectral_triple_smooth_structure,56,pusanyuanzuguanghuajiegou,25
15,谱三元组莫里塔等价,10,PSYZMLTDJ,9,noncommutative_geometry_spectral_triple_morita_equivalence,58,pusanyuanzumolitadengjia,24
16,谱三元组同伦不变量,10,PSYZTLBBL,9,noncommutative_geometry_spectral_triple_homotopy_invariant,58,pusanyuanzutonglunbubianliang,29
17,谱三元组热核展开,10,PSYZRHZK,8,noncommutative_geometry_spectral_triple_heat_kernel_expansion,61,pusanyuanzurehezhankai,22
18,谱三元组维数谱,10,PSYZWSP,7,noncommutative_geometry_spectral_triple_dimension_spectrum,58,pusanyuanzuweishupu,19
19,谱三元组规范作用,10,PSYZGFZY,8,noncommutative_geometry_spectral_triple_gauge_action,52,pusanyuanzuguifanzuoyong,24
20,谱三元组曲率项,10,PSYZQLX,7,noncommutative_geometry_spectral_triple_curvature_term,54,pusanyuanzuqulvxiang,20
21,狄拉克算子距离公式,10,DLKSZJLGS,9,noncommutative_geometry_dirac_operator_distance_formula,55,dilakesuanzijuligongshi,23
22,狄拉克算子指标配对,10,DLKSZZBPD,9,noncommutative_geometry_dirac_operator_index_pairing,52,dilakesuanzizhibiaopeidui,25
23,狄拉克算子迹公式,10,DLKSZJGS,8,noncommutative_geometry_dirac_operator_trace_formula,52,dilakesuanzijigongshi,21
24,狄拉克算子光滑结构,10,DLKSZGHJG,9,noncommutative_geometry_dirac_operator_smooth_structure,55,dilakesuanziguanghuajiegou,26
25,狄拉克算子莫里塔等价,10,DLKSZMLTDJ,10,noncommutative_geometry_dirac_operator_morita_equivalence,57,dilakesuanzimolitadengjia,25
26,狄拉克算子同伦不变量,10,DLKSZTLBBL,10,noncommutative_geometry_dirac_operator_homotopy_invariant,57,dilakesuanzitonglunbubianliang,30
27,狄拉克算子热核展开,10,DLKSZRHZK,9,noncommutative_geometry_dirac_operator_heat_kernel_expansion,60,dilakesuanzirehezhankai,23
28,狄拉克算子维数谱,10,DLKSZWSP,8,noncommutative_geometry_dirac_operator_dimension_spectrum,57,dilakesuanziweishupu,20
29,狄拉克算子规范作用,10,DLKSZGFZY,9,noncommutative_geometry_dirac_operator_gauge_action,51,dilakesuanziguifanzuoyong,25
30,狄拉克算子曲率项,10,DLKSZQLX,8,noncommutative_geometry_dirac_operator_curvature_term,53,dilakesuanziqulvxiang,21
31,循环同调距离公式,10,XHTDJLGS,8,noncommutative_geometry_cyclic_homology_distance_formula,56,xunhuantongdiaojuligongshi,26
