编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,C*代数,10,CDS,3,C_algebraic,11,cdaishu,7
2,冯诺伊曼代数,11,FNYMDS,6,von_neumann_algebra,19,fengnuoyimandaishu,18
3,巴拿赫*代数,11,BNHDS,5,banach_algebraic,16,banahedaishu,12
4,希尔伯特模,12,XEBTM,5,hilbert_module,14,xierbotemo,10
5,正表示,10,ZBS,3,positive_expression,19,zhengbiaoshi,12
6,忠实表示,10,ZSBS,4,express_loyalty,15,zhongshibiaoshi,15
7,态空间,10,TKJ,3,state_space,11,taikongjian,11
8,纯态,11,CT,2,pure_state,10,chuntai,7
9,迹态,10,JT,2,trace_state,11,jitai,5
10,权,10,Q,1,weight,6,quan,4
11,因子,10,YZ,2,factor,6,yinzi,5
12,中心,11,ZX,2,center,6,zhongxin,8
13,投影,10,TY,2,projection,10,touying,7
14,部分等距,10,BFDJ,4,partially_isometric,19,bufendengju,11
15,谱测度,10,PCD,3,spectrum_measure,16,pucedu,6
16,函数演算,11,HSYS,4,function_calculus,17,hanshuyansuan,13
17,连续函数演算,11,LXHSYS,6,continuous_function_calculus,28,lianxuhanshuyansuan,19
18,博雷尔函数演算,11,BLEHSYS,7,borel_function_calculus,23,boleierhanshuyansuan,20
19,近似单位,10,JSDW,4,approximation_unit,18,jinshidanwei,12
20,乘子代数,11,CZDS,4,multiplier_algebra,18,chengzidaishu,13
21,卡尔金代数,11,KEJDS,5,calkin_algebra,14,kaerjindaishu,13
22,紧算子代数,11,JSZDS,5,compact_operator_algebra,24,jinsuanzidaishu,15
23,托普利茨代数,11,TPLCDS,6,toeplitz_algebra,16,tuopulicidaishu,15
24,交叉积,11,JCJ,3,crossed_product,15,jiaochaji,9
25,约化交叉积,11,YHJCJ,5,reduced_crossed_product,23,yuehuajiaochaji,15
26,全交叉积,10,QJCJ,4,full_cross_product,18,quanjiaochaji,13
27,群C*代数,10,QCDS,4,group_C_algebraic,17,quncdaishu,10
28,约化群C*代数,12,YHQCDS,6,reduced_group_C_algebraic,25,yuehuaquncdaishu,16
29,规范对易关系代数,11,GFDYGXDS,8,canonical_commutative_relational_algebra,40,guifanduiyiguanxidaishu,23
30,规范反对易关系代数,11,GFFDYGXDS,9,normative_anticommutative_relational_algebra,44,guifanfanduiyiguanxidaishu,26
31,均匀超有限代数,11,JYCYXDS,7,uniform_superfinite_algebra,27,junyunchaoyouxiandaishu,23
32,超有限因子,12,CYXYZ,5,super_finite_factor,19,chaoyouxianyinzi,16
33,麦克达夫因子,11,MKDFYZ,6,macduff_factor,14,maikedafuyinzi,14
34,汤姆田竹崎理论,11,TMTZQLL,7,tomada_takesaki_theory,22,tangmutianzhuqililun,20
35,模自同构群,11,MZTGQ,5,modular_automorphism_group,26,mozitonggouqun,14
36,标准型,11,BZX,3,standard_type,13,biaozhunxing,12
37,自然正锥,10,ZRZZ,4,natural_forward_cone,20,ziranzhengzhui,14
38,条件期望,10,TJQW,4,conditional_expectation,23,tiaojianqiwang,14
39,琼斯指数,10,QSZS,4,jones_index,11,qiongsizhishu,13
40,基本构造,11,JBGZ,4,basic_structure,15,jibengouzao,11
41,塔构造,10,TGZ,3,tower_structure,15,tagouzao,8
42,子因子,10,ZYZ,3,particle_factor,15,ziyinzi,7
43,平面代数,10,PMDS,4,plane_algebraic,15,pingmiandaishu,14
44,共形网,11,GXW,3,conformal_net,13,gongxingwang,12
45,局部量子物理代数,11,JBLZWLDS,8,local_quantum_physics_algebra,29,jubuliangziwulidaishu,21
46,哈格双对偶,11,HGSDO,5,haggard_double_duality,22,hageshuangduiou,15
47,核性,10,HX,2,nuclearity,10,hexing,6
48,精确性,11,JQX,3,accuracy,8,jingquexing,11
49,单纯性,10,DCX,3,simplicity,10,danchunxing,11
50,纯无限性,10,CWXX,4,pure_infinity,13,chunwuxianxing,14
51,稳定秩,10,WDZ,3,stable_rank,11,wendingzhi,10
52,实秩,11,SZ,2,real_rank,9,shizhi,6
53,布朗道格拉斯菲尔莫尔理论,11,BLDGLSFEMELL,12,brown_douglas_fillmore_theory,29,bulangdaogelasifeiermoerlilun,29
54,扩张半群,10,KZBQ,4,expanded_semigroup,18,kuozhangbanqun,14
55,卡斯帕罗夫双函子,11,KSPLFSHZ,8,kasparov_bifunctor,18,kasipaluofushuanghanzi,22
56,布朗格林里夫定理,12,BLGLLFDL,8,browngreenleaf_theorem,22,bulanggelinlifudingli,21
57,埃利奥特分类纲领,11,ALATFLGL,8,elliot_classification_scheme,28,ailiaotefenleigangling,22
58,克尔希贝格代数,11,KEXBGDS,7,kirchberg_algebra,17,keerxibeigedaishu,17
59,若尔当算子代数,10,REDSZDS,7,jordan_operator_algebra,23,ruoerdangsuanzidaishu,21
60,罗赫林性质,12,LHLXZ,5,rochlin_properties,18,luohelinxingzhi,15
61,近似内自同构,11,JSNZTG,6,approximate_internal_automorphism,33,jinshineizitonggou,18
