编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,高斯酉系综极限分布,10,GSYXZJXFB,9,random_matrix_theory_gaussian_unitary_ensemble_limiting_distribution,68,gaosiyouxizongjixianfenbu,25
2,高斯酉系综核函数,10,GSYXZHHS,8,random_matrix_theory_gaussian_unitary_ensemble_kernel_function,62,gaosiyouxizonghehanshu,22
3,高斯酉系综线性统计,10,GSYXZXXTJ,9,random_matrix_theory_gaussian_unitary_ensemble_linear_statistic,63,gaosiyouxizongxianxingtongji,28
4,高斯酉系综局部律,10,GSYXZJBL,8,random_matrix_theory_gaussian_unitary_ensemble_local_law,56,gaosiyouxizongjubulv,20
5,高斯酉系综普适性,10,GSYXZPSX,8,random_matrix_theory_gaussian_unitary_ensemble_universality,59,gaosiyouxizongpushixing,23
6,高斯酉系综特雷西威多姆律,10,GSYXZTLXWDML,12,random_matrix_theory_gaussian_unitary_ensemble_tracy_widom_law,62,gaosiyouxizongteleixiweiduomulv,31
7,高斯酉系综矩方法,10,GSYXZJFF,8,random_matrix_theory_gaussian_unitary_ensemble_moment_method,60,gaosiyouxizongjufangfa,22
8,高斯酉系综鞍点分析,10,GSYXZADFX,9,random_matrix_theory_gaussian_unitary_ensemble_saddle_point_analysis,68,gaosiyouxizongandianfenxi,25
9,高斯酉系综大偏差,10,GSYXZDPC,8,random_matrix_theory_gaussian_unitary_ensemble_large_deviation,62,gaosiyouxizongdapiancha,23
10,高斯酉系综谱密度,10,GSYXZPMD,8,random_matrix_theory_gaussian_unitary_ensemble_spectral_density,63,gaosiyouxizongpumidu,20
11,高斯正交系综极限分布,10,GSZJXZJXFB,10,random_matrix_theory_gaussian_orthogonal_ensemble_limiting_distribution,71,gaosizhengjiaoxizongjixianfenbu,31
12,高斯正交系综核函数,10,GSZJXZHHS,9,random_matrix_theory_gaussian_orthogonal_ensemble_kernel_function,65,gaosizhengjiaoxizonghehanshu,28
13,高斯正交系综线性统计,10,GSZJXZXXTJ,10,random_matrix_theory_gaussian_orthogonal_ensemble_linear_statistic,66,gaosizhengjiaoxizongxianxingtongji,34
14,高斯正交系综局部律,10,GSZJXZJBL,9,random_matrix_theory_gaussian_orthogonal_ensemble_local_law,59,gaosizhengjiaoxizongjubulv,26
15,高斯正交系综普适性,10,GSZJXZPSX,9,random_matrix_theory_gaussian_orthogonal_ensemble_universality,62,gaosizhengjiaoxizongpushixing,29
16,高斯正交系综特雷西威多姆律,10,GSZJXZTLXWDML,13,random_matrix_theory_gaussian_orthogonal_ensemble_tracy_widom_law,65,gaosizhengjiaoxizongteleixiweiduomulv,37
17,高斯正交系综矩方法,10,GSZJXZJFF,9,random_matrix_theory_gaussian_orthogonal_ensemble_moment_method,63,gaosizhengjiaoxizongjufangfa,28
18,高斯正交系综鞍点分析,10,GSZJXZADFX,10,random_matrix_theory_gaussian_orthogonal_ensemble_saddle_point_analysis,71,gaosizhengjiaoxizongandianfenxi,31
19,高斯正交系综大偏差,10,GSZJXZDPC,9,random_matrix_theory_gaussian_orthogonal_ensemble_large_deviation,65,gaosizhengjiaoxizongdapiancha,29
20,高斯正交系综谱密度,10,GSZJXZPMD,9,random_matrix_theory_gaussian_orthogonal_ensemble_spectral_density,66,gaosizhengjiaoxizongpumidu,26
21,高斯辛系综极限分布,10,GSXXZJXFB,9,random_matrix_theory_gaussian_symplectic_ensemble_limiting_distribution,71,gaosixinxizongjixianfenbu,25
22,高斯辛系综核函数,10,GSXXZHHS,8,random_matrix_theory_gaussian_symplectic_ensemble_kernel_function,65,gaosixinxizonghehanshu,22
23,高斯辛系综线性统计,10,GSXXZXXTJ,9,random_matrix_theory_gaussian_symplectic_ensemble_linear_statistic,66,gaosixinxizongxianxingtongji,28
24,高斯辛系综局部律,10,GSXXZJBL,8,random_matrix_theory_gaussian_symplectic_ensemble_local_law,59,gaosixinxizongjubulv,20
25,高斯辛系综普适性,10,GSXXZPSX,8,random_matrix_theory_gaussian_symplectic_ensemble_universality,62,gaosixinxizongpushixing,23
26,高斯辛系综特雷西威多姆律,10,GSXXZTLXWDML,12,random_matrix_theory_gaussian_symplectic_ensemble_tracy_widom_law,65,gaosixinxizongteleixiweiduomulv,31
27,高斯辛系综矩方法,10,GSXXZJFF,8,random_matrix_theory_gaussian_symplectic_ensemble_moment_method,63,gaosixinxizongjufangfa,22
28,高斯辛系综鞍点分析,10,GSXXZADFX,9,random_matrix_theory_gaussian_symplectic_ensemble_saddle_point_analysis,71,gaosixinxizongandianfenxi,25
29,高斯辛系综大偏差,10,GSXXZDPC,8,random_matrix_theory_gaussian_symplectic_ensemble_large_deviation,65,gaosixinxizongdapiancha,23
30,高斯辛系综谱密度,10,GSXXZPMD,8,random_matrix_theory_gaussian_symplectic_ensemble_spectral_density,66,gaosixinxizongpumidu,20
31,威沙特矩阵极限分布,10,WSTJZJXFB,9,random_matrix_theory_wishart_matrix_limiting_distribution,57,weishatejuzhenjixianfenbu,25
32,威沙特矩阵核函数,10,WSTJZHHS,8,random_matrix_theory_wishart_matrix_kernel_function,51,weishatejuzhenhehanshu,22
