编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,谱几何拉普拉斯算子外尔律,10,PJHLPLSSZWEL,12,spectral_geometry_laplace_operator_weyl_law,43,pujihelapulasisuanziwaierlv,27
2,谱几何拉普拉斯算子短时展开,10,PJHLPLSSZDSZK,13,spectral_geometry_laplace_operator_short_time_expansion,55,pujihelapulasisuanziduanshizhankai,34
3,谱几何拉普拉斯算子迹公式,10,PJHLPLSSZJGS,12,spectral_geometry_laplace_operator_trace_formula,48,pujihelapulasisuanzijigongshi,29
4,谱几何拉普拉斯算子几何反演,10,PJHLPLSSZJHFY,13,spectral_geometry_laplace_operator_geometric_inversion,54,pujihelapulasisuanzijihefanyan,30
5,谱几何拉普拉斯算子边界条件,10,PJHLPLSSZBJTJ,13,spectral_geometry_laplace_operator_boundary_condition,53,pujihelapulasisuanzibianjietiaojian,35
6,谱几何拉普拉斯算子热迹系数,10,PJHLPLSSZRJXS,13,spectral_geometry_laplace_operator_heat_trace_coefficient,57,pujihelapulasisuanzirejixishu,29
7,谱几何拉普拉斯算子谱刚性,10,PJHLPLSSZPGX,12,spectral_geometry_laplace_operator_spectral_rigidity,52,pujihelapulasisuanzipugangxing,30
8,谱几何拉普拉斯算子逆问题,10,PJHLPLSSZNWT,12,spectral_geometry_laplace_operator_inverse_problem,50,pujihelapulasisuanziniwenti,27
9,谱几何拉普拉斯算子测地闭轨,10,PJHLPLSSZCDBG,13,spectral_geometry_laplace_operator_closed_geodesic,50,pujihelapulasisuanzicedibigui,29
10,谱几何拉普拉斯算子半经典极限,10,PJHLPLSSZBJDJX,14,spectral_geometry_laplace_operator_semiclassical_limit,54,pujihelapulasisuanzibanjingdianjixian,37
11,谱几何热核外尔律,10,PJHRHWEL,8,spectral_geometry_heat_kernel_weyl_law,38,pujiherehewaierlv,17
12,谱几何热核短时展开,10,PJHRHDSZK,9,spectral_geometry_heat_kernel_short_time_expansion,50,pujihereheduanshizhankai,24
13,谱几何热核迹公式,10,PJHRHJGS,8,spectral_geometry_heat_kernel_trace_formula,43,pujiherehejigongshi,19
14,谱几何热核几何反演,10,PJHRHJHFY,9,spectral_geometry_heat_kernel_geometric_inversion,49,pujiherehejihefanyan,20
15,谱几何热核边界条件,10,PJHRHBJTJ,9,spectral_geometry_heat_kernel_boundary_condition,48,pujiherehebianjietiaojian,25
16,谱几何热核热迹系数,10,PJHRHRJXS,9,spectral_geometry_heat_kernel_heat_trace_coefficient,52,pujihereherejixishu,19
17,谱几何热核谱刚性,10,PJHRHPGX,8,spectral_geometry_heat_kernel_spectral_rigidity,47,pujiherehepugangxing,20
18,谱几何热核逆问题,10,PJHRHNWT,8,spectral_geometry_heat_kernel_inverse_problem,45,pujihereheniwenti,17
19,谱几何热核测地闭轨,10,PJHRHCDBG,9,spectral_geometry_heat_kernel_closed_geodesic,45,pujiherehecedibigui,19
20,谱几何热核半经典极限,10,PJHRHBJDJX,10,spectral_geometry_heat_kernel_semiclassical_limit,49,pujiherehebanjingdianjixian,27
21,谱几何波迹外尔律,10,PJHBJWEL,8,spectral_geometry_wave_trace_weyl_law,37,pujihebojiwaierlv,17
22,谱几何波迹短时展开,10,PJHBJDSZK,9,spectral_geometry_wave_trace_short_time_expansion,49,pujihebojiduanshizhankai,24
23,谱几何波迹迹公式,10,PJHBJJGS,8,spectral_geometry_wave_trace_trace_formula,42,pujihebojijigongshi,19
24,谱几何波迹几何反演,10,PJHBJJHFY,9,spectral_geometry_wave_trace_geometric_inversion,48,pujihebojijihefanyan,20
25,谱几何波迹边界条件,10,PJHBJBJTJ,9,spectral_geometry_wave_trace_boundary_condition,47,pujihebojibianjietiaojian,25
26,谱几何波迹热迹系数,10,PJHBJRJXS,9,spectral_geometry_wave_trace_heat_trace_coefficient,51,pujihebojirejixishu,19
27,谱几何波迹谱刚性,10,PJHBJPGX,8,spectral_geometry_wave_trace_spectral_rigidity,46,pujihebojipugangxing,20
28,谱几何波迹逆问题,10,PJHBJNWT,8,spectral_geometry_wave_trace_inverse_problem,44,pujihebojiniwenti,17
29,谱几何波迹测地闭轨,10,PJHBJCDBG,9,spectral_geometry_wave_trace_closed_geodesic,44,pujihebojicedibigui,19
30,谱几何波迹半经典极限,10,PJHBJBJDJX,10,spectral_geometry_wave_trace_semiclassical_limit,48,pujihebojibanjingdianjixian,27
31,谱几何谱不变量外尔律,10,PJHPBBLWEL,10,spectral_geometry_spectral_invariant_weyl_law,45,pujihepububianliangwaierlv,26
32,谱几何谱不变量短时展开,10,PJHPBBLDSZK,11,spectral_geometry_spectral_invariant_short_time_expansion,57,pujihepububianliangduanshizhankai,33
33,谱几何谱不变量迹公式,10,PJHPBBLJGS,10,spectral_geometry_spectral_invariant_trace_formula,50,pujihepububianliangjigongshi,28
34,谱几何谱不变量几何反演,10,PJHPBBLJHFY,11,spectral_geometry_spectral_invariant_geometric_inversion,56,pujihepububianliangjihefanyan,29
35,谱几何谱不变量边界条件,10,PJHPBBLBJTJ,11,spectral_geometry_spectral_invariant_boundary_condition,55,pujihepububianliangbianjietiaojian,34
36,谱几何谱不变量热迹系数,10,PJHPBBLRJXS,11,spectral_geometry_spectral_invariant_heat_trace_coefficient,59,pujihepububianliangrejixishu,28
37,谱几何谱不变量谱刚性,10,PJHPBBLPGX,10,spectral_geometry_spectral_invariant_spectral_rigidity,54,pujihepububianliangpugangxing,29
