编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,代数几何仿射簇局部环,9,DSJHFSCJBH,10,algebraic_geometry_affine_variety_local_ring,44,daishujihefangshecujubuhuan,27
2,代数几何仿射簇正则函数,9,DSJHFSCZZHS,11,algebraic_geometry_affine_variety_regular_function,50,daishujihefangshecuzhengzehanshu,32
3,代数几何仿射簇闭子概形,9,DSJHFSCBZGX,11,algebraic_geometry_affine_variety_closed_subscheme,50,daishujihefangshecubizigaixing,30
4,代数几何仿射簇切空间,9,DSJHFSCQKJ,10,algebraic_geometry_affine_variety_tangent_space,47,daishujihefangshecuqiekongjian,30
5,代数几何仿射簇维数理论,9,DSJHFSCWSLL,11,algebraic_geometry_affine_variety_dimension_theory,50,daishujihefangshecuweishulilun,30
6,代数几何仿射簇层化方法,9,DSJHFSCCHFF,11,algebraic_geometry_affine_variety_sheaf_method,46,daishujihefangshecucenghuafangfa,32
7,代数几何仿射簇交叉数,9,DSJHFSCJCS,10,algebraic_geometry_affine_variety_intersection_number,53,daishujihefangshecujiaochashu,29
8,代数几何仿射簇平坦性,9,DSJHFSCPTX,10,algebraic_geometry_affine_variety_flatness,42,daishujihefangshecupingtanxing,30
9,代数几何仿射簇分离性,9,DSJHFSCFLX,10,algebraic_geometry_affine_variety_separatedness,47,daishujihefangshecufenlixing,28
10,代数几何仿射簇基变换,9,DSJHFSCJBH,10,algebraic_geometry_affine_variety_base_change,45,daishujihefangshecujibianhuan,29
11,代数几何射影簇局部环,9,DSJHSYCJBH,10,algebraic_geometry_projective_variety_local_ring,48,daishujihesheyingcujubuhuan,27
12,代数几何射影簇正则函数,9,DSJHSYCZZHS,11,algebraic_geometry_projective_variety_regular_function,54,daishujihesheyingcuzhengzehanshu,32
13,代数几何射影簇闭子概形,9,DSJHSYCBZGX,11,algebraic_geometry_projective_variety_closed_subscheme,54,daishujihesheyingcubizigaixing,30
14,代数几何射影簇切空间,9,DSJHSYCQKJ,10,algebraic_geometry_projective_variety_tangent_space,51,daishujihesheyingcuqiekongjian,30
15,代数几何射影簇维数理论,9,DSJHSYCWSLL,11,algebraic_geometry_projective_variety_dimension_theory,54,daishujihesheyingcuweishulilun,30
16,代数几何射影簇层化方法,9,DSJHSYCCHFF,11,algebraic_geometry_projective_variety_sheaf_method,50,daishujihesheyingcucenghuafangfa,32
17,代数几何射影簇交叉数,9,DSJHSYCJCS,10,algebraic_geometry_projective_variety_intersection_number,57,daishujihesheyingcujiaochashu,29
18,代数几何射影簇平坦性,9,DSJHSYCPTX,10,algebraic_geometry_projective_variety_flatness,46,daishujihesheyingcupingtanxing,30
19,代数几何射影簇分离性,9,DSJHSYCFLX,10,algebraic_geometry_projective_variety_separatedness,51,daishujihesheyingcufenlixing,28
20,代数几何射影簇基变换,9,DSJHSYCJBH,10,algebraic_geometry_projective_variety_base_change,49,daishujihesheyingcujibianhuan,29
21,代数几何层局部环,9,DSJHCJBH,8,algebraic_geometry_sheaf_local_ring,35,daishujihecengjubuhuan,22
22,代数几何层正则函数,9,DSJHCZZHS,9,algebraic_geometry_sheaf_regular_function,41,daishujihecengzhengzehanshu,27
23,代数几何层闭子概形,9,DSJHCBZGX,9,algebraic_geometry_sheaf_closed_subscheme,41,daishujihecengbizigaixing,25
24,代数几何层切空间,9,DSJHCQKJ,8,algebraic_geometry_sheaf_tangent_space,38,daishujihecengqiekongjian,25
25,代数几何层维数理论,9,DSJHCWSLL,9,algebraic_geometry_sheaf_dimension_theory,41,daishujihecengweishulilun,25
26,代数几何层层化方法,9,DSJHCCHFF,9,algebraic_geometry_sheaf_sheaf_method,37,daishujihecengcenghuafangfa,27
27,代数几何层交叉数,9,DSJHCJCS,8,algebraic_geometry_sheaf_intersection_number,44,daishujihecengjiaochashu,24
28,代数几何层平坦性,9,DSJHCPTX,8,algebraic_geometry_sheaf_flatness,33,daishujihecengpingtanxing,25
29,代数几何层分离性,9,DSJHCFLX,8,algebraic_geometry_sheaf_separatedness,38,daishujihecengfenlixing,23
30,代数几何层基变换,9,DSJHCJBH,8,algebraic_geometry_sheaf_base_change,36,daishujihecengjibianhuan,24
31,代数几何概形局部环,9,DSJHGXJBH,9,algebraic_geometry_scheme_local_ring,36,daishujihegaixingjubuhuan,25
32,代数几何概形正则函数,9,DSJHGXZZHS,10,algebraic_geometry_scheme_regular_function,42,daishujihegaixingzhengzehanshu,30
33,代数几何概形闭子概形,9,DSJHGXBZGX,10,algebraic_geometry_scheme_closed_subscheme,42,daishujihegaixingbizigaixing,28
