编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,光滑流形,7,GHLX,4,smooth_manifold,15,guanghualiuxing,15
2,切空间,7,QKJ,3,cut_space,9,qiekongjian,11
3,余切空间,7,YQKJ,4,cotangent_space,15,yuqiekongjian,13
4,切丛,8,QC,2,tangent_bundle,14,qiecong,7
5,余切丛,7,YQC,3,cotangent_bundle,16,yuqiecong,9
6,向量场,7,XLC,3,vector_field,12,xiangliangchang,15
7,微分形式,7,WFXS,4,differential_form,17,weifenxingshi,13
8,外微分,7,WWF,3,external_differential,21,waiweifen,9
9,楔积,8,XJ,2,wedge_product,13,xieji,5
10,李括号,7,LKH,3,lie_bracket,11,likuohao,8
11,李导数,7,LDS,3,lie_derivative,14,lidaoshu,8
12,流形映射,7,LXYS,4,manifold_map,12,liuxingyingshe,14
13,浸入,7,JR,2,immersion,9,jinru,5
14,淹没,7,YM,2,drown,5,yanmei,6
15,子流形,7,ZLX,3,particle_manifold,17,ziliuxing,9
16,正则值,7,ZZZ,3,regular_value,13,zhengzezhi,10
17,萨德定理,7,SDDL,4,sade_theorem,12,sadedingli,10
18,弗罗贝尼乌斯定理,9,FLBNWSDL,8,frobenius_theorem,17,fuluobeiniwusidingli,20
19,分布,7,FB,2,distribution,12,fenbu,5
20,叶状结构,7,YZJG,4,leaf_like_structure,19,yezhuangjiegou,14
21,黎曼度量,7,LMDL,4,riemann_metric,14,limanduliang,12
22,伪黎曼度量,8,WLMDL,5,pseudo_riemannian_metric,24,weilimanduliang,15
23,联络,8,LL,2,contact,7,lianluo,7
24,仿射联络,7,FSLL,4,affine_liaison,14,fangshelianluo,14
25,列维奇维塔联络,8,LWQWTLL,7,levich_vita_contact,19,lieweiqiweitalianluo,20
26,协变导数,7,XBDS,4,covariant_derivative,20,xiebiandaoshu,13
27,平行移动,7,PXYD,4,parallel_movement,17,pingxingyidong,14
28,测地线,8,CDX,3,geodesic,8,cedixian,8
29,指数映射,7,ZSYS,4,exponent_map,12,zhishuyingshe,13
30,对数映射,7,DSYS,4,logarithmic_mapping,19,duishuyingshe,13
31,割迹,7,GJ,2,cut_trace,9,geji,4
32,共轭点,7,GED,3,conjugate_point,15,gongedian,9
33,雅可比场,8,YKBC,4,jacobian_field,14,yakebichang,11
34,曲率张量,7,QLZL,4,curvature_tensor,16,qulvzhangliang,14
35,截面曲率,7,JMQL,4,section_curvature,17,jiemianqulv,11
36,黎奇曲率,7,LQQL,4,ricci_curvature,15,liqiqulv,8
37,标量曲率,7,BLQL,4,scalar_curvature,16,biaoliangqulv,13
38,曲率算子,8,QLSZ,4,curvature_operator,18,qulvsuanzi,10
39,比安基恒等式,8,BAJHDS,6,bianchi_identity,16,bianjihengdengshi,17
40,测地完备性,8,CDWBX,5,geodesic_completeness,21,cediwanbeixing,14
41,霍普夫里诺定理,8,HPFLNDL,7,hopfrino_theorem,16,huopufulinuodingli,18
42,第一变分公式,8,DYBFGS,6,first_variation_formula,23,diyibianfengongshi,18
43,第二变分公式,9,DEBFGS,6,second_variation_formula,24,dierbianfengongshi,18
44,拉普拉斯贝尔特拉米算子,8,LPLSBETLMSZ,11,laplacian_beltrami_operator,27,lapulasibeiertelamisuanzi,25
45,调和函数,7,DHHS,4,harmonic_function,17,diaohehanshu,12
46,热核,7,RH,2,thermal_kernel,14,rehe,4
47,体积比较定理,9,TJBJDL,6,volume_comparison_theorem,25,tijibijiaodingli,16
48,邦内迈尔斯定理,8,BNMESDL,7,bonne_myers_theorem,19,bangneimaiersidingli,20
49,拉普拉斯比较定理,8,LPLSBJDL,8,laplace_comparison_theorem,26,lapulasibijiaodingli,20
50,切格常数,7,QGCS,4,tangential_constant,19,qiegechangshu,13
51,索伯列夫不等式,8,SBLFBDS,7,sobolev_inequality,18,suoboliefubudengshi,19
52,等周不等式,9,DZBDS,5,equal_period_inequality,23,dengzhoubudengshi,17
53,最小曲面,7,ZXQM,4,minimal_surface,15,zuixiaoqumian,13
54,平均曲率,7,PJQL,4,average_curvature,17,pingjunqulv,11
55,第二基本形式,8,DEJBXS,6,second_basic_form,17,dierjibenxingshi,16
56,高斯方程,7,GSFC,4,gauss_equation,14,gaosifangcheng,14
57,科达齐方程,9,KDQFC,5,cordazzi_equation,17,kedaqifangcheng,15
58,里奇流,7,LQL,3,rich_flow,9,liqiliu,7
59,平均曲率流,8,PJQLL,5,mean_curvature_flow,19,pingjunqulvliu,14
60,极小子流形,8,JXZLX,5,minimal_particle_manifold,25,jixiaoziliuxing,15
61,辛流形,7,XLX,3,symplectic_manifold,19,xinliuxing,10
62,辛形式,8,XXS,3,symplectic_form,15,xinxingshi,10
63,达布定理,7,DBDL,4,darboux_theorem,15,dabudingli,10
