编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,场论,8,CL,2,field_theory,12,changlun,8
2,域,6,Y,1,field,5,yu,2
3,子域,8,ZY,2,subfield,8,ziyu,4
4,素域,8,SY,2,prime_field,11,suyu,4
5,扩域,6,KY,2,field_extension,15,kuoyu,5
6,代数扩张,8,DSKZ,4,algebraic_extension,19,daishukuozhang,14
7,超越扩张,8,CYKZ,4,transcendental_extension,24,chaoyuekuozhang,15
8,有限扩张,8,YXKZ,4,finite_extension,16,youxiankuozhang,15
9,无限扩张,8,WXKZ,4,infinite_extension,18,wuxiankuozhang,14
10,扩张次数,8,KZCS,4,degree_of_extension,19,kuozhangcishu,13
11,代数元,8,DSY,3,algebraic_element,17,daishuyuan,10
12,超越元,8,CYY,3,transcendental_element,22,chaoyueyuan,11
13,最小多项式,9,ZXDXS,5,minimal_polynomial,18,zuixiaoduoxiangshi,18
14,共轭元,8,GEY,3,conjugate_element,17,gongeyuan,9
15,分裂域,8,FLY,3,splitting_field,15,fenlieyu,8
16,正规扩张,10,ZGKZ,4,normal_extension,16,zhengguikuozhang,16
17,可分扩张,10,KFKZ,4,separable_extension,19,kefenkuozhang,13
18,不可分扩张,10,BKFKZ,5,inseparable_extension,21,bukefenkuozhang,15
19,伽罗瓦扩张,10,GLWKZ,5,galois_extension,16,galuowakuozhang,15
20,伽罗瓦群,10,GLWQ,4,galois_group,12,galuowaqun,10
21,伽罗瓦对应,10,GLWDY,5,galois_correspondence,21,galuowaduiying,14
22,固定域,8,GDY,3,fixed_field,11,gudingyu,8
23,有限域,8,YXY,3,finite_field,12,youxianyu,9
24,代数闭包,8,DSBB,4,algebraic_closure,17,daishubibao,11
25,代数闭域,8,DSBY,4,algebraically_closed_field,26,daishubiyu,10
26,特征,8,TZ,2,characteristic,14,tezheng,7
27,本原元,8,BYY,3,primitive_element,17,benyuanyuan,11
28,本原元定理,10,BYYDL,5,primitive_element_theorem,25,benyuanyuandingli,17
29,迹,8,J,1,trace,5,ji,2
30,范数,8,FS,2,norm,4,fanshu,6
31,迹映射,8,JYS,3,trace_map,9,jiyingshe,9
32,范数映射,8,FSYS,4,norm_map,8,fanshuyingshe,13
33,根式扩张,8,GSKZ,4,radical_extension,17,genshikuozhang,14
34,可解扩张,8,KJKZ,4,solvable_extension,18,kejiekuozhang,13
35,分圆域,8,FYY,3,cyclotomic_field,16,fenyuanyu,9
36,完备域,8,WBY,3,complete_field,14,wanbeiyu,8
37,赋值,8,FZ,2,valuation,9,fuzhi,5
38,局部域,8,JBY,3,local_field,11,jubuyu,6
39,全局域,8,QJY,3,global_field,12,quanjuyu,8
40,域同态,8,YTT,3,field_homomorphism,18,yutongtai,9
41,域同构,8,YTG,3,field_isomorphism,17,yutonggou,9
42,嵌入,8,QR,2,embedding,9,qianru,6
43,可分闭包,10,KFBB,4,separable_closure,17,kefenbibao,10
44,正规闭包,10,ZGBB,4,normal_closure,14,zhengguibibao,13
45,纯不可分扩张,10,CBKFKZ,6,purely_inseparable_extension,28,chunbukefenkuozhang,19
46,单扩张,8,DKZ,3,simple_extension,16,dankuozhang,11
47,有限生成扩张,9,YXSCKZ,6,finitely_generated_extension,28,youxianshengchengkuozhang,25
