编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,泛函分析,9,FHFX,4,functional_fen_xi,17,fanhanfenxi,11
2,赋范空间,8,FFKJ,4,fu_fan_space,12,fufankongjian,13
3,巴拿赫空间,8,BNHKJ,5,ba_na_he_space,14,banahekongjian,14
4,希尔伯特空间,8,XEBTKJ,6,xi_er_bo_te_space,17,xierbotekongjian,16
5,有界线性算子,8,YJXXSZ,6,bounded_linear_operator,23,youjiexianxingsuanzi,20
6,算子范数,8,SZFS,4,operator_fan_shu,16,suanzifanshu,12
7,弱收敛,9,RSL,3,weak_convergence,16,ruoshoulian,11
8,Hahn-Banach定理,9,HAHNBANACHDL,12,hahn_banach_theorem,19,HahnBanachdingli,16
9,闭图像定理,9,BTXDL,5,closed_graph_theorem,20,bituxiangdingli,15
10,Banach空间,9,BANACHKJ,8,banach_space,12,Banachkongjian,14
11,Hilbert空间,9,HILBERTKJ,9,hilbert_space,13,Hilbertkongjian,15
12,赋范线性空间,9,FFXXKJ,6,fu_fan_linear_space,19,fufanxianxingkongjian,21
13,半范空间,9,BFKJ,4,ban_fan_space,13,banfankongjian,14
14,Fréchet空间,9,FRÉCHETKJ,9,fr_chet_space,13,Fréchetkongjian,15
15,局部凸空间,9,JBTKJ,5,ju_bu_tu_space,14,jubutukongjian,14
16,自反空间,9,ZFKJ,4,reflexive_space,15,zifankongjian,13
17,一致凸空间,9,YZTKJ,5,yi_zhi_tu_space,15,yizhitukongjian,15
18,严格凸空间,9,YGTKJ,5,yan_ge_tu_space,15,yangetukongjian,15
19,双对偶空间,9,SDOKJ,5,shuang_dual_space,17,shuangduioukongjian,19
20,弱拓扑,9,RTP,3,weak_tuo_pu,11,ruotuopu,8
21,弱星拓扑,9,RXTP,4,weak_star_tuo_pu,16,ruoxingtuopu,12
22,弱星收敛,9,RXSL,4,weak_star_convergence,21,ruoxingshoulian,15
23,强收敛,9,QSL,3,strong_convergence,18,qiangshoulian,13
24,紧算子,9,JSZ,3,compact_operator,16,jinsuanzi,9
25,自伴算子,9,ZBSZ,4,self_adjoint_operator,21,zibansuanzi,11
26,正规算子,9,ZGSZ,4,normal_operator,15,zhengguisuanzi,14
27,酉算子,9,YSZ,3,unitary_operator,16,yousuanzi,9
28,投影算子,9,TYSZ,4,projection_operator,19,touyingsuanzi,13
29,闭算子,9,BSZ,3,bi_operator,11,bisuanzi,8
30,稠定算子,9,CDSZ,4,chou_ding_operator,18,choudingsuanzi,14
31,无界算子,9,WJSZ,4,unbounded_operator,18,wujiesuanzi,11
32,点谱,9,DP,2,point_spectrum,14,dianpu,6
33,连续谱,9,LXP,3,continuous_spectrum,19,lianxupu,8
34,剩余谱,9,SYP,3,residual_spectrum,17,shengyupu,9
35,谱分解,9,PFJ,3,pu_fen_solution,15,pufenjie,8
36,预解算子,9,YJSZ,4,yu_solution_operator,20,yujiesuanzi,11
37,Resolvent集,9,RESOLVENTJ,10,resolvent_ji,12,Resolventji,11
38,Fredholm算子,9,FREDHOLMSZ,10,fredholm_operator,17,Fredholmsuanzi,14
39,Fredholm指数,9,FREDHOLMZS,10,fredholm_zhi_shu,16,Fredholmzhishu,14
40,Volterra算子,9,VOLTERRASZ,10,volterra_operator,17,Volterrasuanzi,14
41,HilbertSchmidt算子,9,HILBERTSCHMIDTSZ,16,hilbert_schmidt_operator,24,HilbertSchmidtsuanzi,20
42,迹类算子,9,JLSZ,4,ji_lei_operator,15,jileisuanzi,11
43,紧嵌入,9,JQR,3,compact_qian_ru,15,jinqianru,9
44,弱紧性,9,RJX,3,weak_compact_xing,17,ruojinxing,10
45,Alaoglu定理,9,ALAOGLUDL,9,alaoglu_theorem,15,Alaogludingli,13
46,HahnBanach定理,9,HAHNBANACHDL,12,hahn_banach_theorem,19,HahnBanachdingli,16
47,一致有界原理,9,YZYJYL,6,uniform_boundedness_principle,29,yizhiyoujieyuanli,17
48,BanachSteinhaus定理,9,BANACHSTEINHAUSDL,17,banach_steinhaus_theorem,24,BanachSteinhausdingli,21
49,Riesz引理,9,RIESZYL,7,riesz_yin_li,12,Rieszyinli,10
50,LaxMilgram定理,9,LAXMILGRAMDL,12,laxmilgram_theorem,18,LaxMilgramdingli,16
51,投影定理,9,TYDL,4,projection_theorem,18,touyingdingli,13
52,正交分解,9,ZJFJ,4,zheng_jiao_fen_solution,23,zhengjiaofenjie,15
53,正交补,9,ZJB,3,zheng_jiao_bu,13,zhengjiaobu,11
54,完备正交系,9,WBZJX,5,wan_bei_zheng_jiao_xi,21,wanbeizhengjiaoxi,17
55,Fourier系数泛函,9,FOURIERXSFH,11,fourier_xi_shu_functional,25,Fourierxishufanhan,18
56,基底展开,9,JDZK,4,ji_di_zhan_kai,14,jidizhankai,11
57,Schauder基,9,SCHAUDERJ,9,schauder_ji,11,Schauderji,10
58,无条件基,9,WTJJ,4,wu_condition_ji,15,wutiaojianji,12
59,紧性判别,9,JXPB,4,compact_xing_pan_bie,20,jinxingpanbie,13
60,对偶配对,9,DOPD,4,dual_pei_dui,12,duioupeidui,11
61,弱导数泛函,9,RDSFH,5,weak_derivative_functional,26,ruodaoshufanhan,15
62,分布空间,9,FBKJ,4,distribution_space,18,fenbukongjian,13
63,Sobolev空间嵌入,9,SOBOLEVKJQR,11,sobolev_space_qian_ru,21,Sobolevkongjianqianru,21
64,Bochner空间,9,BOCHNERKJ,9,bochner_space,13,Bochnerkongjian,15
65,半群生成元,9,BQSCY,5,semigroup_generator,19,banqunshengchengyuan,20
66,强连续半群,9,QLXBQ,5,strong_continuity_semigroup,27,qianglianxubanqun,17
67,收缩半群,9,SSBQ,4,shou_suo_semigroup,18,shousuobanqun,13
68,谱定理,9,PDL,3,pu_theorem,10,pudingli,8
69,函数演算,9,HSYS,4,function_yan_suan,17,hanshuyansuan,13
70,变分不等式,9,BFBDS,5,bian_fen_inequality,19,bianfenbudengshi,16
71,凸泛函,9,TFH,3,tu_functional,13,tufanhan,8
72,次微分,9,CWF,3,ci_wei_fen,10,ciweifen,8
73,极小化泛函,9,JXHFH,5,ji_xiao_hua_functional,22,jixiaohuafanhan,15
74,Gateaux导数,9,GATEAUXDS,9,gateaux_derivative,18,Gateauxdaoshu,13
75,Frechet导数,9,FRECHETDS,9,frechet_derivative,18,Frechetdaoshu,13
76,Banach空间结构,8,BANACHKJJG,10,banach_space_jie_gou,20,Banachkongjianjiegou,20
77,Banach拓扑,8,BANACHTP,8,banach_tuo_pu,13,Banachtuopu,11
78,Banach收敛,8,BANACHSL,8,banach_convergence,18,Banachshoulian,14
79,Banach紧性,8,BANACHJX,8,banach_compact_xing,19,Banachjinxing,13
80,Hilbert空间结构,8,HILBERTKJJG,11,hilbert_space_jie_gou,21,Hilbertkongjianjiegou,21
81,Hilbert拓扑,8,HILBERTTP,9,hilbert_tuo_pu,14,Hilberttuopu,12
82,Hilbert收敛,8,HILBERTSL,9,hilbert_convergence,19,Hilbertshoulian,15
83,Hilbert紧性,8,HILBERTJX,9,hilbert_compact_xing,20,Hilbertjinxing,14
84,局部凸空间结构,8,JBTKJJG,7,ju_bu_tu_space_jie_gou,22,jubutukongjianjiegou,20
85,局部凸拓扑,8,JBTTP,5,ju_bu_tu_tuo_pu,15,jubututuopu,11
86,局部凸收敛,8,JBTSL,5,ju_bu_tu_convergence,20,jubutushoulian,14
87,局部凸紧性,8,JBTJX,5,ju_bu_tu_compact_xing,21,jubutujinxing,13
88,对偶空间结构,8,DOKJJG,6,dual_space_jie_gou,18,duioukongjianjiegou,19
89,对偶拓扑,8,DOTP,4,dual_tuo_pu,11,duioutuopu,10
90,对偶收敛,8,DOSL,4,dual_convergence,16,duioushoulian,13
91,对偶紧性,8,DOJX,4,dual_compact_xing,17,duioujinxing,12
