编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,群论,8,QL,2,group_theory,12,qunlun,6
2,群,6,Q,1,group,5,qun,3
3,半群,8,BQ,2,semigroup,9,banqun,6
4,幺半群,8,YBQ,3,monoid,6,yaobanqun,9
5,子群,6,ZQ,2,subgroup,8,ziqun,5
6,真子群,8,ZZQ,3,proper_subgroup,15,zhenziqun,9
7,循环群,8,XHQ,3,cyclic_group,12,xunhuanqun,10
8,阿贝尔群,8,ABEQ,4,abelian_group,13,abeierqun,9
9,有限群,8,YXQ,3,finite_group,12,youxianqun,10
10,无限群,8,WXQ,3,infinite_group,14,wuxianqun,9
11,群元,8,QY,2,group_element,13,qunyuan,7
12,单位元,8,DWY,3,identity_element,16,danweiyuan,10
13,逆元,8,NY,2,inverse_element,15,niyuan,6
14,阶,8,J,1,order,5,jie,3
15,元素的阶,8,YSDJ,4,order_of_element,16,yuansudejie,11
16,陪集,8,PJ,2,coset,5,peiji,5
17,左陪集,8,ZPJ,3,left_coset,10,zuopeiji,8
18,右陪集,8,YPJ,3,right_coset,11,youpeiji,8
19,正规子群,10,ZGZQ,4,normal_subgroup,15,zhengguiziqun,13
20,商群,8,SQ,2,quotient_group,14,shangqun,8
21,同态,8,TT,2,homomorphism,12,tongtai,7
22,同构,8,TG,2,isomorphism,11,tonggou,7
23,自同构,8,ZTG,3,automorphism,12,zitonggou,9
24,核,8,H,1,kernel,6,he,2
25,像,8,X,1,image,5,xiang,5
26,拉格朗日定理,10,LGLRDL,6,lagrange_theorem,16,lagelangridingli,16
27,群作用,8,QZY,3,group_action,12,qunzuoyong,10
28,轨道,8,GD,2,orbit,5,guidao,6
29,稳定子,8,WDZ,3,stabilizer,10,wendingzi,9
30,共轭类,8,GEL,3,conjugacy_class,15,gongelei,8
31,中心,8,ZX,2,center,6,zhongxin,8
32,中心化子,10,ZXHZ,4,centralizer,11,zhongxinhuazi,13
33,正规化子,8,ZGHZ,4,normalizer,10,zhengguihuazi,13
34,对称群,8,DCQ,3,symmetric_group,15,duichenqun,10
35,交错群,8,JCQ,3,alternating_group,17,jiaocuoqun,10
36,置换,8,ZH,2,permutation,11,zhihuan,7
37,置换群,8,ZHQ,3,permutation_group,17,zhihuanqun,10
38,直积,8,ZJ,2,direct_product,14,zhiji,5
39,半直积,8,BZJ,3,semidirect_product,18,banzhiji,8
40,西罗定理,9,XLDL,4,sylow_theorem,13,xiluodingli,11
41,可解群,8,KJQ,3,solvable_group,14,kejiequn,8
42,单群,8,DQ,2,simple_group,12,danqun,6
43,表示,9,BS,2,representation,14,biaoshi,7
44,群表示,9,QBS,3,group_representation,20,qunbiaoshi,10
45,特征标,8,TZB,3,character,9,tezhengbiao,11
46,群运算,8,QYS,3,group_operation,15,qunyunsuan,10
47,结合律,8,JHL,3,associative_law,15,jiehelv,7
48,生成子群,8,SCZQ,4,generated_subgroup,18,shengchengziqun,15
49,生成集,8,SCJ,3,generating_set,14,shengchengji,12
50,换位子,8,HWZ,3,commutator,10,huanweizi,9
51,换位子群,8,HWZQ,4,commutator_subgroup,19,huanweiziqun,12
52,导群,8,DQ,2,derived_group,13,daoqun,6
53,导列,8,DL,2,derived_series,14,daolie,6
54,上中心列,8,SZXL,4,upper_central_series,20,shangzhongxinlie,16
55,下中心列,8,XZXL,4,lower_central_series,20,xiazhongxinlie,14
56,幂零群,8,MLQ,3,nilpotent_group,15,milingqun,9
57,自由群,8,ZYQ,3,free_group,10,ziyouqun,8
58,自由阿贝尔群,9,ZYABEQ,6,free_abelian_group,18,ziyouabeierqun,14
59,群的表示,10,QDBS,4,presentation_of_group,21,qundebiaoshi,12
60,生成元与关系,9,SCYYGX,6,generators_and_relations,24,shengchengyuanyuguanxi,22
61,直和,8,ZH,2,direct_sum,10,zhihe,5
62,内直积,8,NZJ,3,internal_direct_product,23,neizhiji,8
63,外直积,8,WZJ,3,external_direct_product,23,waizhiji,8
64,群同态基本定理,10,QTTJBDL,7,fundamental_theorem_of_group_homomorphism,41,quntongtaijibendingli,21
65,第一同构定理,10,DYTGDL,6,first_isomorphism_theorem,25,diyitonggoudingli,17
66,第二同构定理,10,DETGDL,6,second_isomorphism_theorem,26,diertonggoudingli,17
67,第三同构定理,10,DSTGDL,6,third_isomorphism_theorem,25,disantonggoudingli,18
68,自同构群,8,ZTGQ,4,automorphism_group,18,zitonggouqun,12
69,内自同构,8,NZTG,4,inner_automorphism,18,neizitonggou,12
70,外自同构,8,WZTG,4,outer_automorphism,18,waizitonggou,12
71,共轭作用,8,GEZY,4,conjugation_action,18,gongezuoyong,12
72,类方程,9,LFC,3,class_equation,14,leifangcheng,12
73,p群,8,PQ,2,p_group,7,pqun,4
74,西罗子群,8,XLZQ,4,sylow_subgroup,14,xiluoziqun,10
75,正规列,9,ZGL,3,normal_series,13,zhengguilie,11
76,组成列,8,ZCL,3,composition_series,18,zuchenglie,10
77,若尔当赫尔德定理,10,REDHEDDL,8,jordan_holder_theorem,21,ruoerdangheerdedingli,21
78,可解列,8,KJL,3,solvable_series,15,kejielie,8
79,换位子长度,9,HWZCD,5,commutator_length,17,huanweizichangdu,16
80,单同态,8,DTT,3,monomorphism,12,dantongtai,10
81,满同态,8,MTT,3,epimorphism,11,mantongtai,10
82,同态像,8,TTX,3,homomorphic_image,17,tongtaixiang,12
83,反同构,8,FTG,3,anti_isomorphism,16,fantonggou,10
84,二面体群,8,EMTQ,4,dihedral_group,14,ermiantiqun,11
85,四元数群,8,SYSQ,4,quaternion_group,16,siyuanshuqun,12
86,克莱因四元群,9,KLYSYQ,6,klein_four_group,16,kelaiyinsiyuanqun,17
87,矩阵群,8,JZQ,3,matrix_group,12,juzhenqun,9
88,一般线性群,9,YBXXQ,5,general_linear_group,20,yibanxianxingqun,16
89,特殊线性群,9,TSXXQ,5,special_linear_group,20,teshuxianxingqun,16
90,正交群,8,ZJQ,3,orthogonal_group,16,zhengjiaoqun,12
91,酉群,8,YQ,2,unitary_group,13,youqun,6
92,环的单位群,9,HDDWQ,5,unit_group_of_ring,18,huandedanweiqun,15
93,左作用,8,ZZY,3,left_action,11,zuozuoyong,10
94,右作用,8,YZY,3,right_action,12,youzuoyong,10
95,传递作用,8,CDZY,4,transitive_action,17,chuandizuoyong,14
96,忠实作用,8,ZSZY,4,faithful_action,15,zhongshizuoyong,15
97,诱导表示,10,YDBS,4,induced_representation,22,youdaobiaoshi,13
98,不可约表示,10,BKYBS,5,irreducible_representation,26,bukeyuebiaoshi,14
99,正则表示,10,ZZBS,4,regular_representation,22,zhengzebiaoshi,14
100,舒尔引理,8,SEYL,4,schur_lemma,11,shueryinli,10
