编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,链复形边界算子,9,LFXBJSZ,7,homological_algebra_chain_complex_boundary_operator,51,lianfuxingbianjiesuanzi,23
2,链复形链映射,9,LFXLYS,6,homological_algebra_chain_complex_chain_map,43,lianfuxinglianyingshe,21
3,链复形同伦等价,9,LFXTLDJ,7,homological_algebra_chain_complex_homotopy_equivalence,54,lianfuxingtonglundengjia,24
4,链复形长正合列,9,LFXZZHL,7,homological_algebra_chain_complex_long_exact_sequence,53,lianfuxingzhangzhenghelie,25
5,链复形谱序列,9,LFXPXL,6,homological_algebra_chain_complex_spectral_sequence,51,lianfuxingpuxulie,17
6,链复形分辨率,9,LFXFBL,6,homological_algebra_chain_complex_resolution,44,lianfuxingfenbianlv,19
7,链复形五引理,9,LFXWYL,6,homological_algebra_chain_complex_five_lemma,44,lianfuxingwuyinli,17
8,链复形蛇引理,9,LFXSYL,6,homological_algebra_chain_complex_snake_lemma,45,lianfuxingsheyinli,18
9,链复形三角引理,9,LFXSJYL,7,homological_algebra_chain_complex_triangle_lemma,48,lianfuxingsanjiaoyinli,22
10,链复形阿贝尔范畴,9,LFXABEFC,8,homological_algebra_chain_complex_abelian_category,50,lianfuxingabeierfanchou,23
11,上链复形边界算子,9,SLFXBJSZ,8,homological_algebra_cochain_complex_boundary_operator,53,shanglianfuxingbianjiesuanzi,28
12,上链复形链映射,9,SLFXLYS,7,homological_algebra_cochain_complex_chain_map,45,shanglianfuxinglianyingshe,26
13,上链复形同伦等价,9,SLFXTLDJ,8,homological_algebra_cochain_complex_homotopy_equivalence,56,shanglianfuxingtonglundengjia,29
14,上链复形长正合列,9,SLFXZZHL,8,homological_algebra_cochain_complex_long_exact_sequence,55,shanglianfuxingzhangzhenghelie,30
15,上链复形谱序列,9,SLFXPXL,7,homological_algebra_cochain_complex_spectral_sequence,53,shanglianfuxingpuxulie,22
16,上链复形分辨率,9,SLFXFBL,7,homological_algebra_cochain_complex_resolution,46,shanglianfuxingfenbianlv,24
17,上链复形五引理,9,SLFXWYL,7,homological_algebra_cochain_complex_five_lemma,46,shanglianfuxingwuyinli,22
18,上链复形蛇引理,9,SLFXSYL,7,homological_algebra_cochain_complex_snake_lemma,47,shanglianfuxingsheyinli,23
19,上链复形三角引理,9,SLFXSJYL,8,homological_algebra_cochain_complex_triangle_lemma,50,shanglianfuxingsanjiaoyinli,27
20,上链复形阿贝尔范畴,9,SLFXABEFC,9,homological_algebra_cochain_complex_abelian_category,52,shanglianfuxingabeierfanchou,28
21,同调群边界算子,9,TDQBJSZ,7,homological_algebra_homology_group_boundary_operator,52,tongdiaoqunbianjiesuanzi,24
22,同调群链映射,9,TDQLYS,6,homological_algebra_homology_group_chain_map,44,tongdiaoqunlianyingshe,22
23,同调群同伦等价,9,TDQTLDJ,7,homological_algebra_homology_group_homotopy_equivalence,55,tongdiaoquntonglundengjia,25
24,同调群长正合列,9,TDQZZHL,7,homological_algebra_homology_group_long_exact_sequence,54,tongdiaoqunzhangzhenghelie,26
25,同调群谱序列,9,TDQPXL,6,homological_algebra_homology_group_spectral_sequence,52,tongdiaoqunpuxulie,18
26,同调群分辨率,9,TDQFBL,6,homological_algebra_homology_group_resolution,45,tongdiaoqunfenbianlv,20
27,同调群五引理,9,TDQWYL,6,homological_algebra_homology_group_five_lemma,45,tongdiaoqunwuyinli,18
28,同调群蛇引理,9,TDQSYL,6,homological_algebra_homology_group_snake_lemma,46,tongdiaoqunsheyinli,19
29,同调群三角引理,9,TDQSJYL,7,homological_algebra_homology_group_triangle_lemma,49,tongdiaoqunsanjiaoyinli,23
30,同调群阿贝尔范畴,9,TDQABEFC,8,homological_algebra_homology_group_abelian_category,51,tongdiaoqunabeierfanchou,24
31,上同调群边界算子,9,STDQBJSZ,8,homological_algebra_cohomology_group_boundary_operator,54,shangtongdiaoqunbianjiesuanzi,29
32,上同调群链映射,9,STDQLYS,7,homological_algebra_cohomology_group_chain_map,46,shangtongdiaoqunlianyingshe,27
33,上同调群同伦等价,9,STDQTLDJ,8,homological_algebra_cohomology_group_homotopy_equivalence,57,shangtongdiaoquntonglundengjia,30
34,上同调群长正合列,9,STDQZZHL,8,homological_algebra_cohomology_group_long_exact_sequence,56,shangtongdiaoqunzhangzhenghelie,31
35,上同调群谱序列,9,STDQPXL,7,homological_algebra_cohomology_group_spectral_sequence,54,shangtongdiaoqunpuxulie,23
36,上同调群分辨率,9,STDQFBL,7,homological_algebra_cohomology_group_resolution,47,shangtongdiaoqunfenbianlv,25
37,上同调群五引理,9,STDQWYL,7,homological_algebra_cohomology_group_five_lemma,47,shangtongdiaoqunwuyinli,23
38,上同调群蛇引理,9,STDQSYL,7,homological_algebra_cohomology_group_snake_lemma,48,shangtongdiaoqunsheyinli,24
39,上同调群三角引理,9,STDQSJYL,8,homological_algebra_cohomology_group_triangle_lemma,51,shangtongdiaoqunsanjiaoyinli,28
40,上同调群阿贝尔范畴,9,STDQABEFC,9,homological_algebra_cohomology_group_abelian_category,53,shangtongdiaoqunabeierfanchou,29
41,正合列边界算子,9,ZHLBJSZ,7,homological_algebra_exact_sequence_boundary_operator,52,zhengheliebianjiesuanzi,23
42,正合列链映射,9,ZHLLYS,6,homological_algebra_exact_sequence_chain_map,44,zhenghelielianyingshe,21
43,正合列同伦等价,9,ZHLTLDJ,7,homological_algebra_exact_sequence_homotopy_equivalence,55,zhenghelietonglundengjia,24
44,正合列长正合列,9,ZHLZZHL,7,homological_algebra_exact_sequence_long_exact_sequence,54,zhengheliezhangzhenghelie,25
45,正合列谱序列,9,ZHLPXL,6,homological_algebra_exact_sequence_spectral_sequence,52,zhengheliepuxulie,17
46,正合列分辨率,9,ZHLFBL,6,homological_algebra_exact_sequence_resolution,45,zhengheliefenbianlv,19
47,正合列五引理,9,ZHLWYL,6,homological_algebra_exact_sequence_five_lemma,45,zhengheliewuyinli,17
48,正合列蛇引理,9,ZHLSYL,6,homological_algebra_exact_sequence_snake_lemma,46,zhengheliesheyinli,18
49,正合列三角引理,9,ZHLSJYL,7,homological_algebra_exact_sequence_triangle_lemma,49,zhengheliesanjiaoyinli,22
50,正合列阿贝尔范畴,9,ZHLABEFC,8,homological_algebra_exact_sequence_abelian_category,51,zhenghelieabeierfanchou,23
51,导函子边界算子,9,DHZBJSZ,7,homological_algebra_derived_functor_boundary_operator,53,daohanzibianjiesuanzi,21
52,导函子链映射,9,DHZLYS,6,homological_algebra_derived_functor_chain_map,45,daohanzilianyingshe,19
53,导函子同伦等价,9,DHZTLDJ,7,homological_algebra_derived_functor_homotopy_equivalence,56,daohanzitonglundengjia,22
54,导函子长正合列,9,DHZZZHL,7,homological_algebra_derived_functor_long_exact_sequence,55,daohanzizhangzhenghelie,23
55,导函子谱序列,9,DHZPXL,6,homological_algebra_derived_functor_spectral_sequence,53,daohanzipuxulie,15
56,导函子分辨率,9,DHZFBL,6,homological_algebra_derived_functor_resolution,46,daohanzifenbianlv,17
57,导函子五引理,9,DHZWYL,6,homological_algebra_derived_functor_five_lemma,46,daohanziwuyinli,15
58,导函子蛇引理,9,DHZSYL,6,homological_algebra_derived_functor_snake_lemma,47,daohanzisheyinli,16
