编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,李群李代数李群结构常数,9,LQLDSLQJGCS,11,lie_groups_lie_algebras_lie_group_structure_constant,52,liqunlidaishuliqunjiegouchangshu,32
2,李群李代数李群表示空间,9,LQLDSLQBSKJ,11,lie_groups_lie_algebras_lie_group_representation_space,54,liqunlidaishuliqunbiaoshikongjian,33
3,李群李代数李群子群判定,9,LQLDSLQZQPD,11,lie_groups_lie_algebras_lie_group_subgroup_criterion,52,liqunlidaishuliqunziqunpanding,30
4,李群李代数李群子代数判定,9,LQLDSLQZDSPD,12,lie_groups_lie_algebras_lie_group_subalgebra_criterion,54,liqunlidaishuliqunzidaishupanding,33
5,李群李代数李群可解性,9,LQLDSLQKJX,10,lie_groups_lie_algebras_lie_group_solvability,45,liqunlidaishuliqunkejiexing,27
6,李群李代数李群幂零性,9,LQLDSLQMLX,10,lie_groups_lie_algebras_lie_group_nilpotence,44,liqunlidaishuliqunmilingxing,28
7,李群李代数李群基林型,9,LQLDSLQJLX,10,lie_groups_lie_algebras_lie_group_killing_form,46,liqunlidaishuliqunjilinxing,27
8,李群李代数李群权分解,9,LQLDSLQQFJ,10,lie_groups_lie_algebras_lie_group_weight_decomposition,54,liqunlidaishuliqunquanfenjie,28
9,李群李代数李群根分解,9,LQLDSLQGFJ,10,lie_groups_lie_algebras_lie_group_root_decomposition,52,liqunlidaishuliqungenfenjie,27
10,李群李代数李群对偶作用,9,LQLDSLQDOZY,11,lie_groups_lie_algebras_lie_group_dual_action,45,liqunlidaishuliqunduiouzuoyong,30
11,李群李代数李代数结构常数,9,LQLDSLDSJGCS,12,lie_groups_lie_algebras_lie_algebra_structure_constant,54,liqunlidaishulidaishujiegouchangshu,35
12,李群李代数李代数表示空间,9,LQLDSLDSBSKJ,12,lie_groups_lie_algebras_lie_algebra_representation_space,56,liqunlidaishulidaishubiaoshikongjian,36
13,李群李代数李代数子群判定,9,LQLDSLDSZQPD,12,lie_groups_lie_algebras_lie_algebra_subgroup_criterion,54,liqunlidaishulidaishuziqunpanding,33
14,李群李代数李代数子代数判定,9,LQLDSLDSZDSPD,13,lie_groups_lie_algebras_lie_algebra_subalgebra_criterion,56,liqunlidaishulidaishuzidaishupanding,36
15,李群李代数李代数可解性,9,LQLDSLDSKJX,11,lie_groups_lie_algebras_lie_algebra_solvability,47,liqunlidaishulidaishukejiexing,30
16,李群李代数李代数幂零性,9,LQLDSLDSMLX,11,lie_groups_lie_algebras_lie_algebra_nilpotence,46,liqunlidaishulidaishumilingxing,31
17,李群李代数李代数基林型,9,LQLDSLDSJLX,11,lie_groups_lie_algebras_lie_algebra_killing_form,48,liqunlidaishulidaishujilinxing,30
18,李群李代数李代数权分解,9,LQLDSLDSQFJ,11,lie_groups_lie_algebras_lie_algebra_weight_decomposition,56,liqunlidaishulidaishuquanfenjie,31
19,李群李代数李代数根分解,9,LQLDSLDSGFJ,11,lie_groups_lie_algebras_lie_algebra_root_decomposition,54,liqunlidaishulidaishugenfenjie,30
20,李群李代数李代数对偶作用,9,LQLDSLDSDOZY,12,lie_groups_lie_algebras_lie_algebra_dual_action,47,liqunlidaishulidaishuduiouzuoyong,33
21,李群李代数指数映射结构常数,9,LQLDSZSYSJGCS,13,lie_groups_lie_algebras_exponential_map_structure_constant,58,liqunlidaishuzhishuyingshejiegouchangshu,40
22,李群李代数指数映射表示空间,9,LQLDSZSYSBSKJ,13,lie_groups_lie_algebras_exponential_map_representation_space,60,liqunlidaishuzhishuyingshebiaoshikongjian,41
23,李群李代数指数映射子群判定,9,LQLDSZSYSZQPD,13,lie_groups_lie_algebras_exponential_map_subgroup_criterion,58,liqunlidaishuzhishuyingsheziqunpanding,38
24,李群李代数指数映射子代数判定,9,LQLDSZSYSZDSPD,14,lie_groups_lie_algebras_exponential_map_subalgebra_criterion,60,liqunlidaishuzhishuyingshezidaishupanding,41
25,李群李代数指数映射可解性,9,LQLDSZSYSKJX,12,lie_groups_lie_algebras_exponential_map_solvability,51,liqunlidaishuzhishuyingshekejiexing,35
26,李群李代数指数映射幂零性,9,LQLDSZSYSMLX,12,lie_groups_lie_algebras_exponential_map_nilpotence,50,liqunlidaishuzhishuyingshemilingxing,36
27,李群李代数指数映射基林型,9,LQLDSZSYSJLX,12,lie_groups_lie_algebras_exponential_map_killing_form,52,liqunlidaishuzhishuyingshejilinxing,35
28,李群李代数指数映射权分解,9,LQLDSZSYSQFJ,12,lie_groups_lie_algebras_exponential_map_weight_decomposition,60,liqunlidaishuzhishuyingshequanfenjie,36
29,李群李代数指数映射根分解,9,LQLDSZSYSGFJ,12,lie_groups_lie_algebras_exponential_map_root_decomposition,58,liqunlidaishuzhishuyingshegenfenjie,35
30,李群李代数指数映射对偶作用,9,LQLDSZSYSDOZY,13,lie_groups_lie_algebras_exponential_map_dual_action,51,liqunlidaishuzhishuyingsheduiouzuoyong,38
31,李群李代数伴随表示结构常数,9,LQLDSBSBSJGCS,13,lie_groups_lie_algebras_adjoint_representation_structure_constant,65,liqunlidaishubansuibiaoshijiegouchangshu,40
32,李群李代数伴随表示表示空间,9,LQLDSBSBSBSKJ,13,lie_groups_lie_algebras_adjoint_representation_representation_space,67,liqunlidaishubansuibiaoshibiaoshikongjian,41
33,李群李代数伴随表示子群判定,9,LQLDSBSBSZQPD,13,lie_groups_lie_algebras_adjoint_representation_subgroup_criterion,65,liqunlidaishubansuibiaoshiziqunpanding,38
34,李群李代数伴随表示子代数判定,9,LQLDSBSBSZDSPD,14,lie_groups_lie_algebras_adjoint_representation_subalgebra_criterion,67,liqunlidaishubansuibiaoshizidaishupanding,41
35,李群李代数伴随表示可解性,9,LQLDSBSBSKJX,12,lie_groups_lie_algebras_adjoint_representation_solvability,58,liqunlidaishubansuibiaoshikejiexing,35
36,李群李代数伴随表示幂零性,9,LQLDSBSBSMLX,12,lie_groups_lie_algebras_adjoint_representation_nilpotence,57,liqunlidaishubansuibiaoshimilingxing,36
37,李群李代数伴随表示基林型,9,LQLDSBSBSJLX,12,lie_groups_lie_algebras_adjoint_representation_killing_form,59,liqunlidaishubansuibiaoshijilinxing,35
38,李群李代数伴随表示权分解,9,LQLDSBSBSQFJ,12,lie_groups_lie_algebras_adjoint_representation_weight_decomposition,67,liqunlidaishubansuibiaoshiquanfenjie,36
