编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,测度空间,8,CDKJ,4,measure_space,13,cedukongjian,12
2,σ代数,8,ΣDS,3,sigma_algebraic,15,daishu,6
3,可测集,8,KCJ,3,measurable_set,14,keceji,6
4,外测度,9,WCD,3,outer_measure,13,waicedu,7
5,卡拉西奥多里条件,10,KLXADLTJ,8,caratheodory_condition,22,kalaxiaoduolitiaojian,21
6,零测集,8,LCJ,3,null_set,8,lingceji,8
7,简单函数,8,JDHS,4,simple_function,15,jiandanhanshu,13
8,非负可测函数,8,FFKCHS,6,nonnegative_measurable_function,31,feifukecehanshu,15
9,积分收敛定理,9,JFSLDL,6,integral_convergence_theorem,28,jifenshouliandingli,19
10,乘积测度,9,CJCD,4,product_measure,15,chengjicedu,11
11,富比尼定理,9,FBNDL,5,fubini_theorem,14,fubinidingli,12
12,托内利定理,9,TNLDL,5,tonelli_theorem,15,tuoneilidingli,14
13,σ代数变体2,9,ΣDSBT2,6,sigma_algebra,13,daishubianti2,13
14,博雷尔域,9,BLEY,4,borel_yu,8,boleieryu,9
15,完备测度空间,9,WBCDKJ,6,complete_measure_space,22,wanbeicedukongjian,18
16,有限测度,9,YXCD,4,finite_measure,14,youxiancedu,11
17,σ有限测度,9,ΣYXCD,5,sigma_finite_measure,20,youxiancedu,11
18,概率测度扩张,9,GLCDKZ,6,probability_measure_expansion,29,gailvcedukuozhang,17
19,内测度,9,NCD,3,inner_measure,13,neicedu,7
20,勒贝格测度,9,LBGCD,5,lebesgue_measure,16,leibeigecedu,12
21,勒贝格外测度,9,LBGWCD,6,lebesgue_outer_measure,22,leibeigewaicedu,15
22,博雷尔测度,9,BLECD,5,borel_measure,13,boleiercedu,11
23,拉东测度,9,LDCD,4,radon_measure,13,ladongcedu,10
24,哈尔测度,9,HECD,4,haar_measure,12,haercedu,8
25,计数测度,9,JSCD,4,ji_shu_measure,14,jishucedu,9
26,狄拉克测度,9,DLKCD,5,dirac_measure,13,dilakecedu,10
27,符号测度,9,FHCD,4,fu_hao_measure,14,fuhaocedu,9
28,复测度,9,FCD,3,fu_measure,10,fucedu,6
29,向量测度,9,XLCD,4,vector_measure,14,xiangliangcedu,14
30,正则测度,9,ZZCD,4,regular_measure,15,zhengzecedu,11
31,外正则性,9,WZZX,4,wai_regularity,14,waizhengzexing,14
32,内正则性,9,NZZX,4,nei_regularity,14,neizhengzexing,14
33,测度完备化,9,CDWBH,5,measure_completion,18,ceduwanbeihua,13
34,卡拉西奥多里可测性,9,KLXADLKCX,9,caratheodory_measurability,26,kalaxiaoduolikecexing,21
35,可测包,9,KCB,3,testable_package,16,kecebao,7
36,满测集,9,MCJ,3,full_measure_set,16,manceji,7
37,几乎处处性质,9,JHCCXZ,6,almost_everywhere_nature,24,jihuchuchuxingzhi,17
38,勒贝格积分,9,LBGJF,5,lebesgue_integral,17,leibeigejifen,13
39,上积分,9,SJF,3,shang_integral,14,shangjifen,10
40,下积分,9,XJF,3,xia_integral,12,xiajifen,8
41,积分可加性,9,JFKJX,5,integral_additivity,19,jifenkejiaxing,14
42,截尾函数,9,JWHS,4,truncation_function,19,jieweihanshu,12
43,一致可积族,9,YZKJZ,5,yi_zhi_integrable_zu,20,yizhikejizu,11
44,维塔利覆盖定理,9,WTLFGDL,7,vitali_covering_theorem,23,weitalifugaidingli,18
45,拉东-尼科迪姆定理,9,LDNKDMDL,8,radon_nikodym_theorem,21,ladongnikedimudingli,20
46,拉东-尼科迪姆导数,9,LDNKDMDS,8,radon_nikodym_derivative,24,ladongnikedimudaoshu,20
47,测度绝对连续,9,CDJDLX,6,the_measure_is_absolutely_continuous,36,cedujueduilianxu,16
48,测度奇异性,9,CDQYX,5,measure_singularity,19,ceduqiyixing,12
49,勒贝格分解,9,LBGFJ,5,lebesgue_fen_solution,21,leibeigefenjie,14
50,哈恩分解,9,HEFJ,4,hahn_fen_solution,17,haenfenjie,10
51,若尔当分解定理,9,REDFJDL,7,jordan_decomposition_theorem,28,ruoerdangfenjiedingli,21
52,截面可测性,9,JMKCX,5,cross_section_measurability,27,jiemiankecexing,15
53,推前测度,9,TQCD,4,pushforward_measure,19,tuiqiancedu,11
54,拉回测度,9,LHCD,4,pullback_measure,16,lahuicedu,9
55,变换公式,9,BHGS,4,transformation_formula,22,bianhuangongshi,15
56,分布函数测度,9,FBHSCD,6,distribution_function_measure,29,fenbuhanshucedu,15
57,斯蒂尔切斯测度,9,SDEQSCD,7,stieltjes_measure,17,sidierqiesicedu,15
58,勒贝格-斯蒂尔切斯积分,9,LBGSDEQSJF,10,lebesgue_stieltjes_integral,27,leibeigesidierqiesijifen,24
59,博赫纳积分,9,BHNJF,5,bochner_integral,16,bohenajifen,11
60,佩蒂斯积分,9,PDSJF,5,pettis_integral,15,peidisijifen,12
61,条件期望算子,9,TJQWSZ,6,conditional_expectation_operator,32,tiaojianqiwangsuanzi,20
62,可测选择,9,KCXZ,4,testable_options,16,kecexuanze,10
63,狄金系统,9,DJXT,4,deakin_system,13,dijinxitong,11
64,单调类定理,9,DDLDL,5,monotone_class_theorem,22,dandiaoleidingli,16
65,π系λ系定理,9,ΠXΛXDL,6,pi_system_lambda_system_theorem,31,xixidingli,10
66,测度代数,9,CDDS,4,measure_algebraic,17,cedudaishu,10
67,完备化σ代数,9,WBHΣDS,6,completion_sigma_algebra,24,wanbeihuadaishu,15
68,局部可积空间,9,JBKJKJ,6,ju_bu_integrable_space,22,jubukejikongjian,16
69,L无穷空间,9,LWQKJ,5,l_infinite_space,16,lwuqiongkongjian,16
70,收敛测度拓扑,9,SLCDTP,6,topology_of_convergence_in_measure,34,shouliancedutuopu,17
71,勒贝格正则性,9,LBGZZX,6,lebesgue_regularity,19,leibeigezhengzexing,19
72,博雷尔积分,9,BLEJF,5,borel_integral,14,boleierjifen,12
73,博雷尔分解,9,BLEFJ,5,borel_fen_solution,18,boleierfenjie,13
74,博雷尔正则性,9,BLEZZX,6,borel_regularity,16,boleierzhengzexing,18
75,拉东积分,9,LDJF,4,radon_integral,14,ladongjifen,11
76,拉东分解,9,LDFJ,4,radon_fen_solution,18,ladongfenjie,12
77,拉东正则性,9,LDZZX,5,radon_regularity,16,ladongzhengzexing,17
78,哈尔积分,9,HEJF,4,haar_integral,13,haerjifen,9
79,哈尔分解,9,HEFJ,4,haar_fen_solution,17,haerfenjie,10
80,哈尔正则性,9,HEZZX,5,haar_regularity,15,haerzhengzexing,15
81,狄拉克积分,9,DLKJF,5,dirac_integral,14,dilakejifen,11
82,狄拉克分解,9,DLKFJ,5,dirac_fen_solution,18,dilakefenjie,12
83,狄拉克正则性,9,DLKZZX,6,dirac_regularity,16,dilakezhengzexing,17
84,斯蒂尔切斯积分,9,SDEQSJF,7,stieltjes_integral,18,sidierqiesijifen,16
85,斯蒂尔切斯分解,9,SDEQSFJ,7,stieltjes_fen_solution,22,sidierqiesifenjie,17
86,斯蒂尔切斯正则性,9,SDEQSZZX,8,stieltjes_regularity,20,sidierqiesizhengzexing,22
87,符号积分,9,FHJF,4,fu_hao_integral,15,fuhaojifen,10
88,符号分解,9,FHFJ,4,sign_decomposition,18,fuhaofenjie,11
89,符号正则性,9,FHZZX,5,fu_hao_regularity,17,fuhaozhengzexing,16
90,复分解,9,FFJ,3,fu_fen_solution,15,fufenjie,8
