编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,实分析,8,SFX,3,real_analysis,13,shifenxi,8
2,勒贝格积分理论,8,LBGJFLL,7,lebesgue_integral_theory,24,leibeigejifenlilun,18
3,几乎处处,8,JHCC,4,almost_everywhere,17,jihuchuchu,10
4,单调收敛定理,8,DDSLDL,6,monotone_convergence_theorem,28,dandiaoshouliandingli,21
5,控制收敛定理,9,KZSLDL,6,control_convergence_theorem,27,kongzhishouliandingli,21
6,法图引理,8,FTYL,4,fatou_lemma,11,fatuyinli,9
7,Lp空间,8,LPKJ,4,lp_space,8,lpkongjian,10
8,绝对连续,8,JDLX,4,absolutely_continuous,21,jueduilianxu,12
9,奇异函数,9,QYHS,4,qi_yi_function,14,qiyihanshu,10
10,里斯表示定理,9,LSBSDL,6,riesz_representation_theorem,28,lisibiaoshidingli,17
11,贝尔类别定理,9,BELBDL,6,bell_category_theorem,21,beierleibiedingli,17
12,稠密Gδ集,9,CMGΔJ,5,dense_gdelta_ji,15,choumigji,9
13,疏朗集,9,SLJ,3,sparse_set,10,shulangji,9
14,残差集,9,CCJ,3,residual_set,12,canchaji,8
15,博雷尔可测函数,9,BLEKCHS,7,borel_measurable_function,25,boleierkecehanshu,17
16,简单函数逼近,9,JDHSBJ,6,simple_function_bi_jin,22,jiandanhanshubijin,18
17,卢津定理,9,LJDL,4,lusin_theorem,13,lujindingli,11
18,叶戈罗夫定理,9,YGLFDL,6,egorov_theorem,14,yegeluofudingli,15
19,维塔利覆盖引理,9,WTLFGYL,7,vitali_covering_lemma,21,weitalifugaiyinli,17
20,哈代-李特尔伍德极大函数,9,HDLTEWDJDHS,11,hardy_littlewood_ji_da_function,31,hadailiteerwudejidahanshu,25
21,勒贝格微分定理,9,LBGWFDL,7,lebesgue_differential_theorem,29,leibeigeweifendingli,20
22,密度点定理,9,MDDDL,5,density_point_theorem,21,midudiandingli,14
23,近似连续性,9,JSLXX,5,approximate_continuity,22,jinshilianxuxing,16
24,近似极限,9,JSJX,4,approximation_limit,19,jinshijixian,12
25,有界变差函数,9,YJBCHS,6,bounded_variogram,17,youjiebianchahanshu,19
26,绝对连续函数,9,JDLXHS,6,absolutely_continuous_function,30,jueduilianxuhanshu,18
27,康托尔函数,9,KTEHS,5,cantor_function,15,kangtuoerhanshu,15
28,若尔当分解,9,REDFJ,5,jordan_decomposition,20,ruoerdangfenjie,15
29,正变差,9,ZBC,3,positive_variation,18,zhengbiancha,12
30,负变差,9,FBC,3,negative_variation,18,fubiancha,9
31,分布导数,9,FBDS,4,distribution_derivative,23,fenbudaoshu,11
32,弱导数空间,9,RDSKJ,5,weak_derivative_space,21,ruodaoshukongjian,17
33,索伯列夫嵌入定理,9,SBLFQRDL,8,sobolev_embedding_theorem,25,suoboliefuqianrudingli,22
34,雷利希紧嵌入,9,LLXJQR,6,reilich_tight_embedding,23,leilixijinqianru,16
35,庞加莱型不等式,9,PJLXBDS,7,poincare_xing_inequality,24,pangjialaixingbudengshi,23
36,光滑化子逼近,9,GHHZBJ,6,mollifier_bi_jin,16,guanghuahuazibijin,18
37,卷积光滑化,9,JJGHH,5,convolution_smoothing,21,juanjiguanghuahua,17
38,测试函数空间,9,CSHSKJ,6,ce_shi_function_space,21,ceshihanshukongjian,19
39,施瓦茨函数,9,SWCHS,5,schwartz_function,17,shiwacihanshu,13
40,缓增分布,9,HZFB,4,slow_increasing_distribution,28,huanzengfenbu,13
41,主值分布,9,ZZFB,4,principal_value_distribution,28,zhuzhifenbu,11
42,局部可积函数,9,JBKJHS,6,ju_bu_integrable_function,25,jubukejihanshu,14
43,Lp局部空间,9,LPJBKJ,6,Lp_local_space,14,lpjubukongjian,14
44,弱Lp空间,9,RLPKJ,5,weak_lp_space,13,ruolpkongjian,13
45,马钦凯维奇空间,9,MQKWQKJ,7,marcinkiewicz_space,19,maqinkaiweiqikongjian,21
46,洛伦兹空间,9,LLZKJ,5,lorentz_space,13,luolunzikongjian,16
