编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,P值,7,PZ,2,P_value,7,pzhi,4
2,无偏估计,7,WPGJ,4,unbiased_estimate,17,wupianguji,10
3,一致估计,8,YZGJ,4,yi_zhi_estimate,15,yizhiguji,9
4,得分函数,9,DFHS,4,score_function,14,defenhanshu,11
5,观测信息量,9,GCXXL,5,observed_information,20,guancexinxiliang,16
6,期望信息量,9,QWXXL,5,expected_information,20,qiwangxinxiliang,16
7,费希尔信息矩阵,9,FXEXXJZ,7,fisher_information_matrix,25,feixierxinxijuzhen,18
8,极大似然方程,9,JDSRFC,6,ji_da_likelihood_equation,25,jidashiranfangcheng,19
9,约束似然,9,YSSR,4,constrained_likelihood,22,yueshushiran,12
10,剖面似然,9,PMSR,4,profile_likelihood,18,poumianshiran,13
11,惩罚似然,9,CFSR,4,punishment_likelihood,21,chengfashiran,13
12,伪似然,9,WSR,3,wei_likelihood,14,weishiran,9
13,复合似然,9,FHSR,4,fu_he_likelihood,16,fuheshiran,10
14,似然比统计量,9,SRBTJL,6,likelihood_ratio_statistics,27,shiranbitongjiliang,19
15,瓦尔德统计量,9,WEDTJL,6,wald_statistic,14,waerdetongjiliang,17
16,得分检验,9,DFJY,4,score_test,10,defenjianyan,12
17,奈曼-皮尔逊引理,9,NMPEXYL,7,neyman_pearson_lemma,20,naimanpierxunyinli,18
18,威尔克斯定理,9,WEKSDL,6,wilks_theorem,13,weierkesidingli,15
19,瓦尔德检验,9,WEDJY,5,wald_test,9,waerdejianyan,13
20,拉奥检验,9,LAJY,4,rao_test,8,laaojianyan,11
21,广义矩估计,9,GYJGJ,5,generalized_method_of_moments_estimate,38,guangyijuguji,13
22,M估计,9,MGJ,3,m_estimation,12,mguji,5
23,Z估计,9,ZGJ,3,z_estimation,12,zguji,5
24,U统计量,9,UTJL,4,u_statistic,11,utongjiliang,12
25,V统计量,9,VTJL,4,v_statistic,11,vtongjiliang,12
26,影响函数,9,YXHS,4,influence_function,18,yingxianghanshu,15
27,渐近效率,9,JJXL,4,asymptotic_efficiency,21,jianjinxiaolv,13
28,渐近方差,9,JJFC,4,asymptotic_variance,19,jianjinfangcha,14
29,稳健估计,9,WJGJ,4,robust_estimate,15,wenjianguji,11
30,胡伯估计,9,HBGJ,4,huber_estimate,14,huboguji,8
31,极小最大风险,9,JXZDFX,6,minimal_maximum_risk,20,jixiaozuidafengxian,19
32,贝叶斯风险,9,BYSFX,5,bayesian_risk,13,beiyesifengxian,15
33,后验均值估计,9,HYJZGJ,6,posterior_mean_estimate,23,houyanjunzhiguji,16
34,后验中位数,9,HYZWS,5,posterior_median,16,houyanzhongweishu,17
35,后验众数,9,HYZS,4,posterior_mode,14,houyanzhongshu,14
36,共轭先验,9,GEXY,4,gong_e_a_priori,15,gongexianyan,12
37,杰弗里斯先验,9,JFLSXY,6,jeffreys_a_priori,17,jiefulisixianyan,16
38,经验贝叶斯方法,9,JYBYSFF,7,empirical_bayesian_approach,27,jingyanbeiyesifangfa,20
39,贝叶斯可信区间,9,BYSKXQJ,7,bayesian_credible_interval,26,beiyesikexinqujian,18
40,最高后验密度区间,9,ZGHYMDQJ,8,highest_posterior_density_interval,34,zuigaohouyanmiduqujian,22
41,贝叶斯因子,9,BYSYZ,5,bayes_yin_zi,12,beiyesiyinzi,12
42,可容许估计,9,KRXGJ,5,admissible_estimate,19,kerongxuguji,12
43,最小方差无偏估计,9,ZXFCWPGJ,8,minimum_variance_unbiased_estimator,35,zuixiaofangchawupianguji,24
44,充分完备族,9,CFWBZ,5,fully_complete_family,21,chongfenwanbeizu,16
45,拉奥-布莱克韦尔化,9,LABLKWEH,8,rao_blackwell_hua,17,laaobulaikeweierhua,19
46,莱曼-谢费定理,9,LMXFDL,6,lehmann_scheffe_theorem,23,laimanxiefeidingli,18
47,克拉默-拉奥下界,9,KLMLAXJ,7,cramer_rao_lower_bound,22,kelamolaaoxiajie,16
48,信息不等式,9,XXBDS,5,xin_xi_inequality,17,xinxibudengshi,14
49,Δ方法,9,ΔFF,3,delta_method,12,fangfa,6
50,斯卢茨基定理,9,SLCJDL,6,slutsky_theorem,15,silucijidingli,14
51,连续映射定理,9,LXYSDL,6,continuous_map_theorem,22,lianxuyingshedingli,19
52,渐近正态估计,9,JJZTGJ,6,asymptotic_normal_estimation,28,jianjinzhengtaiguji,19
53,一致估计序列,9,YZGJXL,6,yi_zhi_estimate_xu_lie,22,yizhigujixulie,14
54,局部渐近正态性,9,JBJJZTX,7,local_asymptotic_normality,26,jubujianjinzhengtaixing,23
55,渐近置信区间,9,JJZXQJ,6,asymptotic_confidence_interval,30,jianjinzhixinqujian,19
56,参数可识别性,9,CSKSBX,6,parameter_identifiability,25,canshukeshibiexing,18
57,模型误设,9,MXWS,4,model_misspecification,22,moxingwushe,11
58,稳健标准误,9,WJBZW,5,robust_standard_error,21,wenjianbiaozhunwu,17
59,自举方法,9,ZJFF,4,bootstrap_method,16,zijufangfa,10
60,参数自举,9,CSZJ,4,parameter_bootstrap,19,canshuziju,10
61,非参数自举,9,FCSZJ,5,non_parametric_bootstrapping,28,feicanshuziju,13
62,刀切法方法,9,DQFFF,5,jackknife_method,16,daoqiefafangfa,14
63,交叉验证估计,9,JCYZGJ,6,cross_validation_estimate,25,jiaochayanzhengguji,19
64,置换检验,9,ZHJY,4,permutation_test,16,zhihuanjianyan,14
65,精确检验,9,JQJY,4,accurate_inspection,19,jingquejianyan,14
66,序贯检验,9,XGJY,4,sequential_test,15,xuguanjianyan,13
67,多重检验,9,DZJY,4,multiple_testing,16,duozhongjianyan,15
68,错误发现率,9,CWFXL,5,false_discovery_rate,20,cuowufaxianlv,13
69,邦费罗尼校正,9,BFLNXZ,6,bonferroni_correction,21,bangfeiluonixiaozheng,21
70,霍尔姆校正,9,HEMXZ,5,holm_correction,15,huoermuxiaozheng,16
71,似然根,9,SRG,3,likelihood_gen,14,shirangen,9
72,边际似然,9,BJSR,4,marginal_likelihood,19,bianjishiran,12
73,EM算法,9,EMSF,4,EM_algorithm,12,emsuanfa,8
74,MCMC估计,9,MCMCGJ,6,mcmc_estimate,13,mcmcguji,8
75,吉布斯抽样,9,JBSCY,5,gibbs_sampling,14,jibusichouyang,14
76,梅特罗波利斯黑斯廷斯算法,9,MTLBLSHSTSSF,12,metropolis_hastings_algorithm,29,meiteluobolisiheisitingsisuanfa,31
77,极大似然估计量,9,JDSRGJL,7,ji_da_likelihood_estimator,26,jidashirangujiliang,19
78,极大似然置信区间,9,JDSRZXQJ,8,maximum_likelihood_confidence_interval,38,jidashiranzhixinqujian,22
79,极大似然风险函数,9,JDSRFXHS,8,maximum_likelihood_risk_function,32,jidashiranfengxianhanshu,24
80,极大似然推断,9,JDSRTD,6,maximum_likelihood_inference,28,jidashirantuiduan,17
81,贝叶斯估计量,9,BYSGJL,6,bayesian_estimator,18,beiyesigujiliang,16
82,贝叶斯置信区间,9,BYSZXQJ,7,bayesian_confidence_interval,28,beiyesizhixinqujian,19
83,贝叶斯风险函数,9,BYSFXHS,7,bayesian_risk_function,22,beiyesifengxianhanshu,21
84,贝叶斯推断,9,BYSTD,5,bayesian_inference,18,beiyesituiduan,14
85,稳健估计量,9,WJGJL,5,robust_estimator,16,wenjiangujiliang,16
86,稳健置信区间,9,WJZXQJ,6,robust_confidence_interval,26,wenjianzhixinqujian,19
87,稳健风险函数,9,WJFXHS,6,robust_risk_function,20,wenjianfengxianhanshu,21
88,稳健推断,9,WJTD,4,robust_inference,16,wenjiantuiduan,14
89,广义矩估计量,9,GYJGJL,6,generalized_method_of_moments_estimator,39,guangyijugujiliang,18
90,广义矩置信区间,9,GYJZXQJ,7,generalized_moment_confidence_interval,38,guangyijuzhixinqujian,21
91,广义矩风险函数,9,GYJFXHS,7,generalized_moment_risk_function,32,guangyijufengxianhanshu,23
92,广义矩推断,9,GYJTD,5,generalized_moment_inference,28,guangyijutuiduan,16
93,经验估计量,9,JYGJL,5,empirical_estimator,19,jingyangujiliang,16
94,经验置信区间,9,JYZXQJ,6,empirical_confidence_interval,29,jingyanzhixinqujian,19
95,经验风险函数,9,JYFXHS,6,empirical_risk_function,23,jingyanfengxianhanshu,21
96,经验推断,9,JYTD,4,empirical_inference,19,jingyantuiduan,14
97,半参数估计量,9,BCSGJL,6,semiparametric_estimator,24,bancanshugujiliang,18
98,半参数置信区间,9,BCSZXQJ,7,semiparametric_confidence_interval,34,bancanshuzhixinqujian,21
99,半参数风险函数,9,BCSFXHS,7,semiparametric_hazard_function,30,bancanshufengxianhanshu,23
100,半参数推断,9,BCSTD,5,semiparametric_inference,24,bancanshutuiduan,16
