编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,拓扑学,8,TPX,3,topology,8,tuopuxue,8
2,拓扑空间,8,TPKJ,4,topological_space,17,tuopukongjian,13
3,拓扑,8,TP,2,topology_structure,18,tuopu,5
4,开集,8,KJ,2,open_set,8,kaiji,5
5,闭集,8,BJ,2,closed_set,10,biji,4
6,邻域,8,LY,2,neighborhood,12,linyu,5
7,内点,8,ND,2,interior_point,14,neidian,7
8,外点,8,WD,2,exterior_point,14,waidian,7
9,边界点,8,BJD,3,boundary_point,14,bianjiedian,11
10,聚点,8,JD,2,accumulation_point,18,judian,6
11,闭包,8,BB,2,closure,7,bibao,5
12,内部,8,NB,2,interior,8,neibu,5
13,边界,8,BJ,2,boundary,8,bianjie,7
14,基,6,J,1,basis,5,ji,2
15,子基,8,ZJ,2,subbasis,8,ziji,4
16,连续映射,8,LXYS,4,continuous_map,14,lianxuyingshe,13
17,同胚,8,TP,2,homeomorphism,13,tongpei,7
18,子空间拓扑,9,ZKJTP,5,subspace_topology,17,zikongjiantuopu,15
19,积拓扑,8,JTP,3,product_topology,16,jituopu,7
20,商拓扑,8,STP,3,quotient_topology,17,shangtuopu,10
21,连通空间,8,LTKJ,4,connected_space,15,liantongkongjian,16
22,道路连通,8,DLLT,4,path_connectedness,18,daoluliantong,13
23,紧空间,8,JKJ,3,compact_space,13,jinkongjian,11
24,列紧性,8,LJX,3,sequential_compactness,22,liejinxing,10
25,豪斯多夫空间,9,HSDFKJ,6,hausdorff_space,15,haosiduofukongjian,18
26,正则空间,8,ZZKJ,4,regular_space,13,zhengzekongjian,15
27,正规空间,10,ZGKJ,4,normal_space,12,zhengguikongjian,16
28,可数公理,8,KSGL,4,countability_axiom,18,keshugongli,11
29,第一可数空间,9,DYKSKJ,6,first_countable_space,21,diyikeshukongjian,17
30,第二可数空间,9,DEKSKJ,6,second_countable_space,22,dierkeshukongjian,17
31,度量空间,8,DLKJ,4,metric_space,12,duliangkongjian,15
32,完备空间,8,WBKJ,4,complete_space,14,wanbeikongjian,14
33,稠密集,8,CMJ,3,dense_set,9,choumiji,8
34,可分空间,10,KFKJ,4,separable_space,15,kefenkongjian,13
35,同伦,8,TL,2,homotopy,8,tonglun,7
36,基本群,8,JBQ,3,fundamental_group,17,jibenqun,8
37,覆盖空间,8,FGKJ,4,covering_space,14,fugaikongjian,13
38,单纯复形,8,DCFX,4,simplicial_complex,18,danchunfuxing,13
39,同调群,9,TDQ,3,homology_group,14,tongdiaoqun,11
40,集合族,8,JHZ,3,family_of_sets,14,jihezu,6
41,开覆盖,8,KFG,3,open_cover,10,kaifugai,8
42,有限子覆盖,9,YXZFG,5,finite_subcover,15,youxianzifugai,14
43,闭覆盖,8,BFG,3,closed_cover,12,bifugai,7
44,覆盖维数,8,FGWS,4,covering_dimension,18,fugaiweishu,11
45,局部紧空间,9,JBJKJ,5,locally_compact_space,21,jubujinkongjian,15
46,仿紧空间,8,FJKJ,4,paracompact_space,17,fangjinkongjian,15
47,连通分支,8,LTFZ,4,connected_component,19,liantongfenzhi,14
48,道路分支,8,DLFZ,4,path_component,14,daolufenzhi,11
49,全不连通空间,9,QBLTKJ,6,totally_disconnected_space,26,quanbuliantongkongjian,22
50,局部连通空间,9,JBLTKJ,6,locally_connected_space,23,jubuliantongkongjian,20
51,局部道路连通空间,10,JBDLLTKJ,8,locally_path_connected_space,28,jubudaoluliantongkongjian,25
52,紧致化,8,JZH,3,compactification,16,jinzhihua,9
