编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,变分法泛函极值条件,7,BFFFHJZTJ,9,calculus_of_variations_functional_extremal_condition,52,bianfenfafanhanjizhitiaojian,28
2,变分法泛函可微性,7,BFFFHKWX,8,calculus_of_variations_functional_differentiability,51,bianfenfafanhankeweixing,24
3,变分法泛函强变分,7,BFFFHQBF,8,calculus_of_variations_functional_strong_variation,50,bianfenfafanhanqiangbianfen,27
4,变分法泛函弱变分,7,BFFFHRBF,8,calculus_of_variations_functional_weak_variation,48,bianfenfafanhanruobianfen,25
5,变分法泛函横截条件,7,BFFFHHJTJ,9,calculus_of_variations_functional_transversality_condition,58,bianfenfafanhanhengjietiaojian,30
6,变分法泛函边界项,7,BFFFHBJX,8,calculus_of_variations_functional_boundary_term,47,bianfenfafanhanbianjiexiang,27
7,变分法泛函正则性,7,BFFFHZZX,8,calculus_of_variations_functional_regularity,44,bianfenfafanhanzhengzexing,26
8,变分法泛函稳定性,7,BFFFHWDX,8,calculus_of_variations_functional_stability,43,bianfenfafanhanwendingxing,26
9,变分法泛函约束形式,7,BFFFHYSXS,9,calculus_of_variations_functional_constraint_form,49,bianfenfafanhanyueshuxingshi,28
10,变分法泛函充分条件,7,BFFFHCFTJ,9,calculus_of_variations_functional_sufficient_condition,54,bianfenfafanhanchongfentiaojian,31
11,变分法变分极值条件,7,BFFBFJZTJ,9,calculus_of_variations_variation_extremal_condition,51,bianfenfabianfenjizhitiaojian,29
12,变分法变分可微性,7,BFFBFKWX,8,calculus_of_variations_variation_differentiability,50,bianfenfabianfenkeweixing,25
13,变分法变分强变分,7,BFFBFQBF,8,calculus_of_variations_variation_strong_variation,49,bianfenfabianfenqiangbianfen,28
14,变分法变分弱变分,7,BFFBFRBF,8,calculus_of_variations_variation_weak_variation,47,bianfenfabianfenruobianfen,26
15,变分法变分横截条件,7,BFFBFHJTJ,9,calculus_of_variations_variation_transversality_condition,57,bianfenfabianfenhengjietiaojian,31
16,变分法变分边界项,7,BFFBFBJX,8,calculus_of_variations_variation_boundary_term,46,bianfenfabianfenbianjiexiang,28
17,变分法变分正则性,7,BFFBFZZX,8,calculus_of_variations_variation_regularity,43,bianfenfabianfenzhengzexing,27
18,变分法变分稳定性,7,BFFBFWDX,8,calculus_of_variations_variation_stability,42,bianfenfabianfenwendingxing,27
19,变分法变分约束形式,7,BFFBFYSXS,9,calculus_of_variations_variation_constraint_form,48,bianfenfabianfenyueshuxingshi,29
20,变分法变分充分条件,7,BFFBFCFTJ,9,calculus_of_variations_variation_sufficient_condition,53,bianfenfabianfenchongfentiaojian,32
21,变分法欧拉方程极值条件,7,BFFOLFCJZTJ,11,calculus_of_variations_euler_equation_extremal_condition,56,bianfenfaoulafangchengjizhitiaojian,35
22,变分法欧拉方程可微性,7,BFFOLFCKWX,10,calculus_of_variations_euler_equation_differentiability,55,bianfenfaoulafangchengkeweixing,31
23,变分法欧拉方程强变分,7,BFFOLFCQBF,10,calculus_of_variations_euler_equation_strong_variation,54,bianfenfaoulafangchengqiangbianfen,34
24,变分法欧拉方程弱变分,7,BFFOLFCRBF,10,calculus_of_variations_euler_equation_weak_variation,52,bianfenfaoulafangchengruobianfen,32
25,变分法欧拉方程横截条件,7,BFFOLFCHJTJ,11,calculus_of_variations_euler_equation_transversality_condition,62,bianfenfaoulafangchenghengjietiaojian,37
