编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,复变函数,6,FBHS,4,complex_analysis,16,fubianhanshu,12
2,复数,6,FS,2,complex_number,14,fushu,5
3,复平面,6,FPM,3,complex_plane,13,fupingmian,10
4,实部,6,SB,2,real_part,9,shibu,5
5,虚部,6,XB,2,imaginary_part,14,xubu,4
6,模,6,M,1,modulus,7,mo,2
7,辐角,6,FJ,2,argument,8,fujiao,6
8,主辐角,8,ZFJ,3,principal_argument,18,zhufujiao,9
9,共轭复数,6,GEFS,4,complex_conjugate,17,gongefushu,10
10,复函数,6,FHS,3,complex_function,16,fuhanshu,8
11,解析函数,6,JXHS,4,analytic_function,17,jiexihanshu,11
12,全纯函数,6,QCHS,4,holomorphic_function,20,quanchunhanshu,14
13,调和函数,6,THHS,4,harmonic_function,17,tiaohehanshu,12
14,柯西黎曼方程,8,KXLMFC,6,cauchy_riemann_equations,24,kexilimanfangcheng,18
15,复导数,6,FDS,3,complex_derivative,18,fudaoshu,8
16,幂级数,6,MJS,3,power_series,12,mijishu,7
17,泰勒级数,6,TLJS,4,taylor_series,13,taileijishu,11
18,洛朗级数,6,LLJS,4,laurent_series,14,luolangjishu,12
19,收敛圆,6,SLY,3,circle_of_convergence,21,shoulianyuan,12
20,奇点,6,QD,2,singularity,11,qidian,6
21,可去奇点,6,KQQD,4,removable_singularity,21,kequqidian,10
22,极点,6,JD,2,pole,4,jidian,6
23,本性奇点,6,BXQD,4,essential_singularity,21,benxingqidian,13
24,留数,6,LS,2,residue,7,liushu,6
25,留数定理,7,LSDL,4,residue_theorem,15,liushudingli,12
26,复积分,6,FJF,3,complex_integral,16,fujifen,7
27,围道积分,6,WDJF,4,contour_integral,16,weidaojifen,11
28,柯西积分定理,8,KXJFDL,6,cauchy_integral_theorem,23,kexijifendingli,15
29,柯西积分公式,8,KXJFGS,6,cauchy_integral_formula,23,kexijifengongshi,16
30,最大模原理,8,ZDMYL,5,maximum_modulus_principle,25,zuidamoyuanli,13
31,辐角原理,7,FJYL,4,argument_principle,18,fujiaoyuanli,12
32,儒歇定理,7,RXDL,4,rouche_theorem,14,ruxiedingli,11
33,保形映射,6,BXYS,4,conformal_mapping,17,baoxingyingshe,14
34,分式线性变换,8,FSXXBH,6,fractional_linear_transformation,32,fenshixianxingbianhuan,22
35,莫比乌斯变换,8,MBWSBH,6,mobius_transformation,21,mobiwusibianhuan,16
36,解析延拓,6,JXYT,4,analytic_continuation,21,jiexiyantuo,11
37,单连通域,6,DLTY,4,simply_connected_domain,23,danliantongyu,13
38,多连通域,6,DLTY,4,multiply_connected_domain,25,duoliantongyu,13
39,支点,8,ZD,2,branch_point,12,zhidian,7
40,支割线,6,ZGX,3,branch_cut,10,zhigexian,9
41,复变量,6,FBL,3,complex_variable,16,fubianliang,11
42,复值函数,6,FZHS,4,complex_valued_function,23,fuzhihanshu,11
43,区域,6,QY,2,domain,6,quyu,4
44,曲线,6,QX,2,curve,5,quxian,6
45,光滑曲线,6,GHQX,4,smooth_curve,12,guanghuaquxian,14
46,简单闭曲线,7,JDBQX,5,simple_closed_curve,19,jiandanbiquxian,15
47,约当曲线,6,YDQX,4,jordan_curve,12,yuedangquxian,13
48,约当引理,6,YDYL,4,jordan_lemma,12,yuedangyinli,12
49,柯西定理,7,KXDL,4,cauchy_theorem,14,kexidingli,10
50,柯西估计,6,KXGJ,4,cauchy_estimate,15,kexiguji,8
51,刘维尔定理,8,LWEDL,5,liouville_theorem,17,liuweierdingli,14
52,代数基本定理,8,DSJBDL,6,fundamental_theorem_of_algebra,30,daishujibendingli,17
53,莫雷拉定理,8,MLLDL,5,morera_theorem,14,moleiladingli,13
54,解析分支,6,JXFZ,4,analytic_branch,15,jiexifenzhi,11
55,对数函数,6,DSHS,4,logarithm_function,18,duishuhanshu,12
56,指数函数,6,ZSHS,4,exponential_function,20,zhishuhanshu,12
57,三角函数,6,SJHS,4,trigonometric_function,22,sanjiaohanshu,13
58,双曲函数,6,SQHS,4,hyperbolic_function,19,shuangquhanshu,14
59,亚纯函数,6,YCHS,4,meromorphic_function,20,yachunhanshu,12
60,整函数,6,ZHS,3,entire_function,15,zhenghanshu,11
61,有理函数,6,YLHS,4,rational_function,17,youlihanshu,11
62,孤立奇点,6,GLQD,4,isolated_singularity,20,guliqidian,10
63,n阶极点,6,NJJD,4,pole_of_order_n,15,njiejidian,10
64,无穷远点,6,WQYD,4,point_at_infinity,17,wuqiongyuandian,15
65,黎曼球面,6,LMQM,4,riemann_sphere,14,limanqiumian,12
66,留数计算,6,LSJS,4,calculation_of_residues,23,liushujisuan,12
67,主部,6,ZB,2,principal_part,14,zhubu,5
68,正则部,6,ZZB,3,regular_part,12,zhengzebu,9
69,解析部分,6,JXBF,4,analytic_part,13,jiexibufen,10
