编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,积分方程,5,JFFC,4,integral_equation,17,jifenfangcheng,14
2,弗雷德霍姆方程,6,FLDHMFC,7,fredholm_equation,17,fuleidehuomufangcheng,21
3,沃尔泰拉方程,6,WETLFC,6,volterra_equation,17,woertailafangcheng,18
4,第一类积分方程,6,DYLJFFC,7,integral_equations_of_the_first_kind,36,diyileijifenfangcheng,21
5,第二类积分方程,6,DELJFFC,7,integral_equations_of_the_second_kind,37,dierleijifenfangcheng,21
6,第三类积分方程,7,DSLJFFC,7,integral_equations_of_the_third_kind,36,disanleijifenfangcheng,22
7,齐次积分方程,6,QCJFFC,6,homogeneous_integral_equation,29,qicijifenfangcheng,18
8,非齐次积分方程,6,FQCJFFC,7,non_homogeneous_integral_equation,33,feiqicijifenfangcheng,21
9,线性积分方程,6,XXJFFC,6,linear_integral_equation,24,xianxingjifenfangcheng,22
10,非线性积分方程,6,FXXJFFC,7,nonlinear_integral_equation,27,feixianxingjifenfangcheng,25
11,核函数,5,HHS,3,kernel_function,15,hehanshu,8
12,退化核,6,THH,3,degenerate_core,15,tuihuahe,8
13,可分核,5,KFH,3,divisible_core,14,kefenhe,7
14,对称核,5,DCH,3,symmetry_kernel,15,duichenghe,10
15,厄米核,5,EMH,3,hermitian_core,14,emihe,5
16,弱奇核,5,RQH,3,weak_odd_core,13,ruoqihe,7
17,奇异核,5,QYH,3,strange_kernel,14,qiyihe,6
18,卷积核,6,JJH,3,convolution_kernel,18,juanjihe,8
19,诺伊曼级数,6,NYMJS,5,neumann_series,14,nuoyimanjishu,13
20,李乌维尔诺伊曼级数,6,LWWENYMJS,9,leeuwell_neumann_series,23,liwuweiernuoyimanjishu,22
21,预解核,5,YJH,3,pre_core,8,yujiehe,7
22,预解式,6,YJS,3,pre_solved_formula,18,yujieshi,8
23,预解算子,5,YJSZ,4,pre_solved_operator,19,yujiesuanzi,11
24,特征值,5,TZZ,3,characteristic_value,20,tezhengzhi,10
25,特征核,5,TZH,3,characteristic_kernel,21,tezhenghe,9
26,迭代核,5,DDH,3,iteration_kernel,16,diedaihe,8
27,核的迹,6,HDJ,3,nuclear_traces,14,hedeji,6
28,弗雷德霍姆行列式,6,FLDHMXLS,8,fredholm_determinant,20,fuleidehuomuxinglieshi,22
29,弗雷德霍姆择一定理,6,FLDHMZYDL,9,fredholm_selection_theorem,26,fuleidehuomuzeyidingli,22
30,弗雷德霍姆算子,6,FLDHMSZ,7,fredholm_operator,17,fuleidehuomusuanzi,18
31,沃尔泰拉算子,6,WETLSZ,6,volterra_operator,17,woertailasuanzi,15
32,积分算子,5,JFSZ,4,integral_operator,17,jifensuanzi,11
33,紧算子,6,JSZ,3,compact_operator,16,jinsuanzi,9
34,完全连续算子,6,WQLXSZ,6,completely_continuous_operator,30,wanquanlianxusuanzi,19
35,希尔伯特施密特核,6,XEBTSMTH,8,hilbert_schmidt_kernel,22,xierboteshimitehe,17
36,希尔伯特施密特定理,6,XEBTSMTDL,9,hilbert_schmidt_theorem,23,xierboteshimitedingli,21
37,施密特展开,6,SMTZK,5,schmidt_expansion,17,shimitezhankai,14
38,谱分解,5,PFJ,3,spectrum_decomposition,22,pufenjie,8
39,阿贝尔方程,7,ABEFC,5,abel_equation,13,abeierfangcheng,15
40,阿贝尔变换,6,ABEBH,5,abel_transformation,19,abeierbianhuan,14
41,阿贝尔型积分方程,6,ABEXJFFC,8,abelian_integral_equation,25,abeierxingjifenfangcheng,24
42,梅林变换,5,MLBH,4,mellin_transformation,21,meilinbianhuan,14
43,汉克尔变换,7,HKEBH,5,hankel_transform,16,hankeerbianhuan,15
44,拉东变换,5,LDBH,4,radon_transformation,20,ladongbianhuan,14
45,卷积方程,5,JJFC,4,convolution_equation,20,juanjifangcheng,15
46,维纳霍普夫方程,6,WNHPFFC,7,wiener_hopf_equation,20,weinahuopufufangcheng,21
47,维纳霍普夫分解,6,WNHPFFJ,7,wiener_hopf_decomposition,25,weinahuopufufenjie,18
48,科西型积分,6,KXXJF,5,corsi_type_integral,19,kexixingjifen,13
49,边界积分方程,7,BJJFFC,6,boundary_integral_equation,26,bianjiejifenfangcheng,21
50,单层势,5,DCS,3,single_layer_potential,22,dancengshi,10
51,双层势,5,SCS,3,double_sheaf_potential,22,shuangcengshi,13
