编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,数学物理方程,8,SXWLFC,6,equations_of_mathematical_physics,33,shuxuewulifangcheng,19
2,偏微分方程,8,PWFFC,5,partial_differential_equation,29,pianweifenfangcheng,19
3,定解问题,6,DJWT,4,well_posed_problem,18,dingjiewenti,12
4,初始条件,7,CSTJ,4,initial_condition,17,chushitiaojian,14
5,边界条件,7,BJTJ,4,boundary_condition,18,bianjietiaojian,15
6,初边值问题,7,CBZWT,5,initial_boundary_value_problem,30,chubianzhiwenti,15
7,波动方程,7,BDFC,4,wave_equation,13,bodongfangcheng,15
8,热传导方程,8,RCDFC,5,heat_equation,13,rechuandaofangcheng,19
9,拉普拉斯方程,8,LPLSFC,6,laplace_equation,16,lapulasifangcheng,17
10,泊松方程,7,PSFC,4,poisson_equation,16,posongfangcheng,15
11,亥姆霍兹方程,8,HMHZFC,6,helmholtz_equation,18,haimuhuozifangcheng,19
12,薛定谔方程,8,XDEFC,5,schrodinger_equation,20,xuedingefangcheng,17
13,双曲型方程,8,SQXFC,5,hyperbolic_equation,19,shuangquxingfangcheng,21
14,抛物型方程,8,PWXFC,5,parabolic_equation,18,paowuxingfangcheng,18
15,椭圆型方程,8,TYXFC,5,elliptic_equation,17,tuoyuanxingfangcheng,20
16,特征线,6,TZX,3,characteristic_curve,20,tezhengxian,11
17,行波解,6,XBJ,3,traveling_wave_solution,23,xingbojie,9
18,达朗贝尔公式,8,DLBEGS,6,d_alembert_formula,18,dalangbeiergongshi,18
19,分离变量法,7,FLBLF,5,separation_of_variables,23,fenlibianliangfa,16
20,傅里叶方法,7,FLYFF,5,fourier_method,14,fuliyefangfa,12
21,格林函数,6,GLHS,4,green_function,14,gelinhanshu,11
22,基本解,6,JBJ,3,fundamental_solution,20,jibenjie,8
23,本征值问题,7,BZZWT,5,eigenvalue_problem,18,benzhengzhiwenti,16
24,斯图姆刘维尔问题,8,STMLWEWT,8,sturm_liouville_problem,23,situmuliuweierwenti,19
25,正交函数系,7,ZJHSX,5,orthogonal_function_system,26,zhengjiaohanshuxi,17
26,完备性,6,WBX,3,completeness,12,wanbeixing,10
27,狄利克雷条件,8,DLKLTJ,6,dirichlet_condition,19,dilikeleitiaojian,17
28,狄利克雷边界条件,9,DLKLBJTJ,8,dirichlet_boundary_condition,28,dilikeleibianjietiaojian,24
29,诺伊曼边界条件,9,NYMBJTJ,7,neumann_boundary_condition,26,nuoyimanbianjietiaojian,23
30,罗宾边界条件,8,LBBJTJ,6,robin_boundary_condition,24,luobinbianjietiaojian,21
31,傅里叶变换,8,FLYBH,5,fourier_transform,17,fuliyebianhuan,14
32,拉普拉斯变换,8,LPLSBH,6,laplace_transform,17,lapulasibianhuan,16
33,贝塞尔方程,8,BSEFC,5,bessel_equation,15,beisaierfangcheng,17
34,贝塞尔函数,7,BSEHS,5,bessel_function,15,beisaierhanshu,14
35,勒让德方程,8,LRDFC,5,legendre_equation,17,lerangdefangcheng,17
36,勒让德多项式,7,LRDDXS,6,legendre_polynomial,19,lerangdeduoxiangshi,19
37,球谐函数,6,QXHS,4,spherical_harmonic,18,qiuxiehanshu,12
38,变分法,5,BFF,3,calculus_of_variations,22,bianfenfa,9
39,泛函,7,FH,2,functional,10,fanhan,6
40,欧拉方程,7,OLFC,4,euler_equation,14,oulafangcheng,13
41,线性偏微分方程,9,XXPWFFC,7,linear_partial_differential_equation,36,xianxingpianweifenfangcheng,27
42,非线性偏微分方程,9,FXXPWFFC,8,nonlinear_partial_differential_equation,39,feixianxingpianweifenfangcheng,30
43,一阶偏微分方程,9,YJPWFFC,7,first_order_partial_differential_equation,41,yijiepianweifenfangcheng,24
44,二阶偏微分方程,9,EJPWFFC,7,second_order_partial_differential_equation,42,erjiepianweifenfangcheng,24
45,常微分方程,8,CWFFC,5,ordinary_differential_equation,30,changweifenfangcheng,20
46,齐次方程,7,QCFC,4,homogeneous_equation,20,qicifangcheng,13
47,非齐次方程,8,FQCFC,5,nonhomogeneous_equation,23,feiqicifangcheng,16
48,源项,6,YX,2,source_term,11,yuanxiang,9
49,边界值问题,7,BJZWT,5,boundary_value_problem,22,bianjiezhiwenti,15
50,柯西问题,6,KXWT,4,cauchy_problem,14,kexiwenti,9
51,混合问题,6,HHWT,4,mixed_problem,13,hunhewenti,10
52,适定性,6,SDX,3,well_posedness,14,shidingxing,11
53,解的唯一性,7,JDWYX,5,uniqueness_of_solution,22,jiedeweiyixing,14
54,解的稳定性,7,JDWDX,5,stability_of_solution,21,jiedewendingxing,16
55,能量法,6,NLF,3,energy_method,13,nengliangfa,11
56,最大值原理,8,ZDZYL,5,maximum_principle,17,zuidazhiyuanli,14
57,弱解,6,RJ,2,weak_solution,13,ruojie,6
58,强解,6,QJ,2,strong_solution,15,qiangjie,8
59,广义函数,6,GYHS,4,generalized_function,20,guangyihanshu,13
60,狄拉克函数,7,DLKHS,5,dirac_delta_function,20,dilakehanshu,12
61,阶跃函数,6,JYHS,4,step_function,13,jieyuehanshu,12
62,冲激函数,6,CJHS,4,impulse_function,16,chongjihanshu,13
63,卷积,6,JJ,2,convolution,11,juanji,6
64,傅里叶级数,7,FLYJS,5,fourier_series,14,fuliyejishu,11
65,正弦级数,6,ZXJS,4,sine_series,11,zhengxianjishu,14
66,余弦级数,6,YXJS,4,cosine_series,13,yuxianjishu,11
67,本征函数展开,7,BZHSZK,6,eigenfunction_expansion,23,benzhenghanshuzhankai,21
68,分离常数,6,FLCS,4,separation_constant,19,fenlichangshu,13
69,径向方程,7,JXFC,4,radial_equation,15,jingxiangfangcheng,18
70,角向方程,7,JXFC,4,angular_equation,16,jiaoxiangfangcheng,18
71,柱坐标系,6,ZZBX,4,cylindrical_coordinate_system,29,zhuzuobiaoxi,12
72,球坐标系,6,QZBX,4,spherical_coordinate_system,27,qiuzuobiaoxi,12
73,圆域,6,YY,2,circular_domain,15,yuanyu,6
74,球域,6,QY,2,spherical_domain,16,qiuyu,5
75,半空间,6,BKJ,3,half_space,10,bankongjian,11
76,无界区域,6,WJQY,4,unbounded_domain,16,wujiequyu,9
77,边界算子,6,BJSZ,4,boundary_operator,17,bianjiesuanzi,13
78,初值算子,6,CZSZ,4,initial_operator,16,chuzhisuanzi,12
79,拉普拉斯算子,7,LPLSSZ,6,laplace_operator,16,lapulasisuanzi,14
80,达朗贝尔算子,7,DLBESZ,6,d_alembert_operator,19,dalangbeiersuanzi,17
81,梯度算子,6,TDSZ,4,gradient_operator,17,tidusuanzi,10
82,散度算子,6,SDSZ,4,divergence_operator,19,sandusuanzi,11
83,旋度算子,6,XDSZ,4,curl_operator,13,xuandusuanzi,12
84,正交曲线坐标,7,ZJQXZB,6,orthogonal_curvilinear_coordinate,33,zhengjiaoquxianzuobiao,22
85,拉梅系数,6,LMXS,4,lame_coefficient,16,lameixishu,10
86,贝塞尔级数,7,BSEJS,5,bessel_series,13,beisaierjishu,13
87,第一类贝塞尔函数,8,DYLBSEHS,8,bessel_function_of_first_kind,29,diyileibeisaierhanshu,21
88,第二类贝塞尔函数,8,DELBSEHS,8,bessel_function_of_second_kind,30,dierleibeisaierhanshu,21
89,修正贝塞尔函数,8,XZBSEHS,7,modified_bessel_function,24,xiuzhengbeisaierhanshu,22
90,球贝塞尔函数,7,QBSEHS,6,spherical_bessel_function,25,qiubeisaierhanshu,17
91,埃尔米特方程,8,AEMTFC,6,hermitian_equation,18,aiermitefangcheng,17
92,埃尔米特多项式,8,AEMTDXS,7,hermite_polynomial,18,aiermiteduoxiangshi,19
93,拉盖尔方程,8,LGEFC,5,laguerre_equation,17,lagaierfangcheng,16
94,拉盖尔多项式,7,LGEDXS,6,laguerre_polynomial,19,lagaierduoxiangshi,18
95,格林公式,7,GLGS,4,green_formula,13,gelingongshi,12
96,格林恒等式,7,GLHDS,5,green_identity,14,gelinhengdengshi,16
97,泊松积分,6,PSJF,4,poisson_integral,16,posongjifen,11
98,泊松核,6,PSH,3,poisson_kernel,14,posonghe,8
99,热核,6,RH,2,heat_kernel,11,rehe,4
100,第三类边界条件,9,DSLBJTJ,7,third_kind_boundary_condition,29,disanleibianjietiaojian,23
101,混合边界条件,8,HHBJTJ,6,mixed_boundary_condition,24,hunhebianjietiaojian,20
102,自然边界条件,8,ZRBJTJ,6,natural_boundary_condition,26,ziranbianjietiaojian,20
103,齐次边界条件,8,QCBJTJ,6,homogeneous_boundary_condition,30,qicibianjietiaojian,19
104,非齐次边界条件,9,FQCBJTJ,7,nonhomogeneous_boundary_condition,33,feiqicibianjietiaojian,22
105,非齐次项,6,FQCX,4,nonhomogeneous_term,19,feiqicixiang,12
106,格林算子,6,GLSZ,4,green_operator,14,gelinsuanzi,11
107,传播子,6,CBZ,3,propagator,10,chuanbozi,9
108,解算子,6,JSZ,3,solution_operator,17,jiesuanzi,9
109,固有函数,6,GYHS,4,proper_function,15,guyouhanshu,11
