编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,数理统计,6,SLTJ,4,mathematical_statistics,23,shulitongji,11
2,总体,4,ZT,2,population,10,zongti,6
3,样本,4,YB,2,sample,6,yangben,7
4,样本容量,6,YBRL,4,sample_size,11,yangbenrongliang,16
5,统计量,6,TJL,3,statistic,9,tongjiliang,11
6,样本均值,6,YBJZ,4,sample_mean,11,yangbenjunzhi,13
7,样本方差,6,YBFC,4,sample_variance,15,yangbenfangcha,14
8,样本标准差,7,YBBZC,5,sample_standard_deviation,25,yangbenbiaozhuncha,18
9,经验分布函数,8,JYFBHS,6,empirical_distribution_function,31,jingyanfenbuhanshu,18
10,抽样分布,7,CYFB,4,sampling_distribution,21,chouyangfenbu,13
11,点估计,6,DGJ,3,point_estimation,16,dianguji,8
12,估计量,6,GJL,3,estimator,9,gujiliang,9
13,无偏性,6,WPX,3,unbiasedness,12,wupianxing,10
14,有效性,6,YXX,3,efficiency,10,youxiaoxing,11
15,一致性,6,YZX,3,consistency,11,yizhixing,9
16,最大似然估计,7,ZDSRGJ,6,maximum_likelihood_estimation,29,zuidashiranguji,15
17,矩估计,6,JGJ,3,method_of_moments,17,juguji,6
18,区间估计,6,QJGJ,4,interval_estimation,19,qujianguji,10
19,置信区间,6,ZXQJ,4,confidence_interval,19,zhixinqujian,12
20,置信水平,6,ZXSP,4,confidence_level,16,zhixinshuiping,14
21,假设检验,6,JSJY,4,hypothesis_testing,18,jiashejianyan,13
22,原假设,6,YJS,3,null_hypothesis,15,yuanjiashe,10
23,备择假设,6,BZJS,4,alternative_hypothesis,22,beizejiashe,11
24,显著性水平,7,XZXSP,5,significance_level,18,xianzhuxingshuiping,19
25,拒绝域,6,JJY,3,rejection_region,16,jujueyu,7
26,检验统计量,7,JYTJL,5,test_statistic,14,jianyantongjiliang,18
27,第一类错误,7,DYLCW,5,type_one_error,14,diyileicuowu,12
28,第二类错误,7,DELCW,5,type_two_error,14,dierleicuowu,12
29,功效函数,6,GXHS,4,power_function,14,gongxiaohanshu,14
30,正态总体,6,ZTZT,4,normal_population,17,zhengtaizongti,14
31,卡方分布,7,KFFB,4,chi_square_distribution,23,kafangfenbu,11
32,t分布,7,TFB,3,t_distribution,14,tfenbu,6
33,F分布,7,FFB,3,f_distribution,14,ffenbu,6
34,方差分析,6,FCFX,4,analysis_of_variance,20,fangchafenxi,12
35,回归分析,6,HGFX,4,regression_analysis,19,huiguifenxi,11
36,线性回归,6,XXHG,4,linear_regression,17,xianxinghuigui,14
37,最小二乘法,7,ZXECF,5,least_squares_method,20,zuixiaoerchengfa,16
38,相关分析,6,XGFX,4,correlation_analysis,20,xiangguanfenxi,14
39,非参数检验,7,FCSJY,5,nonparametric_test,18,feicanshujianyan,16
40,参数空间,6,CSKJ,4,parameter_space,15,canshukongjian,14
41,参数估计,6,CSGJ,4,parameter_estimation,20,canshuguji,10
42,充分统计量,7,CFTJL,5,sufficient_statistic,20,chongfentongjiliang,19
43,完全统计量,7,WQTJL,5,complete_statistic,18,wanquantongjiliang,18
44,最小充分统计量,8,ZXCFTJL,7,minimal_sufficient_statistic,28,zuixiaochongfentongjiliang,26
45,因子分解定理,8,YZFJDL,6,factorization_theorem,21,yinzifenjiedingli,17
46,拉奥布莱克韦尔定理,9,LABLKWEDL,9,rao_blackwell_theorem,21,laaobulaikeweierdingli,22
47,克拉默拉奥不等式,8,KLMLABDS,8,cramer_rao_inequality,21,kelamolaaobudengshi,19
48,费希尔信息量,7,FXEXXL,6,fisher_information,18,feixierxinxiliang,17
49,信息矩阵,6,XXJZ,4,information_matrix,18,xinxijuzhen,11
50,相合估计,6,XHGJ,4,consistent_estimation,21,xiangheguji,11
51,渐近正态性,7,JJZTX,5,asymptotic_normality,20,jianjinzhengtaixing,19
52,充分性,6,CFX,3,sufficiency,11,chongfenxing,12
53,完备性,6,WBX,3,completeness,12,wanbeixing,10
54,贝叶斯估计,7,BYSGJ,5,bayesian_estimation,19,beiyesiguji,11
55,先验分布,7,XYFB,4,prior_distribution,18,xianyanfenbu,12
56,后验分布,7,HYFB,4,posterior_distribution,22,houyanfenbu,11
57,损失函数,6,SSHS,4,loss_function,13,sunshihanshu,12
58,风险函数,6,FXHS,4,risk_function,13,fengxianhanshu,14
59,最小最大估计,7,ZXZDGJ,6,minimax_estimation,18,zuixiaozuidaguji,16
60,似然函数,6,SRHS,4,likelihood_function,19,shiranhanshu,12
61,对数似然函数,7,DSSRHS,6,log_likelihood_function,23,duishushiranhanshu,18
62,似然比检验,7,SRBJY,5,likelihood_ratio_test,21,shiranbijianyan,15
63,广义似然比检验,8,GYSRBJY,7,generalized_likelihood_ratio_test,33,guangyishiranbijianyan,22
64,p值,6,PZ,2,p_value,7,pzhi,4
65,临界值,6,LJZ,3,critical_value,14,linjiezhi,9
66,双侧检验,6,SCJY,4,two_sided_test,14,shuangcejianyan,15
67,单侧检验,6,DCJY,4,one_sided_test,14,dancejianyan,12
68,拟合优度检验,7,NHYDJY,6,goodness_of_fit_test,20,niheyoudujianyan,16
69,独立性检验,7,DLXJY,5,test_of_independence,20,dulixingjianyan,15
70,正态性检验,7,ZTXJY,5,normality_test,14,zhengtaixingjianyan,19
71,符号检验,6,FHJY,4,sign_test,9,fuhaojianyan,12
72,秩和检验,6,ZHJY,4,rank_sum_test,13,zhihejianyan,12
73,秩相关,6,ZXG,3,rank_correlation,16,zhixiangguan,12
74,协方差分析,7,XFCFX,5,analysis_of_covariance,22,xiefangchafenxi,15
75,多元统计分析,7,DYTJFX,6,multivariate_statistical_analysis,33,duoyuantongjifenxi,18
76,主成分分析,7,ZCFFX,5,principal_component_analysis,28,zhuchengfenfenxi,16
77,判别分析,6,PBFX,4,discriminant_analysis,21,panbiefenxi,11
78,聚类分析,6,JLFX,4,cluster_analysis,16,juleifenxi,10
79,列联表,6,LLB,3,contingency_table,17,lielianbiao,11
80,相关系数,6,XGXS,4,correlation_coefficient,23,xiangguanxishu,14
81,偏相关系数,7,PXGXS,5,partial_correlation_coefficient,31,pianxiangguanxishu,18
82,复相关系数,7,FXGXS,5,multiple_correlation_coefficient,32,fuxiangguanxishu,16
83,残差,6,CC,2,residual,8,cancha,6
84,残差平方和,7,CCPFH,5,residual_sum_of_squares,23,canchapingfanghe,16
85,回归系数,6,HGXS,4,regression_coefficient,22,huiguixishu,11
86,决定系数,6,JDXS,4,coefficient_of_determination,28,juedingxishu,12
87,置信带,6,ZXD,3,confidence_band,15,zhixindai,9
88,预测区间,6,YCQJ,4,prediction_interval,19,yucequjian,10
89,方差齐性,6,FCQX,4,homogeneity_of_variance,23,fangchaqixing,13
90,单因素方差分析,8,DYSFCFX,7,one_way_analysis_of_variance,28,danyinsufangchafenxi,20
91,双因素方差分析,8,SYSFCFX,7,two_way_analysis_of_variance,28,shuangyinsufangchafenxi,23
92,实验设计,6,SYSJ,4,design_of_experiments,21,shiyansheji,11
93,随机化,6,SJH,3,randomization,13,suijihua,8
94,抽样,6,CY,2,sampling,8,chouyang,8
95,简单随机样本,7,JDSJYB,6,simple_random_sample,20,jiandansuijiyangben,19
96,样本矩,6,YBJ,3,sample_moment,13,yangbenju,9
97,中心矩,6,ZXJ,3,central_moment,14,zhongxinju,10
98,样本中心矩,7,YBZXJ,5,sample_central_moment,21,yangbenzhongxinju,17
99,偏度,6,PD,2,skewness,8,piandu,6
100,峰度,6,FD,2,kurtosis,8,fengdu,6
101,经验矩,6,JYJ,3,empirical_moment,16,jingyanju,9
102,统计推断,6,TJTD,4,statistical_inference,21,tongjituiduan,13
103,区间长度,6,QJCD,4,interval_length,15,qujianchangdu,13
104,覆盖概率,6,FGGL,4,coverage_probability,20,fugaigailv,10
105,枢轴量,6,SZL,3,pivot_quantity,14,shuzhouliang,12
