编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,数值分析,5,SZFX,4,shu_zhi_fen_xi,14,shuzhifenxi,11
2,舍入误差,5,SRWC,4,roundoff_error,14,sheruwucha,10
3,截断误差,5,JDWC,4,truncation_error,16,jieduanwucha,12
4,插值多项式,5,CZDXS,5,interpolation_duo_xiang_shi,27,chazhiduoxiangshi,17
5,拉格朗日插值,6,LGLRCZ,6,la_ge_lang_ri_interpolation,27,lagelangrichazhi,16
6,牛顿插值,6,NDCZ,4,niu_dun_interpolation,21,niudunchazhi,12
7,差分,4,CF,2,cha_fen,7,chafen,6
8,数值积分,5,SZJF,4,shu_zhi_integral,16,shuzhijifen,11
9,梯形公式,5,TXGS,4,ti_xing_formula,15,tixinggongshi,13
10,辛普森公式,6,XPSGS,5,xin_pu_sen_formula,18,xinpusengongshi,15
11,欧拉方法,5,OLFF,4,ou_la_method,12,oulafangfa,10
12,龙格库塔方法,7,LGKTFF,6,long_ge_ku_ta_method,20,longgekutafangfa,16
13,迭代法,5,DDF,3,die_dai_fa,10,diedaifa,8
14,条件数,6,TJS,3,condition_number,16,tiaojianshu,11
15,收敛阶,6,SLJ,3,order_of_convergence,20,shoulianjie,11
16,绝对误差,6,JDWC,4,jue_dui_wu_cha,14,jueduiwucha,11
17,相对误差,6,XDWC,4,xiang_dui_wu_cha,16,xiangduiwucha,13
18,有效数字,6,YXSZ,4,you_xiao_shu_zi,15,youxiaoshuzi,12
19,病态问题,6,BTWT,4,bing_tai_problem,16,bingtaiwenti,12
20,向后误差,6,XHWC,4,xiang_hou_wu_cha,16,xianghouwucha,13
21,向前误差,6,XQWC,4,xiang_qian_wu_cha,17,xiangqianwucha,14
22,稳定算法,6,WDSF,4,stable_suan_fa,14,wendingsuanfa,13
23,不稳定算法,6,BWDSF,5,bu_stable_suan_fa,17,buwendingsuanfa,15
24,误差阶,6,WCJ,3,wu_cha_jie,10,wuchajie,8
25,Lagrange插值,6,LAGRANGECZ,10,lagrange_interpolation,22,Lagrangechazhi,14
26,Newton插值,6,NEWTONCZ,8,newton_interpolation,20,Newtonchazhi,12
27,Hermite插值,6,HERMITECZ,9,hermite_interpolation,21,Hermitechazhi,13
28,分段线性插值,6,FDXXCZ,6,fen_duan_linear_interpolation,29,fenduanxianxingchazhi,21
29,三次样条插值,6,SCYTCZ,6,san_ci_spline_interpolation,27,sanciyangtiaochazhi,19
30,自然样条,6,ZRYT,4,zi_ran_spline,13,ziranyangtiao,13
31,B样条,6,BYT,3,b_spline,8,Byangtiao,9
32,Chebyshev插值,6,CHEBYSHEVCZ,11,chebyshev_interpolation,23,Chebyshevchazhi,15
33,最小二乘逼近,6,ZXECBJ,6,zui_xiao_er_cheng_bi_jin,24,zuixiaoerchengbijin,19
34,一致逼近,6,YZBJ,4,yi_zhi_bi_jin,13,yizhibijin,10
35,最佳平方逼近,6,ZJPFBJ,6,zui_jia_ping_fang_bi_jin,24,zuijiapingfangbijin,19
36,正交多项式逼近,6,ZJDXSBJ,7,zheng_jiao_duo_xiang_shi_bi_jin,31,zhengjiaoduoxiangshibijin,25
37,复化梯形公式,6,FHTXGS,6,fu_hua_ti_xing_formula,22,fuhuatixinggongshi,18
38,复化Simpson公式,6,FHSIMPSONGS,11,fu_hua_simpson_formula,22,fuhuaSimpsongongshi,19
39,Gauss求积,6,GAUSSQJ,7,gauss_quadrature,16,Gaussqiuji,10
40,GaussLegendre求积,6,GAUSSLEGENDREQJ,15,gauss_legendre_quadrature,25,GaussLegendreqiuji,18
41,自适应求积,6,ZSYQJ,5,zi_shi_ying_quadrature,22,zishiyingqiuji,14
42,Romberg积分,6,ROMBERGJF,9,romberg_integral,16,Rombergjifen,12
43,Euler方法,6,EULERFF,7,euler_method,12,Eulerfangfa,11
44,改进Euler方法,6,GJEULERFF,9,gai_jin_euler_method,20,gaijinEulerfangfa,17
45,显式RungeKutta方法,6,XSRUNGEKUTTAFF,14,xian_shi_runge_kutta_method,27,xianshiRungeKuttafangfa,23
46,隐式RungeKutta方法,6,YSRUNGEKUTTAFF,14,yin_shi_runge_kutta_method,26,yinshiRungeKuttafangfa,22
47,AdamsBashforth方法,6,ADAMSBASHFORTHFF,16,adams_bashforth_method,22,AdamsBashforthfangfa,20
48,AdamsMoulton方法,6,ADAMSMOULTONFF,14,adams_moulton_method,20,AdamsMoultonfangfa,18
49,BDF方法,6,BDFFF,5,bdf_method,10,BDFfangfa,9
50,线性多步法,6,XXDBF,5,linear_duo_bu_fa,16,xianxingduobufa,15
51,单步法,6,DBF,3,dan_bu_fa,9,danbufa,7
52,局部截断误差,6,JBJDWC,6,ju_bu_truncation_error,22,jubujieduanwucha,16
53,全局误差,6,QJWC,4,quan_ju_wu_cha,14,quanjuwucha,11
54,A稳定性,6,AWDX,4,a_stable_xing,13,Awendingxing,12
55,L稳定性,6,LWDX,4,l_stable_xing,13,Lwendingxing,12
56,Newton迭代,6,NEWTONDD,8,newton_die_dai,14,Newtondiedai,12
57,割线法,6,GXF,3,ge_xian_fa,10,gexianfa,8
58,二分法,6,EFF,3,er_fen_fa,9,erfenfa,7
59,不动点迭代,6,BDDDD,5,bu_dong_dian_die_dai,20,budongdiandiedai,16
60,Aitken加速,6,AITKENJS,8,aitken_jia_su,13,Aitkenjiasu,11
61,Jacobi迭代,6,JACOBIDD,8,jacobi_die_dai,14,Jacobidiedai,12
62,GaussSeidel迭代,6,GAUSSSEIDELDD,13,gauss_seidel_die_dai,20,GaussSeideldiedai,17
63,SOR迭代,6,SORDD,5,sor_die_dai,11,SORdiedai,9
64,共轭梯度法,6,GETDF,5,gong_e_ti_du_fa,15,gongetidufa,11
65,最速下降法,6,ZSXJF,5,zui_su_xia_jiang_fa,19,zuisuxiajiangfa,15
66,预条件子,6,YTJZ,4,yu_condition_zi,15,yutiaojianzi,12
67,Cholesky分解,6,CHOLESKYFJ,10,cholesky_fen_solution,21,Choleskyfenjie,14
68,Householder变换,6,HOUSEHOLDERBH,13,householder_bian_huan,21,Householderbianhuan,19
69,Givens旋转,6,GIVENSXZ,8,givens_xuan_zhuan,17,Givensxuanzhuan,15
70,幂法,6,MF,2,mi_fa,5,mifa,4
71,反幂法,6,FMF,3,fan_mi_fa,9,fanmifa,7
72,QR算法,6,QRSF,4,qr_suan_fa,10,QRsuanfa,8
73,Arnoldi过程,6,ARNOLDIGC,9,arnoldi_guo_cheng,17,Arnoldiguocheng,15
74,Lanczos过程,6,LANCZOSGC,9,lanczos_guo_cheng,17,Lanczosguocheng,15
75,Krylov子空间,6,KRYLOVZKJ,9,krylov_zi_space,15,Krylovzikongjian,16
76,有限差分法,6,YXCFF,5,finite_difference_fa,20,youxianchafenfa,15
77,有限元法,6,YXYF,4,finite_element_fa,17,youxianyuanfa,13
78,有限体积法,6,YXTJF,5,finite_volume_fa,16,youxiantijifa,13
79,谱方法,6,PFF,3,pu_method,9,pufangfa,8
80,网格剖分,6,WGPF,4,wang_ge_pou_fen,15,wanggepoufen,12
81,一致网格,6,YZWG,4,yi_zhi_wang_ge,14,yizhiwangge,11
82,非一致网格,6,FYZWG,5,fei_yi_zhi_wang_ge,18,feiyizhiwangge,14
83,CFL条件,6,CFLTJ,5,cfl_condition,13,CFLtiaojian,11
84,数值耗散,6,SZHS,4,shu_zhi_hao_san,15,shuzhihaosan,12
85,数值色散,6,SZSS,4,shu_zhi_se_san,14,shuzhisesan,11
86,上风格式,6,SFGS,4,shang_feng_ge_shi,17,shangfenggeshi,14
87,中心差分格式,6,ZXCFGS,6,zhong_xin_cha_fen_ge_shi,24,zhongxinchafengeshi,19
88,迎风格式,6,YFGS,4,ying_feng_ge_shi,16,yingfenggeshi,13
89,CrankNicolson格式,6,CRANKNICOLSONGS,15,cranknicolson_ge_shi,20,CrankNicolsongeshi,18
90,Richardson外推,6,RICHARDSONWT,12,richardson_wai_tui,18,Richardsonwaitui,16
91,多重网格法,6,DZWGF,5,multigrid_fa,12,duozhongwanggefa,16
92,稀疏矩阵,6,XSJZ,4,sparse_matrix,13,xishujuzhen,11
93,带状矩阵,6,DZJZ,4,dai_zhuang_ju_zhen,18,daizhuangjuzhen,15
94,压缩存储,6,YSCC,4,ya_suo_cun_chu,14,yasuocunchu,11
95,快速Fourier变换,6,KSFOURIERBH,11,kuai_su_fourier_bian_huan,25,kuaisuFourierbianhuan,21
96,离散Fourier变换,6,LSFOURIERBH,11,li_san_fourier_bian_huan,24,lisanFourierbianhuan,20
97,离散余弦变换,6,LSYXBH,6,li_san_yu_xian_bian_huan,24,lisanyuxianbianhuan,19
98,随机数生成,6,SJSSC,5,sui_ji_shu_sheng_cheng,22,suijishushengcheng,18
99,MonteCarlo积分,6,MONTECARLOJF,12,montecarlo_integral,19,MonteCarlojifen,15
100,显式格式,7,XSGS,4,xian_shi_ge_shi,15,xianshigeshi,12
