编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,线性规划建模方法,7,XXGHJMFF,8,operations_research_linear_programming_modeling_method,54,xianxingguihuajianmofangfa,26
2,线性规划可行域,7,XXGHKXY,7,operations_research_linear_programming_feasible_region,54,xianxingguihuakexingyu,22
3,线性规划最优解,7,XXGHZYJ,7,operations_research_linear_programming_optimal_solution,55,xianxingguihuazuiyoujie,23
4,线性规划对偶问题,7,XXGHDOWT,8,operations_research_linear_programming_dual_problem,51,xianxingguihuaduiouwenti,24
5,线性规划敏感性分析,7,XXGHMGXFX,9,operations_research_linear_programming_sensitivity_analysis,59,xianxingguihuaminganxingfenxi,29
6,线性规划单纯形法,7,XXGHDCXF,8,operations_research_linear_programming_simplex_method,53,xianxingguihuadanchunxingfa,27
7,线性规划分支定界,7,XXGHFZDJ,8,operations_research_linear_programming_branch_and_bound,55,xianxingguihuafenzhidingjie,27
8,线性规划状态转移,7,XXGHZTZY,8,operations_research_linear_programming_state_transition,55,xianxingguihuazhuangtaizhuanyi,30
9,线性规划算法复杂度,7,XXGHSFFZD,9,operations_research_linear_programming_algorithm_complexity,59,xianxingguihuasuanfafuzadu,26
10,线性规划案例分析,7,XXGHALFX,8,operations_research_linear_programming_case_analysis,52,xianxingguihuaanlifenxi,23
11,整数规划建模方法,7,ZSGHJMFF,8,operations_research_integer_programming_modeling_method,55,zhengshuguihuajianmofangfa,26
12,整数规划可行域,7,ZSGHKXY,7,operations_research_integer_programming_feasible_region,55,zhengshuguihuakexingyu,22
13,整数规划最优解,7,ZSGHZYJ,7,operations_research_integer_programming_optimal_solution,56,zhengshuguihuazuiyoujie,23
14,整数规划对偶问题,7,ZSGHDOWT,8,operations_research_integer_programming_dual_problem,52,zhengshuguihuaduiouwenti,24
15,整数规划敏感性分析,7,ZSGHMGXFX,9,operations_research_integer_programming_sensitivity_analysis,60,zhengshuguihuaminganxingfenxi,29
16,整数规划单纯形法,7,ZSGHDCXF,8,operations_research_integer_programming_simplex_method,54,zhengshuguihuadanchunxingfa,27
17,整数规划分支定界,7,ZSGHFZDJ,8,operations_research_integer_programming_branch_and_bound,56,zhengshuguihuafenzhidingjie,27
18,整数规划状态转移,7,ZSGHZTZY,8,operations_research_integer_programming_state_transition,56,zhengshuguihuazhuangtaizhuanyi,30
19,整数规划算法复杂度,7,ZSGHSFFZD,9,operations_research_integer_programming_algorithm_complexity,60,zhengshuguihuasuanfafuzadu,26
20,整数规划案例分析,7,ZSGHALFX,8,operations_research_integer_programming_case_analysis,53,zhengshuguihuaanlifenxi,23
21,动态规划建模方法,7,DTGHJMFF,8,operations_research_dynamic_programming_modeling_method,55,dongtaiguihuajianmofangfa,25
22,动态规划可行域,7,DTGHKXY,7,operations_research_dynamic_programming_feasible_region,55,dongtaiguihuakexingyu,21
23,动态规划最优解,7,DTGHZYJ,7,operations_research_dynamic_programming_optimal_solution,56,dongtaiguihuazuiyoujie,22
24,动态规划对偶问题,7,DTGHDOWT,8,operations_research_dynamic_programming_dual_problem,52,dongtaiguihuaduiouwenti,23
25,动态规划敏感性分析,7,DTGHMGXFX,9,operations_research_dynamic_programming_sensitivity_analysis,60,dongtaiguihuaminganxingfenxi,28
26,动态规划单纯形法,7,DTGHDCXF,8,operations_research_dynamic_programming_simplex_method,54,dongtaiguihuadanchunxingfa,26
27,动态规划分支定界,7,DTGHFZDJ,8,operations_research_dynamic_programming_branch_and_bound,56,dongtaiguihuafenzhidingjie,26
28,动态规划状态转移,7,DTGHZTZY,8,operations_research_dynamic_programming_state_transition,56,dongtaiguihuazhuangtaizhuanyi,29
29,动态规划算法复杂度,7,DTGHSFFZD,9,operations_research_dynamic_programming_algorithm_complexity,60,dongtaiguihuasuanfafuzadu,25
30,动态规划案例分析,7,DTGHALFX,8,operations_research_dynamic_programming_case_analysis,53,dongtaiguihuaanlifenxi,22
31,网络流建模方法,7,WLLJMFF,7,operations_research_network_flow_modeling_method,48,wangluoliujianmofangfa,22
32,网络流可行域,7,WLLKXY,6,operations_research_network_flow_feasible_region,48,wangluoliukexingyu,18
33,网络流最优解,7,WLLZYJ,6,operations_research_network_flow_optimal_solution,49,wangluoliuzuiyoujie,19
34,网络流对偶问题,7,WLLDOWT,7,operations_research_network_flow_dual_problem,45,wangluoliuduiouwenti,20
35,网络流敏感性分析,7,WLLMGXFX,8,operations_research_network_flow_sensitivity_analysis,53,wangluoliuminganxingfenxi,25
36,网络流单纯形法,7,WLLDCXF,7,operations_research_network_flow_simplex_method,47,wangluoliudanchunxingfa,23
37,网络流分支定界,7,WLLFZDJ,7,operations_research_network_flow_branch_and_bound,49,wangluoliufenzhidingjie,23
38,网络流状态转移,7,WLLZTZY,7,operations_research_network_flow_state_transition,49,wangluoliuzhuangtaizhuanyi,26
39,网络流算法复杂度,7,WLLSFFZD,8,operations_research_network_flow_algorithm_complexity,53,wangluoliusuanfafuzadu,22
40,网络流案例分析,7,WLLALFX,7,operations_research_network_flow_case_analysis,46,wangluoliuanlifenxi,19
41,排队模型建模方法,7,PDMXJMFF,8,operations_research_queueing_model_modeling_method,50,paiduimoxingjianmofangfa,24
42,排队模型可行域,7,PDMXKXY,7,operations_research_queueing_model_feasible_region,50,paiduimoxingkexingyu,20
43,排队模型最优解,7,PDMXZYJ,7,operations_research_queueing_model_optimal_solution,51,paiduimoxingzuiyoujie,21
44,排队模型对偶问题,7,PDMXDOWT,8,operations_research_queueing_model_dual_problem,47,paiduimoxingduiouwenti,22
45,排队模型敏感性分析,7,PDMXMGXFX,9,operations_research_queueing_model_sensitivity_analysis,55,paiduimoxingminganxingfenxi,27
46,排队模型单纯形法,7,PDMXDCXF,8,operations_research_queueing_model_simplex_method,49,paiduimoxingdanchunxingfa,25
47,排队模型分支定界,7,PDMXFZDJ,8,operations_research_queueing_model_branch_and_bound,51,paiduimoxingfenzhidingjie,25
48,排队模型状态转移,7,PDMXZTZY,8,operations_research_queueing_model_state_transition,51,paiduimoxingzhuangtaizhuanyi,28
49,排队模型算法复杂度,7,PDMXSFFZD,9,operations_research_queueing_model_algorithm_complexity,55,paiduimoxingsuanfafuzadu,24
50,排队模型案例分析,7,PDMXALFX,8,operations_research_queueing_model_case_analysis,48,paiduimoxinganlifenxi,21
51,库存模型建模方法,7,KCMXJMFF,8,operations_research_inventory_model_modeling_method,51,kucunmoxingjianmofangfa,23
52,库存模型可行域,7,KCMXKXY,7,operations_research_inventory_model_feasible_region,51,kucunmoxingkexingyu,19
53,库存模型最优解,7,KCMXZYJ,7,operations_research_inventory_model_optimal_solution,52,kucunmoxingzuiyoujie,20
54,库存模型对偶问题,7,KCMXDOWT,8,operations_research_inventory_model_dual_problem,48,kucunmoxingduiouwenti,21
55,库存模型敏感性分析,7,KCMXMGXFX,9,operations_research_inventory_model_sensitivity_analysis,56,kucunmoxingminganxingfenxi,26
56,库存模型单纯形法,7,KCMXDCXF,8,operations_research_inventory_model_simplex_method,50,kucunmoxingdanchunxingfa,24
57,库存模型分支定界,7,KCMXFZDJ,8,operations_research_inventory_model_branch_and_bound,52,kucunmoxingfenzhidingjie,24
58,库存模型状态转移,7,KCMXZTZY,8,operations_research_inventory_model_state_transition,52,kucunmoxingzhuangtaizhuanyi,27
59,库存模型算法复杂度,7,KCMXSFFZD,9,operations_research_inventory_model_algorithm_complexity,56,kucunmoxingsuanfafuzadu,23
60,库存模型案例分析,7,KCMXALFX,8,operations_research_inventory_model_case_analysis,49,kucunmoxinganlifenxi,20
61,决策分析建模方法,7,JCFXJMFF,8,operations_research_decision_analysis_modeling_method,53,juecefenxijianmofangfa,22
62,决策分析可行域,7,JCFXKXY,7,operations_research_decision_analysis_feasible_region,53,juecefenxikexingyu,18
63,决策分析最优解,7,JCFXZYJ,7,operations_research_decision_analysis_optimal_solution,54,juecefenxizuiyoujie,19
64,决策分析对偶问题,7,JCFXDOWT,8,operations_research_decision_analysis_dual_problem,50,juecefenxiduiouwenti,20
65,决策分析敏感性分析,7,JCFXMGXFX,9,operations_research_decision_analysis_sensitivity_analysis,58,juecefenximinganxingfenxi,25
66,决策分析单纯形法,7,JCFXDCXF,8,operations_research_decision_analysis_simplex_method,52,juecefenxidanchunxingfa,23
67,决策分析分支定界,7,JCFXFZDJ,8,operations_research_decision_analysis_branch_and_bound,54,juecefenxifenzhidingjie,23
68,决策分析状态转移,7,JCFXZTZY,8,operations_research_decision_analysis_state_transition,54,juecefenxizhuangtaizhuanyi,26
69,决策分析算法复杂度,7,JCFXSFFZD,9,operations_research_decision_analysis_algorithm_complexity,58,juecefenxisuanfafuzadu,22
70,决策分析案例分析,7,JCFXALFX,8,operations_research_decision_analysis_case_analysis,51,juecefenxianlifenxi,19
71,博弈模型建模方法,7,BYMXJMFF,8,operations_research_game_model_modeling_method,46,boyimoxingjianmofangfa,22
72,博弈模型可行域,7,BYMXKXY,7,operations_research_game_model_feasible_region,46,boyimoxingkexingyu,18
73,博弈模型最优解,7,BYMXZYJ,7,operations_research_game_model_optimal_solution,47,boyimoxingzuiyoujie,19
74,博弈模型对偶问题,7,BYMXDOWT,8,operations_research_game_model_dual_problem,43,boyimoxingduiouwenti,20
75,博弈模型敏感性分析,7,BYMXMGXFX,9,operations_research_game_model_sensitivity_analysis,51,boyimoxingminganxingfenxi,25
76,博弈模型单纯形法,7,BYMXDCXF,8,operations_research_game_model_simplex_method,45,boyimoxingdanchunxingfa,23
77,博弈模型分支定界,7,BYMXFZDJ,8,operations_research_game_model_branch_and_bound,47,boyimoxingfenzhidingjie,23
78,博弈模型状态转移,7,BYMXZTZY,8,operations_research_game_model_state_transition,47,boyimoxingzhuangtaizhuanyi,26
79,博弈模型算法复杂度,7,BYMXSFFZD,9,operations_research_game_model_algorithm_complexity,51,boyimoxingsuanfafuzadu,22
80,博弈模型案例分析,7,BYMXALFX,8,operations_research_game_model_case_analysis,44,boyimoxinganlifenxi,19
81,运输问题建模方法,7,YSWTJMFF,8,operations_research_transportation_problem_modeling_method,58,yunshuwentijianmofangfa,23
82,运输问题可行域,7,YSWTKXY,7,operations_research_transportation_problem_feasible_region,58,yunshuwentikexingyu,19
83,运输问题最优解,7,YSWTZYJ,7,operations_research_transportation_problem_optimal_solution,59,yunshuwentizuiyoujie,20
84,运输问题对偶问题,7,YSWTDOWT,8,operations_research_transportation_problem_dual_problem,55,yunshuwentiduiouwenti,21
85,运输问题敏感性分析,7,YSWTMGXFX,9,operations_research_transportation_problem_sensitivity_analysis,63,yunshuwentiminganxingfenxi,26
86,运输问题单纯形法,7,YSWTDCXF,8,operations_research_transportation_problem_simplex_method,57,yunshuwentidanchunxingfa,24
87,运输问题分支定界,7,YSWTFZDJ,8,operations_research_transportation_problem_branch_and_bound,59,yunshuwentifenzhidingjie,24
88,运输问题状态转移,7,YSWTZTZY,8,operations_research_transportation_problem_state_transition,59,yunshuwentizhuangtaizhuanyi,27
89,运输问题算法复杂度,7,YSWTSFFZD,9,operations_research_transportation_problem_algorithm_complexity,63,yunshuwentisuanfafuzadu,23
90,运输问题案例分析,7,YSWTALFX,8,operations_research_transportation_problem_case_analysis,56,yunshuwentianlifenxi,20
91,指派问题建模方法,7,ZPWTJMFF,8,operations_research_assignment_problem_modeling_method,54,zhipaiwentijianmofangfa,23
92,指派问题可行域,7,ZPWTKXY,7,operations_research_assignment_problem_feasible_region,54,zhipaiwentikexingyu,19
93,指派问题最优解,7,ZPWTZYJ,7,operations_research_assignment_problem_optimal_solution,55,zhipaiwentizuiyoujie,20
94,指派问题对偶问题,7,ZPWTDOWT,8,operations_research_assignment_problem_dual_problem,51,zhipaiwentiduiouwenti,21
95,指派问题敏感性分析,7,ZPWTMGXFX,9,operations_research_assignment_problem_sensitivity_analysis,59,zhipaiwentiminganxingfenxi,26
96,指派问题单纯形法,7,ZPWTDCXF,8,operations_research_assignment_problem_simplex_method,53,zhipaiwentidanchunxingfa,24
97,指派问题分支定界,7,ZPWTFZDJ,8,operations_research_assignment_problem_branch_and_bound,55,zhipaiwentifenzhidingjie,24
98,指派问题状态转移,7,ZPWTZTZY,8,operations_research_assignment_problem_state_transition,55,zhipaiwentizhuangtaizhuanyi,27
99,指派问题算法复杂度,7,ZPWTSFFZD,9,operations_research_assignment_problem_algorithm_complexity,59,zhipaiwentisuanfafuzadu,23
100,指派问题案例分析,7,ZPWTALFX,8,operations_research_assignment_problem_case_analysis,52,zhipaiwentianlifenxi,20
