编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,偏微分方程柯西问题,6,PWFFCKXWT,9,cauchy_problem,14,pianweifenfangchengkexiwenti,28
2,狄利克雷问题,6,DLKLWT,6,dirichlet_problem,17,dilikeleiwenti,14
3,诺伊曼问题,6,NYMWT,5,neumann_problem,15,nuoyimanwenti,13
4,混合罗宾边界条件,6,HHLBBJTJ,8,robin_boundary_condition,24,hunheluobinbianjietiaojian,26
5,能量估计,7,NLGJ,4,energy_estimate,15,nengliangguji,13
6,先验估计,7,XYGJ,4,a_priori_estimate,17,xianyanguji,11
7,索伯列夫空间,8,SBLFKJ,6,sobolev_space,13,suoboliefukongjian,18
8,弱导数,7,RDS,3,weak_derivative,15,ruodaoshu,9
9,椭圆正则性,8,TYZZX,5,elliptic_regularity,19,tuoyuanzhengzexing,18
10,偏微分方程傅里叶方法,6,PWFFCFLYFF,10,fourier_method,14,pianweifenfangchengfuliyefangfa,31
11,特征线法,7,TZXF,4,characteristic_fa,17,tezhengxianfa,13
12,守恒律,7,SHL,3,conservation_law,16,shouhenglv,10
13,激波,8,JB,2,shock_wave,10,jibo,4
14,粘性解,8,ZXJ,3,viscosity_solution,18,zhanxingjie,11
15,半线性椭圆方程,7,BXXTYFC,7,semilinear_elliptic_equation,28,banxianxingtuoyuanfangcheng,27
16,拟线性椭圆方程,7,NXXTYFC,7,quasilinear_elliptic_equation,29,nixianxingtuoyuanfangcheng,26
17,完全非线性椭圆方程,7,WQFXXTYFC,9,fully_nonlinear_elliptic_equation,33,wanquanfeixianxingtuoyuanfangcheng,34
18,退化椭圆方程,7,THTYFC,6,degenerate_elliptic_equation,28,tuihuatuoyuanfangcheng,22
19,一致椭圆方程,7,YZTYFC,6,uniformly_elliptic_equation,27,yizhituoyuanfangcheng,21
20,散度型椭圆方程,7,SDXTYFC,7,divergence_form_elliptic_equation,33,sanduxingtuoyuanfangcheng,25
21,非散度型椭圆方程,7,FSDXTYFC,8,nondivergence_form_elliptic_equation,36,feisanduxingtuoyuanfangcheng,28
22,强抛物方程,7,QPWFC,5,strongly_parabolic_equation,27,qiangpaowufangcheng,19
23,退化抛物方程,7,THPWFC,6,degenerate_parabolic_equation,29,tuihuapaowufangcheng,20
24,反应扩散方程,7,FYKSFC,6,reaction_diffusion_equation,27,fanyingkuosanfangcheng,22
25,对流扩散方程,7,DLKSFC,6,convection_diffusion_equation,29,duiliukuosanfangcheng,21
26,哈密顿-雅可比方程,7,HMDYKBFC,8,hamilton_jacobi_equation,24,hamidunyakebifangcheng,22
27,伯格斯方程,7,BGSFC,5,burgers_equation,16,bogesifangcheng,15
28,科特韦格-德弗里斯方程,7,KTWGDFLSFC,10,korteweg_de_vries_equation,26,keteweigedefulisifangcheng,26
29,纳维-斯托克斯方程,7,NWSTKSFC,8,navier_stokes_equation,22,naweisituokesifangcheng,23
30,欧拉流体方程,7,OLLTFC,6,euler_liu_ti_equation,21,oulaliutifangcheng,18
31,艾伦-卡恩方程,7,ALKEFC,6,allen_cahn_equation,19,ailunkaenfangcheng,18
32,卡恩-希利亚德方程,7,KEXLYDFC,8,cahn_hilliard_equation,22,kaenxiliyadefangcheng,21
33,蒙日-安培方程,7,MRAPFC,6,monge_ampere_equation,21,mengrianpeifangcheng,20
34,福克-普朗克方程,7,FKPLKFC,7,fokkerplanck_equation,21,fukepulangkefangcheng,21
35,输运方程,7,SYFC,4,transport_equation,18,shuyunfangcheng,15
36,扩散方程,7,KSFC,4,diffusion_equation,18,kuosanfangcheng,15
37,非局部方程,7,FJBFC,5,non_local_equation,18,feijubufangcheng,16
38,分数阶拉普拉斯方程,7,FSJLPLSFC,9,fractional_laplacian_equation,29,fenshujielapulasifangcheng,26
39,障碍问题,7,ZAWT,4,barrier_problem,15,zhangaiwenti,12
40,自由边界问题,7,ZYBJWT,6,free_boundary_problem,21,ziyoubianjiewenti,17
41,弱形式,7,RXS,3,weak_form,9,ruoxingshi,10
42,强形式,7,QXS,3,strong_form,11,qiangxingshi,12
43,变分形式,7,BFXS,4,variational_form,16,bianfenxingshi,14
44,分布解,7,FBJ,3,distribution_solution,21,fenbujie,8
45,熵解,7,SJ,2,shang_solution,14,shangjie,8
46,经典解,7,JDJ,3,classic_solution,16,jingdianjie,11
47,基本解估计,7,JBJGJ,5,fundamental_solution_estimate,29,jibenjieguji,12
48,格林表示公式,7,GLBSGS,6,green_representation_formula,28,gelinbiaoshigongshi,19
49,伽辽金逼近,7,GLJBJ,5,galerkin_approaches,19,galiaojinbijin,14
50,紧性方法,7,JXFF,4,compact_xing_method,19,jinxingfangfa,13
51,单调算子方法,7,DDSZFF,6,monotone_operator_method,24,dandiaosuanzifangfa,19
52,上解下解方法,7,SJXJFF,6,shang_solution_xia_solution_method,34,shangjiexiajiefangfa,20
53,佩龙方法,7,PLFF,4,perron_method,13,peilongfangfa,13
54,粘性逼近,7,ZXBJ,4,viscosity_bi_jin,16,zhanxingbijin,13
55,正则化方法,7,ZZHFF,5,regularization_method,21,zhengzehuafangfa,16
56,半群方法,7,BQFF,4,semigroup_method,16,banqunfangfa,12
57,强最大值原理,7,QZDZYL,6,strong_maximum_principle,24,qiangzuidazhiyuanli,19
58,比较原理,7,BJYL,4,comparison_principle,20,bijiaoyuanli,12
59,哈纳克不等式,7,HNKBDS,6,harnack_inequality,18,hanakebudengshi,15
60,绍德尔估计,7,SDEGJ,5,schauder_estimate,17,shaodeerguji,12
61,卡尔德龙-齐格蒙德估计,7,KEDLQGMDGJ,10,calderon_zygmund_estimate,25,kaerdelongqigemengdeguji,24
62,德乔治迭代,7,DQZDD,5,de_george_iteration,19,deqiaozhidiedai,15
63,莫泽迭代,7,MZDD,4,moser_iteration,15,mozediedai,10
64,弱最大值原理,7,RZDZYL,6,weak_maximum_principle,22,ruozuidazhiyuanli,17
65,边界正则性,7,BJZZX,5,boundary_regularity,19,bianjiezhengzexing,18
66,内部正则性,7,NBZZX,5,interior_regularity,19,neibuzhengzexing,16
67,迹定理,7,JDL,3,ji_theorem,10,jidingli,8
68,庞加莱不等式,7,PJLBDS,6,poincare_inequality,19,pangjialaibudengshi,19
69,科恩不等式,7,KEBDS,5,korn_inequality,15,keenbudengshi,13
70,椭圆方程狄利克雷边界条件,6,TYFCDLKLBJTJ,12,dirichlet_boundary_condition,28,tuoyuanfangchengdilikeleibianjietiaojian,40
71,狄利克雷边值问题,6,DLKLBZWT,8,dirichlet_edge_value_problem,28,dilikeleibianzhiwenti,21
72,椭圆方程诺伊曼边界条件,6,TYFCNYMBJTJ,11,neumann_boundary_condition,26,tuoyuanfangchengnuoyimanbianjietiaojian,39
73,诺伊曼边值问题,6,NYMBZWT,7,neumann_edge_value_problem,26,nuoyimanbianzhiwenti,20
74,罗宾边值问题,6,LBBZWT,6,robin_boundary_value_problem,28,luobinbianzhiwenti,18
75,周期边界条件,6,ZQBJTJ,6,periodic_boundary_conditions,28,zhouqibianjietiaojian,21
76,周期边值问题,6,ZQBZWT,6,periodic_boundary_value_problem,31,zhouqibianzhiwenti,18
77,混合边值问题,6,HHBZWT,6,mixed_boundary_value_problem,28,hunhebianzhiwenti,17
78,吸收边界条件,6,XSBJTJ,6,absorbing_boundary_conditions,29,xishoubianjietiaojian,21
79,吸收边值问题,6,XSBZWT,6,absorbing_boundary_value_problem,32,xishoubianzhiwenti,18
80,反射边界条件,6,FSBJTJ,6,reflection_boundary_conditions,30,fanshebianjietiaojian,21
81,反射边值问题,6,FSBZWT,6,reflection_boundary_value_problem,33,fanshebianzhiwenti,18
82,非局部边界条件,6,FJBBJTJ,7,non_local_boundary_conditions,29,feijububianjietiaojian,22
