编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,概率论,6,GLL,3,probability_theory,18,gailvlun,8
2,随机试验,6,SJSY,4,random_experiment,17,suijishiyan,11
3,样本空间,6,YBKJ,4,sample_space,12,yangbenkongjian,15
4,随机事件,6,SJSJ,4,random_event,12,suijishijian,12
5,基本事件,6,JBSJ,4,elementary_event,16,jibenshijian,12
6,概率,4,GL,2,probability,11,gailv,5
7,古典概型,6,GDGX,4,classical_probability_model,27,gudiangaixing,13
8,几何概型,6,JHGX,4,geometric_probability_model,27,jihegaixing,11
9,条件概率,7,TJGL,4,conditional_probability,23,tiaojiangailv,13
10,全概率公式,8,QGLGS,5,law_of_total_probability,24,quangailvgongshi,16
11,贝叶斯公式,8,BYSGS,5,bayes_formula,13,beiyesigongshi,14
12,独立事件,6,DLSJ,4,independent_events,18,dulishijian,11
13,随机变量,6,SJBL,4,random_variable,15,suijibianliang,14
14,离散型随机变量,8,LSXSJBL,7,discrete_random_variable,24,lisanxingsuijibianliang,23
15,连续型随机变量,8,LXXSJBL,7,continuous_random_variable,26,lianxuxingsuijibianliang,24
16,分布函数,7,FBHS,4,distribution_function,21,fenbuhanshu,11
17,概率质量函数,7,GLZLHS,6,probability_mass_function,25,gailvzhilianghanshu,19
18,概率密度函数,7,GLMDHS,6,probability_density_function,28,gailvmiduhanshu,15
19,数学期望,6,SXQW,4,mathematical_expectation,24,shuxueqiwang,12
20,方差,6,FC,2,variance,8,fangcha,7
21,标准差,6,BZC,3,standard_deviation,18,biaozhuncha,11
22,协方差,6,XFC,3,covariance,10,xiefangcha,10
23,概率相关系数,6,GLXGXS,6,probability_correlation_coefficient,35,gailvxiangguanxishu,19
24,矩,6,J,1,moment,6,ju,2
25,特征函数,6,TZHS,4,characteristic_function,23,tezhenghanshu,13
26,伯努利分布,8,BNLFB,5,bernoulli_distribution,22,bonulifenbu,11
27,二项分布,7,EXFB,4,binomial_distribution,21,erxiangfenbu,12
28,几何分布,7,JHFB,4,geometric_distribution,22,jihefenbu,9
29,泊松分布,7,PSFB,4,poisson_distribution,20,posongfenbu,11
30,均匀分布,7,JYFB,4,uniform_distribution,20,junyunfenbu,11
31,指数分布,7,ZSFB,4,exponential_distribution,24,zhishufenbu,11
32,正态分布,7,ZTFB,4,normal_distribution,19,zhengtaifenbu,13
33,多维随机变量,7,DWSJBL,6,multidimensional_random_variable,32,duoweisuijibianliang,20
34,联合分布,7,LHFB,4,joint_distribution,18,lianhefenbu,11
35,边缘分布,7,BYFB,4,marginal_distribution,21,bianyuanfenbu,13
36,条件分布,7,TJFB,4,conditional_distribution,24,tiaojianfenbu,13
37,大数定律,7,DSDL,4,law_of_large_numbers,20,dashudinglv,11
38,中心极限定理,8,ZXJXDL,6,central_limit_theorem,21,zhongxinjixiandingli,20
39,随机过程,6,SJGC,4,stochastic_process,18,suijiguocheng,13
40,马尔可夫链,7,MEKFL,5,markov_chain,12,maerkefulian,12
41,事件域,6,SJY,3,event_field,11,shijianyu,9
42,概率空间,6,GLKJ,4,probability_space,17,gailvkongjian,13
43,可测空间,6,KCKJ,4,measurable_space,16,kecekongjian,12
44,可测函数,6,KCHS,4,measurable_function,19,kecehanshu,10
45,概率测度,6,GLCD,4,probability_measure,19,gailvceduo,10
46,必然事件,6,BRSJ,4,certain_event,13,biranshijian,12
47,不可能事件,7,BKNSJ,5,impossible_event,16,bukenengshijian,15
48,互斥事件,6,HCSJ,4,mutually_exclusive_events,25,huchishijian,12
49,对立事件,6,DLSJ,4,complementary_event,19,duilishijian,12
