编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,向量场,5,XLC,3,vector_field,12,xiangliangchang,15
2,标量场,5,BLC,3,scalar_field,12,biaoliangchang,14
3,梯度,5,TD,2,gradient,8,tidu,4
4,散度,5,SD,2,divergence,10,sandu,5
5,旋度,5,XD,2,curl,4,xuandu,6
6,方向导数,5,FXDS,4,directional_derivative,22,fangxiangdaoshu,15
7,法向导数,5,FXDS,4,normal_derivative,17,faxiangdaoshu,13
8,切向导数,5,QXDS,4,tangent_derivative,18,qiexiangdaoshu,14
9,通量,5,TL,2,flux,4,tongliang,9
10,环量,5,HL,2,circulation_amount,18,huanliang,9
11,线积分,6,XJF,3,line_integral,13,xianjifen,9
12,面积分,5,MJF,3,area_integral,13,mianjifen,9
13,体积分,5,TJF,3,volume_fraction,15,tijifen,7
14,高斯公式,5,GSGS,4,gauss_formula,13,gaosigongshi,12
15,斯托克斯公式,6,STKSGS,6,stokes_formula,14,situokesigongshi,16
16,亥姆霍兹分解,7,HMHZFJ,6,helmholtz_decomposition,23,haimuhuozifenjie,16
17,保守场,5,BSC,3,conservative_field,18,baoshouchang,12
18,无旋场,5,WXC,3,irrotation_field,16,wuxuanchang,11
19,无散场,5,WSC,3,no_end,6,wusanchang,10
20,势函数,5,SHS,3,potential_function,18,shihanshu,9
21,向量势,5,XLS,3,vector_potential,16,xiangliangshi,13
22,标量势,6,BLS,3,scalar_potential,16,biaoliangshi,12
23,柱坐标,5,ZZB,3,cylindrical_coordinates,23,zhuzuobiao,10
24,球坐标,5,QZB,3,spherical_coordinates,21,qiuzuobiao,10
25,曲线坐标,5,QXZB,4,curve_coordinate,16,quxianzuobiao,13
26,雅可比行列式,6,YKBXLS,6,jacobian_determinant,20,yakebixinglieshi,16
27,度量系数,6,DLXS,4,metric_coefficient,18,duliangxishu,12
28,克罗内克δ,6,KLNKΔ,5,kronecker_delta,15,keluoneike,10
29,列维奇维塔符号,6,LWQWTFH,7,leviticus_vita_symbol,21,lieweiqiweitafuhao,18
30,爱因斯坦求和约定,6,AYSTQHYD,8,einstein_summation_convention,29,aiyinsitanqiuheyueding,22
31,张量,5,ZL,2,tensor,6,zhangliang,10
32,逆变张量,5,NBZL,4,contravariant_tensor,20,nibianzhangliang,16
33,协变张量,6,XBZL,4,covariant_tensor,16,xiebianzhangliang,17
34,混合张量,5,HHZL,4,mixed_tensor,12,hunhezhangliang,15
35,张量积,5,ZLJ,3,tensor_product,14,zhangliangji,12
36,缩并,5,SB,2,shrink,6,suobing,7
37,迹,5,J,1,trace,5,ji,2
38,对称张量,5,DCZL,4,symmetry_tensor,15,duichengzhangliang,18
39,反对称张量,7,FDCZL,5,anti_symmetry_tensor,20,fanduichengzhangliang,21
40,度量张量,5,DLZL,4,metric_tensor,13,duliangzhangliang,17
41,单位张量,5,DWZL,4,unit_tensor,11,danweizhangliang,16
42,应力张量,5,YLZL,4,stress_tensor,13,yinglizhangliang,16
43,应变张量,5,YBZL,4,strain_tensor,13,yingbianzhangliang,18
44,惯性张量,5,GXZL,4,inertia_tensor,14,guanxingzhangliang,18
45,电磁张量,6,DCZL,4,electromagnetic_tensor,22,diancizhangliang,16
46,曲率张量,5,QLZL,4,curvature_tensor,16,qulvzhangliang,14
47,黎奇张量,5,LQZL,4,rich_tensor,11,liqizhangliang,14
48,标量曲率,5,BLQL,4,scalar_curvature,16,biaoliangqulv,13
49,外积,5,WJ,2,outer_product,13,waiji,5
50,内积,5,NJ,2,inner_product,13,neiji,5
51,叉积,6,CJ,2,cross_product,13,chaji,5
52,楔积,5,XJ,2,wedge_product,13,xieji,5
53,外微分,5,WWF,3,external_differential,21,waiweifen,9
54,微分形式,5,WFXS,4,differential_form,17,weifenxingshi,13
55,一形式,5,YXS,3,one_form,8,yixingshi,9
56,二形式,5,EXS,3,second_form,11,erxingshi,9
57,霍奇星算子,7,HQXSZ,5,hodge_star_operator,19,huoqixingsuanzi,15
58,体积形式,5,TJXS,4,volume_form,11,tijixingshi,11
59,联络,5,LL,2,contact,7,lianluo,7
60,协变导数,5,XBDS,4,covariant_derivative,20,xiebiandaoshu,13
61,克里斯托费尔符号,6,KLSTFEFH,8,christophel_symbol,18,kelisituofeierfuhao,19
62,平行移动,5,PXYD,4,parallel_movement,17,pingxingyidong,14
63,挠率张量,5,NLZL,4,torsion_tensor,14,naolvzhangliang,15
64,黎曼曲率张量,6,LMQLZL,6,riemann_curvature_tensor,24,limanqulvzhangliang,19
65,比安基恒等式,6,BAJHDS,6,bianchi_identity,16,bianjihengdengshi,17
66,李导数,5,LDS,3,lie_derivative,14,lidaoshu,8
67,泊松括号,5,PSKH,4,poisson_bracket,15,posongkuohao,12
68,雅可比恒等式,7,YKBHDS,6,jacobian_identity,17,yakebihengdengshi,17
69,拉回,5,LH,2,pull_back,9,lahui,5
70,推前,5,TQ,2,push_forward,12,tuiqian,7
71,切空间,5,QKJ,3,cut_space,9,qiekongjian,11
72,余切空间,5,YQKJ,4,cotangent_space,15,yuqiekongjian,13
73,切丛,6,QC,2,tangent_bundle,14,qiecong,7
74,余切丛,5,YQC,3,cotangent_bundle,16,yuqiecong,9
75,向量丛,5,XLC,3,vector_bundle,13,xiangliangcong,14
76,纤维丛,5,XWC,3,fiber_plexus,12,xianweicong,11
77,截面,5,JM,2,section,7,jiemian,7
78,流形,5,LX,2,manifold,8,liuxing,7
79,嵌入,6,QR,2,embed,5,qianru,6
80,浸入,5,JR,2,immersion,9,jinru,5
81,切向量,5,QXL,3,tangent_vector,14,qiexiangliang,13
82,法向量,5,FXL,3,normal_vector,13,faxiangliang,12
83,法丛,5,FC,2,normal_bundle,13,facong,6
