编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,高等微积分,5,GDWJF,5,advanced_calculus,17,gaodengweijifen,15
2,极限,1,JX,2,limit,5,jixian,6
3,数列极限,4,SLJX,4,limit_of_sequence,17,shuliejixian,12
4,函数极限,4,HSJX,4,limit_of_function,17,hanshujixian,12
5,连续,1,LX,2,continuity,10,lianxu,6
6,一致连续,4,YZLX,4,uniform_continuity,18,yizhilianxu,11
7,导数,1,DS,2,derivative,10,daoshu,6
8,微分,1,WF,2,differential,12,weifen,6
9,高阶导数,4,GJDS,4,higher_order_derivative,23,gaojiedaoshu,12
10,隐函数,4,YHS,3,implicit_function,17,yinhanshu,9
11,反函数,4,FHS,3,inverse_function,16,fanhanshu,9
12,泰勒公式,5,TLGS,4,taylor_formula,14,taileigongshi,13
13,麦克劳林公式,6,MKLLGS,6,maclaurin_formula,17,maikelaolingongshi,18
14,洛必达法则,5,LBDFZ,5,l_hopital_rule,14,luobidafaze,11
15,不定积分,4,BDJF,4,indefinite_integral,19,budingjifen,11
16,定积分,4,DJF,3,definite_integral,17,dingjifen,9
17,反常积分,6,FCJF,4,improper_integral,17,fanchangjifen,13
18,黎曼积分,4,LMJF,4,riemann_integral,16,limanjifen,10
19,积分中值定理,6,JFZZDL,6,mean_value_theorem_for_integrals,32,jifenzhongzhidingli,19
20,微积分基本定理,7,WJFJBDL,7,fundamental_theorem_of_calculus,31,weijifenjibendingli,19
21,无穷级数,4,WQJS,4,infinite_series,15,wuqiongjishu,12
22,幂级数,4,MJS,3,power_series,12,mijishu,7
23,傅里叶级数,5,FLYJS,5,fourier_series,14,fuliyejishu,11
24,收敛半径,4,SLBJ,4,radius_of_convergence,21,shoulianbanjing,15
25,逐项求导,4,ZXQD,4,termwise_differentiation,24,zhuxiangqiudao,14
26,逐项积分,4,ZXJF,4,termwise_integration,20,zhuxiangjifen,13
27,多元函数,4,DYHS,4,multivariable_function,22,duoyuanhanshu,13
28,偏导数,4,PDS,3,partial_derivative,18,piandaoshu,10
29,全微分,4,QWF,3,total_differential,18,quanweifen,10
30,方向导数,4,FXDS,4,directional_derivative,22,fangxiangdaoshu,15
31,梯度,1,TD,2,gradient,8,tidu,4
32,散度,1,SD,2,divergence,10,sandu,5
33,旋度,1,XD,2,curl,4,xuandu,6
34,雅可比矩阵,5,YKBJZ,5,jacobian_matrix,15,yakebijuzhen,12
35,雅可比行列式,5,YKBHLS,6,jacobian_determinant,20,yakebihanglieshi,16
36,链式法则,4,LSFZ,4,chain_rule,10,lianshifaze,11
37,隐函数定理,6,YHSDL,5,implicit_function_theorem,25,yinhanshudingli,15
38,极值,4,JZ,2,extremum,8,jizhi,5
39,条件极值,5,TJJZ,4,constrained_extremum,20,tiaojianjizhi,13
40,拉格朗日乘数法,7,LGLRCSF,7,lagrange_multiplier_method,26,lagelangrichengshufa,20
41,重积分,4,CJF,3,multiple_integral,17,chongjifen,10
42,二重积分,4,ECJF,4,double_integral,15,erchongjifen,12
