编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,加法原理基本概念,4,JFYLJBGN,8,combinatorics_basics_addition_principle_basic_concept,53,jiafayuanlijibengainian,23
2,加法原理计算公式,4,JFYLJSGS,8,combinatorics_basics_addition_principle_counting_formula,56,jiafayuanlijisuangongshi,24
3,加法原理应用模型,4,JFYLYYMX,8,combinatorics_basics_addition_principle_application_model,57,jiafayuanliyingyongmoxing,25
4,加法原理典型题型,4,JFYLDXTX,8,combinatorics_basics_addition_principle_standard_problem_type,61,jiafayuanlidianxingtixing,25
5,加法原理分类讨论,4,JFYLFLTL,8,combinatorics_basics_addition_principle_case_analysis,53,jiafayuanlifenleitaolun,23
6,加法原理对应方法,4,JFYLDYFF,8,combinatorics_basics_addition_principle_bijection_method,56,jiafayuanliduiyingfangfa,24
7,加法原理递推方法,4,JFYLDTFF,8,combinatorics_basics_addition_principle_recurrence_method,57,jiafayuanlidituifangfa,22
8,加法原理边界情况,4,JFYLBJQK,8,combinatorics_basics_addition_principle_boundary_case,53,jiafayuanlibianjieqingkuang,27
9,加法原理证明思路,4,JFYLZMSL,8,combinatorics_basics_addition_principle_proof_strategy,54,jiafayuanlizhengmingsilu,24
10,加法原理计数策略,4,JFYLJSCL,8,combinatorics_basics_addition_principle_counting_strategy,57,jiafayuanlijishucelve,21
11,乘法原理基本概念,4,CFYLJBGN,8,combinatorics_basics_multiplication_principle_basic_concept,59,chengfayuanlijibengainian,25
12,乘法原理计算公式,4,CFYLJSGS,8,combinatorics_basics_multiplication_principle_counting_formula,62,chengfayuanlijisuangongshi,26
13,乘法原理应用模型,4,CFYLYYMX,8,combinatorics_basics_multiplication_principle_application_model,63,chengfayuanliyingyongmoxing,27
14,乘法原理典型题型,4,CFYLDXTX,8,combinatorics_basics_multiplication_principle_standard_problem_type,67,chengfayuanlidianxingtixing,27
15,乘法原理分类讨论,4,CFYLFLTL,8,combinatorics_basics_multiplication_principle_case_analysis,59,chengfayuanlifenleitaolun,25
16,乘法原理对应方法,4,CFYLDYFF,8,combinatorics_basics_multiplication_principle_bijection_method,62,chengfayuanliduiyingfangfa,26
17,乘法原理递推方法,4,CFYLDTFF,8,combinatorics_basics_multiplication_principle_recurrence_method,63,chengfayuanlidituifangfa,24
18,乘法原理边界情况,4,CFYLBJQK,8,combinatorics_basics_multiplication_principle_boundary_case,59,chengfayuanlibianjieqingkuang,29
19,乘法原理证明思路,4,CFYLZMSL,8,combinatorics_basics_multiplication_principle_proof_strategy,60,chengfayuanlizhengmingsilu,26
20,乘法原理计数策略,4,CFYLJSCL,8,combinatorics_basics_multiplication_principle_counting_strategy,63,chengfayuanlijishucelve,23
21,排列基本概念,4,PLJBGN,6,combinatorics_basics_permutation_basic_concept,46,pailiejibengainian,18
22,排列计算公式,4,PLJSGS,6,combinatorics_basics_permutation_counting_formula,49,pailiejisuangongshi,19
23,排列应用模型,4,PLYYMX,6,combinatorics_basics_permutation_application_model,50,pailieyingyongmoxing,20
24,排列典型题型,4,PLDXTX,6,combinatorics_basics_permutation_standard_problem_type,54,pailiedianxingtixing,20
25,排列分类讨论,4,PLFLTL,6,combinatorics_basics_permutation_case_analysis,46,pailiefenleitaolun,18
26,排列对应方法,4,PLDYFF,6,combinatorics_basics_permutation_bijection_method,49,pailieduiyingfangfa,19
27,排列递推方法,4,PLDTFF,6,combinatorics_basics_permutation_recurrence_method,50,pailiedituifangfa,17
28,排列边界情况,4,PLBJQK,6,combinatorics_basics_permutation_boundary_case,46,pailiebianjieqingkuang,22
29,排列证明思路,4,PLZMSL,6,combinatorics_basics_permutation_proof_strategy,47,pailiezhengmingsilu,19
30,排列计数策略,4,PLJSCL,6,combinatorics_basics_permutation_counting_strategy,50,pailiejishucelve,16
31,组合数,4,ZHS,3,combinatorics_basics_combination_basic_concept,46,zuheshu,7
32,二项式系数,4,EXSXS,5,combinatorics_basics_combination_counting_formula,49,erxiangshixishu,15
33,帕斯卡恒等式,4,PSKHDS,6,combinatorics_basics_combination_application_model,50,pasikahengdengshi,17
34,组合恒等式,4,ZHHDS,5,combinatorics_basics_combination_standard_problem_type,54,zuhehengdengshi,15
35,选取模型,4,XQMX,4,combinatorics_basics_combination_case_analysis,46,xuanqumoxing,12
36,分组计数,4,FZJS,4,combinatorics_basics_combination_bijection_method,49,fenzujishu,10
37,互补计数,4,HBJS,4,combinatorics_basics_combination_recurrence_method,50,hubujishu,9
38,插板法,4,CBF,3,combinatorics_basics_combination_boundary_case,46,chabanfa,8
39,容斥计数,4,RCJS,4,combinatorics_basics_combination_proof_strategy,47,rongchijishu,12
40,多重组合,4,DCZH,4,combinatorics_basics_combination_counting_strategy,50,duochongzuhe,12
41,二项式系数基本概念,4,EXSXSJBGN,9,combinatorics_basics_binomial_coefficient_basic_concept,55,erxiangshixishujibengainian,27
42,二项式系数计算公式,4,EXSXSJSGS,9,combinatorics_basics_binomial_coefficient_counting_formula,58,erxiangshixishujisuangongshi,28
43,二项式系数应用模型,4,EXSXSYYMX,9,combinatorics_basics_binomial_coefficient_application_model,59,erxiangshixishuyingyongmoxing,29
44,二项式系数典型题型,4,EXSXSDXTX,9,combinatorics_basics_binomial_coefficient_standard_problem_type,63,erxiangshixishudianxingtixing,29
45,二项式系数分类讨论,4,EXSXSFLTL,9,combinatorics_basics_binomial_coefficient_case_analysis,55,erxiangshixishufenleitaolun,27
46,二项式系数对应方法,4,EXSXSDYFF,9,combinatorics_basics_binomial_coefficient_bijection_method,58,erxiangshixishuduiyingfangfa,28
47,二项式系数递推方法,4,EXSXSDTFF,9,combinatorics_basics_binomial_coefficient_recurrence_method,59,erxiangshixishudituifangfa,26
48,二项式系数边界情况,4,EXSXSBJQK,9,combinatorics_basics_binomial_coefficient_boundary_case,55,erxiangshixishubianjieqingkuang,31
