编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,自然数,3,ZRS,3,natural_numbers,15,ziranshu,8
2,整数,3,ZS,2,integer,7,zhengshu,8
3,因数,3,YS,2,factor,6,yinshu,6
4,倍数,3,BS,2,multiple,8,beishu,6
5,整除,3,ZC,2,divisibility,12,zhengchu,8
6,带余除法,4,DYCF,4,division_with_remainder,23,daiyuchufa,10
7,质数,4,ZS,2,prime,5,zhishu,6
8,合数,3,HS,2,composite_number,16,heshu,5
9,互质,3,HZ,2,reciprocally_prime,18,huzhi,5
10,最大公因数,4,ZDGYS,5,greatest_common_factor,22,zuidagongyinshu,15
11,最小公倍数,4,ZXGBS,5,least_common_multiple,21,zuixiaogongbeishu,17
12,质因数,3,ZYS,3,prime_factors,13,zhiyinshu,9
13,唯一分解定理,4,WYFJDL,6,unique_decomposition_theorem,28,weiyifenjiedingli,17
14,欧几里得算法,5,OJLDSF,6,euclidean_algorithm,19,oujilidesuanfa,14
15,扩展欧几里得算法,4,KZOJLDSF,8,extended_euclidean_algorithm,28,kuozhanoujilidesuanfa,21
16,裴蜀定理,4,PSDL,4,bezout_theorem,14,peishudingli,12
17,同余,3,TY,2,congruence,10,tongyu,6
18,同余类,3,TYL,3,congruence_class,16,tongyulei,9
19,剩余系,3,SYX,3,residual_system,15,shengyuxi,9
20,完全剩余系,4,WQSYX,5,perfect_remainder_system,24,wanquanshengyuxi,16
21,简化剩余系,5,JHSYX,5,simplified_residual_system,26,jianhuashengyuxi,16
22,模运算,3,MYS,3,modulo_arithmetic,17,moyunsuan,9
23,模逆元,3,MNY,3,modular_inverse_element,23,moniyuan,8
24,线性同余方程,4,XXTYFC,6,linear_congruence_equation,26,xianxingtongyufangcheng,23
25,中国剩余定理,4,ZGSYDL,6,chinese_remainder_theorem,25,zhongguoshengyudingli,21
26,费马小定理,4,FMXDL,5,fermat_small_theorem,20,feimaxiaodingli,15
27,欧拉函数,4,OLHS,4,euler_function,14,oulahanshu,10
28,欧拉定理,5,OLDL,4,euler_theorem,13,ouladingli,10
29,威尔逊定理,4,WEXDL,5,wilson_theorem,14,weierxundingli,14
30,素数定理,4,SSDL,4,prime_theorem,13,sushudingli,11
31,算术基本定理,4,SSJBDL,6,fundamental_theorem_of_arithmetic,33,suanshujibendingli,18
32,二次剩余,4,ECSY,4,quadratic_residue,17,ercishengyu,11
33,二次非剩余,4,ECFSY,5,quadratic_non_residue,21,ercifeishengyu,14
34,勒让德符号,4,LRDFH,5,legendre_sign,13,leirangdefuhao,14
35,雅可比符号,5,YKBFH,5,jacobian_sign,13,yakebifuhao,11
36,高斯引理,4,GSYL,4,gauss_lemma,11,gaosiyinli,10
37,二次互反律,4,ECHFL,5,quadratic_reciprocity,21,ercihufanlv,11
38,原根,3,YG,2,original_root,13,yuangen,7
39,指标,3,ZB,2,index,5,zhibiao,7
40,离散对数,4,LSDS,4,discrete_logarithm,18,lisanduishu,11
41,阶,3,J,1,level,5,jie,3
42,循环节,4,XHJ,3,cycle_section,13,xunhuanjie,10
43,伪素数,3,WSS,3,pseudoprime,11,weisushu,8
44,卡迈克尔数,4,KMKES,5,carmichael_number,17,kamaikeershu,12
45,梅森数,3,MSS,3,mersenne_number,15,meisenshu,9
46,费马数,3,FMS,3,fermat_number,13,feimashu,8
47,斐波那契数,4,FBNQS,5,fibonacci_numbers,17,feibonaqishu,12
48,卢卡斯数,4,LKSS,4,lucas_number,12,lukasishu,9
49,伯努利数,5,BNLS,4,bernoulli_number,16,bonulishu,9
50,欧拉数,3,OLS,3,euler_number,12,oulashu,7
51,完全数,3,WQS,3,perfect_number,14,wanquanshu,10
52,亲和数,3,QHS,3,affinity_number,15,qinheshu,8
53,亏数,3,KS,2,losing_number,13,kuishu,6
54,盈数,3,YS,2,profit_number,13,yingshu,7
55,平方数,3,PFS,3,square_number,13,pingfangshu,11
56,立方数,4,LFS,3,cubic_number,12,lifangshu,9
57,三角数,3,SJS,3,triangulated_number,19,sanjiaoshu,10
58,多边形数,4,DBXS,4,number_of_polygons,18,duobianxingshu,14
59,勾股数,3,GGS,3,pythagorean,11,gougushu,8
60,本原勾股数组,4,BYGGSZ,6,primitive_pythagorean_array,27,benyuangougushuzu,17
61,连分数,3,LFS,3,continued_fractions,19,lianfenshu,10
62,简单连分数,4,JDLFS,5,simple_continued_fractions,26,jiandanlianfenshu,17
63,最佳逼近,5,ZJBJ,4,best_approximation,18,zuijiabijin,11
64,丢番图方程,4,DFTFC,5,diophantine_equation,20,diufantufangcheng,17
65,线性丢番图方程,4,XXDFTFC,7,linear_diophantine_equation,27,xianxingdiufantufangcheng,25
66,佩尔方程,4,PEFC,4,pell_equation,13,peierfangcheng,14
67,平方和定理,4,PFHDL,5,sum_of_squares_theorem,22,pingfanghedingli,16
68,两平方和定理,4,LPFHDL,6,sum_of_two_squares_theorem,26,liangpingfanghedingli,21
69,四平方和定理,4,SPFHDL,6,four_sum_of_squares_theorem,27,sipingfanghedingli,18
70,三平方和定理,5,SPFHDL,6,three_sum_of_squares_theorem,28,sanpingfanghedingli,19
71,华林问题,4,HLWT,4,waring_problem,14,hualinwenti,11
72,分拆函数,4,FCHS,4,split_function,14,fenchaihanshu,13
73,莫比乌斯函数,4,MBWSHS,6,m_bius_function,15,mobiwusihanshu,14
74,莫比乌斯反演,4,MBWSFY,6,m_bius_inversion,16,mobiwusifanyan,14
75,约数函数,4,YSHS,4,divisor_function,16,yueshuhanshu,12
76,约数和函数,4,YSHHS,5,divisors_and_functions,22,yueshuhehanshu,14
77,欧拉积,4,OLJ,3,euler_product,13,oulaji,6
78,狄利克雷卷积,4,DLKLJJ,6,dirichlet_convolution,21,dilikeleijuanji,15
79,乘法函数,4,CFHS,4,multiplication_function,23,chengfahanshu,13
80,完全积性函数,4,WQJXHS,6,complete_product_function,25,wanquanjixinghanshu,19
81,黎曼ζ函数,4,LMΖHS,5,riemann_zeta_function,21,limanhanshu,11
82,调和数,3,DHS,3,harmonic_number,15,diaoheshu,9
83,伯特兰猜想,4,BTLCX,5,bertrand_conjecture,19,botelancaixiang,15
84,哥德巴赫猜想,5,GDBHCX,6,goldbach_conjecture,19,gedebahecaixiang,16
85,孪生素数猜想,4,LSSSCX,6,twin_prime_conjecture,21,luanshengsushucaixiang,22
86,素数间隙,4,SSJX,4,prime_gap,9,sushujianxi,11
87,同余方程,4,TYFC,4,congruence_equation,19,tongyufangcheng,15
88,高次同余,4,GCTY,4,higher_order_congruence,23,gaocitongyu,11
89,模幂,3,MM,2,modular_exponentiation,22,momi,4
90,快速幂,3,KSM,3,fast_power,10,kuaisumi,8
91,中国剩余算法,5,ZGSYSF,6,chinese_remainder_algorithm,27,zhongguoshengyusuanfa,21
92,欧拉商,3,OLS,3,euler_quotient,14,oulashang,9
93,费马商,3,FMS,3,fermat_quotient,15,feimashang,10
94,威费里希素数,4,WFLXSS,6,wyverich_primes,15,weifeilixisushu,15
95,索菲热尔曼素数,4,SFREMSS,7,sophie_germain_prime,20,suofeireermansushu,18
96,安全素数,4,AQSS,4,safe_prime_number,17,anquansushu,11
97,正则素数,4,ZZSS,4,regular_prime,13,zhengzesushu,12
98,伯努利同余,5,BNLTY,5,bernoulli_congruence,20,bonulitongyu,12
99,库默尔同余,4,KMETY,5,kummer_congruence,17,kumoertongyu,12
100,亨泽尔提升,4,HZETS,5,hensel_promotion,16,hengzeertisheng,15
