编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,线性代数,4,XXDS,4,linear_algebra,14,xianxingdaishu,14
2,向量,1,XL,2,vector,6,xiangliang,10
3,向量空间,4,XLKJ,4,vector_space,12,xiangliangkongjian,18
4,线性空间,4,XXKJ,4,linear_space,12,xianxingkongjian,16
5,子空间,4,ZKJ,3,subspace,8,zikongjian,10
6,线性组合,4,XXZH,4,linear_combination,18,xianxingzuhe,12
7,线性相关,4,XXXG,4,linear_dependence,17,xianxingxiangguan,17
8,线性无关,4,XXWG,4,linear_independence,19,xianxingwuguan,14
9,基,1,J,1,basis,5,ji,2
10,维数,1,WS,2,dimension,9,weishu,6
11,坐标,4,ZB,2,coordinate,10,zuobiao,7
12,矩阵,1,JZ,2,matrix,6,juzhen,6
13,方阵,4,FZ,2,square_matrix,13,fangzhen,8
14,单位矩阵,4,DWJZ,4,identity_matrix,15,danweijuzhen,12
15,零矩阵,4,LJZ,3,zero_matrix,11,lingjuzhen,10
16,转置矩阵,4,ZZJZ,4,transpose_matrix,16,zhuanzhijuzhen,14
17,逆矩阵,4,NJZ,3,inverse_matrix,14,nijuzhen,8
18,伴随矩阵,4,BSJZ,4,adjugate_matrix,15,bansuijuzhen,12
19,行列式,2,HLS,3,determinant,11,hanglieshi,10
20,余子式,4,YZS,3,minor,5,yuzishi,7
21,代数余子式,5,DSYZS,5,cofactor,8,daishuyuzishi,13
22,矩阵的秩,4,JZDZ,4,rank_of_matrix,14,juzhendezhi,11
23,初等变换,5,CDBH,4,elementary_operation,20,chudengbianhuan,15
24,阶梯形矩阵,5,JTXJZ,5,row_echelon_matrix,18,jietixingjuzhen,15
25,线性方程组,6,XXFCZ,5,system_of_linear_equations,26,xianxingfangchengzu,19
26,齐次方程组,6,QCFCZ,5,homogeneous_system,18,qicifangchengzu,15
27,非齐次方程组,6,FQCFCZ,6,nonhomogeneous_system,21,feiqicifangchengzu,18
28,解空间,4,JKJ,3,solution_space,14,jiekongjian,11
29,线性映射,4,XXYS,4,linear_map,10,xianxingyingshe,15
30,线性变换,5,XXBH,4,linear_transformation,21,xianxingbianhuan,16
31,核,4,H,1,kernel,6,he,2
32,像,4,X,1,image,5,xiang,5
33,特征值,2,TZZ,3,eigenvalue,10,tezhengzhi,10
34,特征向量,2,TZXL,4,eigenvector,11,tezhengxiangliang,17
35,特征多项式,5,TZDXS,5,characteristic_polynomial,25,tezhengduoxiangshi,18
36,相似矩阵,4,XSJZ,4,similar_matrix,14,xiangsijuzhen,13
37,对角化,4,DJH,3,diagonalization,15,duijiaohua,10
38,若尔当标准形,5,REDBZX,6,jordan_normal_form,18,ruoerdangbiaozhunxing,21
39,内积,4,NJ,2,inner_product,13,neiji,5
40,正交,4,ZJ,2,orthogonality,13,zhengjiao,9
41,正交基,4,ZJJ,3,orthogonal_basis,16,zhengjiaoji,11
42,标准正交基,5,BZZJJ,5,orthonormal_basis,17,biaozhunzhengjiaoji,19
43,施密特正交化,5,SMTZJH,6,gram_schmidt_orthogonalization,30,shimitezhengjiaohua,19
44,正交矩阵,4,ZJJZ,4,orthogonal_matrix,17,zhengjiaojuzhen,15
45,酉矩阵,4,YJZ,3,unitary_matrix,14,youjuzhen,9
46,二次型,4,ECX,3,quadratic_form,14,ercixing,8
47,正定矩阵,4,ZDJZ,4,positive_definite_matrix,24,zhengdingjuzhen,15
48,行向量,4,HXL,3,row_vector,10,hangxiangliang,14
49,列向量,4,LXL,3,column_vector,13,liexiangliang,13
50,线性包,4,XXB,3,linear_span,11,xianxingbao,11
51,生成元,4,SCY,3,generator,9,shengchengyuan,14
52,基变换,5,JBH,3,change_of_basis,15,jibianhuan,10
53,过渡矩阵,4,GDJZ,4,transition_matrix,17,guodujuzhen,11
54,坐标向量,4,ZBXL,4,coordinate_vector,17,zuobiaoxiangliang,17
55,商空间,4,SKJ,3,quotient_space,14,shangkongjian,13
56,直和,4,ZH,2,direct_sum,10,zhihe,5
57,张成空间,4,ZCKJ,4,span_space,10,zhangchengkongjian,18
58,线性泛函,6,XXFH,4,linear_functional,17,xianxingfanhan,14
59,对偶空间,4,DOKJ,4,dual_space,10,duioukongjian,13
60,对偶基,4,DOJ,3,dual_basis,10,duiouji,7
61,双线性型,4,SXXX,4,bilinear_form,13,shuangxianxingxing,18
62,对称双线性型,5,DCSXXX,6,symmetric_bilinear_form,23,duichenshuangxianxingxing,25
63,交替双线性型,5,JTSXXX,6,alternating_bilinear_form,25,jiaotishuangxianxingxing,24
64,外积,4,WJ,2,exterior_product,16,waiji,5
65,张量积,5,ZLJ,3,tensor_product,14,zhangliangji,12
66,线性算子,4,XXSZ,4,linear_operator,15,xianxingsuanzi,14
67,不变子空间,5,BBZKJ,5,invariant_subspace,18,bubianzikongjian,16
68,最小多项式,5,ZXDXS,5,minimal_polynomial,18,zuixiaoduoxiangshi,18
69,代数重数,4,DSCS,4,algebraic_multiplicity,22,daishuchongshu,14
70,几何重数,4,JHCS,4,geometric_multiplicity,22,jihechongshu,12
71,特征空间,4,TZKJ,4,eigenspace,10,tezhengkongjian,15
72,谱,4,P,1,spectrum,8,pu,2
73,谱半径,4,PBJ,3,spectral_radius,15,pubanjing,9
74,凯莱哈密顿定理,8,KLHMDDL,7,cayley_hamilton_theorem,23,kailaihamidundingli,19
75,实对称矩阵,5,SDCJZ,5,real_symmetric_matrix,21,shiduichenjuzhen,16
76,厄米矩阵,4,EMJZ,4,hermitian_matrix,16,emijuzhen,9
77,反对称矩阵,5,FDCJZ,5,skew_symmetric_matrix,21,fanduichenjuzhen,16
78,正规矩阵,6,ZGJZ,4,normal_matrix,13,zhengguijuzhen,14
79,幂等矩阵,4,MDJZ,4,idempotent_matrix,17,midengjuzhen,12
80,投影矩阵,4,TYJZ,4,projection_matrix,17,touyingjuzhen,13
81,正交投影,4,ZJTY,4,orthogonal_projection,21,zhengjiaotouying,16
82,酉空间,4,YKJ,3,unitary_space,13,youkongjian,11
83,欧氏空间,4,OSKJ,4,euclidean_space,15,oushikongjian,13
84,距离,4,JL,2,distance,8,juli,4
85,范数,4,FS,2,norm,4,fanshu,6
86,矩阵范数,4,JZFS,4,matrix_norm,11,juzhenfanshu,12
87,迹,4,J,1,trace,5,ji,2
88,合同矩阵,4,HTJZ,4,congruent_matrix,16,hetongjuzhen,12
89,惯性指数,4,GXZS,4,index_of_inertia,16,guanxingzhishu,14
90,惯性定理,5,GXDL,4,law_of_inertia,14,guanxingdingli,14
91,半正定矩阵,5,BZDJZ,5,positive_semidefinite_matrix,28,banzhengdingjuzhen,18
92,负定矩阵,4,FDJZ,4,negative_definite_matrix,24,fudingjuzhen,12
93,奇异值,4,QYZ,3,singular_value,14,qiyizhi,7
94,奇异值分解,5,QYZFJ,5,singular_value_decomposition,28,qiyizhifenjie,13
95,QR分解,4,QRFJ,4,qr_decomposition,16,qrfenjie,8
96,LU分解,4,LUFJ,4,lu_decomposition,16,lufenjie,8
97,矩阵分解,4,JZFJ,4,matrix_decomposition,20,juzhenfenjie,12
98,克罗内克积,5,KLNKJ,5,kronecker_product,17,keluoneikeji,12
99,列空间,4,LKJ,3,column_space,12,liekongjian,11
100,行空间,4,HKJ,3,row_space,9,hangkongjian,12
101,零空间,4,LKJ,3,null_space,10,lingkongjian,12
102,左零空间,4,ZLKJ,4,left_null_space,15,zuolingkongjian,15
103,基础解系,4,JCJX,4,fundamental_solution_set,24,jichujiexi,10
104,自由变量,4,ZYBL,4,free_variable,13,ziyoubianliang,14
105,主变量,4,ZBL,3,pivot_variable,14,zhubianliang,12
106,主元,4,ZY,2,pivot,5,zhuyuan,7
107,主元列,4,ZYL,3,pivot_column,12,zhuyuanlie,10
108,列秩,4,LZ,2,column_rank,11,liezhi,6
109,行秩,4,HZ,2,row_rank,8,hangzhi,7
