编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,实数完备性,4,SSWBX,5,real_number_completeness,24,shishuwanbeixing,16
2,确界原理,4,QJYL,4,principle_of_certainty,22,quejieyuanli,12
3,上确界,3,SQJ,3,supremacy,9,shangquejie,11
4,下确界,3,XQJ,3,lower_bound,11,xiaquejie,9
5,戴德金分割,5,DDJFG,5,dedekind_section,16,daidejinfenge,13
6,区间套定理,5,QJTDL,5,interval_theorem,16,qujiantaodingli,15
7,柯西列,5,KXL,3,cauchy_lie,10,kexilie,7
8,完备度量空间,6,WBDLKJ,6,complete_metric_space,21,wanbeiduliangkongjian,21
9,致密性,6,ZMX,3,compactness,11,zhimixing,9
10,闭区间套,5,BQJT,4,closed_interval_set,19,biqujiantao,11
11,逐点收敛,4,ZDSL,4,convergence_point_by_point,26,zhudianshoulian,15
12,函数列,4,HSL,3,sequence_of_functions,21,hanshulie,9
13,一致有界,5,YZYJ,4,uniform_boundedness,19,yizhiyoujie,11
14,等度连续,6,DDLX,4,isocratic_continuous,20,dengdulianxu,12
15,有界变差,6,YJBC,4,bounded_variation,17,youjiebiancha,13
16,极限点,5,JXD,3,limit_dian,10,jixiandian,10
17,孤立点,5,GLD,3,isolated_point,14,gulidian,8
18,稠密点,5,CMD,3,dense_dian,10,choumidian,10
19,凝聚点,5,NJD,3,condensate_point,16,ningjudian,10
20,穿孔邻域,5,CKLY,4,perforated_neighborhood,23,chuankonglinyu,14
21,邻域基,5,LYJ,3,neighborhood_basis,18,linyuji,7
22,序列紧性,5,XLJX,4,xu_lie_compact_xing,19,xuliejinxing,12
23,完全有界性,5,WQYJX,5,completely_bounded,18,wanquanyoujiexing,17
24,总有界性,5,ZYJX,4,zong_bounded_xing,17,zongyoujiexing,14
25,预紧性,5,YJX,3,yu_compact_xing,15,yujinxing,9
26,相对紧性,5,XDJX,4,relative_compactness,20,xiangduijinxing,15
27,实数稠密性,5,SSCMX,5,real_density,12,shishuchoumixing,16
28,阿基米德性质,5,AJMDXZ,6,archimedean_properties,22,ajimidexingzhi,14
29,区间连通性,5,QJLTX,5,interval_connectivity,21,qujianliantongxing,18
30,康托尔交集定理,5,KTEJJDL,7,cantor_intersection_theorem,27,kangtuoerjiaojidingli,21
31,波尔查诺-魏尔斯特拉斯定理,5,BECNWESTLSDL,12,bolzano_weierstrass_theorem,27,boerchanuoweiersitelasidingli,29
32,海涅博雷尔定理,5,HNBLEDL,7,heineborel_theorem,18,hainieboleierdingli,19
33,迪尼定理,5,DNDL,4,dini_theorem,12,dinidingli,10
34,阿尔泽拉-阿斯科利定理,5,AEZLASKLDL,10,arzela_ascoli_theorem,21,aerzelaasikelidingli,20
35,魏尔斯特拉斯逼近定理,5,WESTLSBJDL,10,weierstrass_approximation_theorem,33,weiersitelasibijindingli,24
36,魏尔斯特拉斯判别法,5,WESTLSPBF,9,weierstrass_test,16,weiersitelasipanbiefa,21
37,阿贝尔一致收敛定理,5,ABEYZSLDL,9,abel_yi_zhi_convergence_theorem,31,abeieryizhishouliandingli,25
38,狄利克雷一致收敛判别法,5,DLKLYZSLPBF,11,dirichlet_yi_zhi_convergence_test,33,dilikeleiyizhishoulianpanbiefa,30
39,柯西一致收敛准则,5,KXYZSLZZ,8,cauchy_yi_zhi_convergence_criterion,35,kexiyizhishoulianzhunze,23
40,函数列交换极限定理,5,HSLJHJXDL,9,function_column_exchange_limit_theorem,38,hanshuliejiaohuanjixiandingli,29
41,连续函数闭图像,5,LXHSBTX,7,continuity_function_closed_graph,32,lianxuhanshubituxiang,21
42,一致极限定理,5,YZJXDL,6,yi_zhi_limit_theorem,20,yizhijixiandingli,17
43,单调数列,4,DDSL,4,monotone_sequence,17,dandiaoshulie,13
44,单调子列,4,DDZL,4,monotone_subsequence,20,dandiaozilie,12
45,单调点列,4,DDDL,4,monotone_point_sequence,23,dandiaodianlie,14
46,单调函数列,4,DDHSL,5,monotone_sequence_of_functions,30,dandiaohanshulie,16
47,单调函数族,4,DDHSZ,5,monotone_family_of_functions,28,dandiaohanshuzu,15
48,有界数列,4,YJSL,4,bounded_sequence,16,youjieshulie,12
49,有界子列,4,YJZL,4,bounded_subsequence,19,youjiezilie,11
50,有界点列,4,YJDL,4,bounded_point_sequence,22,youjiedianlie,13
51,有界函数列,4,YJHSL,5,bounded_sequence_of_functions,29,youjiehanshulie,15
52,有界函数族,4,YJHSZ,5,bounded_family_of_functions,27,youjiehanshuzu,14
53,无界数列,4,WJSL,4,unbounded_sequence,18,wujieshulie,11
54,无界子列,4,WJZL,4,unbounded_subsequence,21,wujiezilie,10
55,无界点列,4,WJDL,4,unbounded_point_sequence,24,wujiedianlie,12
56,无界函数列,4,WJHSL,5,unbounded_sequence_of_functions,31,wujiehanshulie,14
57,无界函数族,4,WJHSZ,5,unbounded_family_of_functions,29,wujiehanshuzu,13
58,收敛数列,4,SLSL,4,convergence_sequence,20,shoulianshulie,14
59,收敛子列,4,SLZL,4,convergence_subsequence,23,shoulianzilie,13
60,收敛点列,4,SLDL,4,convergence_point_sequence,26,shouliandianlie,15
61,收敛函数列,4,SLHSL,5,convergence_sequence_of_functions,33,shoulianhanshulie,17
62,收敛函数族,4,SLHSZ,5,convergence_family_of_functions,31,shoulianhanshuzu,16
63,发散数列,4,FSSL,4,divergence_sequence,19,fasanshulie,11
64,发散子列,4,FSZL,4,divergence_subsequence,22,fasanzilie,10
