编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,电荷,1,DH,2,electric_charge,15,dianhe,6
2,正电荷,1,ZDH,3,positive_charge,15,zhengdianhe,11
3,负电荷,1,FDH,3,negative_charge,15,fudianhe,8
4,元电荷,3,YDH,3,elementary_charge,17,yuandianhe,10
5,电荷量,2,DHL,3,quantity_of_charge,18,dianheliang,11
6,电荷守恒定律,2,DHSHDL,6,law_of_conservation_of_charge,29,dianheshouhengdinglv,20
7,静电现象,2,JDXX,4,electrostatic_phenomenon,24,jingdianxianxiang,17
8,摩擦起电,3,MCQD,4,charging_by_friction,20,mocaqidian,10
9,感应起电,3,GYQD,4,charging_by_induction,21,ganyingqidian,13
10,验电器,2,YDQ,3,electroscope,12,yandianqi,9
11,库仑定律,2,KLDL,4,coulombs_law,12,kulundinglv,11
12,电场,1,DC,2,electric_field,14,dianchang,9
13,电场强度,2,DCQD,4,electric_field_strength,23,dianchangqiangdu,16
14,电场线,2,DCX,3,electric_field_line,19,dianchangxian,13
15,匀强电场,2,YQDC,4,uniform_electric_field,22,yunqiangdianchang,17
16,电势能,2,DSN,3,electric_potential_energy,25,dianshineng,11
17,电势,2,DS,2,electric_potential,18,dianshi,7
18,电势差,2,DSC,3,potential_difference,20,dianshicha,10
19,电压,1,DY,2,voltage,7,dianya,6
20,等势面,3,DSM,3,equipotential_surface,21,dengshimian,11
21,电容,2,DR,2,capacitance,11,dianrong,8
22,电容器,2,DRQ,3,capacitor,9,dianrongqi,10
23,平行板电容器,3,PXBDRQ,6,parallel_plate_capacitor,24,pingxingbandianrongqi,21
24,电流,1,DL,2,electric_current,16,dianliu,7
25,恒定电流,2,HDDL,4,steady_current,14,hengdingdianliu,15
26,电路,1,DL,2,electric_circuit,16,dianlu,6
27,电源,1,DY,2,power_source,12,dianyuan,8
28,电动势,2,DDS,3,electromotive_force,19,diandongshi,11
29,内阻,2,NZ,2,internal_resistance,19,neizu,5
30,外电路,2,WDL,3,external_circuit,16,waidianlu,9
31,闭合电路,2,BHDL,4,closed_circuit,14,bihedianlu,10
32,电阻,1,DZ,2,resistance,10,dianzu,6
33,电阻率,2,DZL,3,resistivity,11,dianzulv,8
34,欧姆定律,1,OMDL,4,ohms_law,8,oumudinglv,10
35,串联电路,2,CLDL,4,series_circuit,14,chuanliandianlu,15
36,并联电路,2,BLDL,4,parallel_circuit,16,bingliandianlu,14
37,滑动变阻器,3,HDBZQ,5,sliding_rheostat,16,huadongbianzuqi,15
38,电功,1,DG,2,electric_work,13,diangong,8
39,电功率,1,DGL,3,electric_power,14,diangonglv,10
40,焦耳定律,2,JEDL,4,joules_law,10,jiaoerdinglv,12
41,磁场,1,CC,2,magnetic_field,14,cichang,7
42,磁感线,2,CGX,3,magnetic_field_line,19,ciganxian,9
43,磁感应强度,2,CGYQD,5,magnetic_flux_density,21,ciganyingqiangdu,16
44,匀强磁场,2,YQCC,4,uniform_magnetic_field,22,yunqiangcichang,15
45,安培力,2,APL,3,ampere_force,12,anpeili,7
46,洛伦兹力,3,LLZL,4,lorentz_force,13,luolunzili,10
47,磁通量,2,CTL,3,magnetic_flux,13,citongliang,11
48,电磁感应,2,DCGY,4,electromagnetic_induction,25,dianciganying,13
49,感应电流,2,GYDL,4,induced_current,15,ganyingdianliu,14
50,感应电动势,3,GYDDS,5,induced_emf,11,ganyingdiandongshi,18
51,法拉第电磁感应定律,3,FLDDCGYDL,9,faradays_law_of_electromagnetic_induction,41,faladidianciganyingdinglv,25
52,楞次定律,3,LCDL,4,lenzs_law,9,lengcidinglv,12
53,自感,3,ZG,2,self_induction,14,zigan,5
54,互感,3,HG,2,mutual_induction,16,hugan,5
55,交变电流,2,JBDL,4,alternating_current,19,jiaobiandianliu,15
56,有效值,2,YXZ,3,effective_value,15,youxiaozhi,10
57,变压器,2,BYQ,3,transformer,11,bianyaqi,8
58,电磁波,2,DCB,3,electromagnetic_wave,20,diancibo,8
59,电磁场,2,DCC,3,electromagnetic_field,21,diancichang,11
