编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,质点,1,ZD,2,particle,8,zhidian,7
2,参考系,2,CKX,3,reference_frame,15,cankaoxi,8
3,坐标系,2,ZBX,3,coordinate_system,17,zuobiaoxi,9
4,时刻,1,SK,2,instant,7,shike,5
5,时间间隔,2,SJJG,4,time_interval,13,shijianjiange,13
6,位置,1,WZ,2,position,8,weizhi,6
7,位移,1,WY,2,displacement,12,weiyi,5
8,路程,1,LC,2,distance_traveled,17,lucheng,7
9,速度,1,SD,2,velocity,8,sudu,4
10,平均速度,2,PJSD,4,average_velocity,16,pingjunsudu,11
11,瞬时速度,2,SSSD,4,instantaneous_velocity,22,shunshisudu,11
12,速率,1,SL,2,speed,5,sulv,4
13,平均速率,2,PJSL,4,average_speed,13,pingjunsulv,11
14,加速度,1,JSD,3,acceleration,12,jiasudu,7
15,匀速直线运动,2,YSZXYD,6,uniform_rectilinear_motion,26,yunsuzhixianyundong,19
16,变速直线运动,2,BSZXYD,6,nonuniform_rectilinear_motion,29,biansuzhixianyundong,20
17,匀变速直线运动,2,YBSZXYD,7,uniformly_accelerated_rectilinear_motion,40,yunbiansuzhixianyundong,23
18,自由落体运动,2,ZYLTYD,6,free_fall_motion,16,ziyouluotiyundong,17
19,竖直上抛运动,3,SZSPYD,6,vertical_upward_throwing_motion,31,shuzhishangpaoyundong,21
20,运动图像,2,YDTX,4,motion_graph,12,yundongtuxiang,14
21,位移时间图像,3,WYSJTX,6,displacement_time_graph,23,weiyishijiantuxiang,19
22,速度时间图像,3,SDSJTX,6,velocity_time_graph,19,sudushijiantuxiang,18
23,斜率,2,XL,2,slope,5,xielv,5
24,相互作用,2,XHZY,4,interaction,11,xianghuzuoyong,14
25,力,1,L,1,force,5,li,2
26,重力,1,ZL,2,gravity,7,zhongli,7
27,弹力,1,TL,2,elastic_force,13,tanli,5
28,摩擦力,1,MCL,3,friction_force,14,mocali,6
29,静摩擦力,2,JMCL,4,static_friction_force,21,jingmocali,10
30,滑动摩擦力,2,HDMCL,5,kinetic_friction_force,22,huadongmocali,13
31,支持力,2,ZCL,3,normal_force,12,zhichili,8
32,压力,1,YL,2,pressure_force,14,yali,4
33,拉力,1,LL,2,tension_force,13,lali,4
34,合力,2,HL,2,resultant_force,15,heli,4
