编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,光源,1,GY,2,light_source,12,guangyuan,9
2,光线,1,GX,2,light_ray,9,guangxian,9
3,光速,1,GS,2,speed_of_light,14,guangsu,7
4,光的直线传播,2,GDZXCB,6,rectilinear_propagation_of_light,32,guangdezhixianchuanbo,21
5,小孔成像,2,XKCX,4,pinhole_imaging,15,xiaokongchengxiang,18
6,反射,1,FS,2,reflection,10,fanshe,6
7,反射定律,2,FSDL,4,law_of_reflection,17,fanshedinglv,12
8,入射光线,2,RSGX,4,incident_ray,12,rusheguangxian,14
9,反射光线,2,FSGX,4,reflected_ray,13,fansheguangxian,15
10,法线,2,FX,2,normal_line,11,faxian,6
11,入射角,2,RSJ,3,angle_of_incidence,18,rushejiao,9
12,反射角,2,FSJ,3,angle_of_reflection,19,fanshejiao,10
13,平面镜,2,PMJ,3,plane_mirror,12,pingmianjing,12
14,虚像,2,XX,2,virtual_image,13,xuxiang,7
15,实像,2,SX,2,real_image,10,shixiang,8
16,折射,1,ZS,2,refraction,10,zheshe,6
17,折射定律,2,ZSDL,4,law_of_refraction,17,zheshedinglv,12
18,折射率,2,ZSL,3,refractive_index,16,zheshelv,8
19,全反射,3,QFS,3,total_internal_reflection,25,quanfanshe,10
20,临界角,3,LJJ,3,critical_angle,14,linjiejiao,10
21,透镜,1,TJ,2,lens,4,toujing,7
22,凸透镜,2,TTJ,3,convex_lens,11,tutoujing,9
23,凹透镜,2,ATJ,3,concave_lens,12,aotoujing,9
24,焦点,2,JD,2,focus,5,jiaodian,8
25,焦距,2,JJ,2,focal_length,12,jiaoju,6
26,光心,3,GX,2,optical_center,14,guangxin,8
27,主光轴,2,ZGZ,3,principal_axis,14,zhuguangzhou,12
28,像距,2,XJ,2,image_distance,14,xiangju,7
29,物距,2,WJ,2,object_distance,15,wuju,4
30,放大率,2,FDL,3,magnification,13,fangdalv,8
31,显微镜,2,XWJ,3,microscope,10,xianweijing,11
32,望远镜,2,WYJ,3,telescope,9,wangyuanjing,12
33,光的色散,2,GDSS,4,dispersion_of_light,19,guangdesesan,12
34,棱镜,2,LJ,2,prism,5,lengjing,8
35,光谱,2,GP,2,spectrum,8,guangpu,7
36,干涉,2,GS,2,interference,12,ganshe,6
37,衍射,2,YS,2,diffraction,11,yanshe,6
38,偏振,3,PZ,2,polarization,12,pianzhen,8
