编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,分子,1,FZ,2,molecule,8,fenzi,5
2,分子动理论,2,FZDLL,5,molecular_kinetic_theory,24,fenzidonglilun,14
3,热运动,1,RYD,3,thermal_motion,14,reyundong,9
4,布朗运动,3,BLYD,4,brownian_motion,15,bulangyundong,13
5,扩散,2,KS,2,diffusion,9,kuosan,6
6,温度,1,WD,2,temperature,11,wendu,5
7,热力学温度,2,RLXWD,5,thermodynamic_temperature,25,relixuewendu,12
8,摄氏温度,3,SSWD,4,celsius_temperature,19,sheshiwendu,11
9,内能,1,NN,2,internal_energy,15,neineng,7
10,热量,1,RL,2,heat,4,reliang,7
11,热传递,2,RCD,3,heat_transfer,13,rechuandi,9
12,热平衡,2,RPH,3,thermal_equilibrium,19,repingheng,10
13,热容量,2,RRL,3,heat_capacity,13,rerongliang,11
14,比热容,2,BRR,3,specific_heat_capacity,22,birerong,8
15,热值,3,RZ,2,calorific_value,15,rezhi,5
16,熔化,1,RH,2,melting,7,ronghua,7
17,凝固,1,NG,2,solidification,14,ninggu,6
18,汽化,1,QH,2,vaporization,12,qihua,5
19,液化,1,YH,2,liquefaction,12,yehua,5
20,升华,2,SH,2,sublimation,11,shenghua,8
21,凝华,2,NH,2,deposition,10,ninghua,7
22,晶体,2,JT,2,crystal,7,jingti,6
23,非晶体,2,FJT,3,amorphous_solid,15,feijingti,9
24,熔点,1,RD,2,melting_point,13,rongdian,8
25,沸点,1,FD,2,boiling_point,13,feidian,7
26,气体,1,QT,2,gas,3,qiti,4
27,理想气体,2,LXQT,4,ideal_gas,9,lixiangqiti,11
28,气体压强,2,QTYQ,4,gas_pressure,12,qitiyaqiang,11
29,气体体积,2,QTTJ,4,gas_volume,10,qititiji,8
30,气体温度,2,QTWD,4,gas_temperature,15,qitiwendu,9
31,玻意耳定律,3,BYEDL,5,boyles_law,10,boyierdinglv,12
32,查理定律,3,CLDL,4,charles_law,11,chalidinglv,11
33,盖吕萨克定律,3,GLSKDL,6,gay_lussacs_law,15,gailvsakedinglv,15
34,理想气体状态方程,3,LXQTZTFC,8,ideal_gas_equation,18,lixiangqitizhuangtaifangcheng,29
35,等温变化,2,DWBH,4,isothermal_process,18,dengwenbianhua,14
36,等容变化,2,DRBH,4,isochoric_process,17,dengrongbianhua,15
37,等压变化,2,DYBH,4,isobaric_process,16,dengyabianhua,13
38,热力学第一定律,3,RLXDYDL,7,first_law_of_thermodynamics,27,relixuediyidinglv,17
39,做功,2,ZG,2,doing_work,10,zuogong,7
40,吸热,1,XR,2,heat_absorption,15,xire,4
41,放热,1,FR,2,heat_release,12,fangre,6
42,能量守恒,2,NLSH,4,conservation_of_energy,22,nengliangshouheng,17
