编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,瞬子,10,SZ,2,instanton,9,shunzi,6
2,反瞬子,10,FSZ,3,anti_instanton,14,fanshunzi,9
3,瞬子液体,10,SZYT,4,instanton_liquid,16,shunziyeti,10
4,稀薄瞬子气,10,XBSZQ,5,dilute_instanton_gas,20,xibaoshunziqi,13
5,拓扑荷,10,TPH,3,topological_charge,18,tuopuhe,7
6,拓扑磁化率,10,TPCHL,5,topological_susceptibility,26,tuopucihualv,12
7,θ真空,10,ΘZK,3,theta_vacuum,12,zhenkong,8
8,轴反常,10,ZFC,3,axial_anomaly,13,zhoufanchang,12
9,U1A问题,10,U1AWT,5,U1A_problem,11,u1awenti,8
10,手征凝聚,10,SZNJ,4,chiral_condensate,17,shouzhengningju,15
11,手征对称破缺,10,SZDCPQ,6,chiral_symmetry_breaking,24,shouzhengduichengpoque,22
12,班克斯-卡舍尔关系,10,BKSKSEGX,8,banks_casher_relation,21,bankesikasheerguanxi,20
13,戈德斯通玻色子,10,GDSTBSZ,7,goldstone_boson,15,gedesitongbosezi,16
14,PCAC关系,10,PCACGX,6,PCAC_relation,13,pcacguanxi,10
15,盖尔曼-奥克斯-雷纳关系,10,GEMAKSLNGX,10,gell_mann_oakes_renner_relation,31,gaiermanaokesileinaguanxi,25
16,格点QCD,10,GDQCD,5,lattice_QCD,11,gedianqcd,9
17,威尔逊作用量,10,WEXZYL,6,wilson_action,13,weierxunzuoyongliang,20
18,威尔逊费米子,10,WEXFMZ,6,wilson_fermion,14,weierxunfeimizi,15
19,交错费米子,10,JCFMZ,5,staggered_fermion,17,jiaocuofeimizi,14
20,畴壁费米子,10,CBFMZ,5,domain_wall_fermion,19,choubifeimizi,13
21,重叠费米子,10,ZDFMZ,5,overlap_fermion,15,zhongdiefeimizi,15
22,三叶草改进,10,SYCGJ,5,clover_improvement,18,sanyecaogaijin,14
23,辛曼齐克改进,10,XMQKGJ,6,symanzik_improvement,20,xinmanqikegaijin,16
24,赝费米子,10,YFMZ,4,pseudo_fermion,14,yanfeimizi,10
25,混合蒙特卡洛,10,HHMTKL,6,hybridmontecarlo,16,hunhemengtekaluo,16
26,梅特罗波利斯更新,10,MTLBLSGX,8,metropolis_update,17,meiteluobolisigengxin,21
27,热浴算法,10,RYSF,4,heat_bath_algorithm,19,reyusuanfa,10
28,重加权方法,10,ZJQFF,5,reweighting_method,18,zhongjiaquanfangfa,18
29,符号问题,10,FHWT,4,sign_problem,12,fuhaowenti,10
30,有限密度QCD,10,YXMDQCD,7,finite_density_QCD,18,youxianmiduqcd,14
31,有限温度QCD,10,YXWDQCD,7,finite_temperature_QCD,22,youxianwenduqcd,15
32,去禁闭相变,10,QJBXB,5,deconfinement_phase_transition,30,qujinbixiangbian,16
33,手征相变,10,SZXB,4,chiral_phase_transition,23,shouzhengxiangbian,18
34,交叉相变,10,JCXB,4,crossing_phase_transition,25,jiaochaxiangbian,16
35,临界端点,10,LJDD,4,critical_endpoint,17,linjieduandian,14
36,夸克胶子等离子体,10,KKJZDLZT,8,quark_gluon_plasma,18,kuakejiaozidengliziti,21
37,波利亚科夫圈,10,BLYKFQ,6,polyakov_loop,13,boliyakefuquan,14
38,威尔逊圈,10,WEXQ,4,wilson_loop,11,weierxunquan,12
39,静态夸克势,10,JTKKS,5,static_quark_potential,22,jingtaikuakeshi,15
40,面积律,10,MJL,3,area_law,8,mianjilv,8
41,周长律,10,ZZL,3,perimeter_law,13,zhouzhanglv,11
42,夸克禁闭,10,KKJB,4,quark_confinement,17,kuakejinbi,10
43,颜色禁闭,10,YSJB,4,color_confinement,17,yansejinbi,10
44,中心对称,10,ZXDC,4,center_symmetry,15,zhongxinduicheng,16
45,中心涡旋,10,ZXWX,4,center_vortex,13,zhongxinwoxuan,14
46,磁单极凝聚,10,CDJNJ,5,magnetic_monopole_condensate,28,cidanjiningju,13
47,双超导图像,10,SCDTX,5,double_superconductivity_picture,32,shuangchaodaotuxiang,20
48,格里波夫复制,10,GLBFFZ,6,gribovfuzhi,11,gelibofufuzhi,13
49,朗道规范,10,LDGF,4,landau_gauge,12,langdaoguifan,13
50,库仑规范,10,KLGF,4,coulomb_gauge,13,kulunguifan,11
51,BRST对称,10,BRSTDC,6,BRST_symmetry,13,brstduicheng,12
52,法捷耶夫-波波夫鬼,10,FJYFBBFG,8,faddeevpopovgui,15,fajieyefubobofugui,18
53,胶子传播子,10,JZCBZ,5,gluon_propagator,16,jiaozichuanbozi,15
54,鬼传播子,10,GCBZ,4,ghost_propagator,16,guichuanbozi,12
55,戴森-施温格方程,10,DSSWGFC,7,dyson_schwinger_equation,24,daisenshiwengefangcheng,23
56,泛函重整化群,10,FHZZHQ,6,functionalrg,12,fanhanzhongzhenghuaqun,22
57,贝特-萨尔皮特方程,10,BTSEPTFC,8,bethe_salpeter_equation,23,beitesaerpitefangcheng,22
58,施温格-戴森截断,10,SWGDSJD,7,schwinger_dyson_truncation,26,shiwengedaisenjieduan,21
