编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,圈量子引力,10,QLZYL,5,loop_quantum_gravity,20,quanliangziyinli,16
2,阿什特卡变量,10,ASTKBL,6,ashtekar_variable,17,ashentekabianliang,18
3,连接变量,10,LJBL,4,connection_variables,20,lianjiebianliang,16
4,自旋网络,10,ZXWL,4,spin_network,12,zixuanwangluo,13
5,自旋泡沫,10,ZXPM,4,spin_bubble,11,zixuanpaomo,11
6,SU2联络,10,SU2LL,5,su2_contact,11,su2lianluo,10
7,环量,10,HL,2,holonomy,8,huanliang,9
8,通量变量,10,TLBL,4,flux_variable,13,tongliangbianliang,18
9,面积算符,10,MJSF,4,area_operator,13,mianjisuanfu,12
10,体积算符,10,TJSF,4,volume_operator,15,tijisuanfu,10
11,几何量子化,10,JHLZH,5,geometry_quantization,21,jiheliangzihua,14
12,量子几何,10,LZJH,4,quantum_geometry,16,liangzijihe,11
13,离散谱,10,LSP,3,discrete_spectrum,17,lisanpu,7
14,图态,10,TT,2,graph_state,11,tutai,5
15,边标记,10,BBJ,3,edge_mark,9,bianbiaoji,10
16,节点交织子,10,JDJZZ,5,node_interleave,15,jiedianjiaozhizi,16
17,交织子空间,10,JZZKJ,5,interlaced_subspace,19,jiaozhizikongjian,17
18,投影自旋网络,10,TYZXWL,6,projection_spin_network,23,touyingzixuanwangluo,20
19,柱函数,10,ZHS,3,bar_function,12,zhuhanshu,9
20,圆柱一致性,10,YZYZX,5,cylindrical_consistency,23,yuanzhuyizhixing,16
21,阿什特卡-莱万多夫斯基测度,10,ASTKLWDFSJCD,12,ashtekarlewandowskicedu,23,ashentekalaiwanduofusijicedu,28
22,高斯约束,10,GSYS,4,gaussian_constraints,20,gaosiyueshu,11
23,微分同胚约束,10,WFTPYS,6,diffeomorphism_constraints,26,weifentongpeiyueshu,19
24,哈密顿约束,10,HMDYS,5,hamiltonian_constraint,22,hamidunyueshu,13
25,主约束方案,10,ZYSFA,5,master_constraint_scheme,24,zhuyueshufangan,15
26,狄拉克可观测量,10,DLKKGCL,7,dirac_observable,16,dilakekeguanceliang,19
27,蒂曼技巧,10,DMJQ,4,tieman_technique,16,dimanjiqiao,11
28,体积正则化,10,TJZZH,5,volume_regularization,21,tijizhengzehua,14
29,自旋泡沫顶点振幅,10,ZXPMDDZF,8,spin_bubble_vertex_amplitude,28,zixuanpaomodingdianzhenfu,25
30,EPRL模型,10,EPRLMX,6,EPRL_model,10,eprlmoxing,10
31,FK模型,10,FKMX,4,FK_model,8,fkmoxing,8
32,巴雷特-克莱恩模型,10,BLTKLEMX,8,barrett_crane_model,19,baleitekelaienmoxing,20
33,彭扎诺-雷吉模型,10,PZNLJMX,7,penzano_regi_model,18,pengzhanuoleijimoxing,21
34,图拉耶夫-维罗模型,10,TLYFWLMX,8,turaev_viro_model,17,tulayefuweiluomoxing,20
35,雷吉作用量,10,LJZYL,5,reggie_dose,11,leijizuoyongliang,17
36,离散四面体,11,LSSMT,5,discrete_tetrahedron,20,lisansimianti,13
37,四维单纯形,11,SWDCX,5,four_dimensional_simplex,24,siweidanchunxing,16
38,泡沫面,11,PMM,3,foam_noodles,12,paomomian,9
39,泡沫边,11,PMB,3,foam_edge,9,paomobian,9
40,泡沫顶点,11,PMDD,4,bubble_top,10,paomodingdian,13
41,边界自旋网络,11,BJZXWL,6,boundary_spin_network,21,bianjiezixuanwangluo,20
42,半经典极限,11,BJDJX,5,semi_classic_extreme,20,banjingdianjixian,17
43,大自旋极限,11,DZXJX,5,large_spin_limit,16,dazixuanjixian,14
44,编织自旋网络,11,BZZXWL,6,braided_spin_network,20,bianzhizixuanwangluo,20
45,群场论,11,QCL,3,group_field_theory,18,qunchanglun,11
46,张量模型,11,ZLMX,4,tensor_model,12,zhangliangmoxing,16
47,GFT凝聚态,11,GFTNJT,6,GFT_condensate_state,20,gftningjutai,12
48,量子黎曼几何,11,LZLMJH,6,quantum_riemann_geometry,24,liangzilimanjihe,16
49,聚合量子化,11,JHLZH,5,aggregation_quantization,24,juheliangzihua,14
50,环量子宇宙学,11,HLZYZX,6,ring_quantum_cosmology,22,huanliangziyuzhouxue,20
51,反弹宇宙,11,FDYZ,4,bounce_universe,15,fandanyuzhou,12
52,有效弗里德曼方程,11,YXFLDMFC,8,effective_friedman_equation,27,youxiaofulidemanfangcheng,25
53,巴贝罗-伊米尔齐参数,11,BBLYMEQCS,9,barbero_imirzi_parameters,25,babeiluoyimierqicanshu,22
54,黑洞熵计数,11,HDSJS,5,black_hole_entropy_count,24,heidongshangjishu,17
55,孤立视界,11,GLSJ,4,isolated_horizon,16,gulishijie,10
56,视界自旋点,11,SJZXD,5,horizon_spin_point,18,shijiezixuandian,16
57,陈-西蒙斯视界态,11,CXMSSJT,7,chern_simons_horizon_state,26,chenximengsishijietai,21
58,量子面积间隙,11,LZMJJX,6,quantum_area_gap,16,liangzimianjijianxi,19
59,长度算符,11,ZDSF,4,length_operator,15,zhangdusuanfu,13
60,角度算符,11,JDSF,4,angle_operator,14,jiaodusuanfu,12
61,量子三角形,11,LZSJX,5,quantum_triangulated_form,25,liangzisanjiaoxing,18
62,扭曲几何,11,NQJH,4,twistedjihe,11,niuqujihe,9
63,旋量网络,11,XLWL,4,spinor_network,14,xuanliangwangluo,16
64,扭量网络,11,NLWL,4,twistor_network,15,niuliangwangluo,15
65,形状匹配约束,11,XZPPYS,6,shape_matching_constraints,26,xingzhuangpipeiyueshu,21
66,离散相空间,11,LSXKJ,5,discrete_phase_space,20,lisanxiangkongjian,18
67,协变LQG,11,XBLQG,5,covariant_LQG,13,xiebianlqg,10
68,正则LQG,11,ZZLQG,5,regular_LQG,11,zhengzelqg,10
69,洛伦兹协变联络,11,LLZXBLL,7,lorentz_covariant_liaison,25,luolunzixiebianlianluo,22
70,SL2C表示,11,SL2CBS,6,SL2C_representation,19,sl2cbiaoshi,11
71,Y映射,11,YYS,3,Y_map,5,yyingshe,8
72,简约约束,11,JYYS,4,parsimony_constraint,20,jianyueyueshu,13
73,普莱班斯基作用量,12,PLBSJZYL,8,plebanski_dose,14,pulaibansijizuoyongliang,24
74,BF约束,11,BFYS,4,bf_constraints,14,bfyueshu,8
75,时规范,11,SGF,3,time_standard,13,shiguifan,9
76,自对偶变量,11,ZDOBL,5,self_dual_variable,18,ziduioubianliang,16
77,实连接,11,SLJ,3,real_connection,15,shilianjie,10
78,复连接,11,FLJ,3,multiple_joins,14,fulianjie,9
79,现实条件,11,XSTJ,4,realistic_conditions,20,xianshitiaojian,15
80,织构态,11,ZGT,3,texture_state,13,zhigoutai,9
81,编织激发,11,BZJF,4,knitting_inspires,17,bianzhijifa,11
82,粗粒化自旋泡沫,11,CLHZXPM,7,coarse_grained_spin_foam,24,culihuazixuanpaomo,18
83,重整化自旋泡沫,11,ZZHZXPM,7,renormalized_spin_foam,22,zhongzhenghuazixuanpaomo,24
84,群场宇宙学,11,QCYZX,5,groupfieldcosmology,19,qunchangyuzhouxue,17
85,量子参考系,11,LZCKX,5,quantum_reference_frame,23,liangzicankaoxi,15
86,相对局域性,11,XDJYX,5,relative_locality,17,xiangduijuyuxing,16
87,因果自旋泡沫,11,YGZXPM,6,causal_spin_bubble,18,yinguozixuanpaomo,17
88,可积自旋泡沫,12,KJZXPM,6,integrable_spin_foam,20,kejizixuanpaomo,15
89,黑洞蒸发模型,12,HDZFMX,6,black_hole_evaporation_model,28,heidongzhengfamoxing,20
90,引力子传播子,12,YLZCBZ,6,gravity_particle_propagator,27,yinlizichuanbozi,16
91,半经典相干态,12,BJDXGT,6,semiclassical_coherent_state,28,banjingdianxianggantai,22
92,热自旋网络,12,RZXWL,5,thermal_spin_network,20,rezixuanwangluo,15
93,量子图同胚,12,LZTTP,5,quantum_graph_homeomorphism,27,liangzitutongpei,16
94,节点体积谱,12,JDTJP,5,node_volume_spectrum,20,jiediantijipu,13
95,面通量谱,12,MTLP,4,area_flux_spectrum,18,miantongliangpu,15
96,曲率环量,12,QLHL,4,qulvholonomy,12,qulvhuanliang,13
97,小环正则化,12,XHZZH,5,small_ring_regularization,25,xiaohuanzhengzehua,18
98,量子约束代数,12,LZYSDS,6,quantum_constrained_algebra,27,liangziyueshudaishu,19
99,异常自由代数,12,YCZYDS,6,abnormal_free_algebra,21,yichangziyoudaishu,18
100,物理内积,12,WLNJ,4,physical_inner_product,22,wulineiji,9
101,投影极限希尔伯特空间,12,TYJXXEBTKJ,10,projection_limit_hilbert_space,30,touyingjixianxierbotekongjian,29
102,量子几何态,12,LZJHT,5,quantum_geometry_state,22,liangzijihetai,14
103,面积本征谱,12,MJBZP,5,area_eigenspectrum,18,mianjibenzhengpu,16
104,哈密顿约束谱,12,HMDYSP,6,hamiltonian_constraint_spectrum,31,hamidunyueshupu,15
105,泡沫顶点振幅,12,PMDDZF,6,bubble_peak_amplitude,21,paomodingdianzhenfu,19
106,大自旋半经典极限,12,DZXBJDJX,8,large_spin_semi_classical_limit,31,dazixuanbanjingdianjixian,25
107,曲率环量正则化,12,QLHLZZH,7,curvature_ring_regularization,29,qulvhuanliangzhengzehua,23
108,自旋泡沫重整化流,12,ZXPMZZHL,8,spin_foam_reforming_flow,24,zixuanpaomozhongzhenghualiu,27
109,热自旋网络态,12,RZXWLT,6,thermal_spin_network_state,26,rezixuanwangluotai,18
110,协变自旋泡沫路径积分,12,XBZXPMLJJF,10,covariant_spin_bubble_path_integral,35,xiebianzixuanpaomolujingjifen,29
111,有效反弹方程,12,YXFDFC,6,effective_rebound_equation,26,youxiaofandanfangcheng,22
112,自旋网络边界数据,12,ZXWLBJSJ,8,spin_network_boundary_data,26,zixuanwangluobianjieshuju,25
