编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,非对易坐标,10,FDYZB,5,feiduiyizuobiao,15,feiduiyizuobiao,15
2,非对易时空,10,FDYSK,5,feiduiyishikong,15,feiduiyishikong,15
3,非对易场论,10,FDYCL,5,feiduiyichanglun,16,feiduiyichanglun,16
4,星积,10,XJ,2,xingji,6,xingji,6
5,莫亚尔积,10,MYEJ,4,moyal_product,13,moyaerji,8
6,莫亚尔括号,10,MYEKH,5,moyalkuohao,11,moyaerkuohao,12
7,外尔量子化,10,WELZH,5,weylliangzihua,14,waierliangzihua,15
8,形变量子化,10,XBLZH,5,xingbianliangzihua,18,xingbianliangzihua,18
9,谱三元组,10,PSYZ,4,pusanyuanzu,11,pusanyuanzu,11
10,孔涅距离,10,KNJL,4,connesjuli,10,kongniejuli,11
11,狄拉克算子,10,DLKSZ,5,diracsuanzi,11,dilakesuanzi,12
12,迪克斯米尔迹,10,DKSMEJ,6,dixmierji,9,dikesimierji,12
13,循环上同调,10,XHSTD,5,xunhuanshangtongdiao,20,xunhuanshangtongdiao,20
14,霍赫希尔德循环,10,HHXEDXH,7,hochschildxunhuan,17,huohexierdexunhuan,18
15,非对易积分,10,FDYJF,5,feiduiyijifen,13,feiduiyijifen,13
16,非对易环面,10,FDYHM,5,feiduiyihuanmian,16,feiduiyihuanmian,16
17,有理非对易环面,10,YLFDYHM,7,youlifeiduiyihuanmian,21,youlifeiduiyihuanmian,21
18,量子平面,10,LZPM,4,liangzipingmian,15,liangzipingmian,15
19,量子球面,10,LZQM,4,liangziqiumian,14,liangziqiumian,14
20,模糊球面,10,MHQM,4,mohuqiumian,11,mohuqiumian,11
21,模糊复射影空间,10,MHFSYKJ,7,mohufusheyingkongjian,21,mohufusheyingkongjian,21
22,矩阵几何,10,JZJH,4,juzhenjihe,10,juzhenjihe,10
23,矩阵模型,10,JZMX,4,juzhenmoxing,12,juzhenmoxing,12
24,森田等价,10,STDJ,4,moritadengjia,13,sentiandengjia,14
25,强森田等价,10,QSTDJ,5,qiangmoritadengjia,18,qiangsentiandengjia,19
26,投射模,10,TSM,3,toushemo,8,toushemo,8
27,K理论配对,10,KLLPD,5,k_theory_pairing,16,klilunpeidui,12
28,K同调,10,KTD,3,ktongdiao,9,ktongdiao,9
29,C星代数,10,CXDS,4,cxingdaishu,11,cxingdaishu,11
30,冯诺伊曼代数,10,FNYMDS,6,vonneumanndaishu,16,fengnuoyimandaishu,18
31,富田-竹崎理论,10,FTZQLL,6,tomitatakesakililun,19,futianzhuqililun,16
32,谱作用量,10,PZYL,4,puzuoyongliang,14,puzuoyongliang,14
33,沙姆塞丁-孔涅谱作用量,10,SMSDKNPZYL,10,chamseddineconnespuzuoyongliang,31,shamusaidingkongniepuzuoyongliang,33
34,规范内涨落,10,GFNZL,5,guifanneizhangluo,17,guifanneizhangluo,17
35,实结构,10,SJG,3,shijiegou,9,shijiegou,9
36,一阶条件,10,YJTJ,4,yijietiaojian,13,yijietiaojian,13
37,KO维数,10,KOWS,4,koweishu,8,koweishu,8
38,非对易标准模型,10,FDYBZMX,7,feiduiyibiaozhunmoxing,22,feiduiyibiaozhunmoxing,22
39,非对易规范理论,10,FDYGFLL,7,feiduiyiguifanlilun,19,feiduiyiguifanlilun,19
40,塞伯格-威滕映射,10,SBGWTYS,7,seiberg_witten_map,18,saibogeweitengyingshe,21
41,开弦非对易性,10,KXFDYX,6,kaixianfeiduiyixing,19,kaixianfeiduiyixing,19
42,B场背景,10,BCBJ,4,bchangbeijing,13,bchangbeijing,13
43,UVIR混合,10,UVIRHH,6,uv_ir_mixing,12,uvirhunhe,9
44,非平面图,10,FPMT,4,feipingmiantu,13,feipingmiantu,13
45,开威尔逊线,10,KWEXX,5,kaiwilsonxian,13,kaiweierxunxian,15
46,偶极场论,10,OJCL,4,oujichanglun,12,oujichanglun,12
47,矩阵基展开,10,JZJZK,5,juzhenjizhankai,15,juzhenjizhankai,15
48,格罗斯-武尔肯哈尔模型,10,GLSWEKHEMX,10,grossewulkenhaarmoxing,22,geluosiwuerkenhaermoxing,24
49,朗曼-萨博对偶,10,LMSBDO,6,langmannszaboduiou,18,langmansaboduiou,16
