编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,量子引力,10,LZYL,4,quantum_gravity,15,liangziyinli,12
2,黑洞信息悖论,10,HDXXBL,6,black_hole_information_paradox,30,heidongxinxibeilun,18
3,霍金辐射,10,HJFS,4,hawking_radiation,17,huojinfushe,11
4,贝肯斯坦熵,10,BKSTS,5,bekenstein_entropy,18,beikensitanshang,16
5,贝肯斯坦界,10,BKSTJ,5,bekensteinjie,13,beikensitanjie,14
6,广义第二定律,10,GYDEDL,6,generalized_second_law,22,guangyidierdinglv,17
7,黑洞互补性,10,HDHBX,5,black_hole_complementarity,26,heidonghubuxing,15
8,防火墙悖论,10,FHQBL,5,firewall_paradox,16,fanghuoqiangbeilun,18
9,AMPS悖论,10,AMPSBL,6,amps_paradox,12,ampsbeilun,10
10,软毛,10,RM,2,soft_fur,8,ruanmao,7
11,BMS软荷,10,BMSRH,5,BMS_soft_charge,15,bmsruanhe,9
12,佩奇曲线,10,PQQX,4,page_curve,10,peiqiquxian,11
13,佩奇时间,10,PQSJ,4,page_time,9,peiqishijian,12
14,佩奇定理,10,PQDL,4,page_theorem,12,peiqidingli,11
15,黑洞蒸发,10,HDZF,4,black_hole_evaporates,21,heidongzhengfa,14
16,纯态蒸发,10,CTZF,4,pure_evaporation,16,chuntaizhengfa,14
17,信息丢失,10,XXDS,4,information_lost,16,xinxidiushi,11
18,信息恢复,10,XXHF,4,information_recovery,20,xinxihuifu,10
19,扰乱时间,10,RLSJ,4,disrupt_time,12,raoluanshijian,14
20,快速扰乱,10,KSRL,4,disrupt_quickly,15,kuaisuraoluan,13
21,海登-普雷斯基尔协议,10,HDPLSJEXY,9,hayden_preskill_protocol,24,haidengpuleisijierxieyi,23
22,黑洞镜像,10,HDJX,4,black_hole_mirror,17,heidongjingxiang,16
23,量子错误校正,10,LZCWXZ,6,quantum_error_correction,24,liangzicuowuxiaozheng,21
24,全息错误校正,10,QXCWXZ,6,holographic_error_correction,28,quanxicuowuxiaozheng,20
25,岛公式,10,DGS,3,island_formula,14,daogongshi,10
26,岛面,10,DM,2,island_surface,14,daomian,7
27,复制虫洞,10,FZCD,4,copy_wormhole,13,fuzhichongdong,14
28,引力路径积分,10,YLLJJF,6,gravity_path_integral,21,yinlilujingjifen,16
29,欧几里得虫洞,10,OJLDCD,6,euclidean_wormhole,18,oujilidechongdong,17
30,子宇宙,10,ZYZ,3,babyuniverse,12,ziyuzhou,8
31,α参数,10,ΑCS,3,alpha_parameter,15,canshu,6
32,拓扑求和,10,TPQH,4,topological_summation,21,tuopuqiuhe,10
33,广义熵,10,GYS,3,generalized_entropy,19,guangyishang,12
34,面积项,10,MJX,3,area_term,9,mianjixiang,11
35,体熵,10,TS,2,bulkentropy,11,tishang,7
36,半经典引力,10,BJDYL,5,semiclassical_gravity,21,banjingdianyinli,16
37,有效场论截断,10,YXCLJD,6,effective_field_theory_cutoff,29,youxiaochanglunjieduan,22
38,跨普朗克问题,10,KPLKWT,6,transplanck_problem,19,kuapulangkewenti,16
39,视界互补性,10,SJHBX,5,horizon_complementarity,23,shijiehubuxing,14
40,拉伸视界,10,LSSJ,4,stretch_horizon,15,lashenshijie,12
