编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,拓扑量子场论,10,TPLZCL,6,tuopuliangzichanglun,20,tuopuliangzichanglun,20
2,阿蒂亚公理,10,ADYGL,5,atiyahgongli,12,adiyagongli,11
3,西格尔公理,10,XGEGL,5,segalgongli,11,xigeergongli,12
4,陈西蒙斯理论,10,CXMSLL,6,chenximengsililun,17,chenximengsililun,17
5,BF理论,10,BFLL,4,bflilun,7,bflilun,7
6,戴克拉夫-威滕理论,10,DKLFWTLL,8,dijkgraafwittenlilun,20,daikelafuweitenglilun,21
7,唐纳森不变量,10,TNSBBL,6,donaldsonbubianliang,20,tangnasenbubianliang,20
8,塞伯格-威滕不变量,10,SBGWTBBL,8,seibergwittenbubianliang,24,saibogeweitengbubianliang,25
9,格罗莫夫-威滕不变量,10,GLMFWTBBL,9,gromovwittenbubianliang,23,geluomofuweitengbubianliang,27
10,列舍季欣-图拉耶夫不变量,10,LSJXTLYFBBL,11,reshetikhinturaevbubianliang,28,lieshejixintulayefububianliang,30
11,威滕不变量,10,WTBBL,5,wittenbubianliang,17,weitengbubianliang,18
12,琼斯多项式,10,QSDXS,5,jonesduoxiangshi,16,qiongsiduoxiangshi,18
13,HOMFLY多项式,10,HOMFLYDXS,9,homflyduoxiangshi,17,homflyduoxiangshi,17
14,霍瓦诺夫同调,10,HWNFTD,6,khovanovtongdiao,16,huowanuofutongdiao,18
15,纽结同调,10,NJTD,4,niujietongdiao,14,niujietongdiao,14
16,纽结补空间,10,NJBKJ,5,niujiebukongjian,16,niujiebukongjian,16
17,辫群表示,10,BQBS,4,bianqunbiaoshi,14,bianqunbiaoshi,14
18,映射类群表示,10,YSLQBS,6,yingsheleiqunbiaoshi,20,yingsheleiqunbiaoshi,20
19,模张量范畴,10,MZLFC,5,mozhangliangfanchou,19,mozhangliangfanchou,19
20,融合范畴,10,RHFC,4,ronghefanchou,13,ronghefanchou,13
21,球面范畴,10,QMFC,4,qiumianfanchou,14,qiumianfanchou,14
22,德林费尔德中心,10,DLFEDZX,7,drinfeldzhongxin,16,delinfeierdezhongxin,20
23,任意子模型,10,RYZMX,5,anyonmoxing,11,renyizimoxing,13
24,非阿贝尔任意子,10,FABERYZ,7,feiabeierrenyizi,16,feiabeierrenyizi,16
25,拓扑序,10,TPX,3,tuopuxu,7,tuopuxu,7
26,长程纠缠,10,ZCJC,4,zhangchengjiuchan,17,zhangchengjiuchan,17
27,量子双模型,10,LZSMX,5,liangzishuangmoxing,19,liangzishuangmoxing,19
28,基塔耶夫量子双,10,JTYFLZS,7,kitaevliangzishuang,19,jitayefuliangzishuang,21
29,莱文-文弦网,10,LWWXW,5,levinwenxianwang,16,laiwenwenxianwang,17
30,弦网凝聚,10,XWNJ,4,xianwangningju,14,xianwangningju,14
31,拓扑纠缠熵,10,TPJCS,5,tuopujiuchanshang,17,tuopujiuchanshang,17
32,韦斯-朱米诺-威滕边界,10,WSZMNWTBJ,9,wesszuminowittenbianjie,23,weisizhuminuoweitengbianjie,27
33,手征边缘态,10,SZBYT,5,shouzhengbianyuantai,20,shouzhengbianyuantai,20
34,反常流入,10,FCLR,4,fanchangliuru,13,fanchangliuru,13
35,拓扑缺陷,10,TPQX,4,tuopuquexian,12,tuopuquexian,12
36,缺陷线,10,QXX,3,quexianxian,11,quexianxian,11
37,线算符,10,XSF,3,xiansuanfu,10,xiansuanfu,10
38,面算符,10,MSF,3,miansuanfu,10,miansuanfu,10
39,威尔逊线,10,WEXX,4,wilsonxian,10,weierxunxian,12
40,霍夫代数不变量,10,HFDSBBL,7,huofudaishububianliang,22,huofudaishububianliang,22
41,量子群表示,10,LZQBS,5,liangziqunbiaoshi,17,liangziqunbiaoshi,17
42,根单位量子群,10,GDWLZQ,6,gendanweiliangziqun,19,gendanweiliangziqun,19
43,克莱恩-耶特模型,10,KLEYTMX,7,craneyettermoxing,17,kelaienyetemoxing,17
44,三维TQFT,10,SWTQFT,6,sanweitqft,10,sanweitqft,10
45,二维TQFT,10,EWTQFT,6,erweitqft,9,erweitqft,9
46,四维TQFT,10,SWTQFT,6,siweitqft,9,siweitqft,9
47,开闭TQFT,10,KBTQFT,6,kaibitqft,9,kaibitqft,9
48,扩展TQFT,10,KZTQFT,6,kuozhantqft,11,kuozhantqft,11
49,全扩展TQFT,10,QKZTQFT,7,quankuozhantqft,15,quankuozhantqft,15
50,配边范畴,10,PBFC,4,cobordismfanchou,16,peibianfanchou,14
51,高阶范畴,10,GJFC,4,gaojiefanchou,13,gaojiefanchou,13
52,因子化同调,10,YZHTD,5,yinzihuatongdiao,16,yinzihuatongdiao,16
53,拓扑σ模型,10,TPMX,4,tuopumoxing,11,tuopumoxing,11
54,A模型,10,AMX,3,amoxing,7,amoxing,7
55,B模型,10,BMX,3,bmoxing,7,bmoxing,7
56,罗赞斯基-威滕模型,10,LZSJWTMX,8,rozanskywittenmoxing,20,luozansijiweitengmoxing,23
57,唐纳森威滕理论,10,TNSWTLL,7,donaldsonwittenlilun,20,tangnasenweitenglilun,21
58,卡普斯廷-威滕方程,10,KPSTWTFC,8,kapustinwittenfangcheng,23,kapusitingweitengfangcheng,26
59,几何 朗兰兹对偶,10,JHLLZDO,7,geometriclanglandsduiou,23,jihelanglanziduiou,18
60,弗洛尔同调,10,FLETD,5,floertongdiao,13,fuluoertongdiao,15
61,瞬子 弗洛尔同调,10,SZFLETD,7,instantonfloertongdiao,22,shunzifuluoertongdiao,21
62,希加德 弗洛尔同调,10,XJDFLETD,8,heegaardfloertongdiao,21,xijiadefuluoertongdiao,22
63,拉格朗日 弗洛尔同调,10,LGLRFLETD,9,lagrangianfloertongdiao,23,lagelangrifuluoertongdiao,25
64,深谷范畴,10,SGFC,4,fukayafanchou,13,shengufanchou,13
