编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,量子信息论,9,LZXXL,5,quantum_information_theory,26,liangzixinxilun,15
2,量子比特,9,LZBT,4,qubit,5,liangzibite,11
3,量子寄存器,9,LZJCQ,5,quantum_register,16,liangzijicunqi,14
4,量子态制备,9,LZTZB,5,quantum_state_preparation,25,liangzitaizhibei,16
5,纯态,9,CT,2,pure_state,10,chuntai,7
6,混合态,9,HHT,3,mixed_state,11,hunhetai,8
7,密度矩阵,9,MDJZ,4,density_matrix,14,midujuzhen,10
8,密度算符,9,MDSF,4,density_operator,16,midusuanfu,10
9,迹距离,9,JJL,3,trace_distance,14,jijuli,6
10,保真度,9,BZD,3,fidelity,8,baozhendu,9
11,量子相对熵,9,LZXDS,5,quantum_relative_entropy,24,liangzixiangduishang,20
12,冯诺依曼熵,9,FNYMS,5,von_neumann_entropy,19,fengnuoyimanshang,17
13,线性熵,9,XXS,3,linear_entropy,14,xianxingshang,13
14,雷尼熵,9,LNS,3,renyi_entropy,13,leinishang,10
15,纠缠熵,9,JCS,3,entanglement_entropy,20,jiuchanshang,12
16,纠缠谱,9,JCP,3,entanglement_spectrum,21,jiuchanpu,9
17,纠缠见证,9,JCJZ,4,entanglement_witness,20,jiuchanjianzheng,16
18,纠缠度量,9,JCDL,4,entanglement_measure,20,jiuchanduliang,14
19,并发度,9,BFD,3,concurrence,11,bingfadu,8
20,负性,9,FX,2,negativity,10,fuxing,6
21,对数负性,9,DSFX,4,logarithmic_negativity,22,duishufuxing,12
22,可分态,9,KFT,3,separable_state,15,kefentai,8
23,纠缠态,9,JCT,3,entangled_state,15,jiuchantai,10
24,贝尔态,9,BET,3,bell_state,10,beiertai,8
25,GHZ态,9,GHZT,4,ghz_state,9,ghztai,6
26,W态,9,WT,2,w_state,7,wtai,4
27,稳定子态,9,WDZT,4,stabilizer_state,16,wendingzitai,12
28,图态,9,TT,2,graph_state,11,tutai,5
29,簇态,9,CT,2,cluster_state,13,cutai,5
30,量子信道,9,LZXD,4,quantum_channel,15,liangzixindao,13
31,克劳斯算符,9,KLSSF,5,kraus_operator,14,kelaosisuanfu,13
32,蔡矩阵,9,CJZ,3,choi_matrix,11,caijuzhen,9
33,蔡同构,9,CTG,3,choi_isomorphism,16,caitonggou,10
34,完全正映射,9,WQZYS,5,completely_positive_map,23,wanquanzhengyingshe,19
35,迹保持映射,9,JBCYS,5,trace_preserving_map,20,jibaochiyingshe,15
36,幺正信道,9,YZXD,4,unitary_channel,15,yaozhengxindao,14
37,退相干信道,9,TXGXD,5,decoherence_channel,19,tuixiangganxindao,17
38,去极化信道,9,QJHXD,5,depolarizing_channel,20,qujihuaxindao,13
39,振幅阻尼信道,9,ZFZNXD,6,amplitude_damping_channel,25,zhenfuzunixindao,16
40,相位阻尼信道,9,XWZNXD,6,phase_damping_channel,21,xiangweizunixindao,18
41,量子操作,9,LZCZ,4,quantum_operation,17,liangzicaozuo,13
42,POVM测量,9,POVMCL,6,povm_measurement,16,povmceliang,11
43,投影测量,9,TYCL,4,projective_measurement,22,touyingceliang,14
44,弱测量,9,RCL,3,weak_measurement,16,ruoceliang,10
45,量子层析,9,LZCX,4,quantum_tomography,18,liangzicengxi,13
46,态层析,9,TCX,3,state_tomography,16,taicengxi,9
47,过程层析,9,GCCX,4,process_tomography,18,guochengcengxi,14
48,门层析,9,MCX,3,gate_tomography,15,mencengxi,9
49,随机基准测试,9,SJJZCS,6,randomized_benchmarking,23,suijijizhunceshi,16
50,交叉熵基准测试,9,JCSJZCS,7,cross_entropy_benchmarking,26,jiaochashangjizhunceshi,23
51,量子电路,9,LZDL,4,quantum_circuit,15,liangzidianlu,13
52,量子门,9,LZM,3,quantum_gate,12,liangzimen,10
53,单比特门,9,DBTM,4,single_qubit_gate,17,danbitemen,10
54,双比特门,9,SBTM,4,two_qubit_gate,14,shuangbitemen,13
55,受控非门,9,SKFM,4,controlled_not_gate,19,shoukongfeimen,14
56,哈达玛门,9,HDMM,4,hadamard_gate,13,hadamamen,9
57,相位门,9,XWM,3,phase_gate,10,xiangweimen,11
58,T门,9,TM,2,t_gate,6,tmen,4
59,托福利门,9,TFLM,4,toffoli_gate,12,tuofulimen,10
60,SWAP门,9,SWAPM,5,swap_gate,9,swapmen,7
61,克利福德群,9,KLFDQ,5,clifford_group,14,kelifudequn,11
62,克利福德门,9,KLFDM,5,clifford_gate,13,kelifudemen,11
63,泡利群,9,PLQ,3,pauli_group,11,paoliqun,8
64,泡利误差,9,PLWC,4,pauli_error,11,paoliwucha,10
65,量子傅里叶变换,9,LZFLYBH,7,quantum_fourier_transform,25,liangzifuliyebianhuan,21
66,相位估计算法,9,XWGJSF,6,phase_estimation_algorithm,26,xiangweigujisuanfa,18
67,肖尔算法,9,XESF,4,shor_algorithm,14,xiaoersuanfa,12
68,格罗弗算法,9,GLFSF,5,grover_algorithm,16,geluofusuanfa,13
69,HHL算法,10,HHLSF,5,hhl_algorithm,13,hhlsuanfa,9
70,变分量子算法,9,BFLZSF,6,variational_quantum_algorithm,29,bianfenliangzisuanfa,20
71,量子近似优化算法,9,LZJSYHSF,8,quantum_approximate_optimization_algorithm,42,liangzijinshiyouhuasuanfa,25
72,变分量子本征求解器,9,BFLZBZQJQ,9,variational_quantum_eigensolver,31,bianfenliangzibenzhengqiujieqi,30
73,量子机器学习,9,LZJQXX,6,quantum_machine_learning,24,liangzijiqixuexi,16
74,量子模拟,9,LZMN,4,quantum_simulation,18,liangzimoni,11
75,数字量子模拟,9,SZLZMN,6,digital_quantum_simulation,26,shuziliangzimoni,16
76,模拟量子模拟,9,MNLZMN,6,analog_quantum_simulation,25,moniliangzimoni,15
77,量子退火,9,LZTH,4,quantum_annealing,17,liangzituihuo,13
78,绝热量子计算,9,JRLZJS,6,adiabatic_quantum_computation,29,juereliangzijisuan,18
