编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,原子分子光物理,10,YZFZGWL,7,atomic_molecular_and_optical_physics,36,yuanzifenziguangwuli,20
2,原子,6,YZ,2,atom,4,yuanzi,6
3,分子,8,FZ,2,molecule,8,fenzi,5
4,离子,8,LZ,2,ion,3,lizi,4
5,电子态,8,DZT,3,electronic_state,16,dianzitai,9
6,振动态,8,ZDT,3,vibrational_state,17,zhendongtai,11
7,转动态,8,ZDT,3,rotational_state,16,zhuandongtai,12
8,能级,8,NJ,2,energy_level,12,nengji,6
9,能级结构,8,NJJG,4,energy_level_structure,22,nengjijiegou,12
10,精细结构,8,JXJG,4,fine_structure,14,jingxijiegou,12
11,超精细结构,10,CJXJG,5,hyperfine_structure,19,chaojingxijiegou,16
12,塞曼效应,9,SMXY,4,zeeman_effect,13,saimanxiaoying,14
13,斯塔克效应,10,STKXY,5,stark_effect,12,sitakexiaoying,14
14,郎德因子,8,LDYZ,4,lande_factor,12,landeyinzi,10
15,量子数,8,LZS,3,quantum_number,14,liangzishu,10
16,主量子数,8,ZLZS,4,principal_quantum_number,24,zhuliangzishu,13
17,角量子数,8,JLZS,4,azimuthal_quantum_number,24,jiaoliangzishu,14
18,磁量子数,8,CLZS,4,magnetic_quantum_number,23,ciliangzishu,12
19,自旋量子数,9,ZXLZS,5,spin_quantum_number,19,zixuanliangzishu,16
20,选择定则,8,XZDZ,4,selection_rule,14,xuanzedingze,12
21,跃迁,10,YQ,2,transition,10,yueqian,7
22,电偶极跃迁,9,DOJYQ,5,electric_dipole_transition,26,dianoujiyueqian,15
23,磁偶极跃迁,9,COJYQ,5,magnetic_dipole_transition,26,cioujiyueqian,13
24,四极跃迁,10,SJYQ,4,quadrupole_transition,21,sijiyueqian,11
25,禁戒跃迁,8,JJYQ,4,forbidden_transition,20,jinjieyueqian,13
26,振子强度,8,ZZQD,4,oscillator_strength,19,zhenziqiangdu,13
27,寿命,8,SM,2,lifetime,8,shouming,8
28,谱线,8,PX,2,spectral_line,13,puxian,6
29,谱线宽度,8,PXKD,4,spectral_linewidth,18,puxiankuandu,12
30,自然线宽,8,ZRXK,4,natural_linewidth,17,ziranxiankuan,13
31,多普勒展宽,9,DPLZK,5,doppler_broadening,18,duopuleizhankuan,16
32,碰撞展宽,8,PZZK,4,collisional_broadening,22,pengzhuangzhankuan,18
33,压力展宽,8,YLZK,4,pressure_broadening,19,yalizhankuan,12
34,饱和展宽,8,BHZK,4,saturation_broadening,21,baohezhankuan,13
35,吸收光谱,8,XSGP,4,absorption_spectrum,19,xishouguangpu,13
36,发射光谱,8,FSGP,4,emission_spectrum,17,fasheguangpu,12
37,荧光光谱,8,YGGP,4,fluorescence_spectrum,21,yingguangguangpu,16
38,拉曼光谱,8,LMGP,4,raman_spectrum,14,lamanguangpu,12
39,红外光谱,8,HWGP,4,infrared_spectrum,17,hongwaiguangpu,14
40,微波光谱,8,WBGP,4,microwave_spectrum,18,weiboguangpu,12
41,分子光谱,8,FZGP,4,molecular_spectrum,18,fenziguangpu,12
42,原子光谱,8,YZGP,4,atomic_spectrum,15,yuanziguangpu,13
43,光谱分辨率,9,GPFBL,5,spectral_resolution,19,guangpufenbianlv,16
44,激光,8,JG,2,laser,5,jiguang,7
45,激光器,8,JGQ,3,laser_device,12,jiguangqi,9
46,受激辐射,8,SJFS,4,stimulated_emission,19,shoujifushe,11
47,自发辐射,8,ZFFS,4,spontaneous_emission,20,zifafushe,9
48,受激吸收,8,SJXS,4,stimulated_absorption,21,shoujixishou,12
49,粒子数反转,9,LZSFZ,5,population_inversion,20,lizishufanzhuan,15
50,光泵浦,8,GBP,3,optical_pumping,15,guangbengpu,11
51,谐振腔,8,XZQ,3,resonant_cavity,15,xiezhenqiang,12
52,腔模,8,QM,2,cavity_mode,11,qiangmo,7
53,纵模,8,ZM,2,longitudinal_mode,17,zongmo,6
54,横模,8,HM,2,transverse_mode,15,hengmo,6
55,模式竞争,8,MSJZ,4,mode_competition,16,moshijingzheng,14
56,阈值条件,9,YZTJ,4,threshold_condition,19,yuzhitiaojian,13
57,激光增益,8,JGZY,4,laser_gain,10,jiguangzengyi,13
58,增益介质,8,ZYJZ,4,gain_medium,11,zengyijiezhi,12
59,饱和吸收,8,BHXS,4,saturable_absorption,20,baohexishou,11
60,锁模,8,SM,2,mode_locking,12,suomo,5
61,调Q,8,DQ,2,q_switching,11,diaoq,5
62,脉冲激光,8,MCJG,4,pulsed_laser,12,maichongjiguang,15
63,连续激光,8,LXJG,4,continuous_wave_laser,21,lianxujiguang,13
64,光频梳,8,GPS,3,optical_frequency_comb,22,guangpinshu,11
65,非线性光学,9,FXXGX,5,nonlinear_optics,16,feixianxingguangxue,19
66,二次谐波,8,ECXB,4,second_harmonic_generation,26,ercixiebo,9
67,三次谐波,8,SCXB,4,third_harmonic_generation,25,sancixiebo,10
68,参量下转换,9,CLXZH,5,parametric_down_conversion,26,canliangxiazhuanhuan,20
69,四波混频,8,SBHP,4,four_wave_mixing,16,sibohunpin,10
70,拉比频率,8,LBPL,4,rabi_frequency,14,labipinlv,9
71,拉比振荡,8,LBZD,4,rabi_oscillation,16,labizhendang,12
72,布洛赫球,8,BLHQ,4,bloch_sphere,12,buluoheqiu,10
73,二能级系统,9,ENJXT,5,two_level_system,16,ernengjixitong,14
74,三能级系统,9,SNJXT,5,three_level_system,18,sannengjixitong,15
75,暗态,8,AT,2,dark_state,10,antai,5
76,亮态,8,LT,2,bright_state,12,liangtai,8
