编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,固体物理,8,GTWL,4,solid_state_physics,19,gutiwuli,8
2,晶体,8,JT,2,crystal,7,jingti,6
3,非晶体,8,FJT,3,amorphous_solid,15,feijingti,9
4,晶格,8,JG,2,lattice,7,jingge,6
5,布拉菲格子,9,BLFGZ,5,bravais_lattice,15,bulafeigezi,11
6,原胞,8,YB,2,primitive_cell,14,yuanbao,7
7,晶胞,8,JB,2,unit_cell,9,jingbao,7
8,基元,8,JY,2,basis,5,jiyuan,6
9,晶格常数,8,JGCS,4,lattice_constant,16,jinggechangshu,14
10,晶向,8,JX,2,crystal_direction,17,jingxiang,9
11,晶面,8,JM,2,crystal_plane,13,jingmian,8
12,密勒指数,8,MLZS,4,miller_index,12,mileizhishu,11
13,倒格子,8,DGZ,3,reciprocal_lattice,18,daogezi,7
14,倒格矢,8,DGS,3,reciprocal_lattice_vector,25,daogeshi,8
15,布里渊区,8,BLYQ,4,brillouin_zone,14,buliyuanqu,10
16,第一布里渊区,9,DYBLYQ,6,first_brillouin_zone,20,diyibuliyuanqu,14
17,维格纳塞茨胞,9,WGNSCB,6,wigner_seitz_cell,17,weigenasaicibao,15
18,点群,8,DQ,2,point_group,11,dianqun,7
19,空间群,8,KJQ,3,space_group,11,kongjianqun,11
20,晶体对称性,9,JTDCX,5,crystal_symmetry,16,jingtiduichenxing,17
21,平移对称性,9,PYDCX,5,translational_symmetry,22,pingyiduichenxing,17
22,布洛赫定理,10,BLHDL,5,bloch_theorem,13,buluohedingli,13
23,布洛赫波,8,BLHB,4,bloch_wave,10,buluohebo,9
24,能带,8,ND,2,energy_band,11,nengdai,7
25,能隙,8,NX,2,band_gap,8,nengxi,6
26,价带,8,JD,2,valence_band,12,jiadai,6
27,导带,8,DD,2,conduction_band,15,daodai,6
28,费米能级,8,FMNJ,4,fermi_level,11,feiminengji,11
29,费米面,8,FMM,3,fermi_surface,13,feimimian,9
30,态密度,8,TMD,3,density_of_states,17,taimidu,7
31,有效质量,8,YXZL,4,effective_mass,14,youxiaozhiliang,15
32,近自由电子模型,10,JZYDZMX,7,nearly_free_electron_model,26,jinziyoudianzimoxing,20
33,紧束缚模型,10,JSFMX,5,tight_binding_model,19,jinshufumoxing,14
34,自由电子气,9,ZYDZQ,5,free_electron_gas,17,ziyoudianziqi,13
35,费米气体,8,FMQT,4,fermi_gas,9,feimiqiti,9
36,金属,8,JS,2,metal,5,jinshu,6
37,绝缘体,8,JYT,3,insulator,9,jueyuanti,9
38,半导体,8,BDT,3,semiconductor,13,bandaoti,8
39,本征半导体,9,BZBDT,5,intrinsic_semiconductor,23,benzhengbandaoti,16
40,杂质半导体,9,ZZBDT,5,extrinsic_semiconductor,23,zazhibandaoti,13
41,施主,8,SZ,2,donor,5,shizhu,6
42,受主,8,SZ,2,acceptor,8,shouzhu,7
43,n型半导体,9,NXBDT,5,n_type_semiconductor,20,nxingbandaoti,13
44,p型半导体,9,PXBDT,5,p_type_semiconductor,20,pxingbandaoti,13
45,载流子,8,ZLZ,3,charge_carrier,14,zailiuzi,8
46,电子空穴对,9,DZKXD,5,electron_hole_pair,18,dianzikongxuedui,16
47,迁移率,8,QYL,3,mobility,8,qianyilv,8
48,电导率,8,DDL,3,conductivity,12,diandaolv,9
49,霍尔效应,9,HEXY,4,hall_effect,11,huoerxiaoying,13
50,量子霍尔效应,10,LZHEXY,6,quantum_hall_effect,19,liangzihuoerxiaoying,20
51,整数量子霍尔效应,10,ZSLZHEXY,8,integer_quantum_hall_effect,27,zhengshuliangzihuoerxiaoying,28
52,pn结,8,PNJ,3,pn_junction,11,pnjie,5
53,耗尽层,8,HJC,3,depletion_layer,15,haojinceng,10
