编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,天体物理,8,TTWL,4,astrophysics,12,tiantiwuli,10
2,天体,8,TT,2,celestial_body,14,tianti,6
3,恒星,8,HX,2,star,4,hengxing,8
4,行星,8,XX,2,planet,6,xingxing,8
5,卫星,8,WX,2,satellite,9,weixing,7
6,小行星,8,XXX,3,asteroid,8,xiaoxingxing,12
7,彗星,8,HX,2,comet,5,huixing,7
8,星云,8,XY,2,nebula,6,xingyun,7
9,星团,8,XT,2,star_cluster,12,xingtuan,8
10,球状星团,8,QZXT,4,globular_cluster,16,qiuzhuangxingtuan,17
11,疏散星团,8,SSXT,4,open_cluster,12,shusanxingtuan,14
12,星系,8,XX,2,galaxy,6,xingxi,6
13,星系团,8,XXT,3,galaxy_cluster,14,xingxituan,10
14,超星系团,8,CXXT,4,supercluster,12,chaoxingxituan,14
15,星际介质,8,XJJZ,4,interstellar_medium,19,xingjijiezhi,12
16,星际尘埃,8,XJCA,4,interstellar_dust,17,xingjichenai,12
17,分子云,8,FZY,3,molecular_cloud,15,fenziyun,8
18,电离氢区,8,DLQQ,4,hii_region,10,dianliqingqu,12
19,原恒星,8,YHX,3,protostar,9,yuanhengxing,12
20,主序星,8,ZXX,3,main_sequence_star,18,zhuxuxing,9
21,红巨星,8,HJX,3,red_giant,9,hongjuxing,10
22,白矮星,8,BAX,3,white_dwarf,11,baiaixing,9
23,中子星,8,ZZX,3,neutron_star,12,zhongzixing,11
24,脉冲星,8,MCX,3,pulsar,6,maichongxing,12
25,黑洞,4,HD,2,black_hole,10,heidong,7
26,恒星形成,8,HXXC,4,star_formation,14,hengxingxingcheng,17
27,恒星演化,8,HXYH,4,stellar_evolution,17,hengxingyanhua,14
28,赫罗图,8,HLT,3,hertzsprung_russell_diagram,27,heluotu,7
29,光度,8,GD,2,luminosity,10,guangdu,7
30,视星等,8,SXD,3,apparent_magnitude,18,shixingdeng,11
31,绝对星等,8,JDXD,4,absolute_magnitude,18,jueduixingdeng,14
32,色指数,8,SZS,3,color_index,11,sezhishu,8
33,有效温度,8,YXWD,4,effective_temperature,21,youxiaowendu,12
34,金属丰度,8,JSFD,4,metallicity,11,jinshufengdu,12
35,恒星风,8,HXF,3,stellar_wind,12,hengxingfeng,12
36,吸积,8,XJ,2,accretion,9,xiji,4
37,吸积盘,8,XJP,3,accretion_disk,14,xijipan,7
38,喷流,8,PL,2,jet,3,penliu,6
39,双星,8,SX,2,binary_star,11,shuangxing,10
40,食双星,8,SSX,3,eclipsing_binary,16,shishuangxing,13
41,造父变星,8,ZFBX,4,cepheid_variable,16,zaofubianxing,13
42,变星,8,BX,2,variable_star,13,bianxing,8
43,新星,8,XX,2,nova,4,xinxing,7
44,超新星,8,CXX,3,supernova,9,chaoxinxing,11
45,一型超新星,9,YXCXX,5,type_one_supernova,18,yixingchaoxinxing,17
46,二型超新星,9,EXCXX,5,type_two_supernova,18,erxingchaoxinxing,17
47,超新星遗迹,9,CXXYJ,5,supernova_remnant,17,chaoxinxingyiji,15
48,核合成,8,HHC,3,nucleosynthesis,15,hehecheng,9
49,氢燃烧,8,QRS,3,hydrogen_burning,16,qingranshao,11
50,氦燃烧,8,HRS,3,helium_burning,14,hairanshao,10
51,碳氮氧循环,9,TDYXH,5,cno_cycle,9,tandanyangxunhuan,17
52,质子质子链,9,ZZZZL,5,proton_proton_chain,19,zhizizhizilian,14
53,钱德拉塞卡极限,10,QDLSKJX,7,chandrasekhar_limit,19,qiandelasaikajixian,19
54,奥本海默极限,9,ABHMJX,6,oppenheimer_limit,17,aobenhaimojixian,16
55,事件视界,8,SJSJ,4,event_horizon,13,shijianshijie,13
56,史瓦西半径,9,SWXBJ,5,schwarzschild_radius,20,shiwaxibanjing,14
57,引力红移,8,YLHY,4,gravitational_redshift,22,yinlihongyi,11
58,引力透镜,8,YLTJ,4,gravitational_lens,18,yinlitoujing,12
59,弱透镜,8,RTJ,3,weak_lensing,12,ruotoujing,10
60,强透镜,8,QTJ,3,strong_lensing,14,qiangtoujing,12
61,微引力透镜,9,WYLTJ,5,microlensing,12,weiyinlitoujing,15
62,宇宙学,8,YZX,3,cosmology,9,yuzhouxue,9
63,宇宙微波背景,9,YZWBBJ,6,cosmic_microwave_background,27,yuzhouweibobeijing,18
64,哈勃定律,9,HBDL,4,hubble_law,10,habodinglv,10
65,哈勃常数,8,HBCS,4,hubble_constant,15,habochangshu,12
66,宇宙红移,8,YZHY,4,cosmological_redshift,21,yuzhouhongyi,12
67,尺度因子,8,CDYZ,4,scale_factor,12,chiduyinzi,10
68,弗里德曼方程,10,FLDMFC,6,friedmann_equation,18,fulidemanfangcheng,18
69,暗物质,8,AWZ,3,dark_matter,11,anwuzhi,7
70,暗能量,8,ANL,3,dark_energy,11,annengliang,11
71,宇宙常数,8,YZCS,4,cosmological_constant,21,yuzhouchangshu,14
72,宇宙暴胀,8,YZBZ,4,cosmic_inflation,16,yuzhoubaozhang,14
73,大爆炸模型,10,DBZMX,5,big_bang_model,14,dabaozhamoxing,14
74,重子声波振荡,9,ZZSBZD,6,baryon_acoustic_oscillation,27,zhongzishengbozhendang,22
75,星系旋转曲线,9,XXXZQX,6,galaxy_rotation_curve,21,xingxixuanzhuanquxian,21
76,活动星系核,9,HDXXH,5,active_galactic_nucleus,23,huodongxingxihe,15
77,类星体,8,LXT,3,quasar,6,leixingti,9
78,射电星系,8,SDXX,4,radio_galaxy,12,shedianxingxi,13
79,伽马射线暴,9,GMSXB,5,gamma_ray_burst,15,gamashexianbao,14
80,宇宙线,8,YZX,3,cosmic_ray,10,yuzhouxian,10
81,高能天体物理,9,GNTTWL,6,high_energy_astrophysics,24,gaonengtiantiwuli,17
82,射电天文学,9,SDTWX,5,radio_astronomy,15,shediantianwenxue,17
83,红外天文学,9,HWTWX,5,infrared_astronomy,18,hongwaitianwenxue,17
84,紫外天文学,9,ZWTWX,5,ultraviolet_astronomy,21,ziwaitianwenxue,15
85,X射线天文学,9,XSXTWX,6,x_ray_astronomy,15,xshexiantianwenxue,18
86,伽马射线天文学,10,GMSXTWX,7,gamma_ray_astronomy,19,gamashexiantianwenxue,21
87,光谱型,8,GPX,3,spectral_type,13,guangpuxing,11
88,谱线红移,8,PXHY,4,spectral_line_redshift,22,puxianhongyi,12
89,自行,8,ZX,2,proper_motion,13,zixing,6
90,视差,8,SC,2,parallax,8,shicha,6
91,年周视差,8,NZSC,4,annual_parallax,15,nianzhoushicha,14
92,距离模数,8,JLMS,4,distance_modulus,16,julimoshu,9
93,天文单位,8,TWDW,4,astronomical_unit,17,tianwendanwei,13
94,秒差距,8,MCJ,3,parsec,6,miaochaju,9
95,光年,8,GN,2,light_year,10,guangnian,9
96,开普勒轨道,9,KPLGD,5,keplerian_orbit,15,kaipuleiguidao,14
97,轨道偏心率,9,GDPXL,5,orbital_eccentricity,20,guidaopianxinlv,15
98,近星点,8,JXD,3,periastron,10,jinxingdian,11
99,远星点,8,YXD,3,apastron,8,yuanxingdian,12
100,潮汐力,8,CXL,3,tidal_force,11,chaoxili,8
101,洛希瓣,8,LXB,3,roche_lobe,10,luoxiban,8
102,洛希极限,8,LXJX,4,roche_limit,11,luoxijixian,11
