编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,核物理与粒子物理,10,HWLYLZWL,8,nuclear_and_particle_physics,28,hewuliyuliziwuli,16
2,原子核,8,YZH,3,atomic_nucleus,14,yuanzihe,8
3,核子,8,HZ,2,nucleon,7,hezi,4
4,质子,6,ZZ,2,proton,6,zhizi,5
5,中子,6,ZZ,2,neutron,7,zhongzi,7
6,核素,8,HS,2,nuclide,7,hesu,4
7,同位素,8,TWS,3,isotope,7,tongweisu,9
8,同量异位素,9,TLYWS,5,isobar,6,tongliangyiweisu,16
9,同中子异位素,9,TZZYWS,6,isotone,7,tongzhongziyiweisu,18
10,质量数,8,ZLS,3,mass_number,11,zhiliangshu,11
11,原子序数,8,YZXS,4,atomic_number,13,yuanzixushu,11
12,中子数,8,ZZS,3,neutron_number,14,zhongzishu,10
13,核半径,8,HBJ,3,nuclear_radius,14,hebanjing,9
14,核密度,8,HMD,3,nuclear_density,15,hemidu,6
15,结合能,8,JHN,3,binding_energy,14,jieheneng,9
16,比结合能,8,BJHN,4,binding_energy_per_nucleon,26,bijieheneng,11
17,质量亏损,8,ZLKS,4,mass_defect,11,zhiliangkuisun,14
18,液滴模型,9,YDMX,4,liquid_drop_model,17,yedimoxing,10
19,壳模型,9,KMX,3,shell_model,11,kemoxing,8
20,集体模型,9,JTMX,4,collective_model,16,jitimoxing,10
21,费米气体模型,10,FMQTMX,6,fermi_gas_model,15,feimiqitimoxing,15
22,核力,8,HL,2,nuclear_force,13,heli,4
23,强相互作用,9,QXHZY,5,strong_interaction,18,qiangxianghuzuoyong,19
24,弱相互作用,9,RXHZY,5,weak_interaction,16,ruoxianghuzuoyong,17
25,电磁相互作用,9,DCXHZY,6,electromagnetic_interaction,27,diancixianghuzuoyong,20
26,引力相互作用,9,YLXHZY,6,gravitational_interaction,25,yinlixianghuzuoyong,19
27,核自旋,8,HZX,3,nuclear_spin,12,hezixuan,8
28,核磁矩,8,HCJ,3,nuclear_magnetic_moment,23,heciju,6
29,核电四极矩,10,HDSJJ,5,nuclear_electric_quadrupole_moment,34,hediansijiju,12
30,宇称,8,YC,2,parity,6,yucheng,7
31,同位旋,8,TWX,3,isospin,7,tongweixuan,11
32,放射性,8,FSX,3,radioactivity,13,fangshexing,11
33,衰变,8,SB,2,decay,5,shuaibian,9
34,α衰变,8,ΑSB,3,alpha_decay,11,shuaibian,9
35,β衰变,8,ΒSB,3,beta_decay,10,shuaibian,9
36,γ衰变,8,ΓSB,3,gamma_decay,11,shuaibian,9
37,电子俘获,8,DZFH,4,electron_capture,16,dianzifuhuo,11
38,内转换,8,NZH,3,internal_conversion,19,neizhuanhuan,12
39,半衰期,8,BSQ,3,half_life,9,banshuaiqi,10
40,平均寿命,8,PJSM,4,mean_lifetime,13,pingjunshouming,15
41,衰变常数,8,SBCS,4,decay_constant,14,shuaibianchangshu,17
42,活度,8,HD,2,activity,8,huodu,5
43,衰变链,8,SBL,3,decay_chain,11,shuaibianlian,13
44,核反应,8,HFY,3,nuclear_reaction,16,hefanying,9
45,反应截面,8,FYJM,4,reaction_cross_section,22,fanyingjiemian,14
46,散射截面,8,SSJM,4,scattering_cross_section,24,sanshejiemian,13
47,微分截面,8,WFJM,4,differential_cross_section,26,weifenjiemian,13
48,卢瑟福散射,9,LSFSS,5,rutherford_scattering,21,lusefusanshe,12
49,弹性散射,8,TXSS,4,elastic_scattering,18,tanxingsanshe,13
50,非弹性散射,9,FTXSS,5,inelastic_scattering,20,feitanxingsanshe,16
51,复合核,8,FHH,3,compound_nucleus,16,fuhehe,6
52,直接反应,8,ZJFY,4,direct_reaction,15,zhijiefanying,13
53,共振反应,8,GZFY,4,resonant_reaction,17,gongzhenfanying,15
54,核裂变,8,HLB,3,nuclear_fission,15,heliebian,9
55,核聚变,8,HJB,3,nuclear_fusion,14,hejubian,8
56,链式反应,8,LSFY,4,chain_reaction,14,lianshifanying,14
57,临界质量,8,LJZL,4,critical_mass,13,linjiezhiliang,14
58,反应堆,8,FYD,3,reactor,7,fanyingdui,10
59,中子慢化,8,ZZMH,4,neutron_moderation,18,zhongzimanhua,13
60,热中子,8,RZZ,3,thermal_neutron,15,rezhongzi,9
61,快中子,8,KZZ,3,fast_neutron,12,kuaizhongzi,11
62,截面,8,JM,2,cross_section,13,jiemian,7
63,靶核,8,BH,2,target_nucleus,14,bahe,4
64,入射粒子,8,RSLZ,4,incident_particle,17,rushelizi,9
65,探测器,8,TCQ,3,detector,8,tanceqi,7
66,闪烁计数器,9,SSJSQ,5,scintillation_counter,21,shanshuojishuqi,15
67,盖革计数器,9,GGJSQ,5,geiger_counter,14,gaigejishuqi,12
68,云室,8,YS,2,cloud_chamber,13,yunshi,6
69,气泡室,8,QPS,3,bubble_chamber,14,qipaoshi,8
70,半导体探测器,9,BDTTCQ,6,semiconductor_detector,22,bandaotitanceqi,15
71,切伦科夫探测器,10,QLKFTCQ,7,cherenkov_detector,18,qielunkefutanceqi,17
72,粒子物理,8,LZWL,4,particle_physics,16,liziwuli,8
73,基本粒子,8,JBLZ,4,elementary_particle,19,jibenlizi,9
74,标准模型,9,BZMX,4,standard_model,14,biaozhunmoxing,14
75,费米子,8,FMZ,3,fermion,7,feimizi,7
