编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,量子场论,8,LZCL,4,quantum_field_theory,20,liangzichanglun,15
2,场,8,C,1,field,5,chang,5
3,经典场,8,JDC,3,classical_field,15,jingdianchang,13
4,量子场,8,LZC,3,quantum_field,13,liangzichang,12
5,标量场,8,BLC,3,scalar_field,12,biaoliangchang,14
6,实标量场,8,SBLC,4,real_scalar_field,17,shibiaoliangchang,17
7,复标量场,8,FBLC,4,complex_scalar_field,20,fubiaoliangchang,16
8,旋量场,8,XLC,3,spinor_field,12,xuanliangchang,14
9,矢量场,8,SLC,3,vector_field,12,shiliangchang,13
10,规范场,9,GFC,3,gauge_field,11,guifanchang,11
11,拉格朗日密度,10,LGLRMD,6,lagrangian_density,18,lagelangrimidu,14
12,作用量,8,ZYL,3,action,6,zuoyongliang,12
13,欧拉拉格朗日方程,10,OLLGLRFC,8,euler_lagrange_equation,23,oulalagelangrifangcheng,23
14,正则量子化,9,ZZLZH,5,canonical_quantization,22,zhengzeliangzihua,17
15,路径积分,8,LJJF,4,path_integral,13,lujingjifen,11
16,泛函积分,10,FHJF,4,functional_integral,19,fanhanjifen,11
17,生成泛函,10,SCFH,4,generating_functional,21,shengchengfanhan,16
18,配分泛函,10,PFFH,4,partition_functional,20,peifenfanhan,12
19,源场,8,YC,2,source_field,12,yuanchang,9
20,传播子,8,CBZ,3,propagator,10,chuanbozi,9
21,费曼传播子,9,FMCBZ,5,feynman_propagator,18,feimanchuanbozi,15
22,格林函数,8,GLHS,4,green_function,14,gelinhanshu,11
23,n点函数,8,NDHS,4,n_point_function,16,ndianhanshu,11
24,关联函数,8,GLHS,4,correlation_function,20,guanlianhanshu,14
25,时间有序乘积,9,SJYXCJ,6,time_ordered_product,20,shijianyouxuchengji,19
26,正规乘积,10,ZGCJ,4,normal_product,14,zhengguichengji,15
27,威克定理,9,WKDL,4,wick_theorem,12,weikedingli,11
28,费曼图,8,FMT,3,feynman_diagram,15,feimantu,8
29,费曼规则,8,FMGZ,4,feynman_rule,12,feimanguize,11
30,顶角,8,DJ,2,vertex,6,dingjiao,8
31,内线,8,NX,2,internal_line,13,neixian,7
32,外线,8,WX,2,external_line,13,waixian,7
33,圈图,8,QT,2,loop_diagram,12,quantu,6
34,树图,8,ST,2,tree_diagram,12,shutu,5
35,散射矩阵,8,SSJZ,4,scattering_matrix,17,sanshejuzhen,12
36,散射振幅,8,SSZF,4,scattering_amplitude,20,sanshezhenfu,12
37,截面,8,JM,2,cross_section,13,jiemian,7
38,衰变宽度,8,SBKD,4,decay_width,11,shuaibiankuandu,15
39,LSZ约化公式,10,LSZYHGS,7,lsz_reduction_formula,21,lszyuehuagongshi,16
40,克莱因戈登方程,10,KLYGDFC,7,klein_gordon_equation,21,kelaiyingedengfangcheng,23
41,狄拉克方程,10,DLKFC,5,dirac_equation,14,dilakefangcheng,15
42,旋量,8,XL,2,spinor,6,xuanliang,9
43,狄拉克旋量,9,DLKXL,5,dirac_spinor,12,dilakexuanliang,15
44,外尔旋量,8,WEXL,4,weyl_spinor,11,waierxuanliang,14
45,马约拉纳旋量,9,MYLNXL,6,majorana_spinor,15,mayuelanaxuanliang,18
46,伽马矩阵,8,GMJZ,4,gamma_matrix,12,gamajuzhen,10
47,反粒子,8,FLZ,3,antiparticle,12,fanlizi,7
48,真空态,8,ZKT,3,vacuum_state,12,zhenkongtai,11
49,粒子产生算符,10,LZCSSF,6,particle_creation_operator,26,lizichanshengsuanfu,19
50,粒子湮灭算符,10,LZYMSF,6,particle_annihilation_operator,30,liziyanmiesuanfu,16
51,费米场,8,FMC,3,fermi_field,11,feimichang,10
52,玻色场,8,BSC,3,bose_field,10,bosechang,9
53,对易子,8,DYZ,3,commutator,10,duiyizi,7
54,反对易子,8,FDYZ,4,anticommutator,14,fanduiyizi,10
55,规范对称性,10,GFDCX,5,gauge_symmetry,14,guifanduichenxing,17
56,整体对称性,9,ZTDCX,5,global_symmetry,15,zhengtiduichenxing,18
57,局域对称性,9,JYDCX,5,local_symmetry,14,juyuduichenxing,15
58,诺特定理,9,NTDL,4,noether_theorem,15,nuotedingli,11
59,诺特流,8,NTL,3,noether_current,15,nuoteliu,8
60,守恒荷,8,SHH,3,conserved_charge,16,shouhenghe,10
61,阿贝尔规范理论,10,ABEGFLL,7,abelian_gauge_theory,20,abeierguifanlilun,17
62,非阿贝尔规范理论,10,FABEGFLL,8,nonabelian_gauge_theory,23,feiabeierguifanlilun,20
63,杨米尔斯理论,9,YMESLL,6,yang_mills_theory,17,yangmiersililun,15
64,规范固定,10,GFGD,4,gauge_fixing,12,guifanguding,12
65,法捷耶夫波波夫鬼场,10,FJYFBBFGC,9,faddeev_popov_ghost,19,fajieyefubobofuguichang,23
66,BRST对称性,10,BRSTDCX,7,brst_symmetry,13,brstduichenxing,15
67,量子电动力学,9,LZDDLX,6,quantum_electrodynamics,23,liangzidiandonglixue,20
68,量子色动力学,9,LZSDLX,6,quantum_chromodynamics,22,liangzisedonglixue,18
69,弱电理论,8,RDLL,4,electroweak_theory,18,ruodianlilun,12
70,标准模型,9,BZMX,4,standard_model,14,biaozhunmoxing,14
71,希格斯场,8,XGSC,4,higgs_field,11,xigesichang,11
72,希格斯机制,9,XGSJZ,5,higgs_mechanism,15,xigesijizhi,11
73,自发对称性破缺,10,ZFDCXPQ,7,spontaneous_symmetry_breaking,29,zifaduichenxingpoque,20
74,戈德斯通定理,10,GDSTDL,6,goldstone_theorem,17,gedesitongdingli,16
75,戈德斯通玻色子,10,GDSTBSZ,7,goldstone_boson,15,gedesitongboshaizi,18
76,质量生成,8,ZLSC,4,mass_generation,15,zhiliangshengcheng,18
77,手征对称性,9,SZDCX,5,chiral_symmetry,15,shouzhengduichenxing,20
78,手征破缺,8,SZPQ,4,chiral_symmetry_breaking,24,shouzhengpoque,14
79,反常,9,FC,2,anomaly,7,fanchang,8
80,轴反常,9,ZFC,3,axial_anomaly,13,zhoufanchang,12
81,重整化,9,ZZH,3,renormalization,15,zhongzhenghua,13
82,重整化群,10,ZZHQ,4,renormalization_group,21,zhongzhenghuaqun,16
83,重整化尺度,10,ZZHCD,5,renormalization_scale,21,zhongzhenghuachidu,18
84,跑动耦合常数,9,PDOHCS,6,running_coupling_constant,25,paodongouhechangshu,19
85,紫外发散,8,ZWFS,4,ultraviolet_divergence,22,ziwaifasan,10
86,红外发散,8,HWFS,4,infrared_divergence,19,hongwaifasan,12
87,正规化,9,ZGH,3,regularization,14,zhengguihua,11
88,维数正规化,10,WSZGH,5,dimensional_regularization,26,weishuzhengguihua,17
89,反项,8,FX,2,counterterm,11,fanxiang,8
90,有效场论,8,YXCL,4,effective_field_theory,22,youxiaochanglun,15
91,低能有效理论,9,DNYXLL,6,low_energy_effective_theory,27,dinengyouxiaolilun,18
92,非线性西格玛模型,10,FXXXGMMX,8,nonlinear_sigma_model,21,feixianxingxigemamoxing,23
93,自能,8,ZN,2,self_energy,11,zineng,6
94,顶角修正,8,DJXZ,4,vertex_correction,17,dingjiaoxiuzheng,16
95,真空极化,8,ZKJH,4,vacuum_polarization,19,zhenkongjihua,13
96,瞬子,8,SZ,2,instanton,9,shunzi,6
97,孤子,8,GZ,2,soliton,7,guzi,4
98,拓扑荷,8,TPH,3,topological_charge,18,tuopuhe,7
99,θ真空,10,ZK,2,theta_vacuum,12,zhenkong,8
100,渐近自由,8,JJZY,4,asymptotic_freedom,18,jianjinziyou,12
101,禁闭,8,JB,2,confinement,11,jinbi,5
102,夸克场,8,KKC,3,quark_field,11,kuakechang,10
103,胶子场,8,JZC,3,gluon_field,11,jiaozichang,11
