编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,连续介质力学,7,LXJZLX,6,continuum_mechanics,19,lianxujiezhilixue,17
2,连续介质假设,7,LXJZJS,6,continuum_hypothesis,20,lianxujiezhijiashe,18
3,物质点,6,WZD,3,material_point,14,wuzhidian,9
4,物质坐标,6,WZZB,4,material_coordinate,19,wuzhizuobiao,12
5,空间坐标,6,KJZB,4,spatial_coordinate,18,kongjianzuobiao,15
6,参考构形,7,CKGX,4,reference_configuration,23,cankaogouxing,13
7,当前构形,7,DQGX,4,current_configuration,21,dangqiangouxing,15
8,变形映射,7,BXYS,4,deformation_map,15,bianxingyingshe,15
9,位移场,6,WYC,3,displacement_field,18,weiyichang,10
10,速度场,6,SDC,3,velocity_field,14,suduchang,9
11,加速度场,6,JSDC,4,acceleration_field,18,jiasuduchang,12
12,形变梯度,7,XBTD,4,deformation_gradient,20,xingbiantidu,12
13,雅可比行列式,7,YKBXLS,6,jacobian_determinant,20,yakebixinglieshi,16
14,右柯西格林张量,8,YKXGLZL,7,right_cauchy_green_tensor,25,youkexigelinzhangliang,22
15,左柯西格林张量,8,ZKXGLZL,7,left_cauchy_green_tensor,24,zuokexigelinzhangliang,22
16,格林拉格朗日应变,8,GLLGLRYB,8,green_lagrange_strain,21,gelinlagelangriyingbian,23
17,阿尔曼西应变,8,AEMXYB,6,almansi_strain,14,aermanxiyingbian,16
18,小应变张量,7,XYBZL,5,small_strain_tensor,19,xiaoyingbianzhangliang,22
19,应变率张量,7,YBLZL,5,strain_rate_tensor,18,yingbianlvzhangliang,20
20,旋转张量,7,XZZL,4,rotation_tensor,15,xuanzhuanzhangliang,19
21,极分解,7,JFJ,3,polar_decomposition,19,jifenjie,8
22,体积应变,6,TJYB,4,volumetric_strain,17,tijiyingbian,12
23,剪切应变,6,JQYB,4,shear_strain,12,jianqieyingbian,15
24,主应变,6,ZYB,3,principal_strain,16,zhuyingbian,11
25,应变不变量,7,YBBBL,5,strain_invariant,16,yingbianbubianliang,19
26,应力张量,7,YLZL,4,stress_tensor,13,yinglizhangliang,16
27,柯西应力,7,KXYL,4,cauchy_stress,13,kexiyingli,10
28,第一类皮奥拉应力,8,DYLPALYL,8,first_piola_stress,18,diyileipiaolayingli,19
29,第二类皮奥拉应力,8,DELPALYL,8,second_piola_stress,19,dierleipiaolayingli,19
