编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,电动力学,6,DDLX,4,electrodynamics,15,diandonglixue,13
2,电荷密度,6,DHMD,4,charge_density,14,dianhemidu,10
3,电流密度,6,DLMD,4,current_density,15,dianliumidu,11
4,连续性方程,8,LXXFC,5,continuity_equation,19,lianxuxingfangcheng,19
5,电磁场,6,DCC,3,electromagnetic_field,21,diancichang,11
6,麦克斯韦方程组,9,MKSWFCZ,7,maxwell_equations,17,maikesiweifangchengzu,21
7,洛伦兹力,7,LLZL,4,lorentz_force,13,luolunzili,10
8,标量势,6,BLS,3,scalar_potential,16,biaoliangshi,12
9,矢量势,6,SLS,3,vector_potential,16,shiliangshi,11
10,规范变换,9,GFBH,4,gauge_transformation,20,guifanbianhuan,14
11,库仑规范,8,KLGF,4,coulomb_gauge,13,kulunguifan,11
12,洛伦兹规范,9,LLZGF,5,lorenz_gauge,12,luolunziguifan,14
13,达朗贝尔方程,8,DLBEFC,6,d_alembert_equation,19,dalangbeierfangcheng,20
14,电磁势,6,DCS,3,electromagnetic_potential,25,diancishi,9
15,推迟势,6,TCS,3,retarded_potential,18,tuichishi,9
16,李纳维谢尔势,7,LNWXES,6,lienard_wiechert_potential,26,linaweixieershi,15
17,格林函数,6,GLHS,4,green_function,14,gelinhanshu,11
18,电偶极子,6,DOJZ,4,electric_dipole,15,dianoujizi,10
19,磁偶极子,6,COJZ,4,magnetic_dipole,15,cioujizi,8
20,多极展开,8,DJZK,4,multipole_expansion,19,duojizhankai,12
21,电四极矩,8,DSJJ,4,electric_quadrupole_moment,26,diansijiju,10
22,磁矢势,6,CSS,3,magnetic_vector_potential,25,cishishi,8
23,电磁波,5,DCB,3,electromagnetic_wave,20,diancibo,8
24,平面波,6,PMB,3,plane_wave,10,pingmianbo,10
25,球面波,6,QMB,3,spherical_wave,14,qiumianbo,9
26,波矢,6,BS,2,wave_vector,11,boshi,5
27,角频率,6,JPL,3,angular_frequency,17,jiaopinlv,9
28,偏振,4,PZ,2,polarization,12,pianzhen,8
29,横波,6,HB,2,transverse_wave,15,hengbo,6
30,色散关系,6,SSGX,4,dispersion_relation,19,sesanguanxi,11
31,相速度,6,XSD,3,phase_velocity,14,xiangsudu,9
32,群速度,6,QSD,3,group_velocity,14,qunsudu,7
33,波导,6,BD,2,waveguide,9,bodao,5
34,谐振腔,6,XZQ,3,resonant_cavity,15,xiezhenqiang,12
35,坡印廷矢量,7,PYTSL,5,poynting_vector,15,poyintingshiliang,17
36,能流密度,6,NLMD,4,energy_flux_density,19,nengliumidu,11
37,动量密度,6,DLMD,4,momentum_density,16,dongliangmidu,13
38,麦克斯韦应力张量,9,MKSWYLZL,8,maxwell_stress_tensor,21,maikesiweiyinglizhangliang,26
39,电磁场能量,7,DCCNL,5,energy_of_electromagnetic_field,31,diancichangnengliang,20
40,电磁场动量,7,DCCDL,5,momentum_of_electromagnetic_field,33,diancichangdongliang,20
41,辐射,6,FS,2,radiation,9,fushe,5
42,偶极辐射,6,OJFS,4,dipole_radiation,16,oujifushe,9
43,电偶极辐射,7,DOJFS,5,electric_dipole_radiation,25,dianoujifushe,13
44,磁偶极辐射,7,COJFS,5,magnetic_dipole_radiation,25,cioujifushe,11
45,辐射阻尼,6,FSZN,4,radiation_damping,17,fushezuni,9
46,边界条件,7,BJTJ,4,boundary_condition,18,bianjietiaojian,15
49,反射系数,6,FSXS,4,reflection_coefficient,22,fanshexishu,11
50,透射系数,6,TSXS,4,transmission_coefficient,24,toushexishu,11
51,趋肤效应,7,QFXY,4,skin_effect,11,qufuxiaoying,12
52,等离子体频率,7,DLZTPL,6,plasma_frequency,16,denglizitipinlv,15
53,相对论电动力学,8,XDLDDLX,7,relativistic_electrodynamics,28,xiangduilundiandonglixue,24
54,四电流,6,SDL,3,four_current,12,sidianliu,9
55,四势,6,SS,2,four_potential,14,sishi,5
56,电磁场张量,8,DCCZL,5,electromagnetic_field_tensor,28,diancichangzhangliang,21
57,洛伦兹协变性,9,LLZXBX,6,lorentz_covariance,18,luolunzixiebianxing,19
58,达朗贝尔算符,8,DLBESF,6,d_alembert_operator,19,dalangbeiersuanfu,17
59,静电学,6,JDX,3,electrostatics,14,jingdianxue,11
60,静磁学,6,JCX,3,magnetostatics,14,jingcixue,9
61,泊松方程,7,PSFC,4,poisson_equation,16,posongfangcheng,15
62,拉普拉斯方程,8,LPLSFC,6,laplace_equation,16,lapulasifangcheng,17
63,镜像法,6,JXF,3,method_of_images,16,jingxiangfa,11
64,分离变量法,7,FLBLF,5,separation_of_variables,23,fenlibianliangfa,16
65,边值问题,6,BZWT,4,boundary_value_problem,22,bianzhiwenti,12
66,狄利克雷边界条件,9,DLKLBJTJ,8,dirichlet_boundary_condition,28,dilikeleibianjietiaojian,24
67,诺伊曼边界条件,9,NYMBJTJ,7,neumann_boundary_condition,26,nuoyimanbianjietiaojian,23
68,电位移矢量,7,DWYSL,5,electric_displacement_vector,28,dianweiyishiliang,17
69,磁场强度,6,CCQD,4,magnetic_field_strength,23,cichangqiangdu,14
70,极化强度,6,JHQD,4,polarization_density,20,jihuaqiangdu,12
71,磁化强度,6,CHQD,4,magnetization_intensity,23,cihuaqiangdu,12
72,束缚电荷,6,SFDH,4,bound_charge,12,shufudianhe,11
73,自由电荷,6,ZYDH,4,free_charge,11,ziyoudianhe,11
74,束缚电流,6,SFDL,4,bound_current,13,shufudianliu,12
75,自由电流,6,ZYDL,4,free_current,12,ziyoudianliu,12
76,面电荷密度,7,MDHMD,5,surface_charge_density,22,miandianhemidu,14
77,面电流密度,7,MDLMD,5,surface_current_density,23,miandianliumidu,15
78,体电荷密度,7,TDHMD,5,volume_charge_density,21,tidianhemidu,12
79,传导电流,6,CDDL,4,conduction_current,18,chuandaodianliu,15
80,位移电流,6,WYDL,4,displacement_current,20,weiyidianliu,12
81,欧姆定律,7,OMDL,4,ohms_law,8,oumudinglv,10
82,唯一性定理,8,WYXDL,5,uniqueness_theorem,18,weiyixingdingli,15
83,线性介质,6,XXJZ,4,linear_medium,13,xianxingjiezhi,14
84,各向同性介质,7,GXTXJZ,6,isotropic_medium,16,gexiangtongxingjiezhi,21
85,各向异性介质,7,GXYXJZ,6,anisotropic_medium,18,gexiangyixingjiezhi,19
86,均匀介质,6,JYJZ,4,homogeneous_medium,18,junyunjiezhi,12
87,非均匀介质,7,FJYJZ,5,inhomogeneous_medium,20,feijunyunjiezhi,15
88,导电介质,6,DDJZ,4,conducting_medium,17,daodianjiezhi,13
89,理想导体,6,LXDT,4,perfect_conductor,17,lixiangdaoti,12
90,理想介质,6,LXJZ,4,perfect_dielectric,18,lixiangjiezhi,13
91,亥姆霍兹方程,8,HMHZFC,6,helmholtz_equation,18,haimuhuozifangcheng,19
92,赫兹矢量,6,HZSL,4,hertz_vector,12,hezishiliang,12
93,电偶极矩,6,DOJJ,4,electric_dipole_moment,22,dianoujiju,10
94,磁偶极矩,6,COJJ,4,magnetic_dipole_moment,22,cioujiju,8
95,辐射场,6,FSC,3,radiation_field,15,fushechang,10
96,近场区,6,JCQ,3,near_field_region,17,jinchangqu,10
97,远场区,6,YCQ,3,far_field_region,16,yuanchangqu,11
98,天线,6,TX,2,antenna,7,tianxian,8
99,辐射功率,6,FSGL,4,radiated_power,14,fushegonglv,11
100,拉莫尔公式,8,LMEGS,5,larmor_formula,14,lamoergongshi,13
101,切伦科夫辐射,7,QLKFFS,6,cherenkov_radiation,19,qielunkefufushe,15
102,同步辐射,6,TBFS,4,synchrotron_radiation,21,tongbufushe,11
103,反射定律,7,FSDL,4,law_of_reflection,17,fanshedinglv,12
104,折射定律,7,ZSDL,4,law_of_refraction,17,zheshedinglv,12
105,菲涅耳公式,8,FNEGS,5,fresnel_equations,17,feinieergongshi,15
106,全反射,6,QFS,3,total_internal_reflection,25,quanfanshe,10
107,波阻抗,6,BZK,3,wave_impedance,14,bozukang,8
108,驻波,6,ZB,2,standing_wave,13,zhubo,5
109,传输线,6,CSX,3,transmission_line,17,chuanshuxian,12
110,谐振模式,6,XZMS,4,resonant_mode,13,xiezhenmoshi,12
111,TE模,6,TEM,3,te_mode,7,temo,4
112,TM模,6,TMM,3,tm_mode,7,tmmo,4
113,TEM模,6,TEMM,4,tem_mode,8,temmo,5
114,克尔效应,7,KEXY,4,kerr_effect,11,keerxiaoying,12
115,法拉第效应,8,FLDXY,5,faraday_effect,14,faladixiaoying,14
116,电磁质量,6,DCZL,4,electromagnetic_mass,20,diancizhiliang,14
