编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,量子力学,6,LZLX,4,quantum_mechanics,17,liangzilixue,12
2,波函数,4,BHS,3,wave_function,13,bohanshu,8
3,态矢量,6,TSL,3,state_vector,12,taishiliang,11
4,希尔伯特空间,7,XEBTKJ,6,hilbert_space,13,xierbotekongjian,16
5,算符,5,SF,2,operator,8,suanfu,6
6,线性算符,8,XXSF,4,linear_operator,15,xianxingsuanfu,14
7,厄米算符,8,EMSF,4,hermitian_operator,18,emisuanfu,9
8,幺正算符,8,YZSF,4,unitary_operator,16,yaozhengsuanfu,14
9,本征值,4,BZZ,3,eigenvalue,10,benzhengzhi,11
10,本征态,5,BZT,3,eigenstate,10,benzhengtai,11
11,可观测量,6,KGCL,4,observable,10,keguanceliang,13
12,对易关系,6,DYGX,4,commutation_relation,20,duiyiguanxi,11
13,不确定性关系,7,BQDXGX,6,uncertainty_relation,20,buquedingxingguanxi,19
14,薛定谔方程,8,XDEFC,5,schrodinger_equation,20,xuedingefangcheng,17
15,定态薛定谔方程,9,DTXDEFC,7,time_independent_schrodinger_equation,37,dingtaixuedingefangcheng,24
16,哈密顿算符,9,HMDSF,5,hamiltonian_operator,20,hamidunsuanfu,13
17,动量算符,8,DLSF,4,momentum_operator,17,dongliangsuanfu,15
18,角动量算符,8,JDLSF,5,angular_momentum_operator,25,jiaodongliangsuanfu,19
19,升降算符,8,SJSF,4,ladder_operator,15,shengjiangsuanfu,16
20,叠加原理,7,DJYL,4,superposition_principle,23,diejiayuanli,12
21,概率幅,6,GLF,3,probability_amplitude,21,gailvfu,7
22,概率密度,6,GLMD,4,probability_density,19,gailvmidu,9
23,归一化,6,GYH,3,normalization,13,guiyihua,8
24,期望值,6,QWZ,3,expectation_value,17,qiwangzhi,9
25,表象,6,BX,2,representation,14,biaoxiang,9
26,坐标表象,6,ZBBX,4,coordinate_representation,25,zuobiaobiaoxiang,16
27,动量表象,6,DLBX,4,momentum_representation,23,dongliangbiaoxiang,18
28,狄拉克符号,7,DLKFH,5,dirac_notation,14,dilakefuhao,11
29,左矢,6,ZS,2,bra_vector,10,zuoshi,6
30,右矢,6,YS,2,ket_vector,10,youshi,6
31,投影算符,8,TYSF,4,projection_operator,19,touyingsuanfu,13
32,密度矩阵,6,MDJZ,4,density_matrix,14,midujuzhen,10
33,纯态,6,CT,2,pure_state,10,chuntai,7
34,混合态,6,HHT,3,mixed_state,11,hunhetai,8
35,量子测量,6,LZCL,4,quantum_measurement,19,liangziceliang,14
36,波包,6,BB,2,wave_packet,11,bobao,5
37,隧穿,6,SC,2,tunneling,9,suichuan,8
38,方势阱,5,FSJ,3,square_well,11,fangshijing,11
39,势垒,6,SL,2,potential_barrier,17,shilei,6
40,量子谐振子,7,LZXZZ,5,quantum_harmonic_oscillator,27,liangzixiezhenzi,16
41,氢原子,6,QYZ,3,hydrogen_atom,13,qingyuanzi,10
42,自旋,4,ZX,2,spin,4,zixuan,6
43,泡利矩阵,6,PLJZ,4,pauli_matrix,12,paolijuzhen,11
44,自旋轨道耦合,7,ZXGDOH,6,spin_orbit_coupling,19,zixuanguidaoouhe,16
45,全同粒子,6,QTLZ,4,identical_particle,18,quantonglizi,12
46,交换对称性,7,JHDCX,5,exchange_symmetry,17,jiaohuanduichenxing,19
47,玻色子,6,BSZ,3,boson,5,boshaizi,8
48,费米子,6,FMZ,3,fermion,7,feimizi,7
49,微扰论,5,WRL,3,perturbation_theory,19,weiraolun,9
50,定态微扰论,7,DTWRL,5,time_independent_perturbation_theory,36,dingtaiweiraolun,16
51,简并微扰,6,JBWR,4,degenerate_perturbation,23,jianbingweirao,14
52,变分法,5,BFF,3,variational_method,18,bianfenfa,9
53,绝热近似,6,JRJS,4,adiabatic_approximation,23,juerejinsi,10
54,WKB近似,7,WKBJS,5,wkb_approximation,17,wkbjinsi,8
55,散射理论,6,SSLL,4,scattering_theory,17,sanshelilun,11
56,散射截面,6,SSJM,4,scattering_cross_section,24,sanshejiemian,13
57,选择定则,6,XZDZ,4,selection_rule,14,xuanzedingze,12
58,薛定谔绘景,7,XDEHJ,5,schrodinger_picture,19,xuedingehuijing,15
59,海森堡绘景,7,HSBHJ,5,heisenberg_picture,18,haisenbaohuijing,16
60,相互作用绘景,7,XHZYHJ,6,interaction_picture,19,xianghuzuoyonghuijing,21
61,态函数,6,THS,3,state_function,14,taihanshu,9
62,量子态,6,LZT,3,quantum_state,13,liangzitai,10
63,态叠加,6,TDJ,3,state_superposition,19,taidiejia,9
64,本征方程,7,BZFC,4,eigenvalue_equation,19,benzhengfangcheng,17
65,完备性关系,7,WBXGX,5,completeness_relation,21,wanbeixingguanxi,16
66,正交归一性,7,ZJGYX,5,orthonormality,14,zhengjiaoguiyixing,18
67,概率流密度,7,GLLMD,5,probability_current_density,27,gailvliumidu,12
68,连续性方程,8,LXXFC,5,continuity_equation,19,lianxuxingfangcheng,19
69,定态,6,DT,2,stationary_state,16,dingtai,7
70,束缚态,6,SFT,3,bound_state,11,shufutai,8
71,散射态,6,SST,3,scattering_state,16,sanshetai,9
72,自由粒子,6,ZYLZ,4,free_particle,13,ziyoulizi,9
73,无限深势阱,6,WXSSJ,5,infinite_square_well,20,wuxianshenshijing,17
74,有限深势阱,6,YXSSJ,5,finite_square_well,18,youxianshenshijing,18
75,势阱,4,SJ,2,potential_well,14,shijing,7
76,谐振子,6,XZZ,3,harmonic_oscillator,19,xiezhenzi,9
77,零点能,6,LDN,3,zero_point_energy,17,lingdianneng,12
78,产生算符,8,CSSF,4,creation_operator,17,chanshengsuanfu,15
79,湮灭算符,8,YMSF,4,annihilation_operator,21,yanmiesuanfu,12
80,粒子数算符,8,LZSSF,5,number_operator,15,lizishusuanfu,13
81,轨道角动量,7,GDJDL,5,orbital_angular_momentum,24,guidaojiaodongliang,19
82,角动量量子数,7,JDLLZS,6,angular_momentum_quantum_number,31,jiaodongliangliangzishu,23
83,磁量子数,6,CLZS,4,magnetic_quantum_number,23,ciliangzishu,12
84,自旋量子数,7,ZXLZS,5,spin_quantum_number,19,zixuanliangzishu,16
85,总角动量,6,ZJDL,4,total_angular_momentum,22,zongjiaodongliang,17
86,角动量耦合,7,JDLOH,5,angular_momentum_coupling,25,jiaodongliangouhe,17
87,CG系数,6,CGXS,4,clebsch_gordan_coefficient,26,cgxishu,7
88,泡利不相容原理,9,PLBXRYL,7,pauli_exclusion_principle,25,paolibuxiangrongyuanli,22
89,对称波函数,7,DCBHS,5,symmetric_wave_function,23,duichenbohanshu,15
