编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,理论力学,6,LLLX,4,theoretical_mechanics,21,lilunlixue,10
2,质点,6,ZD,2,particle,8,zhidian,7
3,质点系,6,ZDX,3,system_of_particles,19,zhidianxi,9
4,约束,6,YS,2,constraint,10,yueshu,6
5,约束力,6,YSL,3,constraint_force,16,yueshuli,8
6,广义坐标,6,GYZB,4,generalized_coordinate,22,guangyizuobiao,14
7,广义速度,6,GYSD,4,generalized_velocity,20,guangyisudu,11
8,广义动量,6,GYDL,4,generalized_momentum,20,guangyidongliang,16
9,广义力,6,GYL,3,generalized_force,17,guangyili,9
10,自由度,6,ZYD,3,degree_of_freedom,17,ziyoudu,7
11,虚位移,6,XWY,3,virtual_displacement,20,xuweiyi,7
12,虚功,6,XG,2,virtual_work,12,xugong,6
13,理想约束,6,LXYS,4,ideal_constraint,16,lixiangyueshu,13
14,虚功原理,7,XGYL,4,principle_of_virtual_work,25,xugongyuanli,12
15,达朗贝尔原理,8,DLBEYL,6,d_alembert_principle,20,dalangbeieryuanli,17
16,拉格朗日方程,9,LGLRFC,6,lagrange_equation,17,lagelangrifangcheng,19
17,拉格朗日量,8,LGLRL,5,lagrangian,10,lagelangriliang,15
18,欧拉拉格朗日方程,10,OLLGLRFC,8,euler_lagrange_equation,23,oulalagelangrifangcheng,23
19,哈密顿原理,9,HMDYL,5,hamilton_principle,18,hamidunyuanli,13
20,变分原理,7,BFYL,4,variational_principle,21,bianfenyuanli,13
21,作用量,6,ZYL,3,action,6,zuoyongliang,12
22,最小作用量原理,9,ZXZYLYL,7,principle_of_least_action,25,zuixiaozuoyongliangyuanli,25
23,哈密顿量,7,HMDL,4,hamiltonian,11,hamidunliang,12
24,正则坐标,6,ZZZB,4,canonical_coordinate,20,zhengzezuobiao,14
25,正则动量,6,ZZDL,4,canonical_momentum,18,zhengzedongliang,16
26,正则方程,7,ZZFC,4,canonical_equation,18,zhengzefangcheng,16
27,泊松括号,6,PSKH,4,poisson_bracket,15,posongkuohao,12
28,守恒量,6,SHL,3,conserved_quantity,18,shouhengliang,13
29,循环坐标,6,XHZB,4,cyclic_coordinate,17,xunhuanzuobiao,14
30,正则变换,7,ZZBH,4,canonical_transformation,24,zhengzebianhuan,15
31,母函数,6,MHS,3,generating_function,19,muhanshu,8
32,哈密顿雅可比方程,10,HMDYKBFC,8,hamilton_jacobi_equation,24,hamidunyakebifangcheng,22
33,惯性张量,8,GXZL,4,inertia_tensor,14,guanxingzhangliang,18
34,主轴,6,ZZ,2,principal_axis,14,zhuzhou,7
35,主转动惯量,7,ZZDGL,5,principal_moment_of_inertia,27,zhuzhuandongguanliang,21
36,欧拉角,6,OLJ,3,euler_angle,11,oulajiao,8
37,刚体欧拉方程,7,GTOLFC,6,rigid_body_euler_equation,25,gangtioulafangcheng,19
38,刚体运动,6,GTYD,4,rigid_body_motion,17,gangtiyundong,13
39,定点转动,6,DDZD,4,rotation_about_fixed_point,26,dingdianzhuandong,17
40,陀螺,6,TL,2,gyroscope,9,tuoluo,6
41,进动,8,JD,2,precession,10,jindong,7
42,章动,8,ZD,2,nutation,8,zhangdong,9
43,小振动,6,XZD,3,small_oscillation,17,xiaozhendong,12
44,简正坐标,6,JZZB,4,normal_coordinate,17,jianzhengzuobiao,16
45,简正频率,6,JZPL,4,normal_frequency,16,jianzhengpinlv,14
46,简正模式,6,JZMS,4,normal_mode,11,jianzhengmoshi,14
47,稳定平衡,6,WDPH,4,stable_equilibrium,18,wendingpingheng,15
48,不稳定平衡,7,BWDPH,5,unstable_equilibrium,20,buwendingpingheng,17
49,中心力,6,ZXL,3,central_force,13,zhongxinli,10
50,中心力场,6,ZXLC,4,central_force_field,19,zhongxinlichang,15
51,有效势能,6,YXSN,4,effective_potential_energy,26,youxiaoshineng,14
52,两体问题,6,LTWT,4,two_body_problem,16,liangtiwenti,12
53,约化质量,6,YHZL,4,reduced_mass,12,yuehuazhiliang,14
54,开普勒问题,7,KPLWT,5,kepler_problem,14,kaipuleiwenti,13
55,散射,4,SS,2,scattering,10,sanshe,6
56,散射角,6,SSJ,3,scattering_angle,16,sanshejiao,10
57,散射截面,6,SSJM,4,scattering_cross_section,24,sanshejiemian,13
58,拉普拉斯龙格楞次矢量,8,LPLSLGLCSL,10,laplace_runge_lenz_vector,25,lapulasilonggelengcishiliang,28
59,拉格朗日力学,8,LGLRLX,6,lagrangian_mechanics,20,lagelangrilixue,15
60,哈密顿力学,8,HMDLX,5,hamiltonian_mechanics,21,hamidunlixue,12
61,牛顿力学,6,NDLX,4,newtonian_mechanics,19,niudunlixue,11
62,分析力学,6,FXLX,4,analytical_mechanics,20,fenxilixue,10
63,完整约束,6,WZYS,4,holonomic_constraint,20,wanzhengyueshu,14
64,非完整约束,7,FWZYS,5,nonholonomic_constraint,23,feiwanzhengyueshu,17
65,定常约束,6,DCYS,4,scleronomic_constraint,22,dingchangyueshu,15
66,非定常约束,7,FDCYS,5,rheonomic_constraint,20,feidingchangyueshu,18
67,广义加速度,7,GYJSD,5,generalized_acceleration,24,guangyijiasudu,14
68,第一类拉格朗日方程,10,DYLLGLRFC,9,lagrange_equation_of_first_kind,31,diyileilagelangrifangcheng,26
69,第二类拉格朗日方程,10,DELLGLRFC,9,lagrange_equation_of_second_kind,32,dierleilagelangrifangcheng,26
