编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,热力学与统计力学,8,RLXYTJLX,8,thermodynamics_and_statistical_mechanics,40,relixueyutongjilixue,20
2,热力学系统,7,RLXXT,5,thermodynamic_system,20,relixuexitong,13
3,孤立系统,6,GLXT,4,isolated_system,15,gulixitong,10
4,封闭系统,6,FBXT,4,closed_system,13,fengbixitong,12
5,开放系统,6,KFXT,4,open_system,11,kaifangxitong,13
6,状态参量,6,ZTCL,4,state_variable,14,zhuangtaicanliang,17
7,状态函数,6,ZTHS,4,state_function,14,zhuangtaihanshu,15
8,平衡态,6,PHT,3,equilibrium_state,17,pinghengtai,11
9,态方程,7,TFC,3,equation_of_state,17,taifangcheng,12
10,内能,4,NN,2,internal_energy,15,neineng,7
11,焓,6,H,1,enthalpy,8,han,3
12,熵,3,S,1,entropy,7,shang,5
13,亥姆霍兹自由能,8,HMHZZYN,7,helmholtz_free_energy,21,haimuhuoziziyouneng,19
14,吉布斯自由能,7,JBSZYN,6,gibbs_free_energy,17,jibusiziyouneng,15
15,化学势,6,HXS,3,chemical_potential,18,huaxueshi,9
16,热力学第一定律,9,RLXDYDL,7,first_law_of_thermodynamics,27,relixuediyidinglv,17
17,热力学第二定律,9,RLXDEDL,7,second_law_of_thermodynamics,28,relixuedierdinglv,17
18,热力学第三定律,9,RLXDSDL,7,third_law_of_thermodynamics,27,relixuedisandinglv,18
19,可逆过程,6,KNGC,4,reversible_process,18,keniguocheng,12
20,不可逆过程,7,BKNGC,5,irreversible_process,20,bukeniguocheng,14
21,准静态过程,7,ZJTGC,5,quasi_static_process,20,zhunjingtaiguocheng,19
22,卡诺循环,6,KNXH,4,carnot_cycle,12,kanuoxunhuan,12
23,热效率,6,RXL,3,thermal_efficiency,18,rexiaolv,8
24,麦克斯韦关系,7,MKSWGX,6,maxwell_relation,16,maikesiweiguanxi,16
25,热力学勒让德变换,8,RLXLRDBH,8,thermodynamics_legendre_transformation,38,relixueleirangdebianhuan,24
26,相平衡,6,XPH,3,phase_equilibrium,17,xiangpingheng,13
27,相图,6,XT,2,phase_diagram,13,xiangtu,7
28,克拉珀龙方程,8,KLPLFC,6,clapeyron_equation,18,kelapolongfangcheng,19
29,吉布斯相律,7,JBSXL,5,gibbs_phase_rule,16,jibusixianglv,13
30,临界点,6,LJD,3,critical_point,14,linjiedian,10
31,临界指数,6,LJZS,4,critical_exponent,17,linjiezhishu,12
32,序参量,6,XCL,3,order_parameter,15,xucanliang,10
33,相变,6,XB,2,phase_transition,16,xiangbian,9
34,配分函数,6,PFHS,4,partition_function,18,peifenhanshu,12
35,微观态,6,WGT,3,microstate,10,weiguantai,10
36,宏观态,6,HGT,3,macrostate,10,hongguantai,11
37,统计权重,6,TJQZ,4,statistical_weight,18,tongjiquanzhong,15
38,态密度,6,TMD,3,density_of_states,17,taimidu,7
39,能级简并度,7,NJJBD,5,degeneracy_of_energy_level,26,nengjijianbingdu,16
40,系综,6,XZ,2,ensemble,8,xizong,6
41,微正则系综,7,WZZXZ,5,microcanonical_ensemble,23,weizhengzexizong,16
42,正则系综,6,ZZXZ,4,canonical_ensemble,18,zhengzexizong,13
43,巨正则系综,7,JZZXZ,5,grand_canonical_ensemble,24,juzhengzexizong,15
44,玻尔兹曼分布,9,BEZMFB,6,boltzmann_distribution,22,boerzimanfenbu,14
45,麦克斯韦分布,8,MKSWFB,6,maxwell_distribution,20,maikesiweifenbu,15
46,费米狄拉克分布,9,FMDLKFB,7,fermi_dirac_distribution,24,feimidilakefenbu,16
47,玻色爱因斯坦分布,9,BSAYSTFB,8,bose_einstein_distribution,26,boseaiyinsitanfenbu,19
48,玻尔兹曼因子,8,BEZMYZ,6,boltzmann_factor,16,boerzimanyinzi,14
49,平均值,6,PJZ,3,mean_value,10,pingjunzhi,10
50,涨落,6,ZL,2,fluctuation,11,zhangluo,8
51,涨落耗散定理,8,ZLHSDL,6,fluctuation_dissipation_theorem,31,zhangluohaosandingli,20
52,能均分定理,8,NJFDL,5,equipartition_theorem,21,nengjunfendingli,16
53,玻色气体,6,BSQT,4,bose_gas_bulk,13,boseqiti,8
54,费米气体,6,FMQT,4,fermi_gas_bulk,14,feimiqiti,9
55,理想费米气体,7,LXFMQT,6,ideal_fermi_gas,15,lixiangfeimiqiti,16
56,理想玻色气体,7,LXBSQT,6,ideal_bose_gas,14,lixiangboseqiti,15
57,玻色爱因斯坦凝聚,8,BSAYSTNJ,8,bose_einstein_condensation,26,boseaiyinsitanningju,20
58,德拜模型,7,DBMX,4,debye_model,11,debaimoxing,11
59,爱因斯坦模型,8,AYSTMX,6,einstein_model,14,aiyinsitanmoxing,16
60,温度,1,WD,2,temperature,11,wendu,5
61,热量,4,RL,2,quantity_of_heat,16,reliang,7
62,热容,6,RR,2,heat_capacity,13,rerong,6
63,定压热容,6,DYRR,4,heat_capacity_at_constant_pressure,34,dingyarerong,12
64,定容热容,6,DRRR,4,heat_capacity_at_constant_volume,32,dingrongrerong,14
65,比热容,6,BRR,3,specific_heat_capacity,22,birerong,8
66,热膨胀系数,7,RPZXS,5,thermal_expansion_coefficient,29,repengzhangxishu,16
67,等温压缩系数,7,DWYSXS,6,isothermal_compressibility,26,dengwenyasuoxishu,17
68,绝热压缩系数,7,JRYSXS,6,adiabatic_compressibility,25,juereyasuoxishu,15
69,热力学势,6,RLXS,4,thermodynamic_potential,23,relixueshi,10
70,巨势,6,JS,2,grand_potential,15,jushi,5
71,自由能,6,ZYN,3,free_energy,11,ziyouneng,9
72,热力学恒等式,7,RLXHDS,6,thermodynamic_identity,22,relixuehengdengshi,18
73,欧拉关系,6,OLGX,4,euler_relation,14,oulaguanxi,10
74,吉布斯杜亥姆关系,8,JBSDHMGX,8,gibbs_duhem_relation,20,jibusiduhaimuguanxi,19
75,焦耳汤姆孙效应,9,JETMSXY,7,joule_thomson_effect,20,jiaoertangmusunxiaoying,23
76,焦耳汤姆孙系数,8,JETMSXS,7,joule_thomson_coefficient,25,jiaoertangmusunxishu,20
77,等焓过程,6,DHGC,4,isenthalpic_process,19,denghanguocheng,15
78,等熵过程,6,DSGC,4,isentropic_process,18,dengshangguocheng,17
79,多方过程,6,DFGC,4,polytropic_process,18,duofangguocheng,15
80,焓变,6,HB,2,enthalpy_change,15,hanbian,7
81,熵变,6,SB,2,entropy_change,14,shangbian,9
82,可用能,6,KYN,3,availability,12,keyongneng,10
83,熵判据,7,SPJ,3,entropy_criterion,17,shangpanju,10
