编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,电磁学,4,DCX,3,electromagnetism,16,diancixue,9
2,电荷,1,DH,2,electric_charge,15,dianhe,6
3,正电荷,4,ZDH,3,positive_charge,15,zhengdianhe,11
4,负电荷,4,FDH,3,negative_charge,15,fudianhe,8
5,点电荷,4,DDH,3,point_charge,12,diandianhe,10
6,试探电荷,4,STDH,4,test_charge,11,shitandianhe,12
7,电荷守恒定律,6,DHSHDL,6,law_of_conservation_of_charge,29,dianheshouhengdinglv,20
8,库仑定律,5,KLDL,4,coulombs_law,12,kulundinglv,11
9,库仑力,4,KLL,3,coulomb_force,13,kulunli,7
10,电场,1,DC,2,electric_field,14,dianchang,9
11,电场强度,4,DCQD,4,electric_field_strength,23,dianchangqiangdu,16
12,电场线,4,DCX,3,electric_field_line,19,dianchangxian,13
13,匀强电场,4,YQDC,4,uniform_electric_field,22,yunqiangdianchang,17
14,电偶极子,4,DOJZ,4,electric_dipole,15,dianoujizi,10
15,电偶极矩,4,DOJJ,4,electric_dipole_moment,22,dianoujiju,10
16,电通量,4,DTL,3,electric_flux,13,diantongliang,13
17,高斯定理,5,GSDL,4,gauss_theorem,13,gaosidingli,11
18,高斯面,4,GSM,3,gaussian_surface,16,gaosimian,9
19,电势,4,DS,2,electric_potential,18,dianshi,7
20,电势差,4,DSC,3,potential_difference,20,dianshicha,10
21,电压,1,DY,2,voltage,7,dianya,6
22,等势面,4,DSM,3,equipotential_surface,21,dengshimian,11
23,电势能,4,DSN,3,electric_potential_energy,25,dianshineng,11
24,静电场,4,JDC,3,electrostatic_field,19,jingdianchang,13
25,静电平衡,4,JDPH,4,electrostatic_equilibrium,25,jingdianpingheng,16
26,静电屏蔽,4,JDPB,4,electrostatic_shielding,23,jingdianpingbi,14
27,导体,4,DT,2,conductor,9,daoti,5
28,绝缘体,4,JYT,3,insulator,9,jueyuanti,9
29,电介质,4,DJZ,3,dielectric,10,dianjiezhi,10
30,极化,4,JH,2,polarization,12,jihua,5
31,介电常数,4,JDCS,4,dielectric_constant,19,jiedianchangshu,15
32,相对介电常数,5,XDJDCS,6,relative_dielectric_constant,28,xiangduijiedianchangshu,23
33,电容,1,DR,2,capacitance,11,dianrong,8
34,电容器,6,DRQ,3,capacitor,9,dianrongqi,10
35,平行板电容器,7,PXBDRQ,6,parallel_plate_capacitor,24,pingxingbandianrongqi,21
36,电容器能量,7,DRQNL,5,energy_of_capacitor,19,dianrongqinengliang,19
37,电流,1,DL,2,electric_current,16,dianliu,7
38,电流强度,4,DLQD,4,current_intensity,17,dianliuqiangdu,14
39,电流密度,4,DLMD,4,current_density,15,dianliumidu,11
40,稳恒电流,4,WHDL,4,steady_current,14,wenhengdianliu,14
41,直流电流,4,ZLDL,4,direct_current,14,zhiliudianliu,13
42,交流电流,4,JLDL,4,alternating_current,19,jiaoliudianliu,14
43,电源,4,DY,2,power_source,12,dianyuan,8
44,电动势,4,DDS,3,electromotive_force,19,diandongshi,11
45,电阻,1,DZ,2,resistance,10,dianzu,6
46,电阻器,4,DZQ,3,resistor,8,dianzuqi,8
47,电阻率,4,DZL,3,resistivity,11,dianzulv,8
48,电导,4,DD,2,conductance,11,diandao,7
49,电导率,4,DDL,3,conductivity,12,diandaolv,9
50,欧姆定律,5,OMDL,4,ohms_law,8,oumudinglv,10
51,焦耳定律,5,JEDL,4,joules_law,10,jiaoerdinglv,12
52,焦耳热,4,JER,3,joule_heat,10,jiaoerre,8
53,电功,4,DG,2,electric_work,13,diangong,8
54,电功率,4,DGL,3,electric_power,14,diangonglv,10
55,串联电路,4,CLDL,4,series_circuit,14,chuanliandianlu,15
56,并联电路,4,BLDL,4,parallel_circuit,16,bingliandianlu,14
57,混联电路,4,HLDL,4,compound_circuit,16,hunliandianlu,13
58,基尔霍夫定律,6,JEHFDL,6,kirchhoffs_law,14,jierhuofudinglv,15
59,节点电流定律,6,JDDLDL,6,junction_rule,13,jiediandianliudinglv,20
60,回路电压定律,6,HLDYDL,6,loop_rule,9,huiludianyadinglv,17
61,闭合电路欧姆定律,7,BHDLOMDL,8,ohms_law_for_closed_circuit,27,bihedianluoumudinglv,20
62,磁场,1,CC,2,magnetic_field,14,cichang,7
63,磁感应强度,5,CGYQD,5,magnetic_flux_density,21,ciganyingqiangdu,16
64,磁感线,4,CGX,3,magnetic_field_line,19,ciganxian,9
65,磁通量,4,CTL,3,magnetic_flux,13,citongliang,11
66,磁矩,4,CJ,2,magnetic_moment,15,ciju,4
67,磁偶极子,4,COJZ,4,magnetic_dipole,15,cioujizi,8
68,洛伦兹力,5,LLZL,4,lorentz_force,13,luolunzili,10
69,安培力,4,APL,3,ampere_force,12,anpeili,7
70,安培定律,5,APDL,4,amperes_law,11,anpeidinglv,11
71,毕奥萨伐尔定律,7,BASFEDL,7,biot_savart_law,15,biaosafaerdinglv,16
72,载流导线,4,ZLDX,4,current_carrying_wire,21,zailiudaoxian,13
73,载流线圈,4,ZLXQ,4,current_carrying_coil,21,zailiuxianquan,14
74,通电螺线管,5,TDLXG,5,current_carrying_solenoid,25,tongdianluoxianguan,19
75,霍尔效应,5,HEXY,4,hall_effect,11,huoerxiaoying,13
76,磁介质,4,CJZ,3,magnetic_medium,15,cijiezhi,8
77,磁化,4,CH,2,magnetization,13,cihua,5
