编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,位移,1,WY,2,displacement,12,weiyi,5
2,路程,1,LC,2,path_length,11,lucheng,7
3,位置矢量,4,WZSL,4,position_vector,15,weizhishiliang,14
4,参考系,4,CKX,3,reference_frame,15,cankaoxi,8
5,质点,4,ZD,2,particle,8,zhidian,7
6,坐标系,4,ZBX,3,coordinate_system,17,zuobiaoxi,9
7,运动,1,YD,2,motion,6,yundong,7
8,速度,1,SD,2,velocity,8,sudu,4
9,速率,1,SL,2,speed,5,sulv,4
10,平均速度,4,PJSD,4,average_velocity,16,pingjunsudu,11
11,瞬时速度,4,SSSD,4,instantaneous_velocity,22,shunshisudu,11
12,平均速率,4,PJSL,4,average_speed,13,pingjunsulv,11
13,瞬时速率,4,SSSL,4,instantaneous_speed,19,shunshisulv,11
14,加速度,2,JSD,3,acceleration,12,jiasudu,7
15,切向加速度,5,QXJSD,5,tangential_acceleration,23,qiexiangjiasudu,15
16,法向加速度,5,FXJSD,5,normal_acceleration,19,faxiangjiasudu,14
17,角位移,4,JWY,3,angular_displacement,20,jiaoweiyi,9
18,角速度,4,JSD,3,angular_velocity,16,jiaosudu,8
19,角加速度,4,JJSD,4,angular_acceleration,20,jiaojiasudu,11
20,直线运动,4,ZXYD,4,rectilinear_motion,18,zhixianyundong,14
21,曲线运动,4,QXYD,4,curvilinear_motion,18,quxianyundong,13
22,匀速运动,4,YSYD,4,uniform_motion,14,yunsuyundong,12
23,变速运动,4,BSYD,4,variable_motion,15,biansuyundong,13
24,加速运动,4,JSYD,4,accelerating_motion,19,jiasuyundong,12
25,减速运动,4,JSYD,4,decelerating_motion,19,jiansuyundong,13
26,匀速直线运动,5,YSZXYD,6,uniform_rectilinear_motion,26,yunsuzhixianyundong,19
27,匀变速直线运动,6,YBSZXYD,7,uniformly_accelerated_rectilinear_motion,40,yunbiansuzhixianyundong,23
28,自由落体运动,5,ZYLTYD,6,free_fall_motion,16,ziyouluotiyundong,17
29,抛体运动,4,PTYD,4,projectile_motion,17,paotiyundong,12
30,平抛运动,4,PPYD,4,horizontal_projectile_motion,28,pingpaoyundong,14
31,斜抛运动,4,XPYD,4,oblique_projectile_motion,25,xiepaoyundong,13
32,圆周运动,4,YZYD,4,circular_motion,15,yuanzhouyundong,15
33,匀速圆周运动,5,YSYZYD,6,uniform_circular_motion,23,yunsuyuanzhouyundong,20
34,相对速度,4,XDSD,4,relative_velocity,17,xiangduisudu,12
35,伽利略变换,6,GLLBH,5,galilean_transformation,23,galilvebianhuan,15
36,惯性系,4,GXX,3,inertial_frame,14,guanxingxi,10
37,非惯性系,4,FGXX,4,non_inertial_frame,18,feiguanxingxi,13
38,惯性,4,GX,2,inertia,7,guanxing,8
39,质量,1,ZL,2,mass,4,zhiliang,8
40,力,1,L,1,force,5,li,2
41,合力,4,HL,2,resultant_force,15,heli,4
42,分力,4,FL,2,component_force,15,fenli,5
43,重力,1,ZL,2,gravity,7,zhongli,7
44,弹力,4,DL,2,elastic_force,13,danli,5
45,张力,4,ZL,2,tension,7,zhangli,7
46,支持力,4,ZCL,3,normal_force,12,zhichili,8
47,摩擦力,2,MCL,3,friction_force,14,mocali,6
48,静摩擦力,4,JMCL,4,static_friction_force,21,jingmocali,10
49,滑动摩擦力,5,HDMCL,5,kinetic_friction_force,22,huadongmocali,13
50,摩擦因数,4,MCYS,4,coefficient_of_friction,23,mocayinshu,10
51,牛顿第一定律,6,NDDYDL,6,newtons_first_law,17,niudundiyidinglv,16
52,牛顿第二定律,6,NDDEDL,6,newtons_second_law,18,niudundierdinglv,16
53,牛顿第三定律,6,NDDSDL,6,newtons_third_law,17,niudundisandinglv,17
54,惯性力,4,GXL,3,inertial_force,14,guanxingli,10
55,离心力,4,LXL,3,centrifugal_force,17,lixinli,7
56,向心力,4,XXL,3,centripetal_force,17,xiangxinli,10
57,向心加速度,5,XXJSD,5,centripetal_acceleration,24,xiangxinjiasudu,15
58,动量,1,DL,2,momentum,8,dongliang,9
59,冲量,1,CL,2,impulse,7,chongliang,10
60,动量定理,5,DLDL,4,impulse_momentum_theorem,24,dongliangdingli,15
61,动量守恒定律,6,DLSHDL,6,law_of_conservation_of_momentum,31,dongliangshouhengdinglv,23
62,质心,4,ZX,2,center_of_mass,14,zhixin,6
63,质心系,4,ZXX,3,center_of_mass_frame,20,zhixinxi,8
64,质心运动定理,6,ZXYDDL,6,theorem_of_center_of_mass_motion,32,zhixinyundongdingli,19
65,碰撞,4,PZ,2,collision,9,pengzhuang,10
66,弹性碰撞,4,DXPZ,4,elastic_collision,17,danxingpengzhuang,17
67,非弹性碰撞,5,FDXPZ,5,inelastic_collision,19,feidanxingpengzhuang,20
68,完全非弹性碰撞,6,WQFDXPZ,7,perfectly_inelastic_collision,29,wanquanfeidanxingpengzhuang,27
69,功,1,G,1,work,4,gong,4
70,功率,1,GL,2,power,5,gonglv,6
71,动能,1,DN,2,kinetic_energy,14,dongneng,8
72,动能定理,5,DNDL,4,work_energy_theorem,19,dongnengdingli,14
73,势能,1,SN,2,potential_energy,16,shineng,7
74,重力势能,4,ZLSN,4,gravitational_potential_energy,30,zhonglishineng,14
75,弹性势能,4,DXSN,4,elastic_potential_energy,24,danxingshineng,14
76,保守力,4,BSL,3,conservative_force,18,baoshouli,9
77,非保守力,4,FBSL,4,non_conservative_force,22,feibaoshouli,12
