编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,近代物理,4,JDWL,4,modern_physics,14,jindaiwuli,10
2,狭义相对论,5,XYXDL,5,special_relativity,18,xiayixiangduilun,16
3,相对性原理,6,XDXYL,5,principle_of_relativity,23,xiangduixingyuanli,18
4,光速不变原理,6,GSBBYL,6,principle_of_constancy_of_light_speed,37,guangsububianyuanli,19
5,洛伦兹变换,7,LLZBH,5,lorentz_transformation,22,luolunzibianhuan,16
6,同时的相对性,5,TSDXDX,6,relativity_of_simultaneity,26,tongshidexiangduixing,21
7,时间间隔,4,SJJG,4,time_interval,13,shijianjiange,13
8,固有时,4,GYS,3,proper_time,11,guyoushi,8
9,时间延缓,4,SJYH,4,time_dilation,13,shijianyanhuan,14
10,长度收缩,4,CDSS,4,length_contraction,18,changdushousuo,14
11,固有长度,4,GYCD,4,proper_length,13,guyouchangdu,12
12,相对论速度变换,7,XDLSDBH,7,relativistic_velocity_transformation,36,xiangduilunsudubianhuan,23
13,相对论动量,5,XDLDL,5,relativistic_momentum,21,xiangduilundongliang,20
14,相对论质量,5,XDLZL,5,relativistic_mass,17,xiangduilunzhiliang,19
15,静质量,4,JZL,3,rest_mass,9,jingzhiliang,12
16,静能,4,JN,2,rest_energy,11,jingneng,8
17,总能量,4,ZNL,3,total_energy,12,zongnengliang,13
18,质能关系,4,ZNGX,4,mass_energy_relation,20,zhinengguanxi,13
19,质能方程,5,ZNFC,4,mass_energy_equation,20,zhinengfangcheng,16
20,能量动量关系,5,NLDLGX,6,energy_momentum_relation,24,nengliangdongliangguanxi,24
21,相对论因子,5,XDLYZ,5,lorentz_factor,14,xiangduilunyinzi,16
22,闵可夫斯基时空,6,MKFSJSK,7,minkowski_spacetime,19,minkefusijishikong,18
23,时空间隔,4,SKJG,4,spacetime_interval,18,shikongjiange,13
24,四维时空,4,SWSK,4,four_dimensional_spacetime,26,siweishikong,12
25,光锥,4,GZ,2,light_cone,10,guangzhui,9
26,事件,4,SJ,2,event,5,shijian,7
27,世界线,4,SJX,3,worldline,9,shijiexian,10
28,相对论力学,5,XDLLX,5,relativistic_mechanics,22,xiangduilunlixue,16
29,紫外灾难,4,ZWZN,4,ultraviolet_catastrophe,23,ziwaizainan,11
30,黑体辐射,4,HTFS,4,blackbody_radiation,19,heitifushe,10
31,能量子,5,NLZ,3,energy_quantum,14,nengliangzi,11
32,普朗克常量,5,PLKCL,5,planck_constant,15,pulangkechangliang,18
33,普朗克假设,5,PLKJS,5,planck_hypothesis,17,pulangkejiashe,14
34,普朗克公式,6,PLKGS,5,planck_formula,14,pulangkegongshi,15
35,光电效应,5,GDXY,4,photoelectric_effect,20,guangdianxiaoying,17
36,光电子,4,GDZ,3,photoelectron,13,guangdianzi,11
37,截止频率,4,JZPL,4,cutoff_frequency,16,jiezhipinlv,11
38,逸出功,4,YCG,3,work_function,13,yichugong,9
39,爱因斯坦光电方程,7,AYSTGDFC,8,einstein_photoelectric_equation,31,aiyinsitanguangdianfangcheng,28
40,光量子,5,GLZ,3,light_quantum,13,guangliangzi,12
41,光子,3,GZ,2,photon,6,guangzi,7
42,康普顿效应,7,KPDXY,5,compton_effect,14,kangpudunxiaoying,17
43,康普顿散射,6,KPDSS,5,compton_scattering,18,kangpudunsanshe,15
44,康普顿波长,6,KPDBC,5,compton_wavelength,18,kangpudunbochang,16
45,物质波,4,WZB,3,matter_wave,11,wuzhibo,7
46,德布罗意波,6,DBLYB,5,de_broglie_wave,15,debuluoyibo,11
47,德布罗意波长,6,DBLYBC,6,de_broglie_wavelength,21,debuluoyibochang,16
48,电子,1,DZ,2,electron,8,dianzi,6
49,质子,1,ZZ,2,proton,6,zhizi,5
50,中子,1,ZZ,2,neutron,7,zhongzi,7
51,原子,1,YZ,2,atom,4,yuanzi,6
52,原子核,4,YZH,3,atomic_nucleus,14,yuanzihe,8
53,核式结构,4,HSJG,4,nuclear_model,13,heshijiegou,11
54,卢瑟福散射,5,LSFSS,5,rutherford_scattering,21,lusefusanshe,12
55,卢瑟福原子模型,7,LSFYZMX,7,rutherford_atomic_model,23,lusefuyuanzimoxing,18
56,玻尔原子模型,6,BEYZMX,6,bohr_atomic_model,17,boeryuanzimoxing,16
57,玻尔假设,6,BEJS,4,bohr_postulates,15,boerjiashe,10
58,定态,4,DT,2,stationary_state,16,dingtai,7
59,能级,4,NJ,2,energy_level,12,nengji,6
60,基态,4,JT,2,ground_state,12,jitai,5
61,激发态,4,JFT,3,excited_state,13,jifatai,7
62,跃迁,6,YQ,2,transition,10,yueqian,7
63,量子数,5,LZS,3,quantum_number,14,liangzishu,10
64,主量子数,5,ZLZS,4,principal_quantum_number,24,zhuliangzishu,13
65,氢原子,4,QYZ,3,hydrogen_atom,13,qingyuanzi,10
66,氢光谱,4,QGP,3,hydrogen_spectrum,17,qingguangpu,11
67,巴耳末系,4,BEMX,4,balmer_series,13,baermoxi,8
68,赖曼系,4,LMX,3,lyman_series,12,laimanxi,8
69,帕邢系,4,PXX,3,paschen_series,14,paxingxi,8
70,里德伯常量,5,LDBCL,5,rydberg_constant,16,lidebochangliang,16
71,经典量子模型,7,JDLZMX,6,old_quantum_model,17,jingdianliangzimoxing,21
