编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,光学,4,GX,2,optics,6,guangxue,8
2,光,1,G,1,light,5,guang,5
3,光线,4,GX,2,light_ray,9,guangxian,9
4,光束,4,GS,2,light_beam,10,guangshu,8
5,光源,4,GY,2,light_source,12,guangyuan,9
6,点光源,4,DGY,3,point_light_source,18,dianguangyuan,13
7,波面,4,BM,2,wavefront,9,bomian,6
8,光程,4,GC,2,optical_path,12,guangcheng,10
9,光程差,4,GCC,3,optical_path_difference,23,guangchengcha,13
10,相干光,4,XGG,3,coherent_light,14,xiangganguang,13
11,相干光源,4,XGGY,4,coherent_light_source,21,xiangganguangyuan,17
12,光强,4,GQ,2,light_intensity,15,guangqiang,10
13,照度,4,ZD,2,illuminance,11,zhaodu,6
14,发光强度,4,FGQD,4,luminous_intensity,18,faguangqiangdu,14
15,光通量,4,GTL,3,luminous_flux,13,guangtongliang,14
16,反射,1,FS,2,reflection,10,fanshe,6
17,反射定律,5,FSDL,4,law_of_reflection,17,fanshedinglv,12
18,入射角,4,RSJ,3,angle_of_incidence,18,rushejiao,9
19,反射角,4,FSJ,3,angle_of_reflection,19,fanshejiao,10
20,法线,4,FX,2,normal_line,11,faxian,6
21,平面镜,4,PMJ,3,plane_mirror,12,pingmianjing,12
22,球面镜,4,QMJ,3,spherical_mirror,16,qiumianjing,11
23,凹面镜,4,AMJ,3,concave_mirror,14,aomianjing,10
24,凸面镜,4,TMJ,3,convex_mirror,13,tumianjing,10
25,焦点,4,JD,2,focus,5,jiaodian,8
26,焦距,4,JJ,2,focal_length,12,jiaoju,6
27,主轴,4,ZZ,2,principal_axis,14,zhuzhou,7
28,物距,4,WJ,2,object_distance,15,wuju,4
29,像距,4,XJ,2,image_distance,14,xiangju,7
30,实像,4,SX,2,real_image,10,shixiang,8
31,虚像,4,XX,2,virtual_image,13,xuxiang,7
32,放大率,4,FDL,3,magnification,13,fangdalv,8
33,折射,1,ZS,2,refraction,10,zheshe,6
34,折射定律,5,ZSDL,4,law_of_refraction,17,zheshedinglv,12
35,斯涅尔定律,6,SNEDL,5,snells_law,10,sinieerdinglv,13
36,折射率,4,ZSL,3,refractive_index,16,zheshelv,8
37,全反射,4,QFS,3,total_internal_reflection,25,quanfanshe,10
38,临界角,4,LJJ,3,critical_angle,14,linjiejiao,10
39,色散,4,SS,2,dispersion,10,sesan,5
40,棱镜,4,LJ,2,prism,5,lengjing,8
41,透镜,4,TJ,2,lens,4,toujing,7
42,薄透镜,4,BTJ,3,thin_lens,9,baotoujing,10
43,凸透镜,4,TTJ,3,convex_lens,11,tutoujing,9
44,凹透镜,4,ATJ,3,concave_lens,12,aotoujing,9
45,会聚透镜,4,HJTJ,4,converging_lens,15,huijutoujing,12
46,发散透镜,4,FSTJ,4,diverging_lens,14,fasantoujing,12
47,透镜公式,5,TJGS,4,lens_formula,12,toujinggongshi,14
48,光焦度,4,GJD,3,optical_power,13,guangjiaodu,11
49,显微镜,4,XWJ,3,microscope,10,xianweijing,11
50,望远镜,4,WYJ,3,telescope,9,wangyuanjing,12
51,照相机,4,ZXJ,3,camera,6,zhaoxiangji,11
52,光阑,4,GL,2,aperture_stop,13,guanglan,8
53,孔径,4,KJ,2,aperture,8,kongjing,8
54,光的干涉,4,GDGS,4,interference_of_light,21,guangdeganshe,13
55,干涉,1,GS,2,interference,12,ganshe,6
56,明纹,4,MW,2,bright_fringe,13,mingwen,7
57,暗纹,4,AW,2,dark_fringe,11,anwen,5
58,条纹间距,4,TWJJ,4,fringe_spacing,14,tiaowenjianju,13
59,杨氏双缝干涉,5,YSSFGS,6,youngs_double_slit_interference,31,yangshishuangfengganshe,23
60,双缝,4,SF,2,double_slit,11,shuangfeng,10
61,薄膜干涉,6,BMGS,4,thin_film_interference,22,baomoganshe,11
62,等厚干涉,4,DHGS,4,equal_thickness_interference,28,denghouganshe,13
63,牛顿环,4,NDH,3,newtons_rings,13,niudunhuan,10
64,光的衍射,4,GDYS,4,diffraction_of_light,20,guangdeyanshe,13
65,衍射,1,YS,2,diffraction,11,yanshe,6
66,单缝衍射,4,DFYS,4,single_slit_diffraction,23,danfengyanshe,13
67,圆孔衍射,4,YKYS,4,circular_aperture_diffraction,29,yuankongyanshe,14
68,衍射光栅,4,YSGS,4,diffraction_grating,19,yansheguangshan,15
69,光栅常数,4,GSCS,4,grating_constant,16,guangshanchangshu,17
70,光栅方程,5,GSFC,4,grating_equation,16,guangshanfangcheng,18
71,分辨本领,4,FBBL,4,resolving_power,15,fenbianbenling,14
72,瑞利判据,5,RLPJ,4,rayleigh_criterion,18,ruilipanju,10
73,偏振,1,PZ,2,polarization,12,pianzhen,8
74,自然光,4,ZRG,3,natural_light,13,ziranguang,10
75,偏振光,4,PZG,3,polarized_light,15,pianzhenguang,13
76,线偏振光,4,XPZG,4,linearly_polarized_light,24,xianpianzhenguang,17
77,起偏器,4,QPQ,3,polarizer,9,qipianqi,8
