编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,热学,4,RX,2,thermal_physics,15,rexue,5
2,热,1,R,1,heat,4,re,2
3,温度,1,WD,2,temperature,11,wendu,5
4,温标,4,WB,2,temperature_scale,17,wenbiao,7
5,摄氏温标,4,SSWB,4,celsius_scale,13,sheshiwenbiao,13
6,热力学温标,5,RLXWB,5,thermodynamic_temperature_scale,31,relixuewenbiao,14
7,绝对温度,4,JDWD,4,absolute_temperature,20,jueduiwendu,11
8,热平衡,4,RPH,3,thermal_equilibrium,19,repingheng,10
9,热量,1,RL,2,quantity_of_heat,16,reliang,7
10,内能,1,NN,2,internal_energy,15,neineng,7
11,分子,4,FZ,2,molecule,8,fenzi,5
12,气体原子,1,QTYZ,4,atom,4,qitiyuanzi,10
13,分子动理论,5,FZDLL,5,molecular_kinetic_theory,24,fenzidonglilun,14
14,分子热运动,5,FZRYD,5,molecular_thermal_motion,24,fenzireyundong,14
15,布朗运动,4,BLYD,4,brownian_motion,15,bulangyundong,13
16,扩散,4,KS,2,diffusion,9,kuosan,6
17,理想气体,4,LXQT,4,ideal_gas,9,lixiangqiti,11
18,气体,4,QT,2,gas,3,qiti,4
19,气体压强,4,QTYQ,4,pressure,8,qitiyaqiang,11
20,体积,4,TJ,2,volume,6,tiji,4
21,物质的量,4,WZDL,4,amount_of_substance,19,wuzhideliang,12
22,摩尔,4,ME,2,mole,4,moer,4
23,摩尔质量,4,MEZL,4,molar_mass,10,moerzhiliang,12
24,阿伏伽德罗常数,6,AFGDLCS,7,avogadro_constant,17,afugadeluochangshu,18
25,玻尔兹曼常数,6,BEZMCS,6,boltzmann_constant,18,boerzimanchangshu,17
26,气体常数,4,QTCS,4,gas_constant,12,qitichangshu,12
27,理想气体状态方程,7,LXQTZTFC,8,ideal_gas_equation_of_state,27,lixiangqitizhuangtaifangcheng,29
28,状态方程,5,ZTFC,4,equation_of_state,17,zhuangtaifangcheng,18
29,等温过程,4,DWGC,4,isothermal_process,18,dengwenguocheng,15
30,等压过程,4,DYGC,4,isobaric_process,16,dengyaguocheng,14
31,等容过程,4,DRGC,4,isochoric_process,17,dengrongguocheng,16
32,绝热过程,4,JRGC,4,adiabatic_process,17,juereguocheng,13
33,准静态过程,5,ZJTGC,5,quasi_static_process,20,zhunjingtaiguocheng,19
34,循环过程,4,XHGC,4,cyclic_process,14,xunhuanguocheng,15
35,状态参量,4,ZTCL,4,state_variable,14,zhuangtaicanliang,17
